BOR;AN;FI;FI_EJ;AUT;SAL;SALANG;SEJ;JOU;ACT;ACT1;ACT2;ACT3;ADU;ENF;GREF;SALAS;CEC;INTENF;INTADU;INTURG;INTCEC;LIT_CHIRC;LIT_CAR;SEJ_CHIRC;JOU_CHIRC
CHIRCAR;2014;740000237;740781133;1;;2;1041;2904;1172;566;0;606;1;0;0;2;2;1;672;179;598;9;14;512;2647
CHIRCAR;2014;740014345;740000617;1;;2;216;472;221;5;0;216;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;740780416;740000112;1;0;2;305;584;322;43;0;279;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;750000523;750150120;1;2;2;854;2526;885;371;0;514;0;0;0;;;0;0;;0;0;34;0;0
CHIRCAR;2014;750100042;750712184;1;0;1;774;2283;858;42;0;816;0;0;0;;;0;0;;0;;28;0;0
CHIRCAR;2014;750100091;750712184;1;0;1;0;0;34;34;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0
CHIRCAR;2014;750100125;750712184;1;2;2;2674;8292;3014;1184;0;1830;1;0;1;6;6;3;1942;777;1674;43;60;3138;2568
CHIRCAR;2014;750100166;750712184;1;2;;665;2003;739;71;0;668;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;750100208;750712184;1;;1;334;1063;363;14;348;1;0;1;1;2;3;986;0;0;47;3;20;682;629
CHIRCAR;2014;750100232;750712184;1;3;2;1423;7144;1637;502;1;1134;1;0;1;3;4;8;1889;;1643;24;84;1703;7816
CHIRCAR;2014;750120016;750821092;1;1;1;276;793;317;2;0;315;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;750150104;750720476;1;2;1;1667;5394;1777;929;0;848;1;0;0;2;2;9;1149;;1048;25;29;2206;9675
CHIRCAR;2014;750300154;750000671;1;1;1;835;1418;879;56;0;823;0;0;0;;;0;0;;0;0;22;0;0
CHIRCAR;2014;750301137;750001034;1;2;1;850;2057;872;414;0;458;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;750803447;750712184;1;5;2;1538;7556;1691;640;2;1049;1;0;1;3;5;62;1178;;1046;52;63;3287;14960
CHIRCAR;2014;760000018;760780023;1;1;0;87;494;97;65;0;32;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;760000158;760780239;1;3;2;1742;5048;2226;1166;0;1060;1;0;1;3;4;10;1017;;900;19;57;1676;4342
CHIRCAR;2014;760021329;760000448;1;;1;546;2008;627;123;0;504;0;0;0;;;0;0;;0;;40;0;0
CHIRCAR;2014;760780619;760000307;1;;2;1608;4898;1666;392;0;1274;0;0;0;;;0;0;;0;;32;0;0
CHIRCAR;2014;760805770;760780726;1;1;1;705;3115;772;257;0;515;0;0;0;;;0;0;;0;;34;0;0
CHIRCAR;2014;770019032;770170017;1;3;2;1862;5485;2055;561;0;1494;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;770300135;770000289;1;1;1;982;3190;1162;475;0;687;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;780000311;780001236;1;2;1;912;3205;1186;379;0;807;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;780300075;780000485;1;2;2;735;3375;816;267;0;659;0;0;0;0;0;0;0;;0;;;0;0
CHIRCAR;2014;780300406;780018032;1;1;2;1829;6565;2049;1198;0;851;1;0;0;2;3;0;1448;;1218;22;30;0;0
CHIRCAR;2014;780800256;780110078;1;;1;779;2832;864;126;0;738;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;790000087;790000012;1;2;1;965;3660;1018;196;0;822;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;800000143;800000028;1;0;0;113;489;114;114;0;0;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;800006124;800000044;1;2;2;1287;6032;1445;714;1;730;1;0;0;2;3;5;1460;110;1253;18;70;696;5262
CHIRCAR;2014;800015729;800015679;1;2;2;1018;3272;1083;329;0;754;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;810000224;810000471;1;1;1;736;2082;833;112;0;721;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;810000505;810000331;1;1;;158;806;132;132;0;0;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;810000521;810000380;1;1;0;144;929;155;155;0;0;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;820000032;820000016;1;1;0;217;1107;232;182;0;50;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;820000057;820000131;1;1;1;935;2665;1071;176;0;895;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;830000311;830100566;1;1;1;885;3347;973;128;0;845;0;0;0;;;0;0;;0;;32;0;0
CHIRCAR;2014;830000345;830100616;1;2;1;1265;4399;1367;460;0;907;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;830100319;750052425;1;4;2;2238;6065;2386;777;0;1609;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;830100574;750821092;1;2;1;549;1667;635;164;0;471;0;0;0;;;0;0;;0;;10;0;0
CHIRCAR;2014;840001861;840006597;1;2;2;1815;5316;2019;437;0;1582;0;0;0;;;0;0;;0;;37;0;0
CHIRCAR;2014;840013312;840003685;1;3;2;1903;4624;2236;925;0;1311;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;850000142;850000019;1;0;1;1286;5225;1405;497;0;908;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;860000223;860013077;1;3;2;2042;6486;2267;885;0;1382;1;0;0;2;2;2;627;;587;12;76;593;3840
CHIRCAR;2014;870000064;870000015;1;2;2;1505;5115;1667;661;0;1006;1;0;1;2;2;1;742;30;604;40;51;1633;10056
CHIRCAR;2014;870000288;870017415;1;1;;128;459;146;146;0;0;0;0;0;;;0;0;;0;0;25;0;0
CHIRCAR;2014;870002060;870017415;1;1;;0;0;44;44;0;0;0;0;0;;;0;0;;0;;39;0;0
CHIRCAR;2014;880000021;880007059;1;0;0;92;524;110;104;0;6;0;0;0;;;0;0;;0;;16;0;0
CHIRCAR;2014;890975527;890000037;1;;1;1071;3341;1144;343;0;801;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;900000167;900000365;1;1;1;669;2001;704;6;0;698;0;0;0;0;;0;0;;0;0;24;0;0
CHIRCAR;2014;910020254;910002773;1;;;1138;4559;1317;337;0;980;0;0;;;;0;0;;0;;;0;0
CHIRCAR;2014;910300219;910003888;1;1;3;2723;8807;2992;1236;183;1690;1;1;0;6;5;625;1404;;1090;54;46;2046;12625
