BOR;AN;FI;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;PDSA;NRML;NBLIB;CAR;SAMUSDIS
SMURSAMU;2014;100000199;100006279;1;1;0;0;0;;0;0;168;168;0;0;1;0;0;411;14;0;;;;425;142;50;1;91;84;368;38;130;240;128;;;;;;;;;;;;;;;
SMURSAMU;2014;100010206;100000017;1;0;0;0;1;100000017;0;0;168;168;0;0;0;0;0;296;19;;;;;315;190;31;6;31;122;106;28;21;92;14;;;;;;;;;;;;;;;
SMURSAMU;2014;110000023;110780061;1;1;0;0;0;;0;1;336;252;336;2;3;0;0;1523;289;27;164;92;0;2068;760;149;11;169;481;934;73;180;848;86;241497;231891;231891;87881;64470;18596;226;168;58;554;1;0;0;2519;1
SMURSAMU;2014;110000049;110780087;1;0;0;0;1;110780061;0;0;84;84;0;;1;;;344;54;;;;0;398;221;31;1;31;181;123;11;25;57;66;;;;;;;;;;;;;;;
SMURSAMU;2014;110000056;110780137;1;1;0;0;0;;0;0;337;337;0;0;1;0;0;1552;380;;122;68;;2122;;;;;450;;;;812;;;;;;;;;;;;;;;;
SMURSAMU;2014;110780236;110780707;1;0;0;0;1;110780061;0;0;168;168;0;;2;;;482;;;;;;482;405;33;11;79;266;75;6;23;61;14;;;;;;;;;;;;;;;
SMURSAMU;2014;120000039;120780044;1;1;0;0;0;;0;1;168;336;168;;3;;;1181;231;;252;346;;2010;588;127;;102;359;1198;98;149;1099;99;90993;79491;73700;35389;23886;11503;220;168;52;236;1;1;;713;0
SMURSAMU;2014;120000054;120780069;1;1;0;0;0;;0;0;186;186;0;;;;;304;13;;;;;317;46;35;;11;;258;17;88;245;13;;;;;;;;;;;;;;;
SMURSAMU;2014;120000070;120780085;1;1;0;0;0;;0;0;208;336;0;;;;;333;;;;;;333;;52;;20;70;261;15;64;219;42;;;;;;;;;;;;;;;
SMURSAMU;2014;120004569;120004528;1;1;0;0;0;;0;0;168;168;0;;;;;386;108;;;;;494;235;51;;25;105;315;23;51;283;32;;;;;;;;;;;;;;;
SMURSAMU;2014;120004668;120004619;1;1;0;0;0;;0;0;168;168;0;;;;;260;30;;;;;290;77;32;0;45;20;216;50;85;174;42;;;;;;;;;;;;;;;
SMURSAMU;2014;130000409;130041916;1;1;0;1;0;;0;0;252;241;0;;;;;2680;353;;;;;3033;;194;22;122;855;1222;68;312;756;466;;;;;;;;;;;;;;;
SMURSAMU;2014;130000565;130781446;1;1;0;0;0;;1;0;168;168;168;1;1;0;0;1837;257;;0;0;0;2094;349;156;18;80;342;1498;;;575;923;;;;;;;;;;;;;;;
SMURSAMU;2014;130001225;130782634;1;1;0;0;1;;0;0;168;168;;;;;;1414;29;;;;;1443;270;150;120;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;130002827;130789274;1;1;0;0;0;;0;0;168;168;168;1;1;;;1482;164;;;;;1646;1238;119;4;166;403;950;80;351;739;211;;;;;;;;;;;;;;;
SMURSAMU;2014;130002835;130789316;1;1;0;0;0;130789316;0;0;252;263;0;0;0;0;0;1489;162;0;0;0;0;1651;378;157;8;154;0;1211;;;744;467;;;;;;;;;;;;;;;
SMURSAMU;2014;130783293;130786049;1;1;0;1;0;130783293;0;1;792;840;840;5;1;1;0;13550;3448;0;93;453;0;17544;12257;828;284;1458;9687;16396;1241;3458;7313;4384;565899;463453;431472;465429;281358;83212;504;504;162;1232;1;0;31;11549;0
SMURSAMU;2014;130786742;750821092;1;1;0;0;1;130786049;0;0;120;0;0;0;0;0;0;1331;200;0;0;1;0;1532;706;114;11;60;496;1158;90;315;586;572;;;;;;;;;;;;;;;
SMURSAMU;2014;140000027;140000035;1;1;0;0;0;140000035;0;0;168;168;168;;2;;;513;5;;;;;518;87;62;5;0;15;423;42;133;374;49;;;;;;;;;;;;;;;
SMURSAMU;2014;140000209;140000100;1;1;0;1;0;;0;1;386;361;615;4;3;;;2317;1156;;4;37;0;3514;446;312;;134;;1875;;;1607;268;226422;216223;186903;129781;129781;25956;366;168;198;444;1;0;0;1684;0
SMURSAMU;2014;140000233;140000118;1;1;0;0;0;;0;0;168;168;168;2;2;;;296;6;;;;;302;71;53;5;13;0;240;19;48;176;64;;;;;;;;;;;;;;;
SMURSAMU;2014;140000373;140000159;1;1;0;0;0;140000159;0;0;168;168;168;;2;;;391;35;;;;;426;84;67;;17;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;140024886;140000092;1;1;0;0;0;140000092;0;0;168;168;168;;2;;;465;20;;;;;485;70;14;;;;359;24;93;276;83;;;;;;;;;;;;;;;
SMURSAMU;2014;140026410;140026279;1;1;0;0;0;;0;0;168;168;168;1;;;;384;14;;;;;398;76;58;18;;;308;35;105;207;101;;;;;;;;;;;;;;;
SMURSAMU;2014;150000032;150780088;1;1;0;0;0;;0;0;116;168;0;0;0;0;0;486;160;22;0;0;0;646;214;48;0;0;166;275;;;225;50;;;;;;;;;;;;;;;
SMURSAMU;2014;150000040;150780096;1;1;0;0;0;;0;1;238;168;168;3;2;;;966;225;0;216;266;0;1673;;109;3;52;72;759;;;676;83;72000;72000;;37500;33882;11094;205;158;37;205;1;1;13;364;0
SMURSAMU;2014;150000164;150780468;1;0;0;0;1;;0;0;48;35;0;;;;;357;111;;;;;468;109;34;6;18;51;248;;;158;90;;;;;;;;;;;;;;;
SMURSAMU;2014;160000253;160000451;1;1;0;0;0;;0;1;336;336;336;3;3;0;0;1873;560;0;15;17;0;2465;515;177;20;129;189;1358;128;285;1319;39;170181;141225;120252;60459;58059;24559;284;168;116;356;1;0;0;112;0
SMURSAMU;2014;160000303;160006037;1;1;0;0;0;;0;0;168;84;0;;1;;;296;14;12;;;;310;46;;;;;260;;;148;112;;;;;;;;;;;;;;;
SMURSAMU;2014;160000311;160000485;1;1;0;0;0;160000485;0;0;168;118;8;;1;;;434;28;0;;;;462;110;36;4;24;34;324;27;96;118;206;;;;;;;;;;;;;;;
SMURSAMU;2014;160000337;160000493;1;1;0;0;0;;0;0;168;210;0;;1;;;564;;;;;;564;;51;2;16;96;474;35;150;175;299;;;;;;;;;;;;;;;
SMURSAMU;2014;160015368;160014411;1;1;0;0;0;;0;0;168;168;168;1;1;0;0;523;7;0;0;0;0;530;161;68;3;51;39;360;0;0;263;97;;;;;;;;;;;;;;;
SMURSAMU;2014;170000038;170780050;1;1;0;0;0;;0;0;181;181;0;;;;;429;11;0;;;;440;163;64;5;34;60;276;31;61;157;119;;;;;;;;;;;;;;;
SMURSAMU;2014;170000079;170780142;1;0;0;0;1;170780225;;0;168;168;168;;1;;;143;;;;;;143;117;9;1;31;60;111;13;11;94;17;;;;;;;;;;;;;;;
SMURSAMU;2014;170000087;170023279;1;1;0;0;0;;0;1;336;336;336;2;2;;;1830;623;;181;252;9;2895;666;227;11;177;390;1217;143;152;1150;67;265088;231167;215160;151794;151794;52833;342;187;155;597;1;0;0;2559;0
SMURSAMU;2014;170000095;170780167;1;1;0;0;0;;0;0;169;231;0;;1;;;397;67;0;0;0;0;464;107;58;3;24;22;285;18;57;224;61;;;;;;;;;;;;;;;
SMURSAMU;2014;170000103;170780175;1;1;0;0;0;;0;0;168;277;338;2;1;;;826;747;2;6;18;;1597;144;48;93;;0;650;82;151;603;47;;;;;;;;;;;;;;;
SMURSAMU;2014;170000129;170780191;1;1;0;0;0;;0;0;168;168;168;0;2;0;0;778;28;;;;;806;316;135;1;44;136;450;28;77;390;60;;;;;;;;;;;;;;;
SMURSAMU;2014;170000152;170780225;1;1;1;0;0;;0;0;168;168;168;;2;;;855;;;;;;855;124;91;0;129;89;646;64;143;526;120;;;;;;;;;;;;;;;
SMURSAMU;2014;180000010;180000028;1;1;0;0;0;;0;1;390;299;273;2;2;0;0;1578;472;;0;0;0;2050;534;134;18;62;307;1044;;;1037;7;;;;84340;72062;8088;196;168;28;420;1;0;3;493;1
SMURSAMU;2014;180000200;180000051;1;1;0;0;0;;0;0;168;168;0;0;2;0;0;575;73;;;;;648;116;76;5;33;2;461;52;142;402;59;;;;;;;;;;;;;;;
SMURSAMU;2014;180000283;180000069;1;1;0;0;0;180000069;0;0;168;172;0;;;;;519;66;;;;;585;181;74;8;15;87;342;30;105;266;76;;;;;;;;;;;;;;;
SMURSAMU;2014;190000018;190000042;1;1;0;0;0;;0;0;336;168;336;2;3;;;1794;288;;18;32;;2132;271;124;2;130;15;1164;;;1083;81;;;;;;;;;;;;;;;
SMURSAMU;2014;190000026;190000059;1;1;0;0;0;;0;1;168;168;168;2;2;;;1017;163;;0;0;;1180;502;73;44;384;1;515;;;393;122;95338;89838;88940;60741;40929;22399;260;168;92;342;1;0;3;1360;1
SMURSAMU;2014;190000091;190000075;1;0;0;0;1;190000059;0;0;;;;;2;;;323;128;;;;;451;76;50;;10;;255;;;188;67;;;;;;;;;;;;;;;
SMURSAMU;2014;210987558;210780581;1;1;0;1;0;;0;1;581;459;420;5;5;1;0;3810;1236;229;182;323;0;5551;;;;;;2;2;;2;;228709;;;129235;101345;25928;339;218;121;552;1;0;0;1504;0
SMURSAMU;2014;210987657;210780714;1;1;0;0;0;;0;0;168;168;228;1;1;0;0;1021;37;0;0;0;;1058;392;89;1;91;335;1006;119;28;790;216;;;;;;;;;;;;;;;
SMURSAMU;2014;210987665;210010070;1;1;0;0;0;210010070;0;0;168;336;84;;1;;;226;11;;;;;237;75;30;0;43;;182;;;158;24;;;;;;;;;;;;;;;
SMURSAMU;2014;210987673;210010070;1;1;0;0;0;;0;0;168;245;168;;1;;;160;48;;;;;208;35;16;0;6;;125;;;75;50;;;;;;;;;;;;;;;
SMURSAMU;2014;210987699;210780706;1;1;0;0;0;210780706;0;0;168;175;168;2;1;;;477;67;;;;;544;65;41;2;22;;403;30;107;384;19;;;;;;;;;;;;;;;
SMURSAMU;2014;220000012;220000020;1;1;0;0;0;220000020;0;1;336;220;373;3;3;1;0;2076;1160;0;286;328;24;3874;787;204;8;43;493;2915;223;358;2081;834;204633;173968;161129;124929;88769;34951;312;168;144;508;1;0;1;9932;0
SMURSAMU;2014;220000095;220000046;1;1;0;0;0;;0;0;18;22;24;2;;;;677;52;;18;1;0;748;124;87;3;15;0;571;62;127;403;168;;;;;;;;;;;;;;;
SMURSAMU;2014;220000343;220000079;1;1;0;0;0;;0;0;21;21;21;0;2;0;0;489;12;0;0;0;0;501;86;65;1;20;;416;29;108;291;125;;;;;;;;;;;;;;;
SMURSAMU;2014;220000368;220000103;1;1;0;0;0;220000103;0;0;336;336;74;;1;;;708;13;;;;;721;155;87;4;10;54;561;;;455;106;;;;;;;;;;;;;;;
SMURSAMU;2014;220000541;220000152;1;1;0;0;0;;0;0;168;168;168;;1;;;369;25;;;;;394;74;53;1;9;11;308;23;70;220;88;;;;;;;;;;;;;;;
SMURSAMU;2014;230000820;230780041;1;1;0;0;0;;0;1;218;168;0;0;3;0;0;850;213;69;66;83;;1212;234;120;5;21;88;657;137;394;504;153;33226;33226;;35989;17544;11210;168;168;48;272;1;1;0;575;0
SMURSAMU;2014;240000372;240000059;1;1;0;0;0;240000372;0;0;168;168;168;;2;;;561;79;;;;;640;187;83;1;18;85;459;26;81;370;89;;;;;;;;;;;;;;;
SMURSAMU;2014;240000489;240000117;1;1;0;0;0;;0;1;336;336;336;2;3;0;0;1871;837;38;207;254;0;3169;996;271;21;77;654;1783;117;320;1275;508;138868;114336;99788;97107;90047;30809;245;;77;528;1;0;0;1919;0
SMURSAMU;2014;240000687;240000448;1;1;0;0;0;;0;0;168;168;168;;1;;;343;38;;;;;381;77;52;;14;;266;23;63;175;91;;;;;;;;;;;;;;;
SMURSAMU;2014;250000114;900000365;1;1;0;0;0;;0;0;168;168;168;1;2;;;2126;209;;;;;2335;1213;190;27;214;787;926;94;170;663;263;;;;;;;;;;;;;;;
SMURSAMU;2014;250000700;250000452;1;1;0;0;0;250000452;0;0;168;168;168;1;2;0;0;1021;262;6;0;0;0;1283;225;85;6;10;124;796;96;281;657;139;;;;;;;;;;;;;;;
SMURSAMU;2014;250006954;250000015;1;1;0;0;0;250000015;0;1;353;353;336;3;5;1;0;3930;344;38;521;333;0;5128;1134;290;12;90;742;3317;;;3314;3;535169;461422;434974;253920;118233;79155;739;403;336;1131;1;1;15;4987;0
SMURSAMU;2014;260000013;260000021;1;1;0;0;0;260000021;0;1;336;336;336;2;2;1;0;1329;497;;245;383;0;2454;436;415;21;;;1342;;;1094;248;196043;196043;;94026;76795;17231;220;168;52;444;1;0;18;414;0
SMURSAMU;2014;260000120;260016910;1;1;0;0;0;260000120;0;0;168;168;168;3;;;;1075;29;;;;;1104;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;260000138;260000047;1;1;0;0;0;;0;0;168;168;168;1;1;;;844;43;0;121;;;1008;326;132;2;47;145;683;72;125;617;66;;;;;;;;;;;;;;;
SMURSAMU;2014;260000203;260016910;1;0;0;0;1;260000203;0;0;50;50;50;1;;;;153;1;;;;;154;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;270000045;270000060;1;1;0;0;0;;0;0;134;168;98;;1;;;541;29;;1;2;;573;241;78;4;21;138;319;40;72;184;135;;;;;;;;;;;;;;;
SMURSAMU;2014;270000359;270023724;1;1;0;0;0;;0;1;336;168;336;1;3;1;0;1306;662;;5;80;;2053;679;175;8;67;474;1109;;;886;223;231970;189701;172265;116369;87331;29038;272;168;104;528;1;1;0;2309;0
SMURSAMU;2014;270000367;270000086;1;1;0;0;0;;0;0;168;168;168;;1;;;654;;;;;;654;304;86;5;21;172;380;36;81;194;186;;;;;;;;;;;;;;;
SMURSAMU;2014;270000425;270000102;1;1;0;0;0;270000102;0;0;168;168;168;;1;;;599;;;;;;599;112;83;5;24;0;516;;;158;358;;;;;;;;;;;;;;;
SMURSAMU;2014;270000441;270000110;1;1;0;0;0;270000110;0;0;168;168;84;;1;;;408;3;;;5;;416;225;43;2;32;148;202;13;46;35;167;;;;;;;;;;;;;;;
SMURSAMU;2014;270000458;270023724;1;1;0;0;0;;0;0;168;168;168;0;2;0;0;787;;;;;;787;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;280000084;280000183;1;1;0;0;0;;0;1;336;336;168;1;3;1;0;1165;193;;77;409;;1844;468;177;30;158;375;756;82;91;548;208;181290;137902;128318;86899;72780;18428;220;168;52;420;1;0;0;1520;0
SMURSAMU;2014;280000662;280500075;1;1;0;0;0;;0;0;405;420;366;;;;;601;4;;;;;605;270;83;3;65;119;335;19;80;166;169;;;;;;;;;;;;;;;
SMURSAMU;2014;280502998;280000589;1;1;0;0;0;;0;0;168;168;0;;1;;;536;;;;;;536;196;59;5;37;137;311;43;120;142;169;;;;;;;;;;;;;;;
SMURSAMU;2014;280504267;280000134;1;1;0;0;0;;0;0;336;336;168;3;1;;;1366;263;;;;;1629;698;216;7;57;381;1106;90;177;1015;91;;;;;;;;;;;;;;;
SMURSAMU;2014;290000025;290020700;1;1;0;0;0;;0;0;168;168;168;1;1;1;0;1079;81;0;21;5;0;1186;466;100;35;36;295;929;84;216;876;53;;;;;;;;;;;;;;;
SMURSAMU;2014;290000033;290021542;1;1;0;0;0;;0;0;168;168;168;1;1;;;1030;101;;2;0;;1133;356;119;4;53;173;676;87;195;530;146;;;;;;;;;;;;;;;
SMURSAMU;2014;290000066;290020700;1;0;0;0;1;;0;0;168;168;168;0;1;0;0;565;55;1;4;2;0;626;256;50;25;21;159;473;41;128;28;445;;;;;;;;;;;;;;;
SMURSAMU;2014;290000256;290000017;1;1;0;0;0;290000017;0;0;168;168;168;1;1;;;501;65;;;;;566;;68;;34;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;290000785;220020739;1;1;0;0;0;290000785;0;0;168;168;168;1;;;;453;98;;5;7;2;565;65;33;1;31;;390;33;110;237;153;;;;;;;;;;;;;;;
SMURSAMU;2014;290000934;290000306;1;1;0;0;0;;0;0;22;22;22;;1;;;663;144;;20;6;0;833;274;75;1;1;155;539;64;103;308;231;;;;;;;;;;;;;;;
SMURSAMU;2014;290004324;290000017;1;1;0;0;0;290000017;0;1;461;406;406;3;2;1;;3074;1842;166;556;384;173;6029;;325;53;340;;3313;;;2817;496;293965;279888;271477;165392;144163;56973;308;168;140;1030;1;0;0;2878;0
SMURSAMU;2014;290029982;290020700;1;0;0;0;1;;0;0;168;168;168;0;1;0;0;552;140;0;34;39;0;765;277;57;27;17;176;485;37;116;212;273;;;;;;;;;;;;;;;
SMURSAMU;2014;2A0000022;2A0000014;1;1;0;0;0;;0;1;336;336;588;3;3;1;0;2263;518;;388;845;;4014;315;114;11;66;124;2454;341;708;2414;40;62105;60482;60192;50580;50580;13704;948;204;744;1488;1;0;0;1506;0
SMURSAMU;2014;2A0003125;2A0000014;1;0;0;0;1;2A0000014;0;0;168;168;168;0;1;0;0;364;11;;;;;375;87;25;2;42;18;300;48;105;0;300;;;;;;;;;;;;;;;
SMURSAMU;2014;2A0003133;2A0000014;1;0;0;0;1;2A0000014;0;0;168;;168;0;1;0;0;519;13;;;;;532;131;31;7;32;61;449;78;106;0;449;;;;;;;;;;;;;;;
SMURSAMU;2014;2A0003141;2A0000014;1;0;0;0;1;2A0000014;0;0;168;0;168;0;1;0;0;228;34;;;;;262;76;9;2;24;41;199;31;36;0;199;;;;;;;;;;;;;;;
SMURSAMU;2014;2B0000012;2B0000020;1;1;0;0;0;2B0000020;0;1;353;252;588;0;0;0;0;2093;1285;;568;576;0;4522;356;112;33;97;;3344;;;2352;992;84418;83510;82435;38541;30794;4414;188;168;20;336;1;1;0;272;0
SMURSAMU;2014;2B0003420;2B0000020;1;0;0;0;1;2B0000020;0;0;168;168;168;0;1;0;0;489;36;0;0;0;0;525;90;19;9;25;35;525;;;165;360;;;;;;;;;;;;;;;
SMURSAMU;2014;2B0004907;2B0000020;1;0;0;0;1;2B0000020;0;0;168;168;168;0;1;0;0;253;58;0;0;0;0;311;38;13;9;8;8;239;;;40;199;;;;;;;;;;;;;;;
SMURSAMU;2014;2B0005409;2B0000020;1;0;0;0;1;2B0000020;1;0;168;168;168;0;1;0;0;897;0;0;0;0;0;897;434;25;45;185;164;537;0;0;463;74;;;;;;;;;;;;;;;
SMURSAMU;2014;300000023;300780046;1;1;0;0;0;300780046;0;0;168;168;;0;2;0;0;2351;44;0;0;0;0;2395;1035;224;14;268;354;1838;116;539;1338;500;;;;;;;;;;;;;;;
SMURSAMU;2014;300000031;300780053;1;1;0;0;0;300780053;0;0;168;168;0;0;1;0;0;940;;;;;;940;158;87;9;62;0;782;49;80;671;111;;;;;;;;;;;;;;;
SMURSAMU;2014;300782117;300780038;1;1;0;0;0;;0;1;5840;577;556;5;3;1;;5893;1118;0;263;339;;7613;1143;292;45;806;;5013;;;4495;518;273161;230086;202631;173513;155435;49964;1460;;;877;1;0;0;2364;0
SMURSAMU;2014;310000310;310780671;1;1;0;0;0;;0;0;168;168;168;1;1;;;824;427;;;;;1251;231;103;3;98;225;394;19;95;259;135;;;;;;;;;;;;;;;
SMURSAMU;2014;310016977;310781406;1;0;0;1;0;;0;0;202;161;132;1;2;2;0;364;1220;160;30;153;0;1767;104;7;;62;78;290;231;0;230;60;;;;;;;;;;;;;;;
SMURSAMU;2014;310783048;310781406;1;1;0;0;0;;0;1;520;710;708;3;5;2;0;6269;2880;1390;701;248;0;10098;3224;706;3;572;2377;3746;171;760;2612;1134;507627;442983;441141;208895;192222;83246;767;448;319;1245;1;1;96;2855;0
SMURSAMU;2014;320000086;320780117;1;1;0;0;0;320780117;0;1;168;168;168;0;3;0;0;965;73;;;;;1038;;;;;;;;;;;;82197;;33456;;;;;;;1;1;0;586;1
SMURSAMU;2014;320000102;320780133;1;0;0;0;1;320000102;0;0;168;168;168;;2;;;378;93;0;6;2;0;479;87;1;0;1;;336;34;54;145;191;;;;;;;;;;;;;;;
