BOR;AN;FI;FI_EJ;PHARMA_A1;PHARMA_A2;PHARMA_A3;PHARMA_A4;PHARMA_A5;PHARMA_A6;PHARMA_A7;PHARMA_B7;PHARMA_C7;PHARMA_D7;PHARMA_E7;PHARMA_A8;PHARMA_B8;PHARMA_C8;PHARMA_D8;PHARMA_E8;PHARMA_A9;PHARMA_B9;PHARMA_C9;PHARMA_D9;PHARMA_E9;PHARMA_A10;PHARMA_A11;PHARMA_A12;PHARMA_A13;PHARMA_A14;PHARMA_A15;PHARMA_A16;PHARMA_A17;PHARMA_A18;PHARMA_A19;PHARMA_A20;PHARMA_A21;PHARMA_A22;PHARMA_A23;PHARMA_A24;PHARMA_A25;PHARMA_A26;PHARMA_A27;PHARMA_A28;PHARMA_A29;PHARMA_A30;PHARMA_A31;PHARMA_A32;PHARMA_A33;PHARMA_A34;PHARMA_A35;PHARMA_B29;PHARMA_B30;PHARMA_B31;PHARMA_B32;PHARMA_B33;PHARMA_B34;PHARMA_B35;PHARMA_C29;PHARMA_C30;PHARMA_C31;PHARMA_C32;PHARMA_C33;PHARMA_C34;PHARMA_C35;PHARMA_D29;PHARMA_E29
PHARMA;2014;010005239;010008407;1;;;;1;;130;;30;35;290;0;0;0;0;0;0;0;0;0;0;3017645;1;450;382;310;1;1;0;0;1;1;1;0;;;1;1;0;2;2;1;0;1;7;3;0;0;0;0;0;2;0;2;1.75;0.5;0;0.25;7.37;2.25;1.01;0;0
PHARMA;2014;010780195;010000156;0;;;;;;;;;;;;;;;;;;;;;2436005;1;113;113;82;1;1;0;1;1;1;0;0;;;1;0;0;0;1;;;;4;8;1;2;;;;1;;;1.94;0.2;0.5;;5.21;8;1;0;0
PHARMA;2014;010780203;010006450;0;;;;;;81;;;;;0;0;0;0;0;0;0;0;0;0;384645;1;2;;;1;0;0;0;1;1;0;1;60;0;1;0;0;;1;;0;0;2;;;1;1;0;0;3;;;1.75;0.5;0;0;3.9;;;0;0
PHARMA;2014;010780252;010783009;0;;;;1;0;;;171;;;0;0;0;0;0;0;0;0;0;0;67500;1;171;171;125;0;0;0;0;0;1;0;0;;;0;0;0;;1;;;;1;;;;;;;2;;;1;;;;1.9;;;0;0
PHARMA;2014;010780278;010783009;0;;;;1;0;;;171;;;0;0;0;0;0;0;0;0;0;0;101207;1;171;171;125;0;0;0;0;0;1;0;0;;;0;0;0;;1;;;;1;;;;;;;2;;;1;;;;1.9;;;0;0
PHARMA;2014;010780294;690000278;0;;;;0;0;20;;;;;1;1;1;1;1;0;0;0;0;0;70000;1;20;20;0;1;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;;;;0.5;;;;;;;0;0
PHARMA;2014;010780310;010000222;0;;;;0;0;;;38;;;0;0;0;0;0;0;0;0;0;0;53529;1;38;38;38;1;0;0;0;0;0;0;0;;;0;0;0;0;;;;;;;;1;;;;1;;;0.5;;;;0.4;;;0;0
PHARMA;2014;010780328;010000222;0;;;;0;0;;;58;;;0;0;0;0;0;0;0;0;0;0;66212;1;58;58;58;1;0;0;0;0;0;0;0;;;0;0;0;0;;;;;;;;1;;;;1;;;0.5;;;;0.4;;;0;0
PHARMA;2014;010780476;750005068;0;;;;;;;;115;;;0;0;0;0;0;0;0;0;0;0;108991;0;;115;115;0;0;0;0;0;1;0;0;;;0;0;0;2;;;;;;;;1;;;;1;;;0.53;;;;0.33;;;0;0
PHARMA;2014;010780492;360000707;0;;;;0;0;;;67;;;1;1;1;1;1;0;0;0;0;0;83906;1;67;67;67;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;1;;;;1;;;;;;;0.5;;;1;;;;0;1
PHARMA;2014;010780708;310021381;0;;;;0;0;;;65;;;1;1;1;1;1;0;0;0;0;0;68798;1;65;65;65;0;0;0;0;0;0;0;0;;;0;0;0;0;;;;;;;;1;;;;1;;;0.7;;;;0.5;;;0;0
PHARMA;2014;010780799;750721334;0;;;;0;0;;;103;;;0;0;0;0;0;0;0;0;0;0;49115;1;103;103;103;0;0;0;0;0;1;0;0;;;0;0;0;1;;;;4;12;55;10;1;;;;5;6;2;0.5;;;4.83;15.38;64.36;11.65;0;0
PHARMA;2014;020000089;020000022;0;;;;1;0;28;;42;30;130;0;0;0;0;0;0;0;0;0;0;276446;1;215;230;230;1;0;0;0;0;1;0;0;15;;0;0;0;0;1;;;;2;1;;;;;;3;;;1.15;;;;3.05;0.2;;0;0
PHARMA;2014;020000097;020000048;0;;;;0;0;31;;29;;108;1;1;1;1;1;0;0;0;0;0;420000;1;176;176;31;1;0;0;0;1;1;1;0;;;0;0;0;0;1;;;;2;;;;;;;;;;1;;;;2;;;1;0
PHARMA;2014;020000162;020000063;0;;;;1;;471;71;70;60;179;1;1;1;1;1;0;0;0;0;1;15499910;1;438;257;104;1;1;0;0;1;1;1;0;;;1;1;1;1;4;1;0;1;16;32;2;5;0;3;0;2;8;0;7;1;1.3;1;16.3;36.47;1.75;0;1
PHARMA;2014;020000246;020000071;0;;;;1;0;36;;33;;52;0;0;0;0;0;0;0;0;0;0;106757;0;;;;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;2;;;1;;;;1;;;0.42;;;;2.7;;;0;0
PHARMA;2014;020000303;750814030;0;;;;;;;;350;;;0;0;0;0;0;0;0;0;0;0;580271;1;350;350;350;1;0;0;0;0;1;0;0;;;0;0;0;0;2;;;;5;1;;;;;;;1;1;2.1;;;;4.1;1.55;0.5;0;0
PHARMA;2014;020000360;020014742;0;;;;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;108100;1;29;29;;1;0;0;0;1;1;0;0;;;0;0;0;0;1;;;;;;;;;;;2;;;1;;;;1.3;;;0;0
PHARMA;2014;020000394;020000253;0;;;;1;;234;;70;41;126;0;0;0;0;0;0;0;0;0;0;3344472;1;179;329;0;1;1;0;0;1;1;1;0;;;0;1;0;2;3;0;0;1;5;6;1;1;0;0;0;1;1;2;3.63;0;0.4;0.18;5.82;6.81;2.68;0;1
PHARMA;2014;020000519;020000261;0;;;;1;0;320;;60;50;290;0;0;0;0;0;0;0;0;0;0;5981582;1;680;680;192;1;1;0;0;1;1;1;0;;;1;0;0;1;4;;;2;7;9;2;;1;1;;;4;;4;0.5;0.5;2;7;11.3;2;0;1
PHARMA;2014;020000535;020000287;0;;;;;;175;;38;44;166;0;0;0;0;0;0;0;0;0;0;1300000;0;0;0;0;1;1;0;0;1;1;1;0;;;0;0;0;0;1;;;;3;3;1;;;;1;4;1;;1.83;;;0.1;5.4;3.55;1;0;1
PHARMA;2014;020000543;020000295;0;;;;0;0;;646;;;;0;0;0;0;0;0;0;0;0;0;537372;1;724;724;646;0;0;0;0;0;1;0;0;;;0;0;0;0;1;;;;6;1;3;2;;;;;;;2.1;;;;6;1;3;0;0
PHARMA;2014;020000915;020003620;0;;;;0;0;;;0;;;0;0;0;0;0;0;0;0;0;0;191773;1;100;184;0;0;0;0;0;0;1;0;0;;;0;0;0;0;2;;;;2;;;;;;;;;;1.3;;;;2;;;0;1
PHARMA;2014;020001061;020004404;0;;;;1;;205;;;;285;0;0;0;0;0;1;1;0;1;1;962249;1;205;0;0;1;0;0;0;1;1;1;0;;;1;1;0;1;2;1;;1;6;5;1;1;;;;1;3;;2.23;0.2;;1;5.93;6.72;1;0;1
PHARMA;2014;020001087;020004495;0;;;;1;;64;;30;;86;0;0;0;0;0;1;1;1;1;1;654394;1;180;180;;1;0;0;0;0;0;1;0;;;0;0;0;0;2;;;;3;1;;;;;1;;;1;2;;;0.1;3;1;0.6;0;0
PHARMA;2014;020004156;590805065;0;;;;0;0;;54;;;;1;1;1;1;1;0;0;0;0;0;81012;0;0;54;18;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;1;;;0.5;;;;0.5;;;0;1
PHARMA;2014;030000012;030180020;0;;;;1;;;;59;;100;1;1;1;1;1;0;0;0;0;0;103095;1;159;159;159;0;0;0;0;0;1;0;0;;;0;0;0;0;0;;;;1;;;1;;;;1;;;0.5;;;;1.52;;;0;0
PHARMA;2014;030000061;030780092;0;;;;1;0;361;191;40;80;;0;0;1;0;0;0;0;0;0;0;7067323;1;697;282;0;1;1;0;0;1;1;1;0;12;;1;1;0;0;5;2;;1;9;5;2;0;0;;;3;;2;4.98;0.6;;1;11.4;5;3.4;0;1
PHARMA;2014;030000079;030780100;0;;;;1;0;;;;;297;0;0;0;0;0;0;0;0;0;0;5025195;1;502;145;30;1;1;0;0;1;1;1;1;30;0;1;1;1;2;5;1;;;11;6;2;;;;;1;1;;4.87;0.5;;;10.38;5.55;2;0;1
PHARMA;2014;030000087;030780118;1;3;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;10375000;1;487;487;30;1;1;0;0;1;1;1;1;30;0;1;1;0;2;4;1;0;1;9;21;1;1;0;1;0;0;0;1;4.9;0.6;0.78;1;10.4;19.31;1.9;0;1
PHARMA;2014;030000095;030780126;1;1;0;;;;10;0;35;0;178;0;0;0;0;0;0;0;0;0;0;85268;1;223;223;223;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;3;;;1;;;;;;;0.6;;;;3;;;0;0
PHARMA;2014;030000160;030780282;0;;;;;;;457;;40;;0;0;0;0;0;0;0;0;0;0;507391;1;497;497;497;0;0;0;0;0;1;1;0;;;0;0;0;0;2;;;1;6;;1;1;;;0;0;;0;2.51;;;1;6.47;;1;0;1
PHARMA;2014;030002208;030002158;0;;;;1;;10;;179;;283;0;0;0;0;0;0;0;0;0;0;240632;1;283;495;478;0;0;0;0;0;1;1;0;;;0;0;0;0;1;0;0;0;5;;;1;0;0;0;1;;1;1.02;0;0;0;3.29;;0.9;0;0
PHARMA;2014;030780548;030000194;0;;;;0;0;96;;50;;;1;1;1;1;1;0;0;0;0;0;221089;1;20;146;146;1;0;0;0;1;1;0;0;;;1;0;0;1;1;;;;2;;;;;;;1;;;1;;;;2.75;;;0;1
PHARMA;2014;030781116;030000426;0;;;;1;0;252;;67;;;1;1;1;1;1;0;0;0;0;0;4528000;1;109;30;67;1;1;0;0;1;1;0;0;;;1;1;0;1;2;;1;;7;1;1;1;1;;;2;;;2.9;0.5;1;;8.3;1;0.5;0;0
PHARMA;2014;030785430;030785422;0;;;;1;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1487500;1;85;85;0;1;1;0;0;1;1;1;0;;;1;1;0;0;1;;;;1;3;;1;;1;;2;;1;1.3;;0.3;;2.03;3;0.8;0;0
PHARMA;2014;040000051;040780173;1;3;1;;;;;;15;;56;0;0;1;0;1;0;0;1;0;1;32050;1;71;71;71;0;0;0;;0;1;0;0;;;0;0;0;1;;;;;;;;1;;;;;;;0.6;;;;;;;0;0
PHARMA;2014;040000093;040780215;0;;;;0;0;186;;;30;;0;0;0;0;0;0;0;0;0;0;3324085;1;237;237;48;1;1;0;0;1;1;1;0;;;0;0;0;0;4;;1;1;9;2;2;1;;;;1;;;4.08;;1;1;8.52;2;2;0;1
PHARMA;2014;040000119;040780231;0;;;;0;0;4;;15;;63;1;1;0;1;1;0;0;0;0;0;39000;1;83;83;83;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;1;;;1;;;;;;;0.2;;;;1;;;0;0
PHARMA;2014;040000135;050002948;0;;;;1;1;42;0;27;0;53;1;1;1;1;1;0;0;0;0;0;342387;1;50;60;52;1;0;0;0;0;1;1;1;5;0;1;0;0;2;2;1;0;0;0;0;0;1;1;0;0;3;2;0;0.8;0.21;0;0;2.4;1.1;0;0;0
PHARMA;2014;040000911;040788879;0;;;;;;158;134;;;;0;0;0;0;0;0;0;0;0;0;3868716;1;146;300;300;1;0;0;0;1;1;1;0;;;0;0;0;;3;2;;;5;2;2;;;;;1;1;;3;0.8;;;5.66;2.75;2.25;0;0
PHARMA;2014;040780389;040000150;0;;;;;;;;83;;;0;0;0;0;0;0;0;0;0;0;26313;0;;0;83;0;0;0;0;0;0;0;0;;;0;0;0;0;;;;;;;;1;;;;1;;;0.84;;;;0.6;;;0;0
PHARMA;2014;040780405;040000168;0;;;;;;;;70;41;;0;0;0;0;0;0;0;0;0;0;;1;100;111;111;0;0;0;0;0;0;0;0;;;0;0;0;0;1;;;;1;;;;;;;1;;;0.8;;;;1;;;0;0
PHARMA;2014;040780470;040000192;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;69677;1;47;47;47;1;0;0;0;1;1;0;0;;;1;0;0;1;;;;;1;;;1;1;;;;;;0.8;0.2;;;1;;;0;0
PHARMA;2014;040780488;040000200;0;;;;;;;;80;;;0;0;0;0;0;0;0;0;0;0;103039;1;80;80;80;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;;;1;0.9;;;;;;0.17;0;0
PHARMA;2014;040782021;130037815;0;;;;0;0;;;60;;;1;1;1;1;1;0;0;0;0;0;47038;1;60;60;60;0;0;0;0;0;1;0;0;;;0;0;0;;;;;;;;;1;;;;1;;;0.55;;;;0.5;;;0;0
PHARMA;2014;040784860;330029208;0;;;;1;0;45;;;;;1;1;1;1;1;0;0;0;0;0;180505;1;100;100;100;1;0;0;0;1;1;0;0;;1;0;0;0;1;;;;;;;;1;;;;1;1;;0.6;;;;0.6;0.3;;0;0
PHARMA;2014;050000066;050000082;0;;;;;;;;60;;;0;0;0;0;0;0;0;0;0;0;33047;1;60;60;60;0;0;0;0;1;0;0;0;;;0;0;0;0;;;;;;;;1;;;;;;;0.63;;;;;;;0;0
PHARMA;2014;050000090;050006931;0;;;;0;0;75;;;;;0;0;0;0;0;0;0;0;0;0;724351;1;86;86;11;1;;;;1;1;0;1;38;1;1;1;0;0;1;;;;;3;;;;;;4;2;;1;;;;2.27;3.83;;0;0
PHARMA;2014;050000132;050007145;0;;;;1;0;5;189;12;25;95;1;1;1;1;1;0;0;0;0;0;181000;1;326;326;326;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;1;1;;2;;;;2;;;1.2;;;;2.36;1;;0;0
PHARMA;2014;050000223;050000108;0;;;;1;0;4;;;;;0;0;0;0;0;0;0;0;0;0;;1;4;4;;0;0;0;0;0;1;0;0;;;0;0;0;1;;;;;;;;1;;;;1;;;0.5;;;;0.8;;;0;0
PHARMA;2014;050000231;050000116;1;1;0;1;1;;58;23;120;30;;0;0;0;0;0;0;0;0;0;0;1653218;1;96;192;32;1;1;0;0;1;0;1;1;8;0;1;0;0;1;3;1;0;1;5;6;2;0;0;0;0;2;0;0;2.97;0.5;0;0.17;6.2;5.85;2;0;1
PHARMA;2014;050000256;050000124;0;;;;0;0;27;;34;30;146;1;1;1;1;1;0;0;0;0;0;529985;1;236;236;63;1;0;0;0;0;1;1;0;;;0;0;0;0;1;;;;3;;;1;;;;;;1;1.5;;;;3;;0.5;0;0
PHARMA;2014;050000330;050007145;0;;;;0;1;5;189;12;25;95;1;1;1;1;1;0;0;0;0;0;181000;1;326;326;326;0;;0;0;0;1;0;0;;;0;0;0;0;;;;;1;1;;2;;;;2;;;1.2;;;;2.36;1;;0;0
PHARMA;2014;050000348;050002948;0;;;;1;1;402;0;110;50;32;1;1;1;1;1;1;1;0;1;1;5162953;1;75;400;181;1;1;0;1;1;1;1;1;5;0;1;0;0;2;6;6;0;2;12;8;4;5;4;0;0;7;4;4;7.44;4.97;0;2;12.47;11.14;6.37;0;0
PHARMA;2014;050000488;050000678;0;;;;;;;;77;;;1;1;1;1;1;0;0;0;0;0;89210;1;100;77;77;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;1;;;0.5;;;;0.48;;;0;0
PHARMA;2014;050000637;050001163;0;;;;;;;;66;;;0;0;1;0;0;0;0;0;0;0;58236;1;66;66;66;0;0;0;0;0;0;0;0;;;0;0;0;1;;;;;;;;1;;;;2;;;0.5;;;;0.55;;;0;0
PHARMA;2014;050000991;050000546;0;;;;1;1;;40;185;;;1;1;1;1;1;0;0;0;0;0;186854;1;225;225;225;0;0;0;0;0;1;0;0;;;0;0;0;1;;;;;1;;;1;;;;3;;;0.63;;;;2.5;;;0;0
PHARMA;2014;050001064;050000561;0;;;;1;0;;;90;;;0;0;0;0;0;0;0;0;0;0;60936;1;90;90;90;1;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;1;;;0.97;;;;0.7;;;0;0
PHARMA;2014;060000296;060780640;0;;;;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;70333;1;84;84;84;0;;0;0;0;1;0;0;;;0;0;0;1;;;;;;;;1;;;;2;;;0.5;;;;1.05;;;0;1
PHARMA;2014;060000304;060780657;0;;;;;;5;;10;;115;0;0;0;0;0;0;0;0;0;0;;1;130;130;130;0;0;0;0;0;1;0;0;;;0;0;0;2;;;;;1;;;1;;;;;;;0.6;;;;1;;;0;0
PHARMA;2014;060000411;060780780;1;3;1;;1;;6;;;;164;1;0;0;0;1;1;0;0;0;1;33429;1;170;170;170;0;0;0;0;0;1;0;0;;;0;0;0;1;;;;;;;;1;;;;;;0;0.08;;;;;;;0;0
PHARMA;2014;060000445;060780814;0;;;;;;;;73;;;0;0;1;0;0;0;0;0;0;0;50660;1;73;73;73;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;1;;;1;;;;;;1;0.5;;;;1;;0.4;0;0
PHARMA;2014;060000478;060780897;1;3;0;5;;;270;33;30;30;120;1;1;1;1;1;0;0;0;0;0;10136093;1;483;483;165;1;1;0;0;1;1;1;0;15;;0;0;1;0;5;;;1;8;2;3;;;1;;1;;;4.47;;0.5;1;8.9;2;3;1;1
PHARMA;2014;060000486;060780905;0;;;;;;12;;13;;;0;0;0;0;0;0;0;0;0;0;72807;1;25;25;25;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;1;1;;1;;;;1;;;0.5;;;;1.5;1;;0;0
PHARMA;2014;060000494;060780921;0;;;;;;5;;;;73;0;0;0;0;0;0;0;0;0;0;53830;1;78;78;78;0;0;0;0;0;1;0;0;;;0;0;0;2;;;;;1;;;2;;;;;;;1;;;;1;;;0;0
PHARMA;2014;060000510;060780954;0;;;;1;0;321;80;25;20;168;0;0;0;0;0;0;0;0;0;0;3675100;1;266;614;362;1;1;0;0;1;1;1;0;;;1;1;0;2;6;1;1;0;6;13;3;;;;1;6;1;3;6.58;0.3;0.6;0.9;11.23;15.05;5.4;0;1
PHARMA;2014;060000528;060780962;0;;;;1;0;122;;;;;0;0;0;0;0;0;0;0;0;0;16172744;1;100;122;122;1;1;0;0;1;1;1;0;;;0;0;0;1;3;;;1;13;3;1;3;;;;1;1;;3.61;;;1.05;10.99;3.5;1;0;1
PHARMA;2014;060000536;060006889;0;;;;;;8;;19;;;1;1;1;1;1;0;0;0;0;0;37434;1;27;27;27;1;0;0;0;0;1;0;0;;;0;0;0;1;;;;;2;;;1;;;;;;;0.26;;;;2;;;0;0
PHARMA;2014;060000544;060780988;1;1;0;;1;0;357;66;20;54;240;0;0;0;0;0;0;0;0;0;0;14900000;1;400;737;737;1;1;0;0;1;1;1;1;20;;0;0;0;;6;1;1;1;9;14;4;1;;;1;2;;;5.89;0.2;0.2;1.2;10.7;9.5;3.72;0;1
PHARMA;2014;060000551;060781010;0;;;;0;0;;;;41;199;0;0;0;0;0;0;0;0;0;0;23450;1;41;41;41;1;0;0;0;0;1;0;0;;;0;0;0;2;;;;;;;;1;;;;1;1;1;0.1;;;;0.18;0.18;0.18;0;0
PHARMA;2014;060001450;060785011;0;;;;0;0;206;12;0;0;0;0;0;0;0;0;0;0;0;0;0;2098181;0;;172;218;1;0;0;0;0;1;1;0;;;0;0;0;;1;;;0;6;11;0;1;;;0;0;3;1;1.8;;;0;4.42;7.24;0.8;1;0
PHARMA;2014;060002102;060791761;0;;;;;;95;;27;30;90;0;0;0;0;0;0;0;0;0;0;314628;1;174;242;242;1;0;0;0;1;1;1;0;;;1;0;0;1;;;;;4;2;;1;;;;;;;0.6;0.2;;;4;2;;0;0
PHARMA;2014;060005469;750043994;0;;;;0;0;;;90;;;0;0;0;0;0;0;0;0;0;0;60754;1;90;90;90;1;0;0;0;0;1;0;0;;;0;0;0;1;1;;;;1;;;;;;;;;;1;;;;1;;;0;0
PHARMA;2014;060006558;060798865;1;3;1;;1;;;;;;;0;0;0;0;0;0;0;0;0;0;33742;0;;30;30;1;0;0;0;0;1;0;1;30;1;0;0;0;0;;;;;;;;1;;;;1;;;0.06;;;;0.14;;;0;0
PHARMA;2014;060010949;060790540;1;3;1;;;;12;;;;;0;0;0;0;0;0;0;0;0;0;89811;1;12;12;12;1;0;0;0;0;0;0;0;;;0;0;0;;;;;;;;;1;;;;;;;0.5;;;;;;;0;0
PHARMA;2014;060019676;060790540;0;;;;;;5;;;;;0;0;0;0;0;0;0;0;0;0;;1;5;5;5;1;0;0;0;0;1;0;0;;;0;0;0;;1;;;;;;;;;;;;;;0.13;;;;;;;0;0
PHARMA;2014;060019684;060790540;0;;;;1;0;5;;;;;0;0;0;0;0;0;0;0;0;0;;1;5;5;5;1;0;0;0;0;1;0;0;;;0;0;0;;1;;;;;;;;;;;;;;0.04;;;;;;;0;0
PHARMA;2014;060021201;060000155;0;;;;;;;;50;;;1;1;1;1;1;0;0;0;0;0;58133;1;50;50;50;1;0;0;0;0;0;0;0;;;0;0;0;;;;;;;;;1;;;;;1;;0.5;;;;;0.2;;0;0
PHARMA;2014;060021276;060790540;0;;;;1;;31;;;;;0;0;0;0;0;0;0;0;0;0;;1;31;31;31;1;0;0;0;0;1;0;0;;;0;0;0;;1;;;;;;;;;;;;;;0.37;;;;;;;0;0
PHARMA;2014;060021417;060000221;0;;;;1;1;77;0;93;0;0;0;0;0;0;0;1;1;1;1;1;493171;1;170;170;170;1;0;0;0;0;1;0;0;;;0;1;1;0;1;;;;2;1;;1;;;;1;;;1.52;;;;2.57;1;;0;0
PHARMA;2014;060780277;750043994;0;;;;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;278522;1;126;126;126;1;0;0;0;0;1;0;0;;;0;0;0;1;1;;;;;;;;;;;1;;;1.1;;;;0.88;;;0;0
PHARMA;2014;060780343;060000171;1;3;1;;0;0;;;47;;;1;1;1;1;1;0;0;0;0;0;33280;1;100;47;47;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;1;;;0.5;;;;0.5;;;0;1
PHARMA;2014;060780392;060000205;0;;;;0;0;;;108;;;1;1;1;1;1;0;0;0;0;0;85169;1;100;108;108;0;0;0;0;0;0;0;0;;;0;0;0;0;;;;;1;;;1;;;;;;;0.5;;;;0.5;;;0;0
PHARMA;2014;060780442;060000213;0;;;;;;30;50;;;;1;1;1;1;1;0;0;0;0;0;133000;1;80;80;50;1;0;0;0;1;1;0;0;;;1;1;0;2;1;1;;;2;;;;;;;;;;1;1;;;2;;;0;0
PHARMA;2014;060780459;010783009;0;;;;0;0;;;102;;;1;1;1;1;1;1;1;1;1;1;68936;1;102;102;102;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;1;;;2;;;;;;;0.6;;;;1;;;0;0
PHARMA;2014;060780491;060790797;0;;;;0;0;126;;;;;1;1;1;1;1;0;0;0;0;0;645864;1;74;118;0;1;0;0;0;1;1;0;1;30;1;1;1;0;1;;;;;;;;3;;;1;8;10;2;0.91;;;0.81;4.67;8.1;1.27;0;1
PHARMA;2014;060780517;060000239;1;1;0;;1;0;171;;47;;;1;1;1;1;1;0;0;0;0;0;4080000;1;100;218;218;1;1;0;1;1;1;1;0;;;1;1;1;2;2;;;;;;;;;;;;;;2;;;;;;;0;1
PHARMA;2014;060780525;060000247;0;;;;0;0;;64;;;;1;1;1;1;1;0;0;0;0;0;47736;1;100;64;64;1;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;1;;;0.57;;;;0.63;;;0;0
PHARMA;2014;060780558;750720575;0;;;;;;;;103;;;0;0;0;0;0;0;0;0;0;0;66600;1;103;;;0;;;;0;1;0;0;;;0;0;0;;;;;;;;;1;;;;1;;;0.58;;;;0.82;;;0;0
