BOR;AN;FI;FI_EJ;PERSO;EFFSALPLH;EFFSALPLF;EFFSALPAH;EFFSALPAF;EFFLIBPLH;EFFLIBPLF;EFFLIBPAH;EFFLIBPAF;ETPSALH;ETPSALF;ETP_PU;ETP_PH;ETP_AS;ETP_HU;ETP_AT;ETP_AU;ETP_BUD;ETP_MAD;EFFSAL;ETPSAL;EFFLIB
Q20;2014;260000138;260000047;M2010;3;1;;;;;;;3;1;;3;;;1;;;;4;4;
Q20;2014;260000138;260000047;M2020;1;;;;;;;;1;;;1;;;;;;;1;1;
Q20;2014;260000138;260000047;M2030;3;;;;;;;;2.98;;;1.98;;;;1;;;3;2.98;
Q20;2014;260000138;260000047;M2050;5;1;3;3;;;;;6.94;2.59;;6.46;;;1.08;1.99;;;12;9.53;
Q20;2014;260000138;260000047;M2070;;3;;;;;;;;2.2;;1;1.2;;;;;;3;2.2;
Q20;2014;260000138;260000047;M2080;3;;1;;;;;;2.7;;;2;0.5;;0.2;;;;4;2.7;
Q20;2014;260000138;260000047;M2100;2;;1;;;;;;1.99;;;0.99;;;1;;;;3;1.99;
Q20;2014;260000138;260000047;M3012;1;2;;;;;;;1;2;;3;;;;;;;3;3;
Q20;2014;260000138;260000047;M3040;;1;;;;;;;;1;;1;;;;;;;1;1;
Q20;2014;260000138;260000047;M3050;;3;;2;;;;;;5.45;;4.45;1;;;;;;5;5.45;
Q20;2014;260000138;260000047;M3070;;;;2;;;;;;0.93;;0.53;;;0.4;;;;2;0.93;
Q20;2014;260000138;260000047;M9999;55;39;19;19;;;;;64.76;47.26;;85.19;7.39;;9.68;9.76;;;132;112.02;
Q20;2014;260000146;260000054;M1010;3;2;2;4;;;;;4.16;5.75;;7.95;;;1.54;0.42;;;11;9.91;
Q20;2014;260000146;260000054;M1030;;;3;;;;;;1;;;1;;;;;;;3;1;
Q20;2014;260000146;260000054;M1040;1;;1;;;;;;2;;;2;;;;;;;2;2;
Q20;2014;260000146;260000054;M1050;;;1;;;;;;0.2;;;;;;0.2;;;;1;0.2;
Q20;2014;260000146;260000054;M1090;;;1;;;;;;0.83;;;0.83;;;;;;;1;0.83;
Q20;2014;260000146;260000054;M1150;;;1;;;;;;0.83;;;0.83;;;;;;;1;0.83;
Q20;2014;260000146;260000054;M1160;;;2;;;;;;1.33;;;1.33;;;;;;;2;1.33;
Q20;2014;260000146;260000054;M2030;1;;1;;;;;;1;;;1;;;;;;;2;1;
Q20;2014;260000146;260000054;M2080;;;1;;;;;;0.83;;;0.83;;;;;;;1;0.83;
Q20;2014;260000146;260000054;M3050;;2;1;3;;;;;0.4;4.02;;4.42;;;;;;;6;4.42;
Q20;2014;260000146;260000054;M9999;5;4;14;7;;;;;12.58;9.77;;20.19;;;1.74;0.42;;;30;22.35;
Q20;2014;260000153;690795331;M1010;;;1;;;;;;0.75;0.75;;;;;;;;;1;1.5;
Q20;2014;260000153;690795331;M1320;1;;1;;;;;;0.8;0.19;;;;;;;;;2;0.99;
Q20;2014;260000153;690795331;M3050;;;;1;;;;;0.12;0.77;;;;;;;;;1;0.89;
Q20;2014;260000153;690795331;M9999;1;;2;1;;;;;1.67;1.71;;;;;;;;;4;3.38;
Q20;2014;260000195;260006770;M1010;;;1;;;;0;;0.6;;;;;;;;;;1;0.6;0
Q20;2014;260000195;260006770;M1040;;;;;;;1;;;;;;;;;;;;;;1
Q20;2014;260000195;260006770;M1150;;;2;3;;;;;1.51;2.29;;;;;;;;;5;3.8;
Q20;2014;260000195;260006770;M1320;;;;1;;;;;;0.75;;;;;;;;;1;0.75;
Q20;2014;260000195;260006770;M3050;;;;1;;;;;;0.8;;;;;;;;;1;0.8;
Q20;2014;260000195;260006770;M9999;;;3;5;;;1;;2.11;3.84;;;;;;;5.75;0;8;5.95;1
Q20;2014;260000203;260016910;M1010;2;4;1;2;;;;;1.81;4.2;;3;;;2.65;0.36;;;9;6.01;
Q20;2014;260000203;260016910;M1030;;;;;;;;;0.2;0.2;;0.4;;;;;;;;0.4;
Q20;2014;260000203;260016910;M1040;;;;;;;;;0.13;;;0.13;;;;;;;;0.13;
Q20;2014;260000203;260016910;M1070;;;;;;;;;;0.2;;0.2;;;;;;;;0.2;
Q20;2014;260000203;260016910;M1110;;;;;;;;;0.2;;;0.2;;;;;;;;0.2;
Q20;2014;260000203;260016910;M1120;;;;;;;;;0.2;;;0.2;;;;;;;;0.2;
Q20;2014;260000203;260016910;M1180;;4;;;;;;;;3.54;;1.84;;;;1.7;;;4;3.54;
Q20;2014;260000203;260016910;M1190;;;1;;;;;;0.3;;;;;;0.3;;;;1;0.3;
Q20;2014;260000203;260016910;M1200;;;;;;;;;2.49;1.96;;2.96;0.33;;0.83;0.33;;;;4.45;
Q20;2014;260000203;260016910;M2030;;;;;;;;;0.2;;;0.2;;;;;;;;0.2;
Q20;2014;260000203;260016910;M2050;;;;;;;;;;0.6;;0.2;0.2;;;0.2;;;;0.6;
Q20;2014;260000203;260016910;M2070;;;1;;;;;;0.63;;;0.63;;;;;;;1;0.63;
Q20;2014;260000203;260016910;M2080;;;;;;;;;0.3;;;0.3;;;;;;;;0.3;
Q20;2014;260000203;260016910;M2120;;;;;;;;;0.18;;;0.18;;;;;;;;0.18;
Q20;2014;260000203;260016910;M3020;5;4;;;;;;;3.63;2.84;;4.84;;;0.8;0.83;;;9;6.47;
Q20;2014;260000203;260016910;M3050;;;;;;;;;0.2;;;0.2;;;;;;;;0.2;
Q20;2014;260000203;260016910;M3060;;;1;;;;;;0.6;;;;;;0.6;;;;1;0.6;
Q20;2014;260000203;260016910;M9999;7;12;4;2;;;;;11.07;13.54;;15.48;0.53;;5.18;3.42;26.44;0.3;25;24.61;
Q20;2014;260000229;260000070;M1010;;;;;;;3;3;;;;;;;;;;;;;6
Q20;2014;260000229;260000070;M3050;;;;1;;;;;;0.15;;;;;;0.15;;;1;0.15;
Q20;2014;260000229;260000070;M9999;;;;1;;;3;3;;0.15;;;;;;0.15;0.1;0;1;0.15;6
Q20;2014;260000237;260000088;M1010;;;1;1;;;6;7;0.5;0.6;;;;;1.1;;;;2;1.1;13
Q20;2014;260000237;260000088;M3050;;;0;1;;;;;;0.4;;;;;;0.4;;;1;0.4;
Q20;2014;260000237;260000088;M9999;;;1;2;;;6;7;0.5;1;;;;;1.1;0.4;;;3;1.5;13
Q20;2014;260000260;260000377;M1010;;;;;1;;;;;;;;;;;;;;;;1
Q20;2014;260000260;260000377;M1020;;;;;;;4;;;;;;;;;;;;;;4
Q20;2014;260000260;260000377;M1030;;;;;3;1;;;;;;;;;;;;;;;4
Q20;2014;260000260;260000377;M1040;;;;;;;1;;;;;;;;;;;;;;1
Q20;2014;260000260;260000377;M1090;;;;;;;3;1;;;;;;;;;;;;;4
Q20;2014;260000260;260000377;M1160;;;;;;;3;2;;;;;;;;;;;;;5
Q20;2014;260000260;260000377;M2030;;;;;3;;;;;;;;;;;;;;;;3
Q20;2014;260000260;260000377;M2040;;;;;;;;1;;;;;;;;;;;;;1
Q20;2014;260000260;260000377;M2070;;;;;;;4;;;;;;;;;;;;;;4
Q20;2014;260000260;260000377;M2080;;;;;;;3;;;;;;;;;;;;;;3
Q20;2014;260000260;260000377;M2100;;;;;2;;;;;;;;;;;;;;;;2
Q20;2014;260000260;260000377;M2120;;;;;3;;;;;;;;;;;;;;;;3
Q20;2014;260000260;260000377;M2130;;;;;;;3;;;;;;;;;;;;;;3
Q20;2014;260000260;260000377;M3070;;;;;;;6;;;;;;;;;;;;;;6
Q20;2014;260000260;260000377;M9999;;;;;12;1;27;4;;;;;;;;;;;;;44
Q20;2014;260000278;260000096;M1010;;;1;;;;5;3;0.12;;;;;;;0.12;;;1;0.12;8
Q20;2014;260000278;260000096;M3050;;;1;;;;;;0.18;;;;;;;0.18;;;1;0.18;
Q20;2014;260000278;260000096;M3070;;1;;;;;;;;0.15;;;;;;0.15;;;1;0.15;
Q20;2014;260000278;260000096;M9999;;1;2;;;;5;3;0.3;0.15;;;;;;0.45;;;3;0.45;8
Q20;2014;260000286;260000104;M1010;2;;;;;;;;2;;;2;;;;;;;2;2;
Q20;2014;260000286;260000104;M1030;3;;;;;;;;3;;;;;;;3;;;3;3;
Q20;2014;260000286;260000104;M1040;;;1;;;;;;0.2;;;;;;0.2;;;;1;0.2;
Q20;2014;260000286;260000104;M1050;;;;1;;;;;;0.13;;;;;0.13;;;;1;0.13;
Q20;2014;260000286;260000104;M1140;;;2;;;;;;0.9;;;0.6;;;;0.3;;;2;0.9;
Q20;2014;260000286;260000104;M1160;;;1;;;;;;0.3;;;;;;;0.3;;;1;0.3;
Q20;2014;260000286;260000104;M1320;;;;1;;;;;;0.27;;0.27;;;;;;;1;0.27;
Q20;2014;260000286;260000104;M2010;1;;2;;;;;;2.2;;;1;;;;1.2;;;3;2.2;
Q20;2014;260000286;260000104;M2050;1;;4;1;;;;;1.7;0.3;;1;;;;1;;;6;2;
Q20;2014;260000286;260000104;M2070;;;;1;;;;;;0.25;;0.25;;;;;;;1;0.25;
Q20;2014;260000286;260000104;M3050;1;;;2;;;;;1;0.32;;0.22;;;0.5;0.6;;;3;1.32;
Q20;2014;260000286;260000104;M3070;3;2;;;;;;;3.35;1.33;;4.33;;;;0.35;;;5;4.68;
Q20;2014;260000286;260000104;M9999;11;2;10;6;;;;;14.65;2.6;;9.67;;;0.83;6.75;;;29;17.25;
Q20;2014;260000302;260000161;M1010;;;1;1;;;;;0.46;0.8;;;;;;;;;2;1.26;
Q20;2014;260000302;260000161;M1120;2;1;1;;;;;;2.5;1;;;;;;;;;4;3.5;
Q20;2014;260000302;260000161;M2050;;;;1;;;;;;0.02;;;;;;;;;1;0.02;
Q20;2014;260000302;260000161;M2070;;;1;;;;;;0.05;;;;;;;;;;1;0.05;
Q20;2014;260000302;260000161;M2080;;;;;;;1;;;;;;;;;;;;;;1
Q20;2014;260000302;260000161;M3020;2;2;;1;;;;;1.8;2.9;;;;;;;;;5;4.7;
Q20;2014;260000302;260000161;M3030;;;;1;;;;;;0.16;;;;;;;;;1;0.16;
Q20;2014;260000302;260000161;M3040;;;;1;;;;;;0.2;;;;;;;;;1;0.2;
Q20;2014;260000302;260000161;M3050;;;1;1;;;;;0.15;0.73;;;;;;;;;2;0.88;
Q20;2014;260000302;260000161;M9999;4;3;4;6;;;1;;4.96;5.81;;;;;;;;;17;10.77;1
Q20;2014;260000682;930019484;M1010;;1;;;;;;;;1;;;;;;;;;1;1;
Q20;2014;260000682;930019484;M1180;3;;;1;;;;;2.3;1.45;;;;;;;;;4;3.75;
Q20;2014;260000682;930019484;M3050;;;;2;;;;;;0.7;;;;;;;;;2;0.7;
Q20;2014;260000682;930019484;M9999;3;1;;3;;;;;2.3;3.15;;;;;;;5.45;0.4;7;5.45;
Q20;2014;260000823;260003264;M1010;1;;2;;;;;;1.83;;;1.2;;;;0.63;;;3;1.83;
Q20;2014;260000823;260003264;M1040;;;1;;;;;;0.11;;;;;;0.11;;;;1;0.11;
Q20;2014;260000823;260003264;M1150;;;1;;;;;;0.1;;;;;;0.1;;;;1;0.1;
Q20;2014;260000823;260003264;M2020;;;;1;;;;;;0.3;;;;;0.3;;;;1;0.3;
Q20;2014;260000823;260003264;M3020;22;6;5;5;;;;;24;8.76;;17.61;;;6.04;9.11;;;38;32.76;
Q20;2014;260000823;260003264;M3050;1;1;;;;;;;1;1;;2;;;;;;;2;2;
Q20;2014;260000823;260003264;M9999;24;7;9;6;;;;;27.04;10.06;;20.81;;;6.55;9.74;;;46;37.1;
Q20;2014;260001631;380793802;M1110;3;1;;;;;;;2.33;0.89;;;;;;;;;4;3.22;
Q20;2014;260001631;380793802;M9999;3;1;;;;;;;2.33;0.89;;;;;;;;;4;3.22;
Q20;2014;260003017;260000781;M1020;;;;;;;7;2;;;;;;;;;;;;;9
Q20;2014;260003017;260000781;M1030;;;;;7;1;;;;;;;;;;;;;;;8
Q20;2014;260003017;260000781;M1040;;;;;3;1;;;;;;;;;;;;;;;4
Q20;2014;260003017;260000781;M1090;;;;;2;1;1;;;;;;;;;;;;;;4
Q20;2014;260003017;260000781;M1100;;;;;2;1;;;;;;;;;;;;;;;3
Q20;2014;260003017;260000781;M1120;;;;;1;;;;;;;;;;;;;;;;1
Q20;2014;260003017;260000781;M1150;;;;;3;;;;;;;;;;;;;;;;3
Q20;2014;260003017;260000781;M1160;;;;;7;;;;;;;;;;;;;;;;7
Q20;2014;260003017;260000781;M1200;;;;;2;1;;;;;;;;;;;;;;;3
Q20;2014;260003017;260000781;M2020;;;;;2;;;;;;;;;;;;;;;;2
Q20;2014;260003017;260000781;M2030;;;;;7;;;;;;;;;;;;;;;;7
Q20;2014;260003017;260000781;M2070;;;;;4;;;;;;;;;;;;;;;;4
Q20;2014;260003017;260000781;M2080;;;;;3;;;;;;;;;;;;;;;;3
Q20;2014;260003017;260000781;M2100;;;;;2;;;;;;;;;;;;;;;;2
Q20;2014;260003017;260000781;M2120;;;;;1;;;;;;;;;;;;;;;;1
Q20;2014;260003017;260000781;M2130;;;;;1;;;;;;;;;;;;;;;;1
Q20;2014;260003017;260000781;M3040;;;1;;;;;;0.2;;;;;;;;;;1;0.2;
Q20;2014;260003017;260000781;M3050;1;;;;;;;;0.01;1.18;;;;;;;;;1;1.19;
Q20;2014;260003017;260000781;M9999;1;;1;;47;5;8;2;0.21;1.18;;;;;;;;;2;1.39;62
Q20;2014;260003157;070001649;M1170;;;;;4;;;;;;;;;;;;;;;;4
Q20;2014;260003157;070001649;M9999;;;;;4;;;;;;;;;;;;;;;;4
Q20;2014;260003215;380793802;M1110;2;;;;;;;;1.89;;;;;;;;;;2;1.89;
Q20;2014;260003215;380793802;M9999;2;;;;;;;;1.89;;;;;;;;;;2;1.89;
Q20;2014;260003280;260016910;M3020;2;1;;;;;;;2.2;2.8;;3.8;;;0.2;1;;;3;5;
Q20;2014;260003280;260016910;M9999;2;1;;;;;;;2.2;2.8;;3.8;;;0.2;1;5.1;0.2;3;5;
Q20;2014;260006267;070000245;M1020;;;;;;;4;;;;;;;;;;;;;;4
Q20;2014;260006267;070000245;M1030;;;;;11;;;3;;;;;;;;;;;;;14
Q20;2014;260006267;070000245;M1040;;;1;;2;1;;;0.5;;;;;;;;;;1;0.5;3
Q20;2014;260006267;070000245;M1090;;;;;5;;2;1;;;;;;;;;;;;;8
Q20;2014;260006267;070000245;M1120;;;;;1;;;;;;;;;;;;;;;;1
Q20;2014;260006267;070000245;M1130;;;;;;;8;;;;;;;;;;;;;;8
Q20;2014;260006267;070000245;M1150;;;;;1;;2;2;;;;;;;;;;;;;5
Q20;2014;260006267;070000245;M1160;;;;;3;1;;;;;;;;;;;;;;;4
Q20;2014;260006267;070000245;M1180;;;2;;;;;;1.06;;;;;;;;;;2;1.06;
Q20;2014;260006267;070000245;M1200;;;1;1;;;;;0.5;0.9;;;;;;;;;2;1.4;
Q20;2014;260006267;070000245;M1320;;;;;;1;;;;;;;;;;;;;;;1
Q20;2014;260006267;070000245;M2020;;;;;2;;1;;;;;;;;;;;;;;3
Q20;2014;260006267;070000245;M2040;;;;;2;1;;;;;;;;;;;;;;;3
Q20;2014;260006267;070000245;M2080;;;;;4;1;2;;;;;;;;;;;;;;7
Q20;2014;260006267;070000245;M3011;;;;;;;3;4;;;;;;;;;;;;;7
Q20;2014;260006267;070000245;M3050;;;1;1;;;;;0.7;0.72;;;;;;;;;2;1.42;
Q20;2014;260006267;070000245;M9999;;;5;2;31;5;22;10;2.76;1.62;;;;;;;;;7;4.38;68
Q20;2014;260006655;260000047;M3020;3;;;;;;;;3;;;3;;;;;;;3;3;
Q20;2014;260006655;260000047;M9999;3;;;;;;;;3;;;3;;;;;;;3;3;
Q20;2014;260010418;690796552;M1110;0;0;0;3;;;;;;0.22;;;;;;;;;3;0.22;
Q20;2014;260010418;690796552;M9999;0;0;0;3;;;;;;0.22;;;;;;;;;3;0.22;
Q20;2014;260012760;690796552;M1110;0;0;1;0;;;;;0.09;0;;;;;;;;;1;0.09;
Q20;2014;260012760;690796552;M9999;0;0;1;0;;;;;0.09;0;;;;;;;;;1;0.09;
Q20;2014;260015276;260006770;M1010;0;;3;2;;;;;0.64;0.56;;;;;;;;;5;1.2;
Q20;2014;260015276;260006770;M9999;0;;3;2;;;;;0.64;0.56;;;;;;;;;5;1.2;
Q20;2014;260017454;260016761;M1010;;;1;;;;;;0.05;0.05;;;;;;;;;1;0.1;
Q20;2014;260017454;260016761;M1040;;1;1;2;;;;;1.01;3.1;;;;;;;;;4;4.11;
Q20;2014;260017454;260016761;M1140;;1;;;;;;;;1;;;;;;;;;1;1;
Q20;2014;260017454;260016761;M1150;2;;;;;;;;2.1;0.01;;;;;;;;;2;2.11;
Q20;2014;260017454;260016761;M3050;;;;2;;;;;;1.1;;;;;;;;;2;1.1;
Q20;2014;260017454;260016761;M9999;2;2;2;4;;;;;3.16;5.26;;;;;;;8.2;0.04;10;8.42;
Q20;2014;270000045;270000060;M1010;6;2;;;;;;;7.39;2;;5.4;;;1.83;2.16;;;8;9.39;
Q20;2014;270000045;270000060;M1030;1;1;;;;;;;2.66;0.92;;2.17;;;0.34;1.07;;;2;3.58;
Q20;2014;270000045;270000060;M1040;1;;1;;;;;;1.84;;;;;;1;0.84;;;2;1.84;
Q20;2014;270000045;270000060;M1090;;;2;;;;1;;1.2;;;;;;1.2;;;;2;1.2;1
Q20;2014;270000045;270000060;M1110;;;;1;;;;;;0.05;;;;;;0.05;;;1;0.05;
Q20;2014;270000045;270000060;M1120;;;1;1;;;;;0.45;0.1;;0.25;;;;0.3;;;2;0.55;
Q20;2014;270000045;270000060;M1140;;;1;;;;;;0.81;;;0.6;;;0.15;0.06;;;1;0.81;
Q20;2014;270000045;270000060;M1150;;;1;;;;;;0.2;;;;;;;0.2;;;1;0.2;
Q20;2014;270000045;270000060;M1160;;;3;1;;;;;1.69;0.09;;0.25;;;0.6;0.93;;;4;1.78;
Q20;2014;270000045;270000060;M1320;2;;;;;;;;1.25;;;0.25;;;1;;;;2;1.25;
Q20;2014;270000045;270000060;M2010;1;;2;;;;1;;2.45;;;1;;;0.5;0.95;;;3;2.45;1
Q20;2014;270000045;270000060;M2030;1;1;;;;;;;1;1;;2;;;;;;;2;2;
Q20;2014;270000045;270000060;M2050;1;;4;2;;;;;3.13;0.2;;1.25;;;0.92;1.16;;;7;3.33;
Q20;2014;270000045;270000060;M2070;;;4;;;;1;;3.21;;;0.6;;;2.61;;;;4;3.21;1
Q20;2014;270000045;270000060;M2080;;;1;1;;;;;0.6;0.3;;;;;0.9;;;;2;0.9;
Q20;2014;270000045;270000060;M2130;;;;;;;1;;;;;;;;;;;;;;1
Q20;2014;270000045;270000060;M3030;;;1;1;;;;;0.2;0.2;;;;;0.4;;;;2;0.4;
Q20;2014;270000045;270000060;M3040;1;;;;;;;;0.77;0.1;;0.3;;;0.07;0.5;;;1;0.87;
Q20;2014;270000045;270000060;M3050;;2;;;;;;;;1.7;;1.7;;;;;;;2;1.7;
Q20;2014;270000045;270000060;M3060;;;1;;;;;;0.3;;;;;;;0.3;;;1;0.3;
Q20;2014;270000045;270000060;M9999;14;6;22;7;;;4;;29.15;6.66;;15.77;;;11.52;8.52;34.4;0.3;49;35.81;4
Q20;2014;270000326;270000680;M1010;;;;;2;1;2;1;;;;;;;;;;;;;6
Q20;2014;270000326;270000680;M1020;;;;;2;;;;;;;;;;;;;;;;2
Q20;2014;270000326;270000680;M1030;;;;;3;;3;1;;;;;;;;;;;;;7
Q20;2014;270000326;270000680;M1040;;;;;;;2;;;;;;;;;;;;;;2
Q20;2014;270000326;270000680;M1090;;;;;4;1;1;1;;;;;;;;;;;;;7
Q20;2014;270000326;270000680;M1130;;;;;1;;1;;;;;;;;;;;;;;2
Q20;2014;270000326;270000680;M1160;;;;;4;2;;1;;;;;;;;;;;;;7
Q20;2014;270000326;270000680;M1200;;;;;;;;1;;;;;;;;;;;;;1
Q20;2014;270000326;270000680;M1320;;;;;;;;1;;;;;;;;;;;;;1
Q20;2014;270000326;270000680;M1330;;;;;;;1;;;;;;;;;;;;;;1
Q20;2014;270000326;270000680;M2020;;;;;1;;;;;;;;;;;;;;;;1
Q20;2014;270000326;270000680;M2030;;;;;2;;;;;;;;;;;;;;;;2
Q20;2014;270000326;270000680;M2040;;;;;;1;;;;;;;;;;;;;;;1
Q20;2014;270000326;270000680;M2070;;;;;3;;1;;;;;;;;;;;;;;4
Q20;2014;270000326;270000680;M2080;;;;;1;;;;;;;;;;;;;;;;1
Q20;2014;270000326;270000680;M2100;;;;;3;;;;;;;;;;;;;;;;3
Q20;2014;270000326;270000680;M2120;;;;;1;1;;;;;;;;;;;;;;;2
Q20;2014;270000326;270000680;M2130;;;;;;;1;;;;;;;;;;;;;;1
Q20;2014;270000326;270000680;M3012;;;;;;;4;;;;;;;;;;;;;;4
Q20;2014;270000326;270000680;M3030;;;;;1;;;;;;;;;;;;;;;;1
Q20;2014;270000326;270000680;M3050;;2;;;;;;;;1.2;;;;;;;;;2;1.2;
Q20;2014;270000326;270000680;M9999;;2;;;28;6;16;6;;1.2;;;;;;;;;2;1.2;56
Q20;2014;270000342;270000698;M1010;2;;;;;;;;1;1;;;;;;;;;2;2;
Q20;2014;270000342;270000698;M1180;1;;;;;;;;;1;;;;;;;;;1;1;
Q20;2014;270000342;270000698;M3050;;;1;;;;;;0.5;;;;;;;;;;1;0.5;
Q20;2014;270000342;270000698;M9999;3;;1;;;;;;1.5;2;;;;;;;3.5;;4;3.5;
Q20;2014;270000359;270023724;M1010;25;9;11;7;;;;;26.93;11.01;;23.47;1.17;;9.36;3.94;;;52;37.94;
Q20;2014;270000359;270023724;M1020;1;1;;;;;;;1;1;;1.5;;;;0.5;;;2;2;
Q20;2014;270000359;270023724;M1030;5;3;3;1;;;;;6.88;3.47;;8.18;0.17;;2;;;;12;10.35;
Q20;2014;270000359;270023724;M1031;;1;;;;;;;;1;;1;;;;;;;1;1;
Q20;2014;270000359;270023724;M1040;4;2;1;;;;;;4.54;2;;2.92;;;3.62;;;;7;6.54;
Q20;2014;270000359;270023724;M1050;;;;3;;;;;;2.5;;0.6;;;1.3;0.6;;;3;2.5;
Q20;2014;270000359;270023724;M1070;;;;;;;;;;0.2;;0.2;;;;;;;;0.2;
Q20;2014;270000359;270023724;M1090;1;1;3;1;;;;;2.34;0.77;;2.1;;;0.08;0.93;;;6;3.11;
Q20;2014;270000359;270023724;M1100;2;1;1;1;;;;;3.4;1.8;;5.2;;;;;;;5;5.2;
Q20;2014;270000359;270023724;M1110;3;3;;;;;;;2.65;2.65;;3.3;;;0.75;1.25;;;6;5.3;
Q20;2014;270000359;270023724;M1120;1;2;2;;;;;;1.67;2;;2.6;;;0.07;1;;;5;3.67;
Q20;2014;270000359;270023724;M1130;1;2;;1;;;;;1.25;2.85;;2.8;0.25;;;1.05;;;4;4.1;
Q20;2014;270000359;270023724;M1140;2;5;1;5;;;;;2.57;6.83;;4.47;2.75;;1.23;0.95;;;13;9.4;
Q20;2014;270000359;270023724;M1150;6;2;;;;;;;5.5;1.67;;4.5;1.67;;1;;;;8;7.17;
Q20;2014;270000359;270023724;M1160;3;1;4;1;;;;;3.28;1.4;;1.8;;;2.88;;;;9;4.68;
Q20;2014;270000359;270023724;M1190;1;3;;;;;;;0.17;2.44;;1.64;0.17;;0.8;;;;4;2.61;
Q20;2014;270000359;270023724;M1320;;3;;;;;;;0.02;3.03;;0.95;;;2.1;;;;3;3.05;
Q20;2014;270000359;270023724;M2010;2;;;;;;;;1.48;;;;0.08;;1.4;;;;2;1.48;
Q20;2014;270000359;270023724;M2020;1;;;;;;;;1;;;1;;;;;;;1;1;
Q20;2014;270000359;270023724;M2030;5;1;;;;;;;4.08;1;;3;0.08;;2;;;;6;5.08;
Q20;2014;270000359;270023724;M2050;6;3;;;;;;;4.9;4.77;;6.3;1.57;;0.1;1.7;;;9;9.67;
Q20;2014;270000359;270023724;M2070;1;2;;;;;;;1.4;2;;0.6;0.8;;2;;;;3;3.4;
Q20;2014;270000359;270023724;M2080;3;2;2;;;;;;3.9;1.92;;3.82;0.9;;0.3;0.8;;;7;5.82;
Q20;2014;270000359;270023724;M2100;;;1;;;;;;0.27;;;0.07;;;0.2;;;;1;0.27;
Q20;2014;270000359;270023724;M2120;3;;2;;;;;;3;;;;3;;;;;;5;3;
Q20;2014;270000359;270023724;M3011;;;;1;;;;;;0.6;;0.6;;;;;;;1;0.6;
Q20;2014;270000359;270023724;M3012;3;1;;;;;;;3;1.07;;4.07;;;;;;;4;4.07;
Q20;2014;270000359;270023724;M3020;;;1;1;;;;;0.3;0.2;;0.2;;;0.3;;;;2;0.5;
Q20;2014;270000359;270023724;M3030;;;3;;;;;;0.6;;;;;;0.6;;;;3;0.6;
Q20;2014;270000359;270023724;M3040;1;;;1;;;;;0.8;0.73;;0.73;0.67;;;0.13;;;2;1.53;
Q20;2014;270000359;270023724;M3050;2;5;;1;;;;;2;5.49;;4.99;2;;0.5;;;;8;7.49;
Q20;2014;270000359;270023724;M3070;;;;1;;;;;;0.5;;;;;0.5;;;;1;0.5;
Q20;2014;270000359;270023724;M9999;82;53;35;25;;;;;88.93;64.9;;92.61;15.28;;33.09;12.85;;;195;153.83;
Q20;2014;270000367;270000086;M1010;5;1;3;1;;;;;7.2;2.3;;5.62;;;0.86;3.02;;;10;9.5;
Q20;2014;270000367;270000086;M1030;2;;;;;;;;2;;;1;;;1;;;;2;2;
Q20;2014;270000367;270000086;M1040;;;1;;;;;;0.1;;;;;;;0.1;;;1;0.1;
Q20;2014;270000367;270000086;M1070;;;1;;;;;;0.2;;;;;;0.2;;;;1;0.2;
Q20;2014;270000367;270000086;M1090;2;;;;;;;;2;;;2;;;;;;;2;2;
Q20;2014;270000367;270000086;M1130;;;1;;;;;;0.1;;;;;;0.1;;;;1;0.1;
Q20;2014;270000367;270000086;M1140;;;1;;;;;;0.68;;;0.6;;;0.08;;;;1;0.68;
Q20;2014;270000367;270000086;M1150;1;;;;;;;;1;;;1;;;;;;;1;1;
Q20;2014;270000367;270000086;M1160;;;4;;;;;;2.2;;;;;;;2.2;;;4;2.2;
Q20;2014;270000367;270000086;M1180;;;;1;;;;;;0.1;;;;;;0.1;;;1;0.1;
Q20;2014;270000367;270000086;M1190;;;1;;;;;;0.1;;;;;;0.1;;;;1;0.1;
Q20;2014;270000367;270000086;M1320;3;;;;;;;;3.27;;;2.7;;;;0.57;;;3;3.27;
Q20;2014;270000367;270000086;M2030;1;;2;;;;;;1.7;;;;;;;1.7;;;3;1.7;
Q20;2014;270000367;270000086;M2050;2;1;;1;;;;;1.25;1.5;;2.03;;;;0.72;;;4;2.75;
Q20;2014;270000367;270000086;M2070;;;1;;;;;;0.67;;;0.67;;;;;;;1;0.67;
Q20;2014;270000367;270000086;M2080;;;;1;;;;;;0.2;;;;;;0.2;;;1;0.2;
Q20;2014;270000367;270000086;M2100;;;2;;;;;;0.3;;;;;;;0.3;;;2;0.3;
Q20;2014;270000367;270000086;M2120;2;;;;;;;;2;;;2;;;;;;;2;2;
Q20;2014;270000367;270000086;M3011;;2;;1;;;;;;1.87;;1;;;;0.87;;;3;1.87;
Q20;2014;270000367;270000086;M3040;1;;;;;;;;1;;;1;;;;;;;1;1;
Q20;2014;270000367;270000086;M3050;1;1;;;;;;;1;1;;2;;;;;;;2;2;
Q20;2014;270000367;270000086;M9999;20;5;17;5;;;;;26.77;6.97;;21.62;;;2.34;9.78;;;47;33.74;
Q20;2014;270000391;760024042;M1010;7;3;1;2;;;;;6.92;3.7;;7.6;1.37;;0.15;1.5;;;13;10.62;
Q20;2014;270000391;760024042;M9999;7;3;1;2;;;;;6.92;3.7;;7.6;1.37;;0.15;1.5;;;13;10.62;
