BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;MOD;COMSMUR
URGENCES_P;2014;120000039;120780044;M9999;6;5;6.65;;
URGENCES_P;2014;120000039;120780044;N1220;3;4;5.6;;
URGENCES_P;2014;120000039;120780044;N2120;1;1;1.9;;
URGENCES_P;2014;120000039;120780044;N2500;16;2;19.49;;
URGENCES_P;2014;120000039;120780044;N3120;;;0.36;;
URGENCES_P;2014;120000039;120780044;N9999;57;23;58.31;;
URGENCES_P;2014;120000039;120780044;NINF;13;17;20.72;;
URGENCES_P;2014;120000054;120780069;M9999;9;1;6.52;;
URGENCES_P;2014;120000054;120780069;N1220;1;0;1.5;2;1
URGENCES_P;2014;120000054;120780069;N2120;1;0;0.67;2;1
URGENCES_P;2014;120000054;120780069;N2500;3;0;3.09;;
URGENCES_P;2014;120000054;120780069;N9999;17;3;16.76;;
URGENCES_P;2014;120000054;120780069;NINF;9;3;11.5;2;1
URGENCES_P;2014;120000070;120780085;M9999;3;3;5.41;2;1
URGENCES_P;2014;120000070;120780085;N1220;;2;1;2;1
URGENCES_P;2014;120000070;120780085;N2120;;1;0.5;2;1
URGENCES_P;2014;120000070;120780085;N2500;4;;4;;
URGENCES_P;2014;120000070;120780085;N3120;;1;0.1;;
URGENCES_P;2014;120000070;120780085;N9999;16;9;19.68;;
URGENCES_P;2014;120000070;120780085;NINF;12;5;14.08;2;1
URGENCES_P;2014;120004569;120004528;M9999;4;3;4.6;2;1
URGENCES_P;2014;120004569;120004528;N1220;1;;0.7;1;1
URGENCES_P;2014;120004569;120004528;N2120;1;;0.5;2;1
URGENCES_P;2014;120004569;120004528;N2500;6;;5.8;;
URGENCES_P;2014;120004569;120004528;N3120;1;;0.58;;
URGENCES_P;2014;120004569;120004528;N9999;22;3;16;;
URGENCES_P;2014;120004569;120004528;NINF;13;2;7.6;1;1
URGENCES_P;2014;120004668;120004619;M9999;7;2;3.48;1;1
URGENCES_P;2014;120004668;120004619;N1220;1;;0.3;;0
URGENCES_P;2014;120004668;120004619;N2120;1;;0.38;1;1
URGENCES_P;2014;120004668;120004619;N2500;5;;4.72;;
URGENCES_P;2014;120004668;120004619;NINF;5;4;5.84;1;1
URGENCES_P;2014;130000409;130041916;M1140;;10;1.32;;0
URGENCES_P;2014;130000409;130041916;M9999;1;32;14.87;1;1
URGENCES_P;2014;130000409;130041916;N1220;1;15;5.97;;0
URGENCES_P;2014;130000409;130041916;N2120;2;2;2.26;;0
