"";"ID_POINT_D_ACCUEIL";"FINESS";"STR_A1"
"30";"060780517G1";"060780517";"POLYCLINIQUE SAINT JEAN"
"31";"060780715G1";"060780715";"CLINIQUE SAINT GEORGE"
"32";"060780723G1";"060780723";"CLINIQUE DU PARC IMPERIAL"
"33";"060780947P1";"060780947";"HOP PEDIATRIQUES DE NICE CHU LENVAL"
"34";"060785003G1";"060785003";"CHU DE NICE HOPITAL PASTEUR"
"35";"070000013G1";"070000013";"CH DE PRIVAS ARDECHE"
"36";"070000179G1";"070000179";"CH ARDECHE NORD"
"37";"070000609G1";"070000609";"SITE B. HUGO CH ARDECHE MERIDIONALE"
"38";"070780424G1";"070780424";"CLINIQUE PASTEUR"
"39";"080000110G1";"080000110";"CENTRE HOSPITALIER DE SEDAN"
"40";"080000219G1";"080000219";"CENTRE HOSPITALIER DE RETHEL"
"41";"080000276G1";"080000276";"CENTRE HOSPITALIER DE VOUZIERS"
"42";"080000425A1";"080000425";"CH CHARLEVILLE - HOPITAL MANCHESTER"
"43";"080000425P1";"080000425";"CH CHARLEVILLE - HOPITAL MANCHESTER"
"44";"090000175G1";"090000175";"CHIVA SITE ST JEAN DE VERGES"
"45";"090000183G1";"090000183";"CH ARIEGE COUSERANS SITE ST LIZIER"
"46";"100000090G1";"100000090";"CENTRE HOSPITALIER DE TROYES"
"47";"100000199G1";"100000199";"CENTRE HOSPITALIER DE ROMILLY/SEINE"
"48";"110000023G1";"110000023";"CH CARCASSONNE"
"49";"110000049G1";"110000049";"CH JP CASSABEL"
"50";"110000056G1";"110000056";"CH NARBONNE"
"51";"110780228G1";"110780228";"HOPITAL PRIVE DU GRAND NARBONNE"
"52";"110780483G1";"110780483";"POLYCL MONTREAL CARCASSONNE"
"53";"120000039G1";"120000039";"CH DE RODEZ HOPITAL JACQUES PUEL"
"54";"120000054G1";"120000054";"CH VILLEFRANCHE SITE CHARTREUSE"
"55";"120000070G1";"120000070";"CH PIERRE DELPECH DECAZEVILLE"
"56";"120004569G1";"120004569";"CH MILLAU"
"57";"120004668G1";"120004668";"CH EMILE BOREL ST AFFRIQUE"
"58";"130000409A1";"130000409";"CHI SITE D AIX EN PROVENCE"
"59";"130000409P1";"130000409";"CHI SITE D AIX EN PROVENCE"
"60";"130000565G1";"130000565";"CENTRE HOSPITALIER GENERAL D AUBAGNE"
"61";"130001225G1";"130001225";"HOPITAL DU PAYS SALONAIS"
"62";"130002215G1";"130002215";"CENTRE HOSPITALIER GENERAL LA CIOTAT"
"63";"130002827G1";"130002827";"CH JOSEPH IMBERT D ARLES"
"64";"130002835G1";"130002835";"CH DE MARTIGUES HOPITAL DES RAYETTES"
"65";"130043664G1";"130043664";"HOPITAL EUROPEEN"
"66";"130780521A1";"130780521";"APHM HOPITAL NORD"
"67";"130780521P1";"130780521";"APHM HOPITAL NORD"
"68";"130781479G1";"130781479";"HOPITAL PRIVE LA CASAMANCE"
"69";"130782071G1";"130782071";"CLINIQUE DE L ETANG DE L OLIVIER"
"70";"130782147G1";"130782147";"CLINIQUE GENERALE DE MARIGNANE"
"71";"130783293A1";"130783293";"APHM HOPITAL LA TIMONE"
"72";"130783293P1";"130783293";"APHM HOPITAL LA TIMONE"
"73";"130784713G1";"130784713";"HP MARSEILLE BEAUREGARD VERT COTEAU"
"74";"130785652A1";"130785652";"HOPITAL SAINT JOSEPH"
"75";"130785652P1";"130785652";"HOPITAL SAINT JOSEPH"
"76";"130786361G1";"130786361";"POLYCLIN PARC RAMBOT HOP PRIV PROVENCE"
"77";"130786742G1";"130786742";"HIA LAVERAN"
"78";"140000027A1";"140000027";"CENTRE HOSPITALIER DE LISIEUX"
"79";"140000027P1";"140000027";"CENTRE HOSPITALIER DE LISIEUX"
"80";"140000209A1";"140000209";"CHU COTE DE NACRE - CAEN"
"81";"140000209P1";"140000209";"CHU COTE DE NACRE - CAEN"
"82";"140000233A1";"140000233";"CENTRE HOSPITALIER DE FALAISE"
"83";"140000233P1";"140000233";"CENTRE HOSPITALIER DE FALAISE"
"84";"140000373G1";"140000373";"CENTRE HOSPITALIER DE VIRE"
"85";"140016759G1";"140016759";"POLYCLINIQUE DU PARC - CAEN"
"86";"140017237G1";"140017237";"HOPITAL PRIVE ST MARTIN-CAEN"
"87";"140024886G1";"140024886";"CENTRE HOSPITALIER - AUNAY-BAYEUX"
"88";"140026410G1";"140026410";"CH COTE FLEURIE - SITE DE CRICQUEBOEUF"
"89";"150000032G1";"150000032";"CH DE SAINT-FLOUR"
"90";"150000040G1";"150000040";"CH HENRI MONDOR"
"91";"150000164G1";"150000164";"CH DE MAURIAC"
"92";"160000253A1";"160000253";"CENTRE HOSPITALIER D ANGOULEME"
"93";"160000253P1";"160000253";"CENTRE HOSPITALIER D ANGOULEME"
"94";"160000303G1";"160000303";"CH HOPITAUX SUD-CHARENTE"
"95";"160000311G1";"160000311";"CENTRE HOSPITALIER CONFOLENS"
"96";"160000337G1";"160000337";"CENTRE HOSPITALIER DE RUFFEC"
"97";"160015368G1";"160015368";"HOPITAUX DU GRAND COGNAC"
"98";"170000038G1";"170000038";"CENTRE HOSPITALIER JONZAC"
"99";"170000087G1";"170000087";"HOPITAL SAINT-LOUIS - LA ROCHELLE"
"100";"170000095G1";"170000095";"CENTRE HOSPITALIER ST-JEAN D ANGELY"
"101";"170000103A1";"170000103";"CTRE HOSP. DE SAINTONGE - SAINTES"
"102";"170000103P1";"170000103";"CTRE HOSP. DE SAINTONGE - SAINTES"
"103";"170000152G1";"170000152";"CENTRE HOSPITALIER ROCHEFORT"
"104";"170022065G1";"170022065";"GCS URGENCES PAYS ROYANNAIS - ROYAN"
"105";"170022818G1";"170022818";"GCS URGENCES PAYS ROYANNAIS -STGEORGES"
"106";"170022826G1";"170022826";"GCS URGENCES PAYS ROYANNAIS - PASTEUR"
"107";"180000010G1";"180000010";"CH BOURGES - JACQUES COEUR"
"108";"180000200G1";"180000200";"CH DE VIERZON"
"109";"180000283G1";"180000283";"CH SAINT AMAND-MONTROND"
"110";"190000018G1";"190000018";"CENTRE HOSPITALIER DUBOIS BRIVE"
"111";"190000026G1";"190000026";"CENTRE HOSPITALIER COEUR DE CORREZE"
"112";"190000091G1";"190000091";"CENTRE HOSPITALIER D USSEL"
"113";"210012670A1";"210012670";"HOPITAL PRIVE DIJON BOURGOGNE"
"114";"210012670P1";"210012670";"HOPITAL PRIVE DIJON BOURGOGNE"
"115";"210987558A1";"210987558";"HOPITAL LE BOCAGE CHRU DIJON"
"116";"210987558P1";"210987558";"HOPITAL LE BOCAGE CHRU DIJON"
"117";"210987657G1";"210987657";"HOSPICES CIVILS DE BEAUNE"
"118";"210987665G1";"210987665";"CH HCO SITE DE CHATILLON SUR SEINE"
"119";"210987699G1";"210987699";"CENTRE HOSPITALIER ROBERT MORLEVAT"
"120";"220000012A1";"220000012";"CENTRE HOSPITALIER YVES LE FOLL"
"121";"220000012P1";"220000012";"CENTRE HOSPITALIER YVES LE FOLL"
"122";"220000095G1";"220000095";"CTRE HOSPITALIER DINAN"
"123";"220000343G1";"220000343";"CENTRE HOSPITALIER GUINGAMP"
"124";"220000368G1";"220000368";"CENTRE HOSPITALIER LANNION"
"125";"220000541G1";"220000541";"CENTRE HOSPITALIER PAIMPOL"
"126";"230000820G1";"230000820";"CENTRE HOSPITALIER GUERET"
"127";"230004657G1";"230004657";"CENTRE HOSPITALIER D'AUBUSSON SITE CROIX BLANCHE"
"128";"240000190G1";"240000190";"POLYCLINIQUE FRANCHEVILLE"
"129";"240000372G1";"240000372";"C.H DE BERGERAC"
"130";"240000489G1";"240000489";"CENTRE HOSPITALIER DE PERIGUEUX"
"131";"240000687G1";"240000687";"CENTRE HOSPITALIER SARLAT"
"132";"250000700G1";"250000700";"CHI HC SITE RIVES DU DOUBS PONTARLIER"
"133";"250006954A1";"250006954";"CHRU JEAN MINJOZ"
"134";"250006954P1";"250006954";"CHRU JEAN MINJOZ"
"135";"260000013G1";"260000013";"CH DE VALENCE"
"136";"260000120G1";"260000120";"HOPITAUX DROME NORD - ROMANS-SUR-ISERE"
"137";"260000138G1";"260000138";"CH PORTES PROVENCE MONTELIMAR"
"138";"260000146G1";"260000146";"CH DE CREST"
"139";"260000203G1";"260000203";"HOPITAUX DROME NORD - SAINT-VALLIER"
"140";"260000286G1";"260000286";"CH DE DIE"
"141";"270000045G1";"270000045";"CH BERNAY"
"142";"270000326G1";"270000326";"HOPITAL PRIVE PASTEUR EVREUX"
"143";"270000359A1";"270000359";"CH EVREUX CH EURE-SEINE"
"144";"270000359P1";"270000359";"CH EVREUX CH EURE-SEINE"
"145";"270000367G1";"270000367";"CH GISORS"
"146";"270000391G1";"270000391";"CH LOUVIERS CHI ELBEUF"
"147";"270000425G1";"270000425";"CH PONT-AUDEMER"
"148";"270000441G1";"270000441";"CH VERNEUIL-SUR-AVRE"
"149";"270000458G1";"270000458";"CH VERNON CH EURE-SEINE"
"150";"280000084A1";"280000084";"CH DREUX"
"151";"280000084P1";"280000084";"CH DREUX"
"152";"280000662G1";"280000662";"CH CHATEAUDUN"
"153";"280502998G1";"280502998";"CH NOGENT LE ROTROU - NOUVEL HOPITAL"
"154";"280504267A1";"280504267";"CH CHARTRES LOUIS PASTEUR-LE COUDRAY"
"155";"280504267P1";"280504267";"CH CHARTRES LOUIS PASTEUR-LE COUDRAY"
"156";"280505777G1";"280505777";"HOPITAL PRIVE D EURE ET LOIR"
"157";"290000025G1";"290000025";"CHIC QUIMPER"
"158";"290000033G1";"290000033";"C.H. DES PAYS DE MORLAIX"
"159";"290000058P1";"290000058";"CHRU BREST SITE HOPITAL MORVAN"
"160";"290000066G1";"290000066";"CHIC SITE DE CONCARNEAU"
"161";"290000173G1";"290000173";"CH FERDINAND GRALL LANDERNEAU"
"162";"290000181G1";"290000181";"CENTRE HOSPITALIER DOUARNENEZ"
"163";"290000256G1";"290000256";"CHRU BREST SITE HOPITAL DE CARHAIX"
"164";"290000728G1";"290000728";"HOPITAL INSTRUCTION DES ARMEES"
"165";"290000785G1";"290000785";"ETABLISSEMENT DE SOINS HOTEL DIEU"
"166";"290000934G1";"290000934";"GHBS - HOPITAL LA VILLENEUVE"
"167";"290004324G1";"290004324";"CHRU BREST SITE HOPITAL CAVALE BLANCHE"
"168";"290019777G1";"290019777";"POLYCLINIQUE DE KERAUDREN"
"169";"2A0000022G1";"2A0000022";"CH ND LA MISERICORDE"
"170";"2A0000154G1";"2A0000154";"CLINIQUE DU SUD DE LA CORSE"
"171";"2B0000012G1";"2B0000012";"CENTRE HOSPITALIER DE BASTIA"
"172";"2B0005359G1";"2B0005359";"CH CALVI"
"173";"300000023G1";"300000023";"CH ALES CEVENNES"
"174";"300000031G1";"300000031";"CH LOUIS PASTEUR BAGNOLS SUR CEZE"
"175";"300780137G1";"300780137";"NOUVELLE CL BONNEFON ALES"
"176";"300782117G1";"300782117";"CHU NIMES CAREMEAU"
"177";"300788502G1";"300788502";"POLYCLINIQUE GRAND SUD NIMES"
"178";"310000310G1";"310000310";"CH COMMINGES PYRENEES SITE ST PLANCARD"
"179";"310016977P1";"310016977";"HOPITAUX MERE & ENFANTS CHU TOULOUSE"
"180";"310026927G1";"310026927";"CL CAPIO LA CROIX DU SUD QUINT FONSEGR"
"181";"310780283G1";"310780283";"CL DE L UNION SAINT JEAN"
"182";"310780382G1";"310780382";"CL AMBROISE PARE TOULOUSE"
"183";"310781000G1";"310781000";"CL DES CEDRES CORNEBARRIEU"
"184";"310781067G1";"310781067";"HOPITAL JOSEPH DUCUING TOULOUSE"
"185";"310781505G1";"310781505";"CL D OCCITANIE MURET"
"186";"310783048G1";"310783048";"HOPITAL PURPAN CHU TOULOUSE"
"187";"310783055G1";"310783055";"HOPITAL DE RANGUEIL CHU TOULOUSE"
"188";"320000086G1";"320000086";"CH AUCH EN GASCOGNE"
"189";"320000102G1";"320000102";"CH CONDOM"
"190";"330000555G1";"330000555";"CENTRE HOSPITALIER D ARCACHON"
"191";"330000571G1";"330000571";"CH DE LA HAUTE GIRONDE"
"192";"330000589G1";"330000589";"CH SUD GIRONDE - SITE LANGON"
"193";"330000605G1";"330000605";"CTRE HOSPIT.R.BOULIN-LIBOURNE"
"194";"330058355G1";"330058355";"CH LIBOURNE- ANTENNE STE-FOY-LA-GRANDE"
"195";"330058702G1";"330058702";"MSP BAGATELLE SITE ROBERT PICQUÃ"
"196";"330780263G1";"330780263";"POLYCLINIQUE BORDEAUX RIVE DROITE"
"197";"330780479G1";"330780479";"POLYCLIN BORDEAUX-NORD AQUITAINE"
"198";"330780495G1";"330780495";"CLINIQUE MUTUALISTE DU MEDOC"
"199";"330780529G1";"330780529";"CLINIQUE MUTUALISTE DE PESSAC"
"200";"330780537G1";"330780537";"HOPITAL PRIVE WALLERSTEIN"
"201";"330781360A1";"330781360";"GROUPE HOSPITALIER PELLEGRIN - CHU"
"202";"330781352G1";"330781352";"HOPITAL SAINT-ANDRE - CHU"
"203";"330781360P1";"330781360";"GROUPE HOSPITALIER PELLEGRIN - CHU"
"204";"330781402G1";"330781402";"NOUVELLE CLINIQUE BORDEAUX TONDU"
"205";"340000033G1";"340000033";"CENTRE HOSPITALIER DE BEZIERS"
"206";"340000223G1";"340000223";"HOPITAL ST CLAIR HBT SETE"
"207";"340015502G1";"340015502";"CL DU MILLENAIRE MONTPELLIER"
"208";"340015965G1";"340015965";"POLYCL ST PRIVAT BOUJAN SUR LIBRON"
"209";"340022979G1";"340022979";"POLYCL ST ROCH MONTPELLIER"
"210";"340024314G1";"340024314";"CL ST JEAN SUD DE FRANCE"
"211";"340780147G1";"340780147";"POLYCL DES TROIS VALLEES BEDARIEUX"
"212";"340780154G1";"340780154";"POLYCL PASTEUR PEZENAS"
"213";"340780642G1";"340780642";"CL BEAU SOLEIL MONTPELLIER"
"214";"340780667G1";"340780667";"CL DU PARC CASTELNAU LE LEZ"
"215";"340780717G1";"340780717";"CL ST LOUIS GANGES"
"216";"340780725G1";"340780725";"CL VIA DOMITIA POLE SANTE DE LUNEL"
"217";"340785161A1";"340785161";"HOPITAL LAPEYRONIE CHU MONTPELLIER"
"218";"340785161P1";"340785161";"HOPITAL LAPEYRONIE CHU MONTPELLIER"
"219";"350000121G1";"350000121";"CHP SAINT GREGOIRE"
"220";"350000147G1";"350000147";"CENTRE HOSPITALIER SAINT-MALO"
"221";"350000154G1";"350000154";"C.H FOUGERES"
"222";"350000162G1";"350000162";"CHIRC SITE REDON"
"223";"350000188G1";"350000188";"CENTRE HOSPITALIER VITRE"
"224";"350000741G1";"350000741";"CHRU RENNES SITE PONTCHAILLOU"
"225";"350005146G1";"350005146";"HOPITAL PRIVE SEVIGNE"
"226";"350007084P1";"350007084";"CHRU RENNES SITE HOPITAL SUD"
"227";"360000038G1";"360000038";"CH LA TOUR BLANCHE - ISSOUDUN"
"228";"360000137G1";"360000137";"CH CHATEAUROUX"
"229";"360000160G1";"360000160";"CH DU BLANC"
"230";"370000093G1";"370000093";"SAS NOUVELLE CLINIQUE DE TOURS +"
"231";"370000499P1";"370000499";"CHRU CLOCHEVILLE - TOURS"
"232";"370000531G1";"370000531";"CH DU CHINONAIS"
"233";"370000879G1";"370000879";"CHIC - AMBOISE- HOPITAL ROBERT DEBRE"
"234";"370000903G1";"370000903";"CH PAUL MARTINAIS - LOCHES"
"235";"370004467G1";"370004467";"CHRU TROUSSEAU - CHAMBRAY"
"236";"370007569G1";"370007569";"POLE SANTE LEONARD DE VINCI"
"237";"380000026G1";"380000026";"CH FABRICE MARCHIOL LA MURE"
"238";"380000034G1";"380000034";"CH PIERRE OUDOT BOURGOIN JALLIEU"
"239";"380000042G1";"380000042";"CH YVES TOURAINE"
"240";"380000067A1";"380000067";"HOPITAL NORD - CHU38"
"241";"380000067P1";"380000067";"HOPITAL NORD - CHU38"
"242";"380000174G1";"380000174";"CH LUCIEN HUSSEL DE VIENNE"
"243";"380000406A1";"380000406";"HOPITAL DE VOIRON - CHU38"
"244";"380000406P1";"380000406";"HOPITAL DE VOIRON - CHU38"
"245";"380012658G1";"380012658";"GROUPE HOSPIT. MUTUALISTE DE GRENOBLE"
"246";"380020123G1";"380020123";"CLINIQUE DES COTES DU RHONE"
"247";"380785956G1";"380785956";"CLINIQUE DES CEDRES"
"248";"390000040G1";"390000040";"CH LONS"
"249";"390000065G1";"390000065";"CH LOUIS JAILLON SAINT CLAUDE"
"250";"390000222G1";"390000222";"CH LOUIS PASTEUR DOLE"
"251";"400000105G1";"400000105";"CENTRE HOSPITALIER DAX"
"252";"400000139G1";"400000139";"CHI MONT DE MARSAN ET PAYS DES SOURCES"
"253";"400015103G1";"400015103";"GCS PAYS DE L ADOUR"
"254";"410000020G1";"410000020";"CH BLOIS SIMONE VEIL"
"255";"410000038G1";"410000038";"CH VENDOME - MONTOIRE"
"256";"410000046G1";"410000046";"CH ROMORANTIN-LANTHENAY"
"257";"420000010G1";"420000010";"CH DE ROANNE"
"258";"420000226G1";"420000226";"CH DU FOREZ SITE DE MONTBRISON"
"259";"420000234G1";"420000234";"CH DE FIRMINY"
"260";"420011413G1";"420011413";"HOPITAL PRIVE DE LA LOIRE"
"261";"420780504G1";"420780504";"CLINIQUE DU PARC ST PRIEST EN JAREZ"
"262";"420780637G1";"420780637";"CH DU GIER - MCO"
"263";"420782310G1";"420782310";"CLINIQUE DU RENAISON"
"264";"420785354A1";"420785354";"HOPITAL NORD - CHU42"
"265";"420785354P1";"420785354";"HOPITAL NORD - CHU42"
"266";"430000117G1";"430000117";"CH EMILE ROUX LE PUY"
"267";"430000190G1";"430000190";"CH DE BRIOUDE"
"268";"440000016G1";"440000016";"CH DE SAINT NAZAIRE"
"269";"440000271A1";"440000271";"CHU DE NANTES SITE HOTEL DIEU HME"
"270";"440000271P1";"440000271";"CHU DE NANTES SITE HOTEL DIEU HME"
"271";"440000396G1";"440000396";"CH ERDRE ET LOIRE"
"272";"440000503G1";"440000503";"CH CNP SITE CHATEAUBRIANT"
"273";"440041580G1";"440041580";"HOPITAL PRIVE DU CONFLUENT"
"274";"450000047G1";"450000047";"CH DEZARNAULDS - GIEN"
"275";"450000062A1";"450000062";"CH AGGLOMERATION MONTARGOISE"
"276";"450000062P1";"450000062";"CH AGGLOMERATION MONTARGOISE"
"277";"450000070G1";"450000070";"CH PITHIVIERS"
"278";"450000294G1";"450000294";"ORELIANCE - REINE BLANCHE"
"279";"450002613A1";"450002613";"CHR ORLEANS - HOPITAL DE LA SOURCE"
"280";"450002613P1";"450002613";"CHR ORLEANS - HOPITAL DE LA SOURCE"
"281";"460000045G1";"460000045";"CH FIGEAC SITE MARTIN MALVY"
"282";"460000052G1";"460000052";"CH ST JACQUES ST CERE"
"283";"460000102G1";"460000102";"CH JEAN COULON GOURDON"
"284";"460000110G1";"460000110";"CH JEAN ROUGIER CAHORS"
"285";"470000027G1";"470000027";"CLINIQUE ESQUIROL-SAINT-HILAIRE"
"286";"470000423G1";"470000423";"CH AGEN NERAC - HOPITAL SAINT-ESPRIT"
"287";"470000431G1";"470000431";"CH VILLENEUVE -POLE SANTE VILLENEUVOIS"
"288";"470000480G1";"470000480";"CENTRE HOSPITALIER DE MARMANDE - CHIC"
"289";"480000017G1";"480000017";"HOPITAL LOZERE SITE VALLEE DU LOT"
"290";"490000049A1";"490000049";"CHR ANGERS SITE LARREY"
"291";"490000049P1";"490000049";"CHR ANGERS SITE LARREY"
"292";"490000635G1";"490000635";"CH DE CHOLET"
"293";"490001765A1";"490001765";"CH DE SAUMUR"
"294";"490001765P1";"490001765";"CH DE SAUMUR"
"295";"490014909G1";"490014909";"CLINIQUE DE L ANJOU"
"296";"500000021G1";"500000021";"CHAG - SITE AVRANCHES"
"297";"500000187A1";"500000187";"CHPC - SITE CHERBOURG"
"298";"500000187P1";"500000187";"CHPC - SITE CHERBOURG"
"299";"500000260G1";"500000260";"CHAG - SITE GRANVILLE"
"300";"500000427G1";"500000427";"CH DE SAINT HILAIRE DU HARCOUET"
"301";"500000450G1";"500000450";"CH MEMORIAL - SAINT-LO"
"302";"500000591G1";"500000591";"CENTRE HOSPITALIER DE COUTANCES"
"303";"510000169G1";"510000169";"CENTRE HOSPITALIER DE CHALONS"
"304";"510000235G1";"510000235";"CENTRE HOSPITALIER D EPERNAY"
"305";"510000250G1";"510000250";"CENTRE HOSPITALIER VITRY LE FRANCOIS"
"306";"510002470P1";"510002470";"AMERICAN MEMORIAL HOSPITAL CHU REIMS"
"307";"510004302G1";"510004302";"HOPITAL MAISON BLANCHE CHU REIMS"
"308";"510024979G1";"510024979";"POLYCLINIQUE REIMS - BEZANNES"
"309";"520000043G1";"520000043";"CENTRE HOSPITALIER DE LANGRES"
"310";"520000068G1";"520000068";"CH GENEVIEVE DE GAULLE ANTHONIOZ"
"311";"530000017G1";"530000017";"CH HAUT ANJOU SITE CHATEAU GONTIER"
"312";"530000173G1";"530000173";"CH DU NORD MAYENNE"
"313";"530000264A1";"530000264";"CENTRE HOSPITALIER DE LAVAL"
"314";"530000264P1";"530000264";"CENTRE HOSPITALIER DE LAVAL"
"315";"540000023G1";"540000023";"CENTRE HOSPITALIER SAINT CHARLES TOUL"
"316";"540000155G1";"540000155";"CENTRE HOSPITALIER DE LUNEVILLE"
"317";"540000296G1";"540000296";"CENTRE HOSPITALIER DE PONT A MOUSSON"
"318";"540001070G1";"540001070";"CH DE BRIEY - HOPITAL MAILLOT"
"319";"540001096G1";"540001096";"CH DE MT ST MARTIN (GROUPE SOS SANTE)"
"320";"540001138G1";"540001138";"CHRU NANCY - HOPITAL CENTRAL"
"321";"540002698P1";"540002698";"CHRU NANCY - HOPITAUX DE BRABOIS"
"322";"550000012G1";"550000012";"CH VERDUN/ST MIHIEL-HOP ST NICOLAS"
"323";"550000434G1";"550000434";"CH BLD FV SITE BLD"
"324";"560000127G1";"560000127";"CHBA SITE DE VANNES"
"325";"560000135A1";"560000135";"GHBS- HOPITAL DU SCORFF"
"326";"560000135P1";"560000135";"GHBS- HOPITAL DU SCORFF"
"327";"560000143G1";"560000143";"CHCB- SITE KERIO"
"328";"560000192G1";"560000192";"CENTRE HOSPITALIER DE PLOERMEL"
"329";"570000059A1";"570000059";"CH MARIE-MADELEINE DE FORBACH"
"330";"570000059P1";"570000059";"CH MARIE-MADELEINE DE FORBACH"
"331";"570000117G1";"570000117";"CH SAINT-NICOLAS DE SARREBOURG"
"332";"570000216G1";"570000216";"HOPITAL DE SAINT AVOLD - SOS SANTE"
"333";"570000349G1";"570000349";"HOPITAL BEL AIR DE THIONVILLE - CHR"
"334";"570000596G1";"570000596";"HIA LEGOUEST"
"335";"570000646G1";"570000646";"HOPITAL-CLINIQUE CLAUDE BERNARD"
"336";"570000901G1";"570000901";"HOPITAL ROBERT PAX DE SARREGUEMINES"
"337";"570026682G1";"570026682";"HOPITAL DE MERCY - CHR METZ THIONVILLE"
"338";"580972669G1";"580972669";"CH CLAMECY"
"339";"580972677G1";"580972677";"CH COSNE COURS SUR LOIRE"
"340";"580972685G1";"580972685";"CH DECIZE"
"341";"580972693A1";"580972693";"HOPITAL PIERRE BEREGOVOY"
"342";"580972693P1";"580972693";"HOPITAL PIERRE BEREGOVOY"
"343";"590000121G1";"590000121";"CH SECLIN"
"344";"590000337G1";"590000337";"CH DUNKERQUE"
"345";"590000428G1";"590000428";"CH CAMBRAI"
"346";"590000436G1";"590000436";"CH LE CATEAU"
"347";"590000469G1";"590000469";"CH FOURMIES"
"348";"590000535G1";"590000535";"CH DE MAUBEUGE MCO"
"349";"590000592G1";"590000592";"CH DENAIN"
"350";"590000618A1";"590000618";"CH VALENCIENNES"
"351";"590000618P1";"590000618";"CH VALENCIENNES"
"352";"590000758A1";"590000758";"CH ARMENTIERES"
"353";"590000758P1";"590000758";"CH ARMENTIERES"
"354";"590000774G1";"590000774";"CH HAZEBROUCK"
"355";"590001004G1";"590001004";"CH DOUAI DECHY"
"356";"590001749G1";"590001749";"POLYCLINIQUE DE GRANDE SYNTHE"
"357";"590008041G1";"590008041";"POLYCLINIQUE VAUBAN"
"358";"590780284G1";"590780284";"GCS GHICL HOPITAL ST PHILIBERT"
"359";"590796975A1";"590796975";"HOP SALENGRO - HOPITAL B CHR LILLE"
"360";"590796975P1";"590796975";"HOP SALENGRO - HOPITAL B CHR LILLE"
"361";"590797353A1";"590797353";"GCS GHICL HOPITAL SAINT VINCENT -"
"362";"590797353P1";"590797353";"GCS GHICL HOPITAL SAINT VINCENT -"
"363";"590801106A1";"590801106";"HOPITAL VICTOR PROVO"
"364";"590801106P1";"590801106";"HOPITAL VICTOR PROVO"
"365";"590804696G1";"590804696";"CENTRE HOPITALIER DE TOURCOING"
"366";"590816310G1";"590816310";"CLINIQUE SAINT AME"
"367";"600000186G1";"600000186";"CH CLERMONT"
"368";"600000194A1";"600000194";"CH BEAUVAIS"
"369";"600000194P1";"600000194";"CH BEAUVAIS"
"370";"600000285A1";"600000285";"CH CHICN NOYON"
"371";"600000285P1";"600000285";"CH CHICN NOYON"
"372";"600000467A1";"600000467";"CH GHPSO CREIL"
"373";"600000467P1";"600000467";"CH GHPSO CREIL"
"374";"600100754G1";"600100754";"POLYCLINIQUE SAINT COME"
"375";"600113476G1";"600113476";"CH CHICN COMPIÈGNE"
"376";"610000044G1";"610000044";"CENTRE HOSPITALIER DE L AIGLE"
"377";"610000051G1";"610000051";"CHICAM - SITE ALENCON"
"378";"610000069A1";"610000069";"CENTRE HOSPITALIER D ARGENTAN"
"379";"610000069P1";"610000069";"CENTRE HOSPITALIER D ARGENTAN"
"380";"610000077G1";"610000077";"CH MARGUERITE DE LORRAINE-MORTAGNE"
"381";"610000119A1";"610000119";"CH JACQUES MONOD - FLERS"
"382";"610000119P1";"610000119";"CH JACQUES MONOD - FLERS"
