"";"id";"finess";"nom_etab_1";"nom_etab_2";"nom_etab_long";"compl_etab";"compl_distr";"achemin";"comm";"dept";"lib_dept";"num_voie";"typ_voie";"lib_voie";"categ_etab";"lib_categ_etab";"categ_etab_agr";"lib_etab";"siret";"code_ape";"code_mft";"lib_mft";"code_sph";"lib_sph";"date_ouv";"date_autor";"date_maj";"num_educ"
"398";"630000404G1";"630000404";"HOPITAL GABRIEL MONTPIED - CHU63";"HOPITAL GABRIEL MONTPIED - CHU63";"HOPITAL GABRIEL MONTPIED - CHU CLERMONT-FERRAND";NA;NA;"63003 CLERMONT FERRAND CEDEX 1";"113";"63";"PUY DE DOME";"58";"R";"MONTALEMBERT";"101";"Centre Hospitalier Régional (C.H.R.)";"1101";"Centres Hospitaliers Régionaux";"26630746100019";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1904-04-04";"1904-04-04";"2018-01-12";NA
"399";"630000412G1";"630000412";"CH D AMBERT";"CH D'AMBERT";"CENTRE HOSPITALIER D'AMBERT";NA;NA;"63600 AMBERT";"3";"63";"PUY DE DOME";"14";"AV";"GEORGES CLEMENCEAU";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26630783400017";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1904-04-04";"1904-04-04";"2020-02-04";NA
"400";"630000420G1";"630000420";"CH PAUL ARDIER ISSOIRE";"CH PAUL ARDIER ISSOIRE";"CENTRE HOSPITALIER PAUL ARDIER ISSOIRE";NA;NA;"63503 ISSOIRE CEDEX";"178";"63";"PUY DE DOME";"13";"R";"DU DR SAUVAT";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26630784200010";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2024-04-25";NA
"401";"630000438G1";"630000438";"CH DE RIOM";"CH DE RIOM";"CENTRE HOSPITALIER DE RIOM";NA;NA;"63200 RIOM";"300";"63";"PUY DE DOME";"79";"BD";"ETIENNE CLEMENTEL";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26630786700017";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1904-04-04";"1904-04-04";"2020-02-04";NA
"402";"630000446G1";"630000446";"CH DE THIERS";"CH DE THIERS";"CENTRE HOSPITALIER DE THIERS";NA;NA;"63307 THIERS CEDEX";"430";"63";"PUY DE DOME";NA;"RTE";"DE FAU";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26630785900071";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1904-04-04";"1904-04-04";"2020-02-04";NA
"403";"630780211G1";"630780211";"POLE SANTE REPUBLIQUE";"POLE SANTE REPUBLIQUE";NA;NA;NA;"63050 CLERMONT FERRAND CEDEX 2";"113";"63";"PUY DE DOME";"105";"AV";"DE LA REPUBLIQUE";"365";"Etablissement de Soins Pluridisciplinaire";"1110";"Etablissements de Soins de Courte Durée";"86720055200026";NA;"7";"ARS établissements de santé non financés dotation globale";"0";"Non concerné";"1969-07-07";"1969-07-07";"2012-07-12";NA
"404";"630781268P1";"630781268";"HOPITAL ESTAING - CHU63";"HOPITAL ESTAING - CHU63";"HOPITAL ESTAING - CHU CLERMONT-FERRAND";NA;NA;"63003 CLERMONT FERRAND CEDEX 1";"113";"63";"PUY DE DOME";"1";"PL";"LUCIE AUBRAC";"101";"Centre Hospitalier Régional (C.H.R.)";"1101";"Centres Hospitaliers Régionaux";"26630746100308";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2018-01-12";"0631269M"
"405";"640000162A1";"640000162";"CH DE LA COTE BASQUE - BAYONNE";"CH COTE BASQUE";"CH COTE BASQUE";NA;NA;"64109 BAYONNE CEDEX";"102";"64";"PYRENEES ATLANTIQUES";"13";"AV";"DE L'INTERNE JACQUES LOEB";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26640567900017";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2023-06-07";NA
"406";"640000162P1";"640000162";"CH DE LA COTE BASQUE - BAYONNE";"CH COTE BASQUE";"CH COTE BASQUE";NA;NA;"64109 BAYONNE CEDEX";"102";"64";"PYRENEES ATLANTIQUES";"13";"AV";"DE L'INTERNE JACQUES LOEB";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26640567900017";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2023-06-07";NA
"407";"640000402G1";"640000402";"CENTRE HOSPITALIER D ORTHEZ";"CENTRE HOSPITALIER D'ORTHEZ";"CENTRE HOSPITALIER ORTHEZ";NA;NA;"64300 ORTHEZ";"430";"64";"PYRENEES ATLANTIQUES";NA;"R";"DU MOULIN";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26640548900011";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2022-11-03";NA
