an;fi;rs;catr;stjr;reg;dep;nomcom;cpo;urg;regulation;passu;dt_hosp;stap;lit_uhcd;hmed_tot;hmed_urg;hide_tot;hide_urg;hamb_tot;hmr_tot;hmramu_tot;arm_tot;osnp_tot;com_smur_su;etpsal_tot;etpsal_urg;efflib_tot;efflib_urg;intmed;docju_med;inturg;docju_urg
2024;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;PUB2;1;93;13;MARTIGUES;13698;GEN;3;50993;7369;1;8;756;588;1260;1008;168;NA;NA;NA;NA;1;20,38;14,59;NA;NA;13;3;5;NA
2024;130043664;HOPITAL EUROPEEN;PNL4;3;93;13;MARSEILLE 3E ARRONDISSEMENT;13003;GEN;NA;41370;7719;1;6;504;504;1205;1205;NA;NA;NA;NA;NA;NA;NA;NA;26;26;7;1;NA;NA
2024;130780521;APHM HOPITAL NORD;PUB1;1;93;13;MARSEILLE 15E ARRONDISSEMENT;13015;GEN;3;103135;NA;1;15;957;789;2553;2385;168;NA;NA;NA;NA;NA;23,78;23,78;NA;NA;146;27;NA;NA
2024;130781479;HOPITAL PRIVE LA CASAMANCE;PLU4;2;93;13;AUBAGNE;13675;GEN;1;14516;2972;1;4;336;336;457;457;NA;NA;NA;NA;NA;0;1,45;1,45;8;8;NA;NA;NA;NA
2024;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;PLU4;2;93;13;ISTRES;13801;GEN;3;10542;443;0;6;168;168;252;252;NA;NA;NA;NA;NA;NA;4,80;4,80;NA;NA;NA;NA;NA;NA
2024;130782147;CLINIQUE GENERALE DE MARIGNANE;PLU4;2;93;13;MARIGNANE;13721;GEN;3;28228;2912;1;6;336;336;588;588;NA;NA;NA;NA;NA;NA;5,44;5,44;0;0;NA;NA;NA;NA
2024;130783293;APHM HOPITAL LA TIMONE;PUB1;1;93;13;MARSEILLE 5E ARRONDISSEMENT;13005;GEN;3;95397;21389;1;29;1346;1010;2940;2604;336;504;504;2184;NA;NA;58,13;29,25;NA;NA;205;45;NA;NA
2024;130784713;HP MARSEILLE BEAUREGARD VERT COTEAU;PLU4;2;93;13;MARSEILLE 12E ARRONDISSEMENT;13012;GEN;1;13125;2962;1;4;168;168;336;336;NA;NA;NA;NA;NA;NA;6,00;6,00;NA;NA;2;NA;NA;NA
2024;130785652;HOPITAL SAINT JOSEPH;PNL4;3;93;13;MARSEILLE 8E ARRONDISSEMENT;13008;GEN;3;65138;9690;1;17;1044;1044;1426;1426;NA;NA;NA;NA;NA;NA;20,99;20,99;NA;NA;21;NA;NA;NA
2024;130786361;HOPITAL PRIVE DE PROVENCE;PLU4;2;93;13;AIX EN PROVENCE;13595;GEN;1;25059;4925;1;6;336;336;679;679;NA;NA;NA;NA;NA;0;1,33;1,33;8;8;NA;NA;NA;NA
2024;130786742;HOPITAL INSTRUCTION DES ARMEES LAVERAN;PUB10;1;93;13;MARSEILLE 13E ARRONDISSEMENT;13384;GEN;3;27413;4407;1;10;312;312;672;672;NA;NA;NA;NA;NA;NA;11,10;11,10;NA;NA;13;7;1;0
2024;130804297;APHM HOPITAL LA TIMONE ENFANTS;PUB1;1;93;13;MARSEILLE 5E ARRONDISSEMENT;13385;PED;3;39732;6501;NA;8;374;206;1272;1104;168;NA;NA;NA;NA;NA;0,19;0,19;NA;NA;71;11;NA;NA
2024;140000027;CENTRE HOSPITALIER DE LISIEUX;PUB2;1;28;14;LISIEUX;14107;GEN;NA;35793;6444;1;7;672;504;742;574;168;NA;NA;NA;NA;NA;1,89;0,80;NA;NA;23;NA;NA;NA
2024;140000209;CHU CAEN;PUB1;1;28;14;CAEN;14033;GEN;3;56874;13005;1;12;336;NA;504;NA;756;NA;NA;NA;NA;NA;29,37;17,92;NA;NA;180;108;5;7
2024;140000209;CHU CAEN;PUB1;1;28;14;CAEN;14033;PED;3;26183;3135;NA;3;336;NA;504;NA;756;NA;NA;NA;NA;NA;29,37;17,92;NA;NA;180;108;5;7
2024;140000233;CH FALAISE;PUB2;1;28;14;FALAISE;14700;GEN;3;15773;3735;1;2;288;168;421;246;175;NA;NA;NA;NA;NA;6,80;3,00;NA;NA;1;1;NA;NA
2024;140000373;CENTRE HOSPITALIER DE VIRE;PUB2;1;28;14;VIRE NORMANDIE;14504;GEN;3;12314;2107;1;2;336;168;406;238;168;NA;NA;NA;NA;1;4,15;4,15;NA;NA;NA;NA;NA;NA
2024;140016759;POLYCLINIQUE DU PARC;PLU4;2;28;14;CAEN;14052;GEN;3;17778;1692;1;6;204;204;672;672;NA;NA;NA;NA;NA;NA;3,00;3,00;7;7;NA;NA;NA;NA
2024;140017237;HOPITAL PRIVE ST MARTIN;PLU4;2;28;14;CAEN;14050;GEN;3;26436;2663;1;4;156;156;536;536;NA;NA;NA;NA;NA;0;3,98;3,98;3;3;1;NA;NA;NA
2024;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;PUB2;1;28;14;BAYEUX;14400;GEN;NA;21533;4323;NA;4;356;188;588;420;168;NA;NA;NA;NA;1;12,86;8,51;NA;NA;6;1;1;NA
2024;140026410;CH COTE FLEURIE - SITE DE CRICQUEBOEUF;PUB2;1;28;14;CRICQUEBOEUF;14113;GEN;3;14612;NA;0;5;588;420;734;566;168;NA;NA;NA;NA;1;9,88;7,38;NA;NA;3;2;NA;NA
2024;150000032;CH DE SAINT-FLOUR;PUB2;1;84;15;SAINT FLOUR;15102;GEN;2;11831;2266;1;0;330;162;336;168;0;NA;NA;NA;NA;1;8,45;4,15;0;0;NA;NA;0;NA
2024;150000040;CH HENRI MONDOR;PUB2;1;84;15;AURILLAC;15002;GEN;3;28111;7232;1;6;534;282;868;616;252;195;168;252;7;NA;20,05;7,62;NA;NA;17;4;4;1
2024;150000164;CH DE MAURIAC;PUB2;1;84;15;MAURIAC;15200;GEN;NA;8092;NA;NA;6;96;48;70;35;35;NA;NA;NA;NA;1;9,75;7,80;NA;NA;NA;NA;NA;NA
2024;160000253;CENTRE HOSPITALIER D'ANGOULEME;PUB2;1;75;16;ANGOULEME;16000;GEN;2;56724;10887;1;14;938;602;1932;1596;336;334;168;438;0;1;26,13;13,17;NA;NA;60;8;NA;NA
