year;finess;establishment_name;juridical_status;capacity;region_number;region_name;dep_number;dep_name;town_name;postal_code;emergency_type;regulation;total_hospitalized_emergency;waiting_monitoring;hours_physicians_total_raw;hours_physicians_emergency_raw;hours_nurses_total_raw;hours_nurses_emergency_raw;hours_paramedics_raw;hours_regulation_physicians;hours_regulation_assistants;joint_personnel_SMUR_emergency;etp_physicians_empl_total;etp_physicians_empl_emergency;number_physicians_liberal;number_medecine_interns;number_medecine_junior_doctors;number_emergency_interns;number_emergency_junior_doctors;beds_number;dummy_regulation_physicians;dummy_paramedics;dummy_regulation_assistants;dummy_number_liberal_phyisicians;dummy_joint_personnel;dummy_medecine_interns;dummy_emergency_interns;dummy_medecine_junior_doctors;dummy_emergency_junior_doctors;total_emergency_visits_raw;total_emergency_visits_win;hosp_rate_raw;hosp_rate_mod;hours_physicians_total_mod;hours_physicians_emergency_mod;hours_nurses_total_mod;hours_nurses_emergency_mod;hours_regulation_assistants_raw;hours_regulation_assistants_mod;hours_paramedics_mod;etp_total_win;etp_emergency_win
2024;940100043;GHU APHP UPS SITE KREMLIN BICETRE APHP;Public;High capacity;11;Île-de-France;94;Val-de-Marne;LE KREMLIN BICETRE;94275;PED;3;3219;NA;1056;1056;1344;1344;0;0;0;0;26,22;26,22;0;142;32;12;1;10,00000000000000;0;0;0;0;0;1;1;1;1;35371;35371,0000000000;0,0910067569477821;0,0910067569477821;1056;1056;1344;1344;0;0;0;26,22;26,220
2024;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;Public;High capacity;75;Nouvelle-Aquitaine;33;Gironde;BORDEAUX;33076;GEN;2;22804;1;1130;580;2657;2069;588;532;2016;0;72,74;41,98;0;300;92;42;0;9,00000000000000;1;1;1;0;1;1;1;1;0;45988;45988,0000000000;0,4958684874315039;0,4958684874315039;1130;580;2657;2069;2016;2016;588;44,53;30,912
2024;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;Public;Medium capacity;75;Nouvelle-Aquitaine;33;Gironde;BORDEAUX;33076;PED;3;8974;NA;1130;580;2657;2069;588;532;2016;0;72,74;41,98;0;300;92;42;0;8,00000000000000;1;1;1;0;1;1;1;1;0;42689;42689,0000000000;0,2102180889690553;0,2102180889690553;1130;580;2657;2069;2016;2016;588;44,53;30,912
2024;760000158;HOPITAL CHARLES NICOLLE CHU ROUEN;Public;High capacity;28;Normandie;76;Seine-Maritime;ROUEN;76038;GEN;NA;34770;0;NA;NA;2780;2210;524;0;0;0;61,34;36,31;0;428;122;0;0;16,00000000000000;0;1;0;0;0;1;0;1;0;83314;83314,0000000000;0,4173368221427371;0,4173368221427371;NA;NA;2780;2210;0;0;524;44,53;30,912
2024;760000158;HOPITAL CHARLES NICOLLE CHU ROUEN;Public;Low capacity;28;Normandie;76;Seine-Maritime;ROUEN;76038;PED;NA;6479;NA;NA;NA;2780;2210;524;0;0;0;61,34;36,31;0;428;122;0;0;4,00000000000000;0;1;0;0;0;1;0;1;0;38510;38510,0000000000;0,1682420150610231;0,1682420150610231;NA;NA;2780;2210;0;0;524;44,53;30,912
2024;670783273;HOPITAL DE HAUTEPIERRE;Public;High capacity;44;Grand Est;67;Bas-Rhin;STRASBOURG;67200;GEN;NA;7094;1;NA;NA;NA;NA;0;0;0;0;NA;NA;0;189;49;0;0;9,00000000000000;0;0;0;0;0;1;0;1;0;54553;54553,0000000000;0,1300386779828790;0,1300386779828790;NA;NA;NA;NA;0;0;0;NA;NA
2024;670783273;HOPITAL DE HAUTEPIERRE;Public;Medium capacity;44;Grand Est;67;Bas-Rhin;STRASBOURG;67200;PED;1;4364;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;0;189;49;0;0;8,00000000000000;0;0;0;0;0;1;0;1;0;42144;42144,0000000000;0,1035497342444951;0,1035497342444951;NA;NA;NA;NA;0;0;0;NA;NA
2024;760805770;HOPITAL JACQUES MONOD CH LE HAVRE;Public;Medium capacity;28;Normandie;76;Seine-Maritime;MONTIVILLIERS;76290;GEN;NA;14310;NA;840;336;1832;1272;560;336;768;0;44,01;33,32;0;67;14;9;3;8,00000000000000;1;1;1;0;0;1;1;1;1;45895;45895,0000000000;0,3117986708791807;0,3117986708791807;840;336;1832;1272;768;768;560;44,01;30,912
2024;760805770;HOPITAL JACQUES MONOD CH LE HAVRE;Public;Low capacity;28;Normandie;76;Seine-Maritime;MONTIVILLIERS;76290;PED;3;4924;NA;840;336;1832;1272;560;336;768;0;44,01;33,32;0;67;14;9;3;2,00000000000000;1;1;1;0;0;1;1;1;1;34012;34012,0000000000;0,1447724332588498;0,1447724332588498;840;336;1832;1272;768;768;560;44,01;30,912
2024;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;Public;High capacity;76;Occitanie;34;Hérault;MONTPELLIER;34295;GEN;3;20713;1;2215;1543;3346;2674;1092;0;0;1;51,84;31,84;0;134;54;17;0;22,00000000000000;0;1;0;0;1;1;1;1;0;94843;92082,1999999999;0,2249403250573946;0,2249403250573946;2215;1543;3346;2674;0;0;1092;44,53;30,912
