BOR;AN;FI;FI_EJ;CAEH;CAEF;CUIH;CUIF;CAPH;CAPF;CAVH;CAVF;CAUH;CAUF
Q25;2014;100000140;100000058;1;5;1;1;;;;;;
Q25;2014;100000199;100006279;1;;;;;;;;7;1
Q25;2014;100007285;140017617;;;;;;2;;;;
Q25;2014;110000023;110780061;4;12;;;;;;1;;
Q25;2014;110000049;110780087;4;11;;;;;;1;;
Q25;2014;110000189;110780707;;1;;;;;;1;;
Q25;2014;110000262;110781010;1;5;0;0;0;0;0;1;0;0
Q25;2014;110780186;110000072;;2;;;;;;;;
Q25;2014;110780228;110000114;;;;;;4;;;;
Q25;2014;110780483;110000155;;;;;;2;;;;
Q25;2014;110786324;110786324;4;5;;;;1;;3;;
Q25;2014;110786746;110786324;;4;;;1;;;1;;
Q25;2014;120000039;120780044;;2;;;;;;;;
Q25;2014;120000070;120780085;9;21;;;;;;;;
Q25;2014;120000088;120780093;1;5;0;0;0;0;0;0;0;0
Q25;2014;120000096;120780101;2;2;0;0;0;0;0;0;0;0
Q25;2014;120000153;120780291;1;5;;;;;3;7;;
Q25;2014;120000237;120780481;0;1;0;0;0;0;0;0;0;0
Q25;2014;120004569;120004528;1;3;;;;;1;;;
Q25;2014;120780135;120000104;;;;;;;2;1;;
Q25;2014;120780143;120000112;;;;;;;2;1;;
Q25;2014;120780283;630786754;2;13;;;;;;1;;
Q25;2014;130000235;130780554;0;1;0;0;0;0;0;0;0;0
Q25;2014;130000409;130041916;;;;;;2;3;17;;
Q25;2014;130000433;130781131;;;;;1;;;;;
Q25;2014;130000516;130781339;;3;;;;;5;1;;
Q25;2014;130000565;130781446;6;10;;;2;5;;3;;
Q25;2014;130001225;130782634;1;3;;;;;8;2;;
Q25;2014;130001258;130028228;3;2;;;1;;;;14;11
Q25;2014;130001647;130784127;27;14;;;1;16;9;24;;
Q25;2014;130002496;130786494;3;9;;;;;1;1;;
Q25;2014;130002827;130789274;8;5;0;0;0;1;0;0;0;0
Q25;2014;130002835;130789316;64;15;;;1;;;;;
Q25;2014;130008048;130043169;;;;;1;1;;;;
Q25;2014;130037674;130789316;0;1;0;0;0;0;0;0;0;0
Q25;2014;130042526;310021399;0;0;1;0;0;0;0;0;0;0
Q25;2014;130043664;130002157;10;12;;;;2;;;;
Q25;2014;130780521;130786049;4;1;;;5;4;;;;
Q25;2014;130781479;130000599;0;0;0;0;6;9;0;0;0;0
Q25;2014;130782071;130002454;0;0;0;0;0;1;0;0;0;0
Q25;2014;130783152;130001365;;;;;;;1;;;
Q25;2014;130783236;130786049;6;1;;;2;4;;;;
Q25;2014;130783293;130786049;1;1;;;;1;;;;
Q25;2014;130783327;130001415;;;;;5;;;;;
Q25;2014;130783665;130043722;;;;;1;2;2;3;;
Q25;2014;130783723;130001456;;;;;;2;;;;
Q25;2014;130783764;750043994;;;;;;2;;;;
Q25;2014;130783871;130001548;;;;;1;;;;;
Q25;2014;130784051;130037823;;;;;1;7;;;;
Q25;2014;130784234;130786049;;;;;2;2;;;;
Q25;2014;130784481;130001787;;;;;;;;;1;
Q25;2014;130784580;750043994;0;0;0;0;0;1;0;0;0;0
Q25;2014;130784598;130001852;;;;;1;3;;;;
Q25;2014;130784713;130038847;;;;;3;5;;;;
Q25;2014;130784911;750052375;;;;;;1;;;;
Q25;2014;130785652;130014228;18;12;;;11;25;20;5;;
Q25;2014;130785678;130002249;;;;;4;1;;;;
Q25;2014;130786361;130002447;;;;;;1;;5;;
Q25;2014;130786445;130002488;;;;;;;1;3;;
Q25;2014;130786742;750821092;0;3;0;0;0;0;0;0;0;0
Q25;2014;130786924;130037815;;;;;1;;;;;
Q25;2014;130786932;130002660;;;;;;4;;;;
Q25;2014;130786973;130002702;;;;;;;1;;;
Q25;2014;130790157;130789316;1;6;0;0;0;0;0;0;0;0
Q25;2014;130798358;130041916;;;;;;;1;1;;
Q25;2014;130809015;130001928;10;10;;;;;12;4;;
Q25;2014;140000027;140000035;6;4;0;0;0;0;3;4;0;0
Q25;2014;140000076;140000084;2;4;;;;;;;;
Q25;2014;140000209;140000100;6;17;;;;1;;6;;
Q25;2014;140000233;140000118;11;17;;;;;;;;
Q25;2014;140000308;140000134;5;11;;;;;;1;;
Q25;2014;140000340;140025800;;;;;;1;1;;;
Q25;2014;140000373;140000159;3;19;;;;;1;1;;
Q25;2014;140000555;140000639;2;7;;;7;20;1;1;;
Q25;2014;140002239;140000415;;;;;1;;;;;
Q25;2014;140002452;140025800;2;4;;;;3;1;;;
Q25;2014;140002619;750721334;;;;;;;;1;;
Q25;2014;140004383;140000100;;2;;;;;;;;
Q25;2014;140013830;140000118;1;16;;;;;;;;
Q25;2014;140017237;140003278;;;;;1;1;;;;
Q25;2014;140017278;610787285;;;;;;;;1;;
Q25;2014;140017401;140000092;;3;;;;;;;;
Q25;2014;140024886;140000092;1;5;;;;;;;;
Q25;2014;140026410;140026279;;1;;;;;1;;;
Q25;2014;140026709;140000415;;;;;1;1;;;;
Q25;2014;150000024;150780047;;2;;;;;;;;
Q25;2014;150000032;150780088;1;11;;;;;;;;
Q25;2014;150000040;150780096;;;;;1;3;3;10;;
Q25;2014;150000149;150780393;;1;;;;;;1;;
Q25;2014;150000164;150780468;;9;;;;;1;2;;
Q25;2014;150000180;150780500;;1;;;;;;;;
Q25;2014;150002608;660006370;;;;;;1;;;;
Q25;2014;150002921;150780468;;2;;;;;;;;
Q25;2014;150780120;150000065;;;;;;3;;;;
Q25;2014;150780708;870015336;;3;;;;;;;;
Q25;2014;160000154;160006037;;6;;;;;;;;
Q25;2014;160000170;160000204;;;;;;1;;;;
Q25;2014;160000188;160000121;2;5;;;;;3;9;;
Q25;2014;160000253;160000451;13;24;0;0;0;0;2;8;0;0
Q25;2014;160000303;160006037;4;16;;;;;;;;
Q25;2014;160000311;160000485;1;4;;;1;;;5;;
Q25;2014;160000337;160000493;1;9;;;1;;1;;;
Q25;2014;160000345;160000501;14;26;;;1;;;4;;
Q25;2014;160000360;160000519;1;2;;;;;;;;
Q25;2014;160002036;160009908;;;;;;;;3;;
Q25;2014;160006391;160000485;;1;;0;;0;;2;;0
Q25;2014;160009080;160001574;;;;;;;2;2;;
Q25;2014;160013207;160001632;;;;;1;3;;;;
Q25;2014;160015368;160014411;4;11;;;;;;2;;
Q25;2014;170000038;170780050;3;13;;;;;3;11;;
Q25;2014;170000061;170780118;1;3;;;;;;;;
Q25;2014;170000079;170780142;1;1;;;;;;;;
Q25;2014;170000087;170023279;12;24;;;;;4;7;;
Q25;2014;170000095;170780167;2;12;;;1;;;;;
Q25;2014;170000103;170780175;0;2;0;0;0;0;0;0;0;0
Q25;2014;170000111;170023279;;;;;;;;1;;
Q25;2014;170000129;170780191;8;18;;;;;6;13;;
Q25;2014;170000152;170780225;4;25;;;;;0;4;;
Q25;2014;170000178;170780266;2;9;;;;;;;;
Q25;2014;170780043;750721334;5;3;;;;;1;1;;
Q25;2014;170780621;170000285;;;;;;1;;;;
Q25;2014;170780803;170017321;1;3;;;;;;;;
Q25;2014;170782981;170023279;;4;;;;;;;;
Q25;2014;170783146;170780050;1;13;;;;;;4;;
Q25;2014;170791321;170023279;;;;;;;;1;;
Q25;2014;170792220;170780175;0;6;0;0;0;0;0;0;0;0
Q25;2014;170802789;170780191;;6;;;;;;;;
Q25;2014;180000010;180000028;12;24;;;;;8;3;;
Q25;2014;180000176;180001158;3;14;;;;;2;1;;
Q25;2014;180000200;180000051;13;14;;;;;;;;
Q25;2014;180000283;180000069;1;;;;;;;;;
Q25;2014;180000333;180000093;;1;;;;;;1;;
Q25;2014;180003287;180000028;;1;;;;;;;;
Q25;2014;180003345;180000051;;2;;;;;;;;
Q25;2014;180003386;180000069;;;;;;;;1;;
Q25;2014;180007825;180001158;;4;;;;;;;;
Q25;2014;190000018;190000042;;;;;;;3;3;;
Q25;2014;190000026;190000059;3;14;;;;;10;4;;
Q25;2014;190000034;190000067;;6;;;;;;5;;
Q25;2014;190000091;190000075;1;21;;;;;3;;;
Q25;2014;190000117;190000117;1;2;;;;;3;3;;
Q25;2014;190002493;190000059;;2;;;;;;;;
Q25;2014;190005140;190002485;;2;;;;;1;;;
Q25;2014;190005165;190002519;;1;;;;;;;;
Q25;2014;210780144;750721235;5;2;;;;;2;8;;
Q25;2014;210780425;210781282;;1;;;;;;;;
Q25;2014;210780979;210000295;;;1;;;;;;;
Q25;2014;210781621;210780581;;1;;;;;;1;;
Q25;2014;210983466;210011482;1;2;;;;;;;;
Q25;2014;210983565;210011482;;;;;;;;1;;
Q25;2014;210986089;210780581;3;;;;;;2;3;;
Q25;2014;210987558;210780581;19;29;;;4;6;16;48;;
Q25;2014;210987574;210780623;;3;;;;;;1;;
Q25;2014;210987582;210780631;;2;;;;;;;;
Q25;2014;210987590;210780649;;11;;;;;1;3;;
Q25;2014;210987608;210011482;2;3;;;;1;;;;
Q25;2014;210987616;210780656;;;;;;;6;7;;
Q25;2014;210987632;210780607;7;16;;;1;1;;;;
Q25;2014;210987640;210780672;;;;;;;1;2;;
Q25;2014;210987657;210780714;2;33;;;;;2;4;;
Q25;2014;210987665;210010070;2;7;;;;;2;;;
Q25;2014;210987673;210010070;1;17;;;;;1;2;;
Q25;2014;210987681;210011482;1;3;;;;;;1;;
Q25;2014;210987699;210780706;;1;;;;;3;18;;
Q25;2014;210987731;210780417;4;3;;;3;2;;;;
Q25;2014;210987939;210780607;;2;;;;;;;;
Q25;2014;220000012;220000020;;14;;;;4;;;;
Q25;2014;220000095;220000046;1;9;;;;1;;5;;
Q25;2014;220000210;220000210;;1;;;;;;;;
Q25;2014;220000236;220017974;2;1;;;;;1;;;
Q25;2014;220000301;220000673;;;;;;1;;;;
Q25;2014;220000343;220000079;11;32;;;;;6;8;;
Q25;2014;220000368;220000103;4;16;;;;;1;2;;
Q25;2014;220000541;220000152;1;;;;;;4;3;;
Q25;2014;220000566;220021968;;;;;;;1;2;;
Q25;2014;220000574;220000186;0;2;0;0;0;0;0;1;0;0
Q25;2014;220001259;220005045;3;6;;;;;;;;
Q25;2014;220014708;220017974;;1;;;;;1;;;
Q25;2014;230000259;230780041;0;0;0;1;0;0;0;0;0;0
Q25;2014;230000820;230780041;0;0;3;13;0;0;0;0;0;0
Q25;2014;230000838;230780058;;2;;;;;;;;
Q25;2014;230000846;230780066;3;3;;;;;;;;
Q25;2014;230000853;230780074;;;;;;;5;5;;
Q25;2014;230000952;230780512;;;;;;;3;2;;
Q25;2014;230000960;230780520;;5;;;;;;2;;
Q25;2014;230004657;230780058;;3;;;;;;;;
Q25;2014;230780082;750005068;;;;;;;;2;;
Q25;2014;230782617;750000218;;1;;;;;;1;;
Q25;2014;240000091;240000034;;4;;;;;1;1;;
Q25;2014;240000174;240000042;;2;;;;;;;;
Q25;2014;240000208;240000612;;;;;;2;;;;
Q25;2014;240000216;240000620;;;;;;;1;;;
Q25;2014;240000273;750043994;;;;;1;1;;;;
Q25;2014;240000372;240000059;;;;;;;4;7;;
Q25;2014;240000414;240000067;1;3;;;;;;1;;
Q25;2014;240000463;240000083;;2;;;;1;2;8;;
Q25;2014;240000471;240000109;1;1;;;;;;;;
Q25;2014;240000489;240000117;7;26;;;;;2;6;;
Q25;2014;240000505;240000133;2;;;;;;;;;
Q25;2014;240000513;240000141;2;12;;;;;;1;;
Q25;2014;240000521;240000158;1;4;;;;1;;;;
Q25;2014;240000539;240000166;2;1;;;;;1;6;;
Q25;2014;240000661;240000281;1;1;;;;;1;1;;
Q25;2014;240000687;240000448;;;;;;;;5;;
Q25;2014;250000023;250000015;2;7;;;2;;;;;
Q25;2014;250000114;900000365;1;20;;;;;;;;
Q25;2014;250000270;250000643;;;;;;3;;;;
Q25;2014;250000288;250000643;;;;;;1;;;;
Q25;2014;250000627;250000221;1;4;;;;;1;2;;
Q25;2014;250000635;250000239;;1;;;;;;;;
Q25;2014;250000700;250000452;3;7;;;;1;;;;
Q25;2014;250000718;250000460;1;;;;;;;;;
Q25;2014;250000726;250000478;;;;8;;;;;;
Q25;2014;250000759;250000569;6;17;;;1;;;;;
Q25;2014;250000882;250002839;4;5;;;;;1;;;
Q25;2014;250001237;250007598;4;3;;;1;;2;;;
Q25;2014;250001252;250007788;2;17;;;1;;2;3;;
Q25;2014;250004009;900000365;0;2;;;;;;;;
Q25;2014;250006954;250000015;8;31;;;1;5;;;;
Q25;2014;250011848;250017803;3;5;;;;3;;1;;
Q25;2014;250012069;250017803;;;;;;1;;;;
Q25;2014;250012838;250017803;;;;;;1;;;;
Q25;2014;250016037;250017803;;;;1;;1;;;;
Q25;2014;250016045;250017803;;;;;;1;;;;
Q25;2014;260000013;260000021;7;5;;;;;5;7;;
Q25;2014;260000120;260016910;;2;;;1;;1;2;;
Q25;2014;260000138;260000047;7;8;;;;;6;;;
Q25;2014;260000146;260000054;1;1;;3;;;;;;
Q25;2014;260000195;260006770;;;1;9;;;1;1;;
Q25;2014;260000229;260000070;;;;2;;;;;;
Q25;2014;260000237;260000088;;1;;;;;2;;;
Q25;2014;260000278;260000096;;;;;;;;1;;
Q25;2014;260000286;260000104;;2;;;;;2;3;;
Q25;2014;260000302;260000161;1;3;;;;;1;;;
Q25;2014;260000682;930019484;1;;;;;;;;;
Q25;2014;260000823;260003264;3;9;;;;;2;1;;
Q25;2014;260003017;260000781;;;;;;3;;;;
Q25;2014;260006267;070000245;;;;;;2;;;;
Q25;2014;260017454;260016761;1;1;;;;;;;;
Q25;2014;270000045;270000060;;;;;;;1;;;
Q25;2014;270000359;270023724;1;1;;;2;3;6;6;;
Q25;2014;270000367;270000086;;3;;;;;;;;
Q25;2014;270000391;760024042;4;3;;;;;;;;
Q25;2014;270000417;760025734;0;6;0;0;0;0;0;4;0;0
Q25;2014;270000425;270000102;1;;;;;;;;;
Q25;2014;270000433;750043994;;;;;;1;;;;
Q25;2014;270000441;270000110;;1;;;;;2;5;;
Q25;2014;270000458;270023724;;;;;;0;2;1;;
Q25;2014;270000474;270000136;8;29;;;;;;1;;
Q25;2014;270000482;270000144;3;6;;;;;1;7;;
Q25;2014;270000516;270000177;0;0;0;0;0;0;0;1;0;0
Q25;2014;270000532;270000185;1;;;;;;2;;;
Q25;2014;270000573;270000219;5;1;0;0;0;0;4;1;0;0
Q25;2014;270000912;750814030;13;16;;;;;2;3;;
Q25;2014;270026107;270023724;;;;;;;;1;;
Q25;2014;280000050;280000142;4;16;;;3;;;1;;
Q25;2014;280000084;280000183;;;;;1;1;3;5;;
Q25;2014;280000100;280000225;2;20;;;;;;2;;
Q25;2014;280000159;280000068;;;;;;1;;;;
Q25;2014;280000662;280500075;1;3;0;0;0;0;2;2;0;0
Q25;2014;280502741;280000852;;;;;;;1;2;;
Q25;2014;280502998;280000589;;7;;;;;;1;;
Q25;2014;280504267;280000134;4;6;;;1;;;1;;
Q25;2014;290000025;290020700;6;58;0;0;1;1;0;3;0;0
Q25;2014;290000033;290021542;1;11;;;;;1;2;;
Q25;2014;290000058;290000017;2;10;;;;1;;1;;
Q25;2014;290000066;290020700;0;7;0;0;0;0;0;0;0;0
Q25;2014;290000173;290000041;;3;;;;;1;4;;
Q25;2014;290000181;290000074;2;10;;;;2;2;3;;
Q25;2014;290000256;290000017;;4;;;;;;;;
Q25;2014;290000272;290000090;1;2;;;1;;;;;
Q25;2014;290000322;290000108;3;2;;;;;;;;
Q25;2014;290000363;750043994;;;;;;1;;;;
Q25;2014;290000389;290000116;;;;;;;1;1;;
Q25;2014;290000413;290009752;;;;;;1;;;;
Q25;2014;290000728;750821092;;;;;;1;;;;
Q25;2014;290000785;220020739;1;1;;;;;;3;;
Q25;2014;290000793;290000546;1;0;;;;;;;;
Q25;2014;290000819;290001023;;;;;1;;;;;
Q25;2014;290000827;290000546;1;1;;;;;;;;
Q25;2014;290000918;290000298;3;8;;;0;1;1;4;;
Q25;2014;290000934;290000306;;;;;;;1;3;;
Q25;2014;290000975;290000546;6;7;;;;1;1;3;;
Q25;2014;290001015;290000751;;6;;;;;;;;
Q25;2014;290002344;440042844;1;3;;;;;;;;
Q25;2014;290004324;290000017;6;31;;;;;2;3;;
Q25;2014;290005826;290020700;0;4;0;0;0;0;0;0;0;0
Q25;2014;290008853;290000074;;1;;;;;;1;;
Q25;2014;290020841;290000298;1;2;;;;;;1;;
Q25;2014;290024462;290000298;;4;;;;;;1;;
Q25;2014;290025113;290020700;;2;;;;;;;;
Q25;2014;290025147;290020700;;2;;;;;;;;
Q25;2014;290034610;290000306;;2;;;;;;;;
Q25;2014;2A0000022;2A0000014;;;;;;;;;;1
Q25;2014;2A0000287;2A0000386;1;1;0;0;0;2;0;0;0;0
Q25;2014;2A0002051;2A0000303;;;;;1;;;;;
Q25;2014;2A0002614;2A0002606;;;;;;;1;1;;
Q25;2014;2A0023271;2A0000014;;;;;;;;1;;
Q25;2014;2B0000012;2B0000020;7;3;0;0;0;1;7;3;0;0
Q25;2014;2B0000400;2B0000137;;;;;;1;1;1;;
Q25;2014;2B0004089;2B0000020;0;1;0;0;0;0;0;1;0;0
Q25;2014;2B0005359;2B0005342;;;;;;;;1;;
Q25;2014;300000023;300780046;4;1;;;1;1;2;4;;
Q25;2014;300000031;300780053;1;12;0;0;0;0;7;10;0;0
Q25;2014;300000049;130028228;;;;;;;;3;;
Q25;2014;300000056;300780079;9;16;0;0;0;0;0;0;0;0
Q25;2014;300000064;300780087;13;23;;;;;;;;
Q25;2014;300000072;300780095;;2;;;;;1;1;;
Q25;2014;300000478;300781010;3;3;;;;;2;3;;
Q25;2014;300002169;780020715;;;;;;1;;2;;
Q25;2014;300002508;300000213;0;0;0;0;0;1;0;0;0;0
Q25;2014;300012499;300780046;;;;;;;1;3;;
Q25;2014;300013778;300013760;;;;;1;1;;;;
Q25;2014;300780111;300016847;;;;;;;;2;;
Q25;2014;300780152;300000114;;;;;1;;;;;
Q25;2014;300780285;300000726;;;;;1;2;;;;
Q25;2014;300780384;750721334;;;;;;;1;;;
Q25;2014;300780442;300000254;;;;;;;;1;;
Q25;2014;300780475;340015171;;1;;;;;;2;;
Q25;2014;300780764;300000429;;1;;;;;;;;
Q25;2014;300781440;300000700;;;;;1;;;;;
Q25;2014;300782117;300780038;;;;;;;3;3;;
Q25;2014;300782125;300780038;;;;;;;;1;;
Q25;2014;300788502;300788486;;;;;0;2;;;;
Q25;2014;310000310;310780671;1;6;;;;;1;;;
Q25;2014;310000336;310780713;1;1;;;;;;;;
Q25;2014;310000369;310780754;;;;;;;1;17;;
Q25;2014;310009279;310780671;1;2;;;;;;;;
Q25;2014;310013628;310786256;0;0;0;0;0;0;3;1;0;0
Q25;2014;310016977;310781406;4;21;0;0;0;2;0;0;0;0
Q25;2014;310019351;310781406;1;15;0;0;0;0;0;0;0;0
Q25;2014;310025333;310781406;1;0;0;0;0;0;0;0;0;0
Q25;2014;310780101;310000039;;;;;1;;;;;
Q25;2014;310780135;310000054;;;;;4;2;;;;
Q25;2014;310780150;310788799;2;;;;;;;;;
Q25;2014;310780234;310000591;0;0;0;0;0;1;0;0;0;0
Q25;2014;310780259;310000096;;;;;2;13;;;;
Q25;2014;310780309;310000120;;;;;;2;;;;
Q25;2014;310780382;310000179;;;;;2;7;;1;;
Q25;2014;310780390;310000187;;;;;;1;;;;
Q25;2014;310780481;340015171;1;;;;;;;;;
Q25;2014;310781067;310788898;;9;;;;;;;;
Q25;2014;310781158;310000443;;;;;;1;;;;
Q25;2014;310781422;310781562;;;;;;;0;3;;
Q25;2014;310781505;310000492;;;;;1;;;;;
Q25;2014;310781695;750043994;;;;;;1;;;;
Q25;2014;310782339;310781406;9;17;0;0;5;1;0;0;0;0
Q25;2014;310782347;310789136;;;;;;;2;17;;
Q25;2014;310782396;920000395;;;;;1;2;;;;
Q25;2014;310783048;310781406;34;52;0;0;5;7;0;1;0;0
Q25;2014;310783055;310781406;16;42;0;0;2;7;1;1;0;0
Q25;2014;310783063;310781406;3;5;0;0;0;0;0;0;0;0
Q25;2014;310784558;310180013;1;2;0;0;0;0;1;0;0;0
Q25;2014;310786702;750043713;1;4;;;;1;;3;;
Q25;2014;310787304;310781406;1;10;0;0;1;4;0;0;0;0
Q25;2014;310787965;310788898;;2;;;;;;;;
Q25;2014;310794094;310780754;;;;;;;;1;;
Q25;2014;320000086;320780117;3;5;;;2;1;;;;
Q25;2014;320000094;320780125;;;;;;;2;2;;
