BOR;AN;FI;FI_EJ;LIT;JOU;ENT;URG_EJ;URG_EXT;MCO_EJ;MCO_EXT;GER_EJ;GER_EXT;SSR_EJ;SSR_EXT;PSY_EJ;PSY_EXT;HAD_EJ;HAD_EXT;DOMIC1;PEGER;EMGER;GERPSY;EMPAL;ALZ;EHPAD;VILHOS;RETR
USLD;2014;2A0023271;2A0000014;70;22316;49;;;;;5;;29;;;;;;15;;272;;5;;;;
USLD;2014;2B0004089;2B0000020;28;10134;17;;;2;;;;;;1;1;;;;;;10;1;;1;0;0
USLD;2014;2B0005359;2B0005342;20;7201;13;1;;6;;;5;;;;;;;1;;0;0;0;0;;;
USLD;2014;300000031;300780053;30;10469;36;0;0;7;3;4;0;0;4;0;0;0;0;17;0;0;0;3;0;2;2;0
USLD;2014;300000064;300780087;30;12175;22;;;5;6;;;7;4;;;;;2;;;;;;;1;
USLD;2014;300000072;300780095;30;11165;9;0;0;7;6;0;0;1;0;0;0;0;0;3;0;0;0;0;0;1;8;0
USLD;2014;300012481;300780046;27;9670;12;;;;;;;;;;;;;;;;;;;;;
USLD;2014;300012499;300780046;63;21960;46;;;;;;;;;;;;;;;;;;;;;
USLD;2014;300782125;300780038;190;66151;131;0;;15;;12;;47;;1;;1;;55;;;;;;6;;
USLD;2014;310000310;310780671;60;21223;53;;;23;5;;;15;;;3;;;7;;;;;;9;;
USLD;2014;310000336;310780713;61;21290;42;;;;;;;20;;;;;;22;;;;;;;;
USLD;2014;310013628;310786256;53;18858;20;0;0;0;1;2;2;4;9;0;1;0;0;1;2;0;5;4;0;3;1;0
USLD;2014;310021571;310021563;44;13079;69;0;2;0;5;0;3;31;8;0;0;0;0;11;0;0;0;0;0;9;0;0
USLD;2014;310022298;310781406;120;42107;76;1;;0;0;10;3;49;3;;;;;4;0;0;0;70;0;8;0;0
USLD;2014;310786702;750043713;63;21900;26;;;;;;1;20;;;;;;5;;;;;;3;;
USLD;2014;310794094;310780754;47;16830;13;;;;;;;;;;;;;;;;;;;;;
USLD;2014;320000086;320780117;70;25550;54;0;0;6;0;4;3;21;0;0;3;0;0;17;0;0;5;18;0;2;1;0
USLD;2014;320000102;320780133;35;12639;13;;;2;;8;;;;;;;;3;;;;;;;;
USLD;2014;320000128;320780158;30;10948;34;;;;;;;;;;;;;;;;;;;;;
USLD;2014;320000144;320780174;30;10870;15;0;;4;;0;;8;1;0;;0;;2;1;2;6;0;0;2;;
USLD;2014;320000177;320780208;30;10408;14;;;;;;;12;;;;;;2;0;0;0;0;0;0;0;0
USLD;2014;330000571;330781220;34;9322;29;;;6;;;;2;;;;14;;;;;;;;;;
USLD;2014;330000613;330781261;60;21591;42;0;0;1;5;0;1;16;9;0;1;0;0;9;;;;;;6;5;0
USLD;2014;330005182;330792862;50;17999;21;0;0;0;5;0;1;0;4;0;2;0;0;9;0;0;0;1;0;3;1;
USLD;2014;330781337;330781196;120;40362;39;;;;;;;;;;;;;39;;;;;;4;;
USLD;2014;330791641;330056540;80;28669;29;;;;;;17;;4;;;;;8;2;6;4;6;0;;;
USLD;2014;340000033;340780055;143;51099;117;;;54;21;;;3;3;;;5;;23;;;;;;7;;
USLD;2014;340000215;340780519;30;10075;30;;;3;5;;;1;3;;;;;18;;;;;;4;;
USLD;2014;340000231;340780535;49;17714;26;;;2;3;;;12;2;;;;;7;;;;0;;1;;
USLD;2014;340008275;340780477;76;26997;45;;;4;1;4;;11;8;;;;;17;;;;;;2;;
USLD;2014;340780436;340011295;35;12298;38;;;9;1;;;13;1;;;;;14;;;;24;;;;
USLD;2014;340780444;340009893;30;10750;20;;;2;1;;;3;4;;;;;10;;;;;;;;
USLD;2014;340782481;340780477;70;24414;52;;;7;1;3;;26;5;;;;;10;;;;;;7;;
USLD;2014;340789379;340001825;80;26685;48;;1;;3;;4;;8;;;;;31;;;;;;6;12;
USLD;2014;340796051;340011295;55;19006;33;2;;9;;1;;8;;;;;;13;;;8;15;;;;
USLD;2014;350000154;350000030;49;17624;22;;;2;;;;9;;;;;;11;;;;;;3;17;0
USLD;2014;350000162;350000048;30;10650;22;0;;2;1;0;;13;;0;;0;;6;;;;;;;;
USLD;2014;350000436;350002317;30;10592;33;;;;17;;;8;3;;;;;5;;;;;;5;1;
USLD;2014;350005021;440042844;60;21336;42;;;10;;;;16;3;;;;;13;;;;11;;;;
USLD;2014;350006771;350005179;120;42035;93;1;;79;3;;;;;;;;;10;;;;40;;;;4
USLD;2014;350013629;350000022;83;29760;82;;;11;5;;;16;;;;;;50;;;;;;;;
USLD;2014;350016135;350000055;53;16268;44;2;;25;11;;;24;1;;2;;;23;;;;;;3;;
USLD;2014;350032280;350000246;80;29289;59;;;9;22;;;;1;;18;;;18;;;;;;;;
USLD;2014;360000160;360000079;30;10283;54;;;;;;;;;;;;;;;;;;;;;
USLD;2014;360000202;360000103;31;9844;54;0;19;0;0;7;0;18;0;0;0;0;;5;0;0;0;0;0;4;25;0
USLD;2014;360004618;360000046;30;10905;10;;;;;2;;3;;;;;;5;;;;;;5;;
USLD;2014;360006688;360000392;64;21065;115;;;;;;;;;;;;;;;;;;;;;
USLD;2014;370000531;370000606;125;44238;77;0;0;0;8;3;0;40;2;0;0;0;0;24;0;0;0;166;0;0;0;0
USLD;2014;370102659;370013054;80;29606;6;;;;;;;;;;4;;;2;0;0;0;1;0;2;1;
USLD;2014;380000026;380780031;30;10653;24;0;0;4;0;0;0;4;0;0;0;0;0;6;0;0;0;0;0;7;1;0
USLD;2014;380000075;380780098;45;16370;17;;;;3;9;;;;;;2;3;;;;;;;;;
USLD;2014;380000109;380780213;76;27133;40;;;1;7;;;15;;;1;;;16;;;;;;6;;
USLD;2014;380000356;380782698;70;25637;43;;;;6;;6;16;7;;;;;8;;;;;;;;
USLD;2014;380006288;380780080;125;43807;121;0;0;16;5;8;0;19;4;0;0;3;0;20;0;0;0;2;0;11;1;0
USLD;2014;380785840;380780049;38;13838;40;;;;;;;;;;;;;;;;;;;;;
USLD;2014;380798520;380780049;47;17120;51;;;;;;;;;;;;;;;;;;;;;
USLD;2014;380802512;380793265;45;16367;13;;;;4;;2;;1;;1;;;5;;;;;;;1;
USLD;2014;380802702;380780080;40;14290;49;0;;0;;4;;25;;0;;0;;5;0;0;0;0;0;9;1;0
USLD;2014;380802728;380784751;30;10835;19;;;;;;;;;;;;;;;;;;;;;
USLD;2014;390000040;390780146;51;18558;29;;;;;2;;12;2;;;;;13;;15;10;7;;9;;
USLD;2014;390000065;390780161;30;10812;13;;;3;;;;5;;;;;;5;;;;4;;;2;
USLD;2014;390000214;390780591;30;10411;14;;;;;;;2;5;;;;;;0;0;7;9;0;1;0;
USLD;2014;390784833;390780609;32;11238;15;;;;;;;;;;;;;;;;;;;;;
USLD;2014;400000147;400780268;40;14410;74;0;0;5;0;0;0;37;1;0;0;0;0;31;0;2;0;0;0;8;0;0
USLD;2014;400000261;400780458;150;54941;43;0;0;0;;0;1;34;3;0;0;0;0;5;0;0;0;0;;3;0;0
USLD;2014;400006607;400790663;30;10950;75;;0;;3;;4;;2;;1;;0;15;0;0;3;8;0;;;
USLD;2014;400780250;400011177;80;29200;77;;;12;4;3;;40;;2;;1;;15;24;;3;24;;9;2;
USLD;2014;400781043;400780193;100;35372;82;;;24;;6;;42;;;;;2;8;56;1;31;26;;9;;3
USLD;2014;410000020;410000087;100;37976;70;;;28;;23;;19;;0;;;;;;;;20;;1;;
USLD;2014;410000046;410000103;60;21371;63;1;0;7;5;0;0;6;0;0;0;0;0;36;0;0;0;0;0;0;0;0
USLD;2014;420000234;420780652;150;51857;113;0;;8;;;;86;;;;;;10;;;;59;;11;;3
USLD;2014;420000275;420780694;30;10834;39;;;;;;;29;7;;;;;3;;;;;;;;
USLD;2014;420780546;420000168;30;10682;34;0;3;0;6;0;5;0;5;0;0;0;0;15;0;0;0;0;0;2;0;0
USLD;2014;420782559;420784878;78;28108;41;;;;;;;38;2;;;;;1;;;;;;3;1;
USLD;2014;420782567;420784878;82;29621;54;;;1;;;;50;2;;;;;1;;;;;;5;;
USLD;2014;420784845;420780033;149;53629;104;;;;;;;;;;;;;;;;;;;;;
USLD;2014;420789067;420780710;50;18076;40;;;;;;;;;;;;;;;;;;;;;
USLD;2014;430000117;430000018;55;19665;38;0;0;6;0;5;0;22;0;0;0;0;0;5;0;0;0;0;0;3;0;0
USLD;2014;430000190;430000034;30;10491;15;0;0;3;0;3;0;3;4;0;0;0;0;2;0;0;0;0;0;4;3;0
USLD;2014;430000307;430000067;30;10519;28;0;0;6;3;0;0;6;6;0;2;;;5;;;;14;;1;;
USLD;2014;430000356;430000091;30;10637;25;;;;7;;;11;;;;;;7;;;;;;1;;2
USLD;2014;430007419;630786754;40;14323;14;;;;1;;;;5;4;;;;4;;;;;;;;1
USLD;2014;440000016;440000057;75;25987;35;;;10;1;;;7;5;;;;;1;;;;2;3;;;
USLD;2014;440000180;440000263;30;10852;4;;;;;;;;;2;;;;2;;;10;;;;;
USLD;2014;440000503;440000313;30;10784;26;;;;;;;13;;;;;;13;;;;3;;4;3;
USLD;2014;440000552;440042141;28;7107;14;0;0;0;2;0;0;4;0;0;0;0;0;8;0;0;0;0;0;0;0;0
USLD;2014;440000644;440000347;30;10703;12;;;;;;;8;4;;;;;;;;;;;;;
USLD;2014;440000883;440042141;27;11637;6;0;0;0;1;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0
USLD;2014;440001253;440028538;42;14790;30;;;4;;;;9;;;;;;17;;;;;;14;;
USLD;2014;440001295;440000859;39;13344;26;;;2;;;8;13;;;;;;3;;;;;;2;;
USLD;2014;440001964;440003267;30;9338;15;;;;;;;10;5;;;;;;;;;;;3;;
USLD;2014;440002939;440001758;37;13428;17;;;;;;7;;3;;;;;7;0;0;0;0;0;0;0;0
USLD;2014;440021202;850009010;30;10378;9;0;0;0;1;1;0;4;0;0;0;0;0;3;3;0;0;4;0;0;0;0
USLD;2014;440021285;440000297;30;10433;25;0;;8;;4;;11;;0;;0;;2;0;0;3;28;0;0;0;0
USLD;2014;440032399;440041531;28;9930;25;;;1;1;;;9;;;;;;14;;;;;;;;
USLD;2014;440050458;440000289;10;3276;3;;;1;;2;;;;;;;;;;;;;;;;
USLD;2014;440050466;440000289;160;56719;53;;;10;8;5;;28;;;;;;2;;;;;;;;
USLD;2014;450000062;450000104;50;17216;23;;;;;;;9;1;;;;;4;0;0;0;1;0;1;0;0
USLD;2014;450000070;450000112;48;17237;35;0;;3;;;;13;;;;;;7;;;;;;9;;
USLD;2014;450000336;450000179;40;14367;33;;;;;;;;;;;;;;;;;;;;;
USLD;2014;450010442;450000088;160;54297;270;;;;;;;;;;;;;;;;;;;;;
USLD;2014;450010475;450000088;0;2292;8;;;;;;;;;;;;;;;;;;;;;
USLD;2014;450019799;450000104;32;11427;21;;;4;1;;;7;1;;;;;8;0;0;0;0;0;0;0;0
USLD;2014;460000052;460780091;50;18131;18;0;0;1;1;0;0;14;0;0;0;0;0;2;0;0;;7;;0;0;0
USLD;2014;460785595;460780216;60;21616;30;0;0;5;1;12;0;0;4;0;5;0;0;3;0;22;7;1;0;4;2;0
USLD;2014;470000571;470000407;60;21569;41;;;3;;;;6;;;;;;5;3;6;4;3;0;5;;
USLD;2014;470008780;470000316;36;11818;30;0;0;1;0;5;0;8;0;0;0;0;0;4;7;5;3;1;0;5;0;0
USLD;2014;470012931;470001660;27;9810;9;;;2;2;;;;;;;;;5;;;;2;;4;;
USLD;2014;480000017;480780097;30;10730;13;;;;;;;;;;;;;;;;;;;;;
USLD;2014;480000041;480780139;25;7253;19;;;5;;;;9;;;;;;5;;;;;;4;1;
USLD;2014;480000074;480780162;30;10949;20;0;0;19;1;0;0;0;0;0;0;0;0;;0;0;0;1;0;;;
USLD;2014;490000353;490000411;35;12405;23;;;;2;;;12;2;;;;;7;;;4;;;2;2;1
USLD;2014;490000569;440000313;36;12608;27;;;1;;;;19;;;;;;7;;;;1;;;;
USLD;2014;490001831;490007689;30;10303;26;0;0;0;2;0;0;4;0;0;0;0;0;20;;;;;;3;;
USLD;2014;490008604;490001070;50;18250;17;;;;;;;;;;;;;17;;;0;;0;;;
USLD;2014;490531910;490535093;60;21588;23;;;;1;;1;1;4;;;;;16;;;;;;;;
USLD;2014;490536224;490000031;40;13471;38;0;0;4;2;0;0;33;0;0;0;0;0;1;0;0;0;0;0;0;0;0
USLD;2014;500000021;500000054;70;25664;77;;;;;;;;;;;;;;;;;;;;;
USLD;2014;500000260;500000054;50;17134;56;;;;;;;;;;;;;;;;;;;;;
USLD;2014;500000450;500000112;35;12349;20;;;3;1;;;5;;;;;;11;;;;;;;;
USLD;2014;500000591;500000393;60;21854;14;0;0;1;1;;;7;;;;;;5;;;;;;;;
USLD;2014;510000169;510000037;30;9129;16;0;0;1;0;0;0;9;0;0;0;0;0;6;0;0;3;12;0;1;0;0
USLD;2014;510000235;510000060;26;9158;18;0;0;2;0;6;0;0;2;0;0;0;0;8;0;0;2;0;0;3;0;0
USLD;2014;510000466;510000102;30;10576;6;;;;;;;5;;;;;;1;;;3;1;;;;
USLD;2014;510011679;510000029;120;43223;49;0;0;1;0;0;0;1;0;0;0;0;0;47;0;0;;;0;1;0;1
USLD;2014;510024466;510000128;30;10248;26;;;;6;;;3;4;;3;;;10;7;;;5;;2;;1
USLD;2014;520000019;520780024;32;11313;21;0;0;11;2;0;0;1;3;0;0;0;0;4;0;0;0;4;0;1;8;0
USLD;2014;520000076;520780081;35;12548;25;;;;4;;;2;;;;;;19;;;;;;1;3;1
USLD;2014;520782939;520780032;40;14369;41;;;;;;;3;;;;;;1;;;;;;;;
USLD;2014;530000132;530007202;30;9846;14;;;2;;;;9;;;;;;3;;;;20;;0;;
