BOR;AN;FI;FI_EJ;STRUCTURE;CONS_PSY_INT;ACT_INF_INT;CONS_MED_INT;FILACT_INT;dt_NOUV_INT;SEJ;RCP;EFFPL_PM;EFFPL_PMDOU;EFFPL_PNM;EFFPL_PNMDOU;CONS_PSY_EXT;ACT_INF_EXT;CONS_MED_EXT;FILACT_EXT;dt_NOUV_EXT;EFFPA_PM;EFFPA_PMDOU;EFFPA_PNM;EFFPA_PNMDOU;CONS_PSY18;ACT_INF18;CONS_MED18;FILACT18;dt_NOUV18;ETP_PM;ETP_PMDOU;ETP_PNM;ETP_PNMDOU
DOULEUR;2014;500000468;500000013;Consultation;;;;;;0;;;;;;;;235;127;89;2;;1;1;;;;;;0.16;;0.2;0.2
DOULEUR;2014;510000250;510000078;Consultation;;;;;;0;;;;;;0;0;60;31;25;1;;;;0;0;0;0;0;0.25;;;
DOULEUR;2014;510002447;510000029;Centre;;;;;;0;;5;5;0;0;684;430;3268;1724;559;1;1;2;0;0;2;43;0;13;2.34;2.34;1.3;0
DOULEUR;2014;520000068;520780073;Consultation;0;0;22;0;0;0;18;;;;;557;893;1166;456;242;3;1;4;1;0;0;0;0;;0.8;0.6;2;0.75
DOULEUR;2014;530000017;530000025;Centre;;20;102;19;58;413;43;;;;;673;3167;1630;876;553;2;;7;;6;4;18;6;;0.92;;3.28;
DOULEUR;2014;540001138;540023264;Centre;7;;;;;0;;2;;2;;1003;55;1402;;599;;;3;;;;;;;0.55;;3.34;
DOULEUR;2014;540001286;540003019;Consultation;167;1064;1527;439;123;0;24;3;1;3;1;63;89;1123;461;112;;;1;;0;0;0;0;;1.4;0.5;2.4;1
DOULEUR;2014;540002698;540023264;Centre;;;502;;;0;10;2;;1;;527;;266;;;;;2;;527;;768;;;0.43;;1.36;
DOULEUR;2014;550000012;550006795;Consultation;17;180;13;48;52;0;20;;;1;;485;127;782;420;131;2;2;2;2;;;;;;0.61;0.61;2;1
DOULEUR;2014;560000127;560023210;Consultation;19;1;37;30;15;0;20;1;0;3;0;1397;266;3524;1268;353;1;0;2;1;20;4;23;10;9;1.2;0;2.67;0.5
