BOR;AN;FI;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2014;640789640;640000113;TOT;1;1;32;;;;0;;;;
DIALYSE;2014;640796736;640000113;VACAN;;;;6;0;8;;;;;
DIALYSE;2014;640796835;640000113;1140X;;;;6;9;1481;;;;;
DIALYSE;2014;640797155;640000113;1140X;;;;6;5;1053;;;;;
DIALYSE;2014;640797296;640000113;1140X;;;;6;11;1603;;;;;
DIALYSE;2014;650000417;650783160;112BA;;;;20;69;9766;;;;;
DIALYSE;2014;650000417;650783160;TOT;0;;;;;;942;;;68;
DIALYSE;2014;650005044;310000633;1140X;;;;6;10;1618;;;;;
DIALYSE;2014;650005044;310000633;TOT;0;;;;;;;;;6;
DIALYSE;2014;650788573;310000633;1140X;;;;6;8;1277;;;;;
DIALYSE;2014;650788573;310000633;TOT;0;;;;;;;;;6;
DIALYSE;2014;650788573;310000633;VACAN;;;;;4;16;;;;;
DIALYSE;2014;650788599;310000633;1140X;;;;6;11;2077;;;;;
DIALYSE;2014;650788599;310000633;TOT;0;;;;;;;;;7;
DIALYSE;2014;650788599;310000633;VACAN;;;;;7;41;;;;;
DIALYSE;2014;650788607;310000633;1140X;;;;6;11;1693;;;;;
DIALYSE;2014;650788607;310000633;TOT;0;;;;;;;;;12;
DIALYSE;2014;650788607;310000633;VACAN;;;;;5;14;;;;;
DIALYSE;2014;650788615;310000633;1140X;;;;6;16;2482;;;;;
DIALYSE;2014;650788615;310000633;TOT;0;;;;;;;;;12;
DIALYSE;2014;650788615;310000633;VACAN;;;;;9;123;;;;;
DIALYSE;2014;660000084;660780180;112BA;;;;36;106;14637;;;;;
DIALYSE;2014;660000084;660780180;1140X;;;;;6;651;;;;;
DIALYSE;2014;660000084;660780180;121AE;;;;;;;;;11;;
DIALYSE;2014;660000084;660780180;121CA;;;;;1;;;;;;
DIALYSE;2014;660000084;660780180;122AX;;;;;1;;;;;;
DIALYSE;2014;660000084;660780180;122BA;;;;2;2;;;;441;;
DIALYSE;2014;660000084;660780180;AUTRE;;;;;;11963;;;;;
DIALYSE;2014;660000084;660780180;TOT;0;;;;;;48;;;39;6
DIALYSE;2014;660000084;660780180;VACAN;;;;;;34;;;;;
DIALYSE;2014;660004953;660790379;1140X;;;;10;16;2706;;;;;
DIALYSE;2014;660004961;660790379;1140X;;;;10;6;1532;;;;;
DIALYSE;2014;660004979;660790379;1140X;;;;10;11;1790;;;;;
DIALYSE;2014;660005182;340000264;1140X;;;;7;8;1014;;;;;
DIALYSE;2014;660005182;340000264;TOT;0;;;;;;;1;;;
DIALYSE;2014;660005190;340000264;1140X;;;;8;2;844;;;;;
DIALYSE;2014;660005190;340000264;TOT;0;;;;;;;1;;;
DIALYSE;2014;660005208;340000264;1140X;;;;7;4;515;;;;;
DIALYSE;2014;660005208;340000264;TOT;0;;;;;;;1;;;
DIALYSE;2014;660005216;340000264;112AX;;;;4;6;517;;;;;
DIALYSE;2014;660005216;340000264;1140X;;;;;0;6245;;;;;
DIALYSE;2014;660005216;340000264;TOT;0;;;;;;0;1;;;
DIALYSE;2014;660005687;660790379;1140X;;;;8;7;1268;;;;;
DIALYSE;2014;660789892;660790379;112BA;;;;32;114;18866;;;;;
DIALYSE;2014;660789892;660790379;1130X;;;;13;31;5283;;;;;
DIALYSE;2014;660789892;660790379;TOT;0;;;;;;;;;;
DIALYSE;2014;670000025;670780055;112BA;;;;32;137;19301;;;;;
DIALYSE;2014;670000025;670780055;121AA;;;;;6;;;;443;;
DIALYSE;2014;670000025;670780055;121CA;;;;2;6;;;;136;;
DIALYSE;2014;670000025;670780055;122AX;;;;2;0;;;;77;;
DIALYSE;2014;670000025;670780055;TOT;0;;;;;;3891;4;;44;16
DIALYSE;2014;670000157;670780337;112BA;;;;15;59;9284;;;;;
DIALYSE;2014;670000157;670780337;122BA;;;;;5;;;;522;;
DIALYSE;2014;670000157;670780337;TOT;0;;;;;;1437;;;86;21
DIALYSE;2014;670002187;670000652;112AX;;;;2;2;86;;;;;
DIALYSE;2014;670002187;670000652;1130X;;;;32;64;8789;;;;;
DIALYSE;2014;670002187;670000652;1140X;;;;6;11;2396;;;;;
DIALYSE;2014;670002187;670000652;AUTRE;;;;;40;5756;;;;;
DIALYSE;2014;670002187;670000652;TOT;0;;;;;;0;4;;17;
DIALYSE;2014;670013895;670000652;112AX;;;;1;1;62;;;;;
DIALYSE;2014;670013895;670000652;1130X;;;;5;25;3557;;;;;
DIALYSE;2014;670013895;670000652;1140X;;;;2;5;722;;;;;
DIALYSE;2014;670013895;670000652;TOT;0;;;;;;0;0;;7;
DIALYSE;2014;670014455;670000652;112BA;;;;16;33;5045;;;;;
DIALYSE;2014;670014455;670000652;AUTRE;;;;;32;4494;;;;;
DIALYSE;2014;670014455;670000652;TOT;0;;;;;;0;2;;29;
DIALYSE;2014;670780212;670014604;112BA;;;;29;115;17013;;;;;
DIALYSE;2014;670780212;670014604;122AX;;;;3;;;;;0;;
DIALYSE;2014;670780212;670014604;TOT;0;;;;;;1672;;;;
DIALYSE;2014;670781574;670000652;1150A;;;;16;16;3549;;;;;
DIALYSE;2014;670781574;670000652;121AA;;;;;114;;;;5704;;
DIALYSE;2014;670781574;670000652;121CA;;;;136;99;;;;5235;;
DIALYSE;2014;670781574;670000652;121CE;;;;6;6;;;;300;;
DIALYSE;2014;670781574;670000652;122AX;;;;2;2;;;;64;;
DIALYSE;2014;670781574;670000652;TOT;0;;;;;;0;;;94;93
DIALYSE;2014;670783273;670780055;112BE;;;;5;2;608;;;;;
DIALYSE;2014;670783273;670780055;121AE;;;;;2;;;;101;;
DIALYSE;2014;670783273;670780055;TOT;0;;;;;;484;;;10;10
DIALYSE;2014;670795921;670000652;112AX;;;;2;1;219;;;;;
DIALYSE;2014;670795921;670000652;112BA;;;;20;20;2441;;;;;
DIALYSE;2014;670795921;670000652;1130X;;;;12;6;2087;;;;;
DIALYSE;2014;670795921;670000652;1140X;;;;4;10;1159;;;;;
DIALYSE;2014;670795921;670000652;AUTRE;;;;;96;13887;;;;;
DIALYSE;2014;670795921;670000652;TOT;0;;;;;;0;2;;40;
DIALYSE;2014;670799667;670000652;112AX;;;;1;0;59;;;;;
DIALYSE;2014;670799667;670000652;1130X;;;;18;34;5695;;;;;
DIALYSE;2014;670799667;670000652;1140X;;;;5;4;621;;;;;
DIALYSE;2014;670799667;670000652;TOT;0;;;;;;0;1;;22;
DIALYSE;2014;680000338;680000114;112BA;;;;35;101;16785;;;;;
DIALYSE;2014;680000338;680000114;1130X;;;;32;33;4653;;;;;
DIALYSE;2014;680000338;680000114;TOT;0;;;;;;0;0;;;
DIALYSE;2014;680000684;680000973;112BA;;;;16;97;12453;;;;;
DIALYSE;2014;680000684;680000973;121AA;;;;;24;;;;1331;;
DIALYSE;2014;680000684;680000973;121CA;;;;;39;;;;2009;;
DIALYSE;2014;680000684;680000973;122AX;;;;;0;;;;21;;
DIALYSE;2014;680000684;680000973;122BA;;;;3;7;;;;195;;
DIALYSE;2014;680000684;680000973;AUTRE;;;;;;210;;;;;
DIALYSE;2014;680000684;680000973;TOT;0;;;;;;3914;;;21;18
DIALYSE;2014;680004546;680000486;112BA;;;;24;97;13135;;;;;
DIALYSE;2014;680004546;680000486;112BE;;;;;0;153;;;;;
DIALYSE;2014;680004546;680000486;121AA;;;;;3;;;;;;
DIALYSE;2014;680004546;680000486;122AX;;;;1;0;;;;6;;
DIALYSE;2014;680004546;680000486;122BA;;;;2;3;;;;101;;
DIALYSE;2014;680004546;680000486;TOT;0;;;;;;2881;2;;96;12
DIALYSE;2014;680010824;670000652;112AX;;;;1;1;284;;;;;
DIALYSE;2014;680010824;670000652;1130X;;;;32;40;5335;;;;;
DIALYSE;2014;680010824;670000652;1140X;;;;6;6;970;;;;;
DIALYSE;2014;680010824;670000652;AUTRE;;;;;50;7616;;;;;
DIALYSE;2014;680010824;670000652;TOT;0;;;;;;0;2;;24;
DIALYSE;2014;680013778;670000652;112AX;;;;1;1;28;;;;;
DIALYSE;2014;680013778;670000652;1130X;;;;30;101;14399;;;;;
DIALYSE;2014;680013778;670000652;1140X;;;;1;0;266;;;;;
DIALYSE;2014;680013778;670000652;TOT;0;;;;;;0;1;;43;
DIALYSE;2014;690004718;690796552;1130X;;;;12;32;3220;;;;;
DIALYSE;2014;690004718;690796552;1140X;;;;6;11;1095;;;;;
DIALYSE;2014;690004718;690796552;TOT;1;1;32;;;;;;;;
DIALYSE;2014;690004718;690796552;VACAN;;;;;;20;;;;;
DIALYSE;2014;690007075;690002225;1140X;;;;6;8;1485;;;;;
DIALYSE;2014;690007539;690781810;112BE;;;;6;8;1560;;;;;
DIALYSE;2014;690007539;690781810;122AX;;;;2;11;;;;36;;
DIALYSE;2014;690007539;690781810;TOT;0;;;;;;291;;;9;
DIALYSE;2014;690022009;690796552;112AX;;;;8;22;3233;;;;;
DIALYSE;2014;690022009;690796552;1130X;;;;32;116;18263;;;;;
DIALYSE;2014;690022009;690796552;1140X;;;;18;42;6926;;;;;
DIALYSE;2014;690022009;690796552;1150A;;;;8;9;2154;;;;;
DIALYSE;2014;690022009;690796552;121AA;;;;;53;;;;2764;;
DIALYSE;2014;690022009;690796552;121CA;;;;;51;;;;2214;;
DIALYSE;2014;690022009;690796552;121CE;;;;;5;;;;226;;
DIALYSE;2014;690022009;690796552;122AX;;;;;1;;;;445;;
DIALYSE;2014;690022009;690796552;TOT;0;;;;;;;;;;
DIALYSE;2014;690022009;690796552;VACAN;;;;;;66;;;;;
DIALYSE;2014;690022058;690002225;112AX;;;;14;7;1679;;;;;
DIALYSE;2014;690022058;690002225;112BA;;;;14;13;2422;;;;;
DIALYSE;2014;690022058;690002225;1130X;;;;14;33;3863;;;;;
DIALYSE;2014;690022058;690002225;TOT;1;1;42;;;;;1;;29;0
DIALYSE;2014;690022108;690000724;112AX;;;;2;;1153;;;;;
DIALYSE;2014;690022108;690000724;1130X;;;;12;64;8745;;;;;
DIALYSE;2014;690022108;690000724;1140X;;;;6;;2815;;;;;
DIALYSE;2014;690022108;690000724;121AA;;;;;;;;;681;;
DIALYSE;2014;690022108;690000724;121CA;;;;2;23;;;;263;;
DIALYSE;2014;690022108;690000724;122AX;;;;2;3;;;;1133;;
DIALYSE;2014;690022108;690000724;TOT;0;;;;;;0;;;;
DIALYSE;2014;690023098;690002225;112AX;;;;16;1;535;;;;;
DIALYSE;2014;690023098;690002225;1130X;;;;16;36;5425;;;;;
DIALYSE;2014;690023098;690002225;1140X;;;;16;6;344;;;;;
DIALYSE;2014;690023098;690002225;TOT;0;;;;;;;1;;5;
DIALYSE;2014;690023411;690000252;112AX;;;;1;1;6;;;;;
DIALYSE;2014;690023411;690000252;112BA;;;;15;48;7824;;;;;
DIALYSE;2014;690023411;690000252;1130X;;;;6;6;661;;;;;
DIALYSE;2014;690023411;690000252;1140X;;;;1;1;34;;;;;
DIALYSE;2014;690023411;690000252;TOT;0;;;;;;291;1;;;
DIALYSE;2014;690024773;690002225;1150A;;;;12;12;2745;;;;;
DIALYSE;2014;690024773;690002225;121AA;;;;;41;;;;2247;;
DIALYSE;2014;690024773;690002225;121CA;;;;2;2;;;;119;;
DIALYSE;2014;690024773;690002225;122AX;;;;4;4;;;;192;;
DIALYSE;2014;690024773;690002225;122BA;;;;10;0;;;;57;;
DIALYSE;2014;690024773;690002225;TOT;0;;;;;;;;;25;25
DIALYSE;2014;690030770;330030909;112BA;;;;21;74;11296;;;;;
DIALYSE;2014;690030770;330030909;1130X;;;;21;7;468;;;;;
DIALYSE;2014;690030770;330030909;TOT;0;;;;;;;;;;
DIALYSE;2014;690031513;690000278;1140X;;;;6;15;2028;;;;;
DIALYSE;2014;690780499;690000278;112AX;;;;3;1;181;;;;;
DIALYSE;2014;690780499;690000278;112BA;;;;56;235;35410;;;;;
DIALYSE;2014;690780499;690000278;1130X;;;;10;23;3495;;;;;
DIALYSE;2014;690780499;690000278;1140X;;;;6;4;627;;;;;
DIALYSE;2014;690780499;690000278;1150A;;;;3;3;503;;;;;
DIALYSE;2014;690780499;690000278;TOT;0;;;;;;0;8;;;
DIALYSE;2014;690782834;690000724;112BA;;;;29;124;18154;;;;;
DIALYSE;2014;690782834;690000724;TOT;0;;;;;;1394;;;;
DIALYSE;2014;690783154;690781810;112BA;;;;24;325;15708;;;;;
DIALYSE;2014;690783154;690781810;TOT;0;;;;;;3096;;;;
DIALYSE;2014;690784137;690781810;112BA;;;;10;90;5652;;;;;
DIALYSE;2014;690784137;690781810;TOT;0;;;;;;2129;;;;
DIALYSE;2014;690799283;690796552;1140X;;;;6;4;522;;;;;
DIALYSE;2014;690804018;690796552;1130X;;;;8;24;3666;;;;;
DIALYSE;2014;690804018;690796552;1140X;;;;6;0;245;;;;;
DIALYSE;2014;690804018;690796552;VACAN;;;;;;122;;;;;
DIALYSE;2014;690805361;690805353;112BA;;;;9;26;3495;;;;;
DIALYSE;2014;690805361;690805353;1130X;;;;9;9;1315;;;;;
DIALYSE;2014;690805361;690805353;TOT;0;;;;;;449;1;;30;6
DIALYSE;2014;690807755;690002225;1140X;;;;10;11;1407;;;;;
DIALYSE;2014;700000029;700004591;112BA;;;;11;50;6579;;;;;
DIALYSE;2014;700000029;700004591;121AA;;;;;18;;;;;;
DIALYSE;2014;700000029;700004591;121CA;;;;;2;;;;;;
DIALYSE;2014;700000029;700004591;122AX;;;;1;0;;;;27;;
DIALYSE;2014;700000029;700004591;122BA;;;;1;1;;;;16;;
DIALYSE;2014;700000029;700004591;TOT;0;;;;;;686;1;;51;6
DIALYSE;2014;700003577;670005834;112AX;;;;1;2;221;;;;;
DIALYSE;2014;700003577;670005834;1130X;;;;8;35;5111;;;;;
DIALYSE;2014;700003577;670005834;1140X;;;;6;4;747;;;;;
DIALYSE;2014;700003577;670005834;1150A;;;;1;1;122;;;;;
DIALYSE;2014;700003577;670005834;121AA;;;;;18;;;;831;;
DIALYSE;2014;700003577;670005834;121CA;;;;4;4;;;;217;;
DIALYSE;2014;700003577;670005834;TOT;0;;;;;;;;;;
DIALYSE;2014;710010166;670005834;1130X;;;;12;43;6562;;;;;
DIALYSE;2014;710780917;710000274;1130X;;;;8;80;4631;;;;;
DIALYSE;2014;710970658;670005834;1150A;;;;1;1;155;;;;;
DIALYSE;2014;710970658;670005834;121AA;;;;;20;;;;1090;;
DIALYSE;2014;710970658;670005834;121CA;;;;8;8;;;;392;;
DIALYSE;2014;710970658;670005834;TOT;0;;;;;;;;;;
DIALYSE;2014;710971326;670005834;1140X;;;;8;10;1482;;;;;
DIALYSE;2014;710973504;670005834;112AX;;;;2;2;219;;;;;
DIALYSE;2014;710973504;670005834;1150A;;;;1;1;135;;;;;
DIALYSE;2014;710973504;670005834;121AA;;;;;10;;;;667;;
DIALYSE;2014;710973504;670005834;121CA;;;;5;5;;;;238;;
DIALYSE;2014;710973504;670005834;TOT;0;;;;;;;;;;
DIALYSE;2014;710974502;670005834;1140X;;;;12;9;1472;;;;;
DIALYSE;2014;710974510;670005834;1140X;;;;6;4;615;;;;;
DIALYSE;2014;710974528;670005834;112AX;;;;2;3;478;;;;;
DIALYSE;2014;710974528;670005834;1130X;;;;8;34;4202;;;;;
DIALYSE;2014;710978263;710780958;112BA;;;;18;65;9374;;;;;
DIALYSE;2014;710978263;710780958;122AX;;;;1;0;;;;10;;
DIALYSE;2014;710978263;710780958;TOT;0;;;;;;1069;2;;42;9
DIALYSE;2014;710978289;710780263;112BA;;;;15;55;7424;;;;;
DIALYSE;2014;710978289;710780263;122AX;;;;1;0;;;;69;;
DIALYSE;2014;710978289;710780263;122BA;;;;;2;;;;113;;
DIALYSE;2014;710978289;710780263;TOT;0;;;;;;1114;1;;37;9
DIALYSE;2014;720000033;720000025;112AX;;;;4;8;406;;;;;
DIALYSE;2014;720000033;720000025;112BA;;;;16;102;13424;;;;;
DIALYSE;2014;720000033;720000025;1130X;;;;15;12;1722;;;;;
DIALYSE;2014;720000033;720000025;1150A;;;;1;1;;;;;;
DIALYSE;2014;720000033;720000025;121AA;;;;;3;;;;;;
DIALYSE;2014;720000033;720000025;121CA;;;;;5;;;;;;
DIALYSE;2014;720000033;720000025;122AX;;;;3;5;;;;143;;
DIALYSE;2014;720000033;720000025;AUTRE;;;;;4;;;;;;
DIALYSE;2014;720000033;720000025;TOT;0;;;;;;798;6;;49;10
DIALYSE;2014;720003441;440002590;112BA;;;;16;60;8800;;;;;
DIALYSE;2014;720003441;440002590;1130X;;;;8;5;739;;;;;
DIALYSE;2014;720003441;440002590;TOT;0;;;;;;0;0;;6;
DIALYSE;2014;720016690;440002590;1140X;;;;12;13;1879;;;;;
DIALYSE;2014;720016690;440002590;TOT;0;;;;;;;;;1;
DIALYSE;2014;720016831;440002590;1140X;;;;6;8;954;;;;;
DIALYSE;2014;720017235;440002590;1140X;;;;6;3;439;;;;;
DIALYSE;2014;720017755;440002590;1140X;;;;5;8;1171;;;;;
DIALYSE;2014;720017755;440002590;TOT;0;;;;;;;;;2;
DIALYSE;2014;720017839;440002590;112BA;;;;32;70;10346;;;;;
DIALYSE;2014;720017839;440002590;1130X;;;;32;29;4478;;;;;
DIALYSE;2014;720017839;440002590;TOT;0;;;;;;0;;;3;
DIALYSE;2014;730000031;730000015;112AX;;;;4;4;551;;;;;
DIALYSE;2014;730000031;730000015;112BA;;;;24;84;10625;;;;;
DIALYSE;2014;730000031;730000015;122AX;;;;1;0;;;;4;;
DIALYSE;2014;730000031;730000015;122BA;;;;1;4;;;;879;;
DIALYSE;2014;730000031;730000015;TOT;0;;;;;;2914;4;;68;13
DIALYSE;2014;730000924;690796552;1130X;;;;20;82;11967;;;;;
DIALYSE;2014;730000924;690796552;VACAN;;;;;;15;;;;;
DIALYSE;2014;730005709;380793802;121AA;;;;;6;;;;298;;
DIALYSE;2014;730005709;380793802;121CA;;;;14;14;;;;649;;
DIALYSE;2014;730005709;380793802;122BA;;;;;;;;;25;;
DIALYSE;2014;730005709;380793802;TOT;0;;;;;;;;;;
DIALYSE;2014;730785011;690796552;1140X;;;;12;22;2975;;;;;
DIALYSE;2014;730785011;690796552;VACAN;;;;;;45;;;;;
DIALYSE;2014;730785466;380793802;1140X;;;;7;10;1507;;;;;
DIALYSE;2014;730786233;690796552;1140X;;;;8;16;2372;;;;;
DIALYSE;2014;730786233;690796552;VACAN;;;;;;17;;;;;
DIALYSE;2014;730786464;380793802;1140X;;;;7;7;1175;;;;;
DIALYSE;2014;730790235;380793802;1140X;;;;6;5;971;;;;;
DIALYSE;2014;740000237;740781133;112AX;;;;2;2;237;;;;;
DIALYSE;2014;740000237;740781133;112BA;;;;17;65;9795;;;;;
DIALYSE;2014;740000237;740781133;1130X;;;;6;25;3388;;;;;
DIALYSE;2014;740000237;740781133;122BA;;;;0;1;;;;114;;
DIALYSE;2014;740000237;740781133;TOT;0;;;;;;777;1;;;
DIALYSE;2014;740000328;740790381;112BA;;;;16;56;7570;;;;;
DIALYSE;2014;740000328;740790381;1130X;;;;8;8;1167;;;;;
DIALYSE;2014;740000328;740790381;1140X;;;;1;1;0;;;;;
DIALYSE;2014;740000328;740790381;121AA;;;;;2;;;;35;;
DIALYSE;2014;740000328;740790381;121CA;;;;;2;;;;;;
DIALYSE;2014;740000328;740790381;122BA;;;;1;1;;;;80;;
DIALYSE;2014;740000328;740790381;AUTRE;;;;;2;79;;;;;
DIALYSE;2014;740000328;740790381;TOT;0;;;;;;560;1;;46;2
DIALYSE;2014;740000328;740790381;VACAN;;;;4;0;74;;;;;
DIALYSE;2014;740010889;690796552;1140X;;;;8;11;1524;;;;;
DIALYSE;2014;740010889;690796552;VACAN;;;;;;73;;;;;
DIALYSE;2014;740011515;330015488;112BA;;;;8;32;4888;;;;;
DIALYSE;2014;740011515;330015488;TOT;0;;;;;;;1;;;
DIALYSE;2014;740012646;690796552;1130X;;;;8;27;4155;;;;;
DIALYSE;2014;740012646;690796552;VACAN;;;;;;253;;;;;
DIALYSE;2014;740788617;330015488;112AX;;;;2;1;57;;;;;
DIALYSE;2014;740788617;330015488;112BA;;;;16;60;9752;;;;;
DIALYSE;2014;740788617;330015488;1130X;;;;16;12;1899;;;;;
DIALYSE;2014;740788617;330015488;TOT;0;;;;;;;1;;;
DIALYSE;2014;740788641;690796552;1140X;;;;6;7;981;;;;;
DIALYSE;2014;740788641;690796552;VACAN;;;;;;236;;;;;
DIALYSE;2014;740789649;690796552;1140X;;;;8;15;2245;;;;;
DIALYSE;2014;740789649;690796552;VACAN;;;;;;85;;;;;
DIALYSE;2014;740789821;690796552;1140X;;;;12;37;6115;;;;;
DIALYSE;2014;740789821;690796552;VACAN;;;;;;225;;;;;
DIALYSE;2014;750000184;750806853;1130X;;;;20;20;2919;;;;;
DIALYSE;2014;750000184;750806853;1140X;;;;;24;3318;;;;;
DIALYSE;2014;750000184;750806853;TOT;0;;;;;;;;;9;
DIALYSE;2014;750009318;750806853;112BA;;;;11;45;3821;;;;;
DIALYSE;2014;750009318;750806853;AUTRE;;;;;0;2238;;;;;
DIALYSE;2014;750009318;750806853;TOT;0;;;;;;;;;25;
DIALYSE;2014;750040297;750000960;1140X;;;;12;41;5982;;;;;
DIALYSE;2014;750047318;750831059;1130X;;;;16;25;421;;;;;
DIALYSE;2014;750047318;750831059;1140X;;;;16;24;7543;;;;;
DIALYSE;2014;750100075;750712184;112BA;;;;7;60;2334;;;;;
DIALYSE;2014;750100075;750712184;TOT;0;;;;;;1381;;;102;
DIALYSE;2014;750100109;750712184;112BA;;;;;0;21;;;;;
DIALYSE;2014;750100109;750712184;112BE;;;;5;9;710;;;;;
DIALYSE;2014;750100109;750712184;TOT;0;;;;;;338;;;;
DIALYSE;2014;750100125;750712184;112BA;;;;16;69;6959;;;;;
DIALYSE;2014;750100125;750712184;121AA;;;;;8;;;;276;;
DIALYSE;2014;750100125;750712184;121CA;;;;3;0;;;;1;;
DIALYSE;2014;750100125;750712184;122AX;;;;3;1;;;;147;;
DIALYSE;2014;750100125;750712184;122BA;;;;3;1;;;;30;;
DIALYSE;2014;750100125;750712184;TOT;0;;;;;;2784;;;126;13
DIALYSE;2014;750100208;750712184;112BA;;;;14;152;6260;;;;;
DIALYSE;2014;750100208;750712184;112BE;;;;6;39;1774;;;;;
DIALYSE;2014;750100208;750712184;121AA;;;;;0;;;;84;;
DIALYSE;2014;750100208;750712184;121AE;;;;;0;;;;3;;
DIALYSE;2014;750100208;750712184;121CA;;;;3;4;;;;24;;
DIALYSE;2014;750100208;750712184;121CE;;;;0;2;;;;1;;
DIALYSE;2014;750100208;750712184;122AX;;;;3;3;;;;107;;
DIALYSE;2014;750100208;750712184;122BA;;;;1;0;;;;4;;
DIALYSE;2014;750100208;750712184;122BE;;;;0;2;;;;2;;
DIALYSE;2014;750100208;750712184;TOT;0;;;;;;1803;1;;149;7
DIALYSE;2014;750100208;750712184;VACAN;;;;3;0;0;;;;;
DIALYSE;2014;750100232;750712184;112BA;;;;11;57;3756;;;;;
DIALYSE;2014;750100232;750712184;122AX;;;;6;15;;;;499;;
DIALYSE;2014;750100232;750712184;122BA;;;;6;15;;;;;;
DIALYSE;2014;750100232;750712184;TOT;0;;;;;;3793;;;23;23
DIALYSE;2014;750100273;750712184;112AX;;;;3;6;823;;;;;
DIALYSE;2014;750100273;750712184;112BA;;;;12;63;8993;;;;;
DIALYSE;2014;750100273;750712184;1150A;;;;3;17;4420;;;;;
DIALYSE;2014;750100273;750712184;121AA;;;;;17;;;;52;;
DIALYSE;2014;750100273;750712184;121CA;;;;3;15;;;;52;;
DIALYSE;2014;750100273;750712184;122AX;;;;1;3;;;;131;;
DIALYSE;2014;750100273;750712184;122BA;;;;3;8;;;;416;;
DIALYSE;2014;750100273;750712184;AUTRE;;;;;30;4680;;;;;
DIALYSE;2014;750100273;750712184;TOT;1;1;10373;;;;2072;1;;148;17
DIALYSE;2014;750120016;750821092;112BA;;;;9;31;4373;;;;;
DIALYSE;2014;750120016;750821092;TOT;0;;;;;;669;;;17;
DIALYSE;2014;750150104;750720476;112BA;;;;13;56;7799;;;;;
DIALYSE;2014;750150104;750720476;TOT;0;;;;;;941;1;;4;0
DIALYSE;2014;750150252;750720575;112BA;;;;28;108;16655;;;;;
DIALYSE;2014;750150252;750720575;1130X;;;;12;8;818;;;;;
DIALYSE;2014;750150252;750720575;121CA;;;;1;0;;;;0;;
DIALYSE;2014;750150252;750720575;122AX;;;;1;0;;;;0;;
DIALYSE;2014;750150252;750720575;122BA;;;;5;1;;;;141;;
DIALYSE;2014;750150252;750720575;TOT;0;;;;;;491;;;;
DIALYSE;2014;750150302;750806853;112BA;;;;53;200;6915;;;;;
DIALYSE;2014;750150302;750806853;AUTRE;;;;;;22064;;;;;
DIALYSE;2014;750150302;750806853;TOT;0;;;;;;;;;61;
DIALYSE;2014;750150302;750806853;VACAN;;;;;;679;;;;;
DIALYSE;2014;750150310;750806853;112BA;;;;22;97;12850;;;;;
DIALYSE;2014;750150310;750806853;TOT;0;;;;;;753;;;;
DIALYSE;2014;750200024;750806853;112AX;;;;3;2;397;;;;;
DIALYSE;2014;750200024;750806853;1130X;;;;20;43;5862;;;;;
DIALYSE;2014;750200024;750806853;1150A;;;;;33;5442;;;;;
DIALYSE;2014;750200024;750806853;121AA;;;;;146;;;;6986;;
DIALYSE;2014;750200024;750806853;121CA;;;;165;171;;;;8712;;
DIALYSE;2014;750200024;750806853;122AX;;;;1;1;;;;54;;
DIALYSE;2014;750200024;750806853;TOT;0;;;;;;;;;37;137
DIALYSE;2014;750200024;750806853;VACAN;;;;;;142;;;;;
DIALYSE;2014;750300139;750000655;112BA;;;;21;87;12858;;;;;
DIALYSE;2014;750300139;750000655;1130X;;;;0;;2279;;;;;
DIALYSE;2014;750300139;750000655;TOT;0;;;;;;7;;;31;0
DIALYSE;2014;750300154;750000671;112AX;;;;2;;0;;;;;
DIALYSE;2014;750300154;750000671;112BA;;;;21;145;21359;;;;;
DIALYSE;2014;750300154;750000671;1130X;;;;8;16;463;;;;;
DIALYSE;2014;750300154;750000671;1150A;;;;1;1;156;;;;;
DIALYSE;2014;750300154;750000671;121CA;;;;1;;;;;;;
DIALYSE;2014;750300154;750000671;122AX;;;;1;;;;;0;;
DIALYSE;2014;750300154;750000671;122BA;;;;1;;;;;;;
DIALYSE;2014;750300154;750000671;TOT;0;;;;;;450;1;;58;
DIALYSE;2014;750300154;750000671;VACAN;;;;1;1;80;;;;;
DIALYSE;2014;750300915;750000960;112AX;;;;3;12;1110;;;;;
DIALYSE;2014;750300915;750000960;112BA;;;;14;95;14856;;;;;
DIALYSE;2014;750300915;750000960;1130X;;;;7;8;1256;;;;;
DIALYSE;2014;750300915;750000960;TOT;0;;;;;;432;;;;
DIALYSE;2014;750803447;750712184;112BA;;;;8;39;2486;;;;;
DIALYSE;2014;750803447;750712184;121AA;;;;;2;;;;52;;
DIALYSE;2014;750803447;750712184;121CA;;;;2;1;;;;52;;
DIALYSE;2014;750803447;750712184;122AX;;;;1;0;;;;35;;
DIALYSE;2014;750803447;750712184;122BA;;;;4;3;;;;188;;
DIALYSE;2014;750803447;750712184;TOT;0;;;;;;2343;;;4;4
DIALYSE;2014;750803454;750712184;112BA;;;;;;99;;;;;
DIALYSE;2014;750803454;750712184;112BE;;;;8;55;2222;;;;;
DIALYSE;2014;750803454;750712184;121CE;;;;4;;;;;;;
DIALYSE;2014;750803454;750712184;122BE;;;;4;1;;;;7;;
DIALYSE;2014;750803454;750712184;AUTRE;;;;;;505;;;;;
DIALYSE;2014;750803454;750712184;TOT;0;;;;;;355;;;8;3
DIALYSE;2014;750814824;330030859;1130X;;;;16;75;10939;;;;;
