BOR;AN;FI;FI_EJ;INTMED;INTPHA;INTODO;INTGEN;FFI;INTTOT
Q22;2014;230000853;230780074;;;;1;;1
Q22;2014;230000960;230780520;1;;;;;1
Q22;2014;230780082;750005068;3;;;;;3
Q22;2014;230782617;750000218;1;;;;;1
Q22;2014;240000372;240000059;;;;16;;16
Q22;2014;240000463;240000083;3;;;2;;5
Q22;2014;240000489;240000117;18;;;39;;57
Q22;2014;240000687;240000448;3;;;2;;5
Q22;2014;240003392;240000117;5;;;;;5
Q22;2014;250000023;250000015;5;;;1;;6
Q22;2014;250000114;900000365;15;1;0;14;5;35
Q22;2014;250000544;250002284;;;;2;;2
Q22;2014;250000619;250000452;3;0;0;0;0;3
Q22;2014;250000700;250000452;9;;;16;1;26
Q22;2014;250000718;250000460;9;1;;1;;11
Q22;2014;250000759;250000569;;;;6;;6
Q22;2014;250004009;900000365;;;;1;;1
Q22;2014;250006954;250000015;305;28;;35;3;371
Q22;2014;250014008;700004096;3;;;1;;4
Q22;2014;260000013;260000021;30;1;;45;2;78
Q22;2014;260000120;260016910;;;;26;;26
Q22;2014;260000138;260000047;;;;31;;31
Q22;2014;260000146;260000054;;;;3;;3
Q22;2014;260000823;260003264;1;;;;;1
Q22;2014;270000045;270000060;1;;;1;;2
Q22;2014;270000359;270023724;24;1;;22;16;63
Q22;2014;270000367;270000086;2;;;4;;6
Q22;2014;270000391;760024042;;;;4;2;6
Q22;2014;270000425;270000102;;;;;2;2
Q22;2014;270000458;270023724;4;;;3;;7
Q22;2014;270000573;270000219;7;0;0;0;0;7
Q22;2014;270000912;750814030;2;;;;;2
Q22;2014;270003924;760024042;;;;;1;1
Q22;2014;280000050;280000142;6;;;;;6
Q22;2014;280000084;280000183;14;;;13;1;28
Q22;2014;280000662;280500075;0;0;0;4;0;4
Q22;2014;280000696;280000134;1;;;;0;1
Q22;2014;280504267;280000134;18;1;;13;10;42
Q22;2014;290000025;290020700;42;1;0;35;1;79
Q22;2014;290000033;290021542;16;;;25;3;44
Q22;2014;290000058;290000017;86;4;6;12;1;109
Q22;2014;290000066;290020700;0;0;0;1;0;1
Q22;2014;290000140;290000447;1;;;;;1
Q22;2014;290000173;290000041;;;;14;;14
Q22;2014;290000181;290000074;2;;;8;;10
Q22;2014;290000256;290000017;;;;6;;6
Q22;2014;290000322;290000108;;;;1;;1
Q22;2014;290000728;750821092;23;;;32;;55
Q22;2014;290000785;220020739;;;;7;;7
Q22;2014;290000793;290000546;3;;;;;3
Q22;2014;290000918;290000298;4;;;3;;7
Q22;2014;290000934;290000306;;;;10;;10
Q22;2014;290000975;290000546;0;0;0;0;1;1
Q22;2014;290004324;290000017;131;14;;31;1;177
Q22;2014;290004340;290000017;18;;;6;;24
Q22;2014;290004365;290000017;1;;;;;1
Q22;2014;290005826;290020700;1;0;0;0;0;1
Q22;2014;290019777;290022508;1;;;;;1
Q22;2014;2A0000022;2A0000014;18;;;;4;22
Q22;2014;2A0000030;2A0000048;;;;1;;1
Q22;2014;2A0000287;2A0000386;0;1;0;2;0;3
Q22;2014;2A0002051;2A0000303;;;;2;;2
Q22;2014;2A0003174;2A0003166;;;;;1;1
Q22;2014;2B0000012;2B0000020;0;0;0;14;2;16
Q22;2014;300000023;300780046;20;1;0;9;0;30
Q22;2014;300000031;300780053;1;;;15;3;19
Q22;2014;300000064;300780087;1;;;;;1
Q22;2014;300000080;300780103;3;1;;;;4
Q22;2014;300002805;300780038;;;;1;;1
Q22;2014;300003308;300780038;10;;;;;10
Q22;2014;300013786;300780038;;;;1;;1
Q22;2014;300782117;300780038;136;14;1;79;12;242
Q22;2014;300782125;300780038;;;;4;;4
Q22;2014;300782141;300780038;4;;;9;;13
Q22;2014;310000310;310780671;;1;;11;;12
Q22;2014;310000369;310780754;12;2;;;;14
Q22;2014;310005459;310021886;0;0;0;1;0;1
Q22;2014;310009279;310780671;;;;1;;1
Q22;2014;310013628;310786256;3;0;0;0;0;3
Q22;2014;310016977;310781406;79;0;0;17;2;98
Q22;2014;310019351;310781406;38;0;1;3;6;48
Q22;2014;310021571;310021563;;;;1;;1
Q22;2014;310025333;310781406;46;0;0;4;1;51
Q22;2014;310780135;310000054;;;;1;;1
Q22;2014;310780259;310000096;1;;;;;1
Q22;2014;310780366;310000153;1;;;;;1
Q22;2014;310780374;310000161;;;;2;;2
Q22;2014;310780382;310000179;;;;1;;1
Q22;2014;310781067;310788898;12;1;;4;;17
Q22;2014;310781422;310781562;1;;;;;1
Q22;2014;310782339;310781406;0;0;0;2;0;2
Q22;2014;310782347;310789136;28;6;;;;34
Q22;2014;310782446;310782446;3;;;;;3
Q22;2014;310783048;310781406;243;0;0;31;12;286
Q22;2014;310783055;310781406;173;106;21;8;12;320
Q22;2014;310783063;310781406;32;0;0;2;0;34
Q22;2014;310783097;750005068;1;;;;;1
Q22;2014;310787304;310781406;4;0;0;19;0;23
Q22;2014;310792874;310788997;1;;;;;1
Q22;2014;320000086;320780117;;;;31;;31
Q22;2014;320000094;320780125;4;;;;1;5
Q22;2014;330000332;330780545;2;;;5;;7
Q22;2014;330000340;330780552;8;;;;;8
Q22;2014;330000555;330781204;3;1;;16;1;21
Q22;2014;330000571;330781220;;;;6;;6
Q22;2014;330000589;330027509;2;0;0;12;0;14
Q22;2014;330000597;330027509;0;0;0;3;0;3
Q22;2014;330000605;330781253;35;3;;33;1;72
Q22;2014;330000639;330781287;54;2;;;2;58
Q22;2014;330000647;330781295;13;1;;1;;15
Q22;2014;330000662;330781329;39;2;;3;1;45
Q22;2014;330780081;330000043;3;;;;;3
Q22;2014;330780495;330796392;3;;;2;;5
Q22;2014;330780529;330796392;3;;;;11;14
Q22;2014;330780636;330785072;6;;;;;6
Q22;2014;330780750;330056540;2;;;;;2
Q22;2014;330781139;330056540;3;;;1;;4
Q22;2014;330781154;330055542;2;;;;;2
Q22;2014;330781188;330056540;1;;;;;1
Q22;2014;330781303;750821092;14;;;28;;42
Q22;2014;330781337;330781196;14;0;0;0;0;14
Q22;2014;330781352;330781196;81;10;2;1;0;94
Q22;2014;330781360;330781196;348;32;16;0;9;405
Q22;2014;330781402;330000670;1;;;;;1
Q22;2014;330783648;330781196;148;26;;1;0;175
Q22;2014;330783721;330781253;5;;;2;;7
Q22;2014;330802752;330781196;4;0;;0;0;4
Q22;2014;340000025;340780048;3;0;0;0;0;3
Q22;2014;340000033;340780055;21;3;0;29;5;58
Q22;2014;340000207;340780493;33;1;;;3;37
Q22;2014;340000223;340011295;5;0;0;21;0;26
Q22;2014;340001064;340013028;2;;;;7;9
Q22;2014;340008275;340780477;4;;;4;;8
Q22;2014;340015502;340000512;4;;;;;4
Q22;2014;340016732;340780055;2;;;;;2
Q22;2014;340019090;340019082;1;;;;;1
Q22;2014;340020445;340021559;;;;1;;1
Q22;2014;340780139;340000090;;;;;1;1
Q22;2014;340780485;340780477;19;;;1;;20
Q22;2014;340780634;340000272;3;;;;;3
Q22;2014;340780642;340785856;8;;;4;;12
Q22;2014;340780667;340000280;4;;;2;;6
Q22;2014;340780725;340016864;;;;1;;1
Q22;2014;340780790;340000389;1;;;;;1
Q22;2014;340781608;340015171;1;;;;1;2
Q22;2014;340782036;340780477;89;6;;31;11;137
Q22;2014;340782085;340780477;86;2;1;7;3;99
Q22;2014;340785161;340780477;140;23;;60;18;241
Q22;2014;340787266;340011295;0;0;0;1;0;1
Q22;2014;340789981;340001866;1;;;;;1
Q22;2014;340796093;340796069;;;;1;;1
Q22;2014;340796663;340780477;112;4;;18;7;141
Q22;2014;350000014;350005179;2;0;0;4;0;6
Q22;2014;350000063;220020739;2;;;;;2
Q22;2014;350000121;350000303;2;;;;;2
Q22;2014;350000139;350001137;5;;;;;5
Q22;2014;350000147;350000022;19;1;;20;2;42
Q22;2014;350000154;350000030;;;;13;;13
Q22;2014;350000162;350000048;0;0;0;10;0;10
Q22;2014;350000188;350000055;;;;10;;10
Q22;2014;350000337;350000246;30;2;;3;;35
Q22;2014;350000741;350005179;188;30;1;31;4;254
Q22;2014;350002192;220020739;;;;1;;1
Q22;2014;350002200;350029948;3;;;;;3
Q22;2014;350002234;750720575;2;;;;;2
Q22;2014;350002564;350046199;2;;;;;2
Q22;2014;350002812;350023503;17;2;;;5;24
Q22;2014;350005021;440042844;;;;6;;6
Q22;2014;350005146;350000733;2;;;;;2
Q22;2014;350006771;350005179;0;0;0;3;0;3
Q22;2014;350007084;350005179;84;3;0;15;0;102
Q22;2014;350008579;350039673;1;;;;;1
Q22;2014;350016135;350000055;;;;1;;1
Q22;2014;350036299;350036281;1;;;;;1
Q22;2014;360000137;360000053;4;;;18;4;26
Q22;2014;370000374;750721334;2;;;;;2
Q22;2014;370000499;370000481;31;2;;7;2;42
Q22;2014;370000515;370000481;;;;4;;4
Q22;2014;370000531;370000606;12;0;0;;0;12
Q22;2014;370000580;370000564;;;;3;;3
