BOR;AN;FI;FI_EJ;EQUIPIMA;NB;NBEXP;ACTET;ACTEXET;ACTEXEJ;ACTEX;ACTNUI;ACTINT
IMAGES;2014;060780491;060790797;VASC;1;;;;;;;
IMAGES;2014;060780517;060000239;IRM;1;;;;;;;
IMAGES;2014;060780517;060000239;LITHO;1;;;;;;;
IMAGES;2014;060780517;060000239;SCAN;1;;;;;;;
IMAGES;2014;060780590;060000270;MAMM;1;;;;;;;
IMAGES;2014;060780590;060000270;RADIO;2;;;;;;;
IMAGES;2014;060780715;060000361;IRM;1;1;162;;;11282;;0
IMAGES;2014;060780715;060000361;RADIO;3;3;9331;;;17777;151;1
IMAGES;2014;060780715;060000361;SCAN;1;1;2506;;;16687;7;1
IMAGES;2014;060780715;060000361;VASC;3;3;2981;;;;;1
IMAGES;2014;060780723;060004959;RADIO;2;2;3392;;;;;1
IMAGES;2014;060780723;060004959;SCAN;1;1;647;;;;;1
IMAGES;2014;060780723;060004959;VASC;1;1;766;;;;;1
IMAGES;2014;060780947;060800174;RADIO;4;4;5625;;;22806;;
IMAGES;2014;060780996;630786754;RADIO;1;1;559;;;;;1
IMAGES;2014;060781200;060000635;LITHO;1;1;292;;;;;
IMAGES;2014;060781200;060000635;RADIO;5;5;2180;;;;;
IMAGES;2014;060785003;060785011;IRM;1;1;1627;;;5588;31;0
IMAGES;2014;060785003;060785011;LITHO;1;1;126;;;4;;0
IMAGES;2014;060785003;060785011;RADIO;4;4;18205;;;4840;105;0
IMAGES;2014;060785003;060785011;SCAN;1;1;4824;;;6708;42;1
IMAGES;2014;060785003;060785011;VASC;1;1;51;;;26;;0
IMAGES;2014;060788957;060785011;RADIO;1;1;2874;;;52;;0
IMAGES;2014;060789195;060785011;CAM;1;1;1141;;;2574;18;0
IMAGES;2014;060789195;060785011;IRM;1;1;1685;;;7070;36;
IMAGES;2014;060789195;060785011;RADIO;5;5;26372;;;10694;239;
IMAGES;2014;060789195;060785011;SCAN;2;2;3909;;;15615;74;1
IMAGES;2014;060789195;060785011;TOMO;1;1;93;;;2049;;0
IMAGES;2014;060789674;130037815;RADIO;1;1;5491;;;;;0
IMAGES;2014;060791811;750826638;RADIO;2;2;7290;;215;111;;1
IMAGES;2014;060794013;060790797;CAM;1;;;;;;;
IMAGES;2014;060794013;060790797;IRM;1;;;;;;;
IMAGES;2014;060794013;060790797;SCAN;1;;;;;;;
IMAGES;2014;060794013;060790797;VASC;3;3;6625;30;0;0;10;1
IMAGES;2014;060798881;060798873;RADIO;1;1;741;;;;;
IMAGES;2014;060800174;060800174;IRM;1;1;0;644;;8295;;0
IMAGES;2014;060800174;060800174;SCAN;1;1;0;812;;9420;;0
IMAGES;2014;070000013;070002878;LITHO;1;1;54;;;;;0
IMAGES;2014;070000013;070002878;MAMM;1;1;;;;1031;;
IMAGES;2014;070000013;070002878;RADIO;2;2;2693;;;10240;;1
IMAGES;2014;070000013;070002878;SCAN;1;1;2475;;;4240;14;1
IMAGES;2014;070000070;070780150;RADIO;1;1;130;;;618;;
IMAGES;2014;070000179;070780358;IRM;1;1;732;;;10913;1;0
IMAGES;2014;070000179;070780358;MAMM;1;1;;;;;;
IMAGES;2014;070000179;070780358;RADIO;3;3;9625;;;20638;219;1
IMAGES;2014;070000179;070780358;SCAN;1;1;4173;;;10911;35;1
IMAGES;2014;070000195;070780374;RADIO;1;1;759;;;2;;
IMAGES;2014;070000609;070005566;IRM;1;1;453;;;9583;2;0
IMAGES;2014;070000609;070005566;MAMM;1;1;;;;1563;;
IMAGES;2014;070000609;070005566;RADIO;2;2;3878;;;26323;190;0
IMAGES;2014;070000609;070005566;SCAN;1;1;4211;;;19406;138;0
IMAGES;2014;070780424;070000245;IRM;1;;;;;;;
IMAGES;2014;070780424;070000245;LITHO;1;1;136;;;;;1
IMAGES;2014;070780424;070000245;MAMM;1;;;;;;;
IMAGES;2014;070780424;070000245;RADIO;4;;;;;;;
IMAGES;2014;070780424;070000245;SCAN;1;;;;;;;
IMAGES;2014;070780424;070000245;VASC;1;;;;;;;
IMAGES;2014;080000110;080000037;RADIO;3;3;3108;;58;14778;238;0
IMAGES;2014;080000110;080000037;SCAN;1;1;1608;;0;5365;48;0
IMAGES;2014;080000219;080001969;MAMM;1;1;;;;;;
IMAGES;2014;080000219;080001969;RADIO;3;3;3910;20;;6951;141;0
IMAGES;2014;080000219;080001969;SCAN;1;1;1901;486;;4103;12;0
IMAGES;2014;080000276;080001969;RADIO;2;2;1930;0;0;3188;35;0
IMAGES;2014;080000284;080000060;MAMM;1;1;;;;1247;;
IMAGES;2014;080000284;080000060;RADIO;2;2;180;;;4808;;0
IMAGES;2014;080000425;080000615;CAM;2;2;335;0;8;2782;0;0
IMAGES;2014;080000425;080000615;IRM;2;2;916;1;33;3980;44;0
IMAGES;2014;080000425;080000615;LITHO;1;1;71;0;0;0;0;0
IMAGES;2014;080000425;080000615;RADIO;6;6;14243;69;2196;43189;653;1
IMAGES;2014;080000425;080000615;SCAN;2;2;3445;25;275;10757;138;1
IMAGES;2014;080000425;080000615;VASC;1;1;177;0;0;0;0;1
IMAGES;2014;090000019;090180019;RADIO;1;1;1503;;;;;0
IMAGES;2014;090000175;090781774;IRM;1;1;423;4;;6949;12;0
IMAGES;2014;090000175;090781774;MAMM;1;1;;;;1155;;
IMAGES;2014;090000175;090781774;RADIO;5;5;12266;;;27662;585;1
IMAGES;2014;090000175;090781774;SCAN;1;1;5768;33;;11115;113;0
IMAGES;2014;090000183;090781816;RADIO;2;2;3401;;;6727;146;0
IMAGES;2014;090000183;090781816;SCAN;1;1;2385;;;3078;17;0
IMAGES;2014;090001629;090780107;RADIO;2;2;223;0;0;4565;32;0
IMAGES;2014;100000090;100000017;CAM;2;2;881;;;4012;0;0
IMAGES;2014;100000090;100000017;IRM;1;1;3090;;;6990;169;0
IMAGES;2014;100000090;100000017;LITHO;1;1;99;;;;0;0
IMAGES;2014;100000090;100000017;MAMM;2;2;;;;9048;;
IMAGES;2014;100000090;100000017;RADIO;6;6;29136;;;28535;477;1
IMAGES;2014;100000090;100000017;SCAN;2;2;26050;;;16790;543;1
IMAGES;2014;100000090;100000017;VASC;1;1;1063;;;0;;1
IMAGES;2014;100000124;100009075;IRM;1;;;;;;;
IMAGES;2014;100000124;100009075;SCAN;1;;;;;;;
IMAGES;2014;100000199;100006279;RADIO;2;2;2913;;;12363;208;1
IMAGES;2014;100000199;100006279;SCAN;1;1;1495;246;26;2718;35;0
IMAGES;2014;100002351;100000561;IRM;1;1;63;;;5968;;0
IMAGES;2014;100002351;100000561;SCAN;1;1;1439;;265;6716;;0
IMAGES;2014;110000023;110780061;CAM;2;2;336;;18;2100;;0
IMAGES;2014;110000023;110780061;IRM;1;1;1745;8;2;2606;18;0
IMAGES;2014;110000023;110780061;RADIO;4;4;18420;72;22;;834;0
IMAGES;2014;110000023;110780061;SCAN;1;1;8712;46;5;4583;210;0
IMAGES;2014;110000023;110780061;VASC;2;2;702;;;;5;1
IMAGES;2014;110000049;110780087;MAMM;1;1;;;;548;;
IMAGES;2014;110000049;110780087;RADIO;3;3;1186;;;10618;;
IMAGES;2014;110000049;110780087;SCAN;1;1;604;;;4763;;
IMAGES;2014;110000056;110780137;IRM;1;1;863;7;647;3977;28;0
IMAGES;2014;110000056;110780137;MAMM;1;1;;;;506;;
IMAGES;2014;110000056;110780137;RADIO;3;3;12915;104;;19597;376;1
IMAGES;2014;110000056;110780137;SCAN;1;1;4599;74;783;3564;55;1
IMAGES;2014;110780228;110000114;IRM;1;;;;;;;
IMAGES;2014;110780228;110000114;RADIO;3;;;;;;;
IMAGES;2014;110780228;110000114;SCAN;1;;;;;;;
IMAGES;2014;110780228;110000114;VASC;1;;;;;;;
IMAGES;2014;110786324;110786324;RADIO;1;1;916;;;;;
IMAGES;2014;120000039;120780044;CAM;2;2;624;;;2833;;
IMAGES;2014;120000039;120780044;IRM;1;1;796;;;3228;15;
IMAGES;2014;120000039;120780044;MAMM;1;1;;;;985;;
IMAGES;2014;120000039;120780044;RADIO;3;3;9852;;;28283;608;
IMAGES;2014;120000039;120780044;SCAN;1;1;5138;;;9707;205;
IMAGES;2014;120000039;120780044;TOMO;1;1;14;;;1332;;
IMAGES;2014;120000039;120780044;VASC;2;2;104;;;67;2;
IMAGES;2014;120000054;120780069;IRM;1;1;107;;;3291;;0
IMAGES;2014;120000054;120780069;MAMM;1;1;;;;2911;;
IMAGES;2014;120000054;120780069;RADIO;10;2;4247;;;20247;;
IMAGES;2014;120000054;120780069;SCAN;1;1;1319;;;4896;;0
IMAGES;2014;120000070;120780085;RADIO;2;2;3803;225;0;5074;82;
IMAGES;2014;120000070;120780085;SCAN;1;1;1479;66;1007;1426;16;
IMAGES;2014;120000088;120780093;RADIO;1;1;351;0;0;0;0;
IMAGES;2014;120000096;120780101;RADIO;1;1;570;;;360;;0
IMAGES;2014;120004569;120004528;IRM;1;1;237;;55;5214;6;0
IMAGES;2014;120004569;120004528;MAMM;1;1;;;;1520;;
IMAGES;2014;120004569;120004528;RADIO;3;3;5526;;;16555;129;1
IMAGES;2014;120004569;120004528;SCAN;1;1;2333;;40;6433;23;1
IMAGES;2014;120004668;120004619;MAMM;1;1;;;;;;
IMAGES;2014;120004668;120004619;RADIO;2;2;2410;0;0;10450;40;0
IMAGES;2014;120004668;120004619;SCAN;1;1;1245;0;0;1829;15;0
IMAGES;2014;130000409;130041916;CAM;2;2;1085;;;3448;;
IMAGES;2014;130000409;130041916;IRM;1;1;1538;;;1033;95;
IMAGES;2014;130000409;130041916;LITHO;1;1;;;;;;
IMAGES;2014;130000409;130041916;MAMM;1;1;;;;;;
IMAGES;2014;130000409;130041916;RADIO;4;4;30938;;;28433;12848;
IMAGES;2014;130000409;130041916;SCAN;2;2;17193;;;5008;2506;
IMAGES;2014;130000409;130041916;VASC;2;2;;;;;;1
IMAGES;2014;130000433;130781131;RADIO;1;;;;;;;
IMAGES;2014;130000516;130781339;RADIO;2;2;2537;111;;1834;;0
IMAGES;2014;130000565;130781446;IRM;1;1;2;;;346;;
IMAGES;2014;130000565;130781446;RADIO;3;3;5703;;;25412;614;0
IMAGES;2014;130000565;130781446;SCAN;1;1;2000;;;10010;13;0
IMAGES;2014;130001225;130782634;RADIO;3;3;7207;;;21726;396;1
IMAGES;2014;130001225;130782634;SCAN;1;1;5420;;;17659;48;1
IMAGES;2014;130001258;130028228;RADIO;1;1;662;;;462;;0
IMAGES;2014;130001647;130784127;CAM;2;2;198;;;3753;;0
IMAGES;2014;130001647;130784127;IRM;1;1;335;;;3390;;0
IMAGES;2014;130001647;130784127;MAMM;1;1;;;;;;
IMAGES;2014;130001647;130784127;RADIO;1;1;7538;;;2513;;0
IMAGES;2014;130001647;130784127;SCAN;2;2;2496;;;18304;14;1
IMAGES;2014;130001647;130784127;TOMO;1;1;112;;;3617;;0
IMAGES;2014;130001647;130784127;VASC;1;1;135;;;;1;1
IMAGES;2014;130002215;130785512;RADIO;2;2;4157;0;0;13553;237;1
IMAGES;2014;130002215;130785512;SCAN;1;1;2673;;;9645;11;1
IMAGES;2014;130002827;130789274;IRM;1;1;246;;;1774;;0
IMAGES;2014;130002827;130789274;RADIO;4;4;9507;;;15698;376;
IMAGES;2014;130002827;130789274;SCAN;1;1;4560;;;12635;67;0
IMAGES;2014;130002835;130789316;IRM;1;1;379;89;0;5760;42;0
IMAGES;2014;130002835;130789316;LITHO;1;1;4;0;0;0;0;
IMAGES;2014;130002835;130789316;MAMM;1;1;;;;1478;;
IMAGES;2014;130002835;130789316;RADIO;3;3;8905;166;0;12441;452;0
IMAGES;2014;130002835;130789316;SCAN;1;1;4347;158;0;7522;98;0
IMAGES;2014;130037922;130037823;CAM;2;2;352;;8070;;;0
IMAGES;2014;130037922;130037823;IRM;1;1;579;;30368;;;0
IMAGES;2014;130037922;130037823;LITHO;1;1;735;;;;;0
IMAGES;2014;130037922;130037823;RADIO;3;3;8700;;22486;;66;1
IMAGES;2014;130037922;130037823;SCAN;1;1;3241;;28364;;10;1
IMAGES;2014;130041767;130041262;VASC;2;2;1371;;17;;;1
IMAGES;2014;130042096;130042062;IRM;1;1;30;;;;1;1
IMAGES;2014;130042096;130042062;LITHO;1;0;;;;;;
IMAGES;2014;130042096;130042062;MAMM;1;0;;;;;;
IMAGES;2014;130042096;130042062;RADIO;2;2;892;;;;;
IMAGES;2014;130042096;130042062;SCAN;1;1;442;;;;;
IMAGES;2014;130042096;130042062;VASC;2;2;2712;;;;3;
IMAGES;2014;130042526;310021399;RADIO;1;1;1650;0;0;0;0;0
IMAGES;2014;130043664;130002157;IRM;2;;;;;;;
IMAGES;2014;130043664;130002157;MAMM;2;;;;;;;
IMAGES;2014;130043664;130002157;RADIO;4;;;;;;;
IMAGES;2014;130043664;130002157;SCAN;2;;;;;;;
IMAGES;2014;130043664;130002157;VASC;2;;;;;;;
IMAGES;2014;130780521;130786049;CAM;2;2;813;;;3993;;
IMAGES;2014;130780521;130786049;IRM;1;1;1728;;;5008;13;
IMAGES;2014;130780521;130786049;MAMM;1;1;;;;;;
IMAGES;2014;130780521;130786049;RADIO;12;12;48956;;;34923;780;
IMAGES;2014;130780521;130786049;SCAN;2;2;16256;;;11540;369;
IMAGES;2014;130780521;130786049;TOMO;1;1;296;;;3357;;
IMAGES;2014;130780521;130786049;VASC;1;1;1355;;;474;12;
IMAGES;2014;130781438;130000557;RADIO;1;1;835;0;0;0;0;0
IMAGES;2014;130781479;130000599;CAM;2;2;170;0;347;3632;;0
IMAGES;2014;130781479;130000599;IRM;1;1;221;;9;12560;516;0
IMAGES;2014;130781479;130000599;MAMM;2;2;;;;5099;;
IMAGES;2014;130781479;130000599;RADIO;3;3;9898;;;17382;373;1
IMAGES;2014;130781479;130000599;SCAN;1;1;2446;;220;15714;470;1
IMAGES;2014;130781479;130000599;TOMO;1;1;2;0;36;757;;0
IMAGES;2014;130781479;130000599;VASC;3;3;2831;;;;17;1
IMAGES;2014;130782071;130002454;IRM;1;;;;;;;
IMAGES;2014;130782071;130002454;MAMM;1;;;;;;;
IMAGES;2014;130782071;130002454;RADIO;3;;;;;;;
IMAGES;2014;130782071;130002454;SCAN;1;;;;;;;
IMAGES;2014;130782147;130000979;IRM;1;;;;;;;
IMAGES;2014;130782147;130000979;MAMM;1;;;;;;;
IMAGES;2014;130782147;130000979;RADIO;3;;;;;;;
IMAGES;2014;130782147;130000979;SCAN;1;;;;;;;
IMAGES;2014;130782147;130000979;VASC;1;;;;;;;
IMAGES;2014;130782162;130000987;LITHO;1;1;195;;;;;
IMAGES;2014;130782162;130000987;MAMM;1;1;;;;;;
IMAGES;2014;130782162;130000987;RADIO;2;2;1594;;;21461;;0
IMAGES;2014;130783236;130786049;IRM;1;1;1229;;;4253;11;
IMAGES;2014;130783236;130786049;RADIO;10;10;41451;;;17445;982;
IMAGES;2014;130783236;130786049;SCAN;1;1;8474;;;6012;446;
IMAGES;2014;130783293;130786049;CAM;4;4;1947;;;6449;0;0
IMAGES;2014;130783293;130786049;IRM;3;3;7809;;;9320;159;0
IMAGES;2014;130783293;130786049;MAMM;3;3;;;;;;
IMAGES;2014;130783293;130786049;RADIO;9;9;46934;;;29943;494;1
IMAGES;2014;130783293;130786049;SCAN;3;3;2772;;;17920;727;1
IMAGES;2014;130783293;130786049;TOMO;1;1;1006;;;2060;1;0
IMAGES;2014;130783293;130786049;VASC;4;4;5502;;;1092;47;1
IMAGES;2014;130783293;130786049;dtIRM2;1;1;2076;;;2839;;0
IMAGES;2014;130783327;130001415;IRM;1;1;13;;;1749;;1
IMAGES;2014;130783327;130001415;MAMM;1;;;;;;;
IMAGES;2014;130783327;130001415;RADIO;1;;;;;;;1
IMAGES;2014;130783327;130001415;SCAN;1;1;1326;;;12026;;1
IMAGES;2014;130783665;130043722;MAMM;1;1;;;;;;
IMAGES;2014;130783665;130043722;RADIO;5;5;750;;;;;1
IMAGES;2014;130783723;130001456;RADIO;2;2;4809;;;12691;1682;
IMAGES;2014;130784051;130037823;CAM;3;3;795;;9326;;0;0
IMAGES;2014;130784051;130037823;IRM;2;2;7274;;34038;;3;1
IMAGES;2014;130784051;130037823;MAMM;1;1;;;;;;
IMAGES;2014;130784051;130037823;RADIO;3;3;22560;;17017;;64;1
