BOR;AN;FI;FI_EJ;DISCI;ETP_SAL;ETP_HU;ETP_MAD;ETP_INT;EFF_LIB
Q21;2014;010780492;360000707;2400;6.16;;;;
Q21;2014;010780492;360000707;9999;6.16;;;;
Q21;2014;010780708;310021381;2000;3.5;;;;
Q21;2014;010780708;310021381;2400;3.5;;;;
Q21;2014;010780708;310021381;9999;3.5;;;;
Q21;2014;010780799;750721334;2000;3.16;;;;
Q21;2014;010780799;750721334;2400;3.16;;;;
Q21;2014;010780799;750721334;9999;3.16;;;;
Q21;2014;010786259;010008407;2000;0.48;0;;0;0
Q21;2014;010786259;010008407;2500;0.48;0;;0;0
Q21;2014;010786259;010008407;9999;0.48;0;;0;0
Q21;2014;010789006;670005834;2000;1.3;;0.3;;
Q21;2014;010789006;670005834;2100;1.3;;0.3;;
Q21;2014;010789006;670005834;9999;1.3;;0.3;;
Q21;2014;010789717;010008407;2000;0.93;0;;0;0
Q21;2014;010789717;010008407;2500;0.93;0;;0;0
Q21;2014;010789717;010008407;9999;0.93;0;;0;0
Q21;2014;020000089;020000022;2000;7.97;;;;
Q21;2014;020000089;020000022;2100;4.62;;;;
Q21;2014;020000089;020000022;2300;0.35;;;;
Q21;2014;020000089;020000022;2400;2.5;;;;
Q21;2014;020000089;020000022;2500;0.5;;;;
Q21;2014;020000089;020000022;9999;7.97;;;;
Q21;2014;020000097;020000048;2000;8.9;;;;
Q21;2014;020000097;020000048;2100;6.9;;;;
Q21;2014;020000097;020000048;2400;2;;;;
Q21;2014;020000097;020000048;9999;8.9;;;;
Q21;2014;020000105;020000055;1000;1.23;;;;
Q21;2014;020000105;020000055;2000;3.31;;;;
Q21;2014;020000105;020000055;2100;1.84;;;;
Q21;2014;020000105;020000055;2300;0.25;;;;
Q21;2014;020000105;020000055;2400;1.22;;;;
Q21;2014;020000105;020000055;9999;4.54;;;;
Q21;2014;020000162;020000063;1000;1.1;0;0;0;
Q21;2014;020000162;020000063;2000;154.85;0;13.3;76.77;
Q21;2014;020000162;020000063;2100;150.45;0;13.3;76.77;
Q21;2014;020000162;020000063;2400;3.7;0;0;0;
Q21;2014;020000162;020000063;2500;0.7;0;0;0;
Q21;2014;020000162;020000063;9999;155.95;0;13.3;76.77;
Q21;2014;020000246;020000071;1000;0.42;;;;
Q21;2014;020000246;020000071;2000;4.02;;;;
Q21;2014;020000246;020000071;2100;4.02;;;;
Q21;2014;020000246;020000071;9999;4.44;;;;
Q21;2014;020000303;750814030;1000;3.81;;0.2;;
Q21;2014;020000303;750814030;2000;18;;0.33;;
Q21;2014;020000303;750814030;2400;18;;0.33;;
Q21;2014;020000303;750814030;9999;21.81;;0.53;;
Q21;2014;020000360;020014742;2000;2;;;;33
Q21;2014;020000360;020014742;2100;2;;;;33
Q21;2014;020000360;020014742;9999;2;;;;33
Q21;2014;020000386;020000600;2000;1.06;;;;6
Q21;2014;020000386;020000600;2100;;;;;1
Q21;2014;020000386;020000600;2200;1.06;;;;5
Q21;2014;020000386;020000600;9999;1.06;;;;6
Q21;2014;020000394;020000253;1000;2.48;0;0;0;
Q21;2014;020000394;020000253;2000;94.41;0;0;13.76;
Q21;2014;020000394;020000253;2100;94.41;0;0;13.76;
Q21;2014;020000394;020000253;9999;96.89;0;0;13.76;
Q21;2014;020000519;020000261;2000;124.48;;;26.54;3
Q21;2014;020000519;020000261;2100;113.82;;;26.54;3
Q21;2014;020000519;020000261;2200;0.6;;;;
Q21;2014;020000519;020000261;2400;8.06;;;;
Q21;2014;020000519;020000261;2500;2;;;;
Q21;2014;020000519;020000261;9999;124.48;;;26.54;3
Q21;2014;020000535;020000287;1000;;;2.15;;
Q21;2014;020000535;020000287;2000;53.99;;;11.81;11
Q21;2014;020000535;020000287;2100;51;;;11.81;11
Q21;2014;020000535;020000287;2400;2;;;;
Q21;2014;020000535;020000287;2500;0.99;;;;
Q21;2014;020000535;020000287;9999;53.99;;2.15;11.81;11
Q21;2014;020000543;020000295;2000;54.5;;;1.83;
Q21;2014;020000543;020000295;2200;54.5;;;1.83;
Q21;2014;020000543;020000295;9999;54.5;;;1.83;
Q21;2014;020000915;020003620;2000;12.36;;0.3;;
Q21;2014;020000915;020003620;2400;12.36;;0.3;;
Q21;2014;020000915;020003620;9999;12.36;;0.3;;
Q21;2014;020001061;020004404;1000;1.6;;;;
Q21;2014;020001061;020004404;2000;66.13;;;6.26;16
Q21;2014;020001061;020004404;2100;66.13;;;6.26;16
Q21;2014;020001061;020004404;9999;67.73;;;6.26;16
Q21;2014;020001087;020004495;2000;25.25;;;;
Q21;2014;020001087;020004495;2100;24.25;;;;
Q21;2014;020001087;020004495;2400;1;;;;
Q21;2014;020001087;020004495;9999;25.25;;;;
Q21;2014;020001772;590799995;2000;;;;;4
Q21;2014;020001772;590799995;2100;;;;;4
Q21;2014;020001772;590799995;9999;;;;;4
Q21;2014;020001913;590799995;2000;;;;;5
Q21;2014;020001913;590799995;2100;;;;;5
Q21;2014;020001913;590799995;9999;;;;;5
Q21;2014;020003877;020000253;2000;3.64;0;0;0.5;
Q21;2014;020003877;020000253;2400;3.64;0;0;0.5;
Q21;2014;020003877;020000253;9999;3.64;0;0;0.5;
Q21;2014;020004156;590805065;2000;0.5;;;;12
Q21;2014;020004156;590805065;2200;0.5;;;;12
Q21;2014;020004156;590805065;9999;0.5;;;;12
Q21;2014;020004297;020005179;2000;0.4;;;;
Q21;2014;020004297;020005179;2300;0.4;;;;
Q21;2014;020004297;020005179;9999;0.4;;;;
Q21;2014;020004677;020000261;2000;0.64;0.64;;;
Q21;2014;020004677;020000261;2500;0.64;0.64;;;
Q21;2014;020004677;020000261;9999;0.64;0.64;;;
Q21;2014;020005476;020000253;2000;1.2;0;0;0;
Q21;2014;020005476;020000253;2500;1.2;0;0;0;
Q21;2014;020005476;020000253;9999;1.2;0;0;0;
Q21;2014;020006441;590799995;2000;;;;;4
Q21;2014;020006441;590799995;2100;;;;;4
Q21;2014;020006441;590799995;9999;;;;;4
Q21;2014;020006664;020000063;2000;9.5;0;0;3;
Q21;2014;020006664;020000063;2200;9.5;0;0;3;
Q21;2014;020006664;020000063;9999;9.5;0;0;3;
Q21;2014;020009684;020002085;2000;1.35;;;;
Q21;2014;020009684;020002085;2500;1.35;;;;
Q21;2014;020009684;020002085;9999;1.35;;;;
Q21;2014;020010047;020001632;2000;1.8;;;;59
Q21;2014;020010047;020001632;2100;1.8;;;;59
Q21;2014;020010047;020001632;9999;1.8;;;;59
Q21;2014;020010310;750719361;2000;0.27;;;;
Q21;2014;020010310;750719361;2400;0.27;;;;
Q21;2014;020010310;750719361;9999;0.27;;;;
Q21;2014;020010898;750721334;2000;0.3;;;;23
Q21;2014;020010898;750721334;2300;0.3;;;;23
Q21;2014;020010898;750721334;9999;0.3;;;;23
Q21;2014;020011698;020006318;2000;0.4;;;;0
Q21;2014;020011698;020006318;2300;0.4;;;;0
Q21;2014;020011698;020006318;9999;0.4;;;;0
Q21;2014;020012613;590799995;2000;;;;;4
Q21;2014;020012613;590799995;2100;;;;;4
Q21;2014;020012613;590799995;9999;;;;;4
Q21;2014;020012860;590799995;2000;;;;;4
Q21;2014;020012860;590799995;2100;;;;;4
Q21;2014;020012860;590799995;9999;;;;;4
Q21;2014;020014767;590805065;2000;0;;;;41
Q21;2014;020014767;590805065;2300;0;;;;41
Q21;2014;020014767;590805065;9999;0;;;;41
Q21;2014;030000012;030180020;2000;4.06;;0.2;;
Q21;2014;030000012;030180020;2400;4.06;;0.2;;
Q21;2014;030000012;030180020;9999;4.06;;0.2;;
Q21;2014;030000061;030780092;1000;2;;;0.16;
Q21;2014;030000061;030780092;2000;133.85;;0.7;31.21;2
Q21;2014;030000061;030780092;2100;111.41;;;25.71;2
Q21;2014;030000061;030780092;2200;18.71;;0.5;4.9;
Q21;2014;030000061;030780092;2300;0.12;;;;
Q21;2014;030000061;030780092;2400;2.38;;0.2;0.6;
Q21;2014;030000061;030780092;2500;1.23;;;;
Q21;2014;030000061;030780092;9999;135.85;;0.7;31.37;2
Q21;2014;030000079;030780100;1000;1;;;;
Q21;2014;030000079;030780100;2000;85.89;;;35.56;
Q21;2014;030000079;030780100;2100;82.27;;;34.72;
Q21;2014;030000079;030780100;2300;1;;;;
Q21;2014;030000079;030780100;2400;1.62;;;0.84;
Q21;2014;030000079;030780100;2500;1;;;;
Q21;2014;030000079;030780100;9999;86.89;;;35.56;
Q21;2014;030000087;030780118;2000;128.08;0;3.01;49.58;8
Q21;2014;030000087;030780118;2100;111.62;0;3.01;46.08;7
Q21;2014;030000087;030780118;2200;9.38;0;0;2.84;1
Q21;2014;030000087;030780118;2300;1;0;0;0;
Q21;2014;030000087;030780118;2400;3.98;0;0;0.66;
Q21;2014;030000087;030780118;2500;2.1;0;0;0;
Q21;2014;030000087;030780118;9999;128.08;0;3.01;49.58;8
Q21;2014;030000095;030780126;1000;0.6;;;;
Q21;2014;030000095;030780126;2000;0.2;;;;3
Q21;2014;030000095;030780126;2100;;;;;1
Q21;2014;030000095;030780126;2400;0.2;;;;2
Q21;2014;030000095;030780126;9999;0.8;;;;3
Q21;2014;030000160;030780282;2000;8.71;;0.5;;
Q21;2014;030000160;030780282;2200;7.31;;0.5;;
Q21;2014;030000160;030780282;2500;1.4;;;;
Q21;2014;030000160;030780282;9999;8.71;;0.5;;
Q21;2014;030001689;030005821;2000;0;;;;3
Q21;2014;030001689;030005821;2100;0;;;;3
Q21;2014;030001689;030005821;9999;0;;;;3
Q21;2014;030002208;030002158;1000;1.02;;;;
Q21;2014;030002208;030002158;2000;5.86;;;0.43;1
Q21;2014;030002208;030002158;2100;0;;;;1
Q21;2014;030002208;030002158;2400;5.86;;;0.43;
Q21;2014;030002208;030002158;9999;6.88;;;0.43;1
Q21;2014;030003669;630000990;2000;0.57;;;;
Q21;2014;030003669;630000990;2100;0.57;;;;
Q21;2014;030003669;630000990;9999;0.57;;;;
Q21;2014;030003719;630000990;2000;0.15;;;;
Q21;2014;030003719;630000990;2100;0.15;;;;
Q21;2014;030003719;630000990;9999;0.15;;;;
Q21;2014;030003768;630000990;2000;0.54;;;;
Q21;2014;030003768;630000990;2100;0.54;;;;
Q21;2014;030003768;630000990;9999;0.54;;;;
Q21;2014;030780548;030000194;1000;1.09;;;;
Q21;2014;030780548;030000194;2000;2.13;;;;42
Q21;2014;030780548;030000194;2100;0.23;;;;42
Q21;2014;030780548;030000194;2400;1.9;;;;
Q21;2014;030780548;030000194;9999;3.22;;;;42
Q21;2014;030781116;030000426;1000;0.77;;;;
Q21;2014;030781116;030000426;2000;3.71;;;;89
Q21;2014;030781116;030000426;2100;2.71;;;;89
Q21;2014;030781116;030000426;2400;1;;;;
Q21;2014;030781116;030000426;9999;4.48;;;;89
Q21;2014;030781637;030780100;2000;8.56;;;1.16;
Q21;2014;030781637;030780100;2100;0.5;;;;
Q21;2014;030781637;030780100;2200;8.06;;;1.16;
Q21;2014;030781637;030780100;9999;8.56;;;1.16;
Q21;2014;030785430;030785422;2000;1.5;;;;33
Q21;2014;030785430;030785422;2100;1.5;;;;33
Q21;2014;030785430;030785422;9999;1.5;;;;33
Q21;2014;040000028;040780124;2000;0;0;;0;2
Q21;2014;040000028;040780124;2400;0;0;;0;2
Q21;2014;040000028;040780124;9999;0;0;;0;2
Q21;2014;040000036;040780132;2000;0.51;;;;11
Q21;2014;040000036;040780132;2100;0.16;;;;11
Q21;2014;040000036;040780132;2400;0.35;;;;
Q21;2014;040000036;040780132;9999;0.51;;;;11
Q21;2014;040000044;040780140;2000;;;;;2
Q21;2014;040000044;040780140;2100;;;;;1
Q21;2014;040000044;040780140;2400;;;;;1
Q21;2014;040000044;040780140;9999;;;;;2
Q21;2014;040000069;040780181;2000;2.42;;;;
Q21;2014;040000069;040780181;2400;2.42;;;;
Q21;2014;040000069;040780181;9999;2.42;;;;
Q21;2014;040000077;040780199;2000;;;;;7
Q21;2014;040000077;040780199;2400;;;;;7
Q21;2014;040000077;040780199;9999;;;;;7
Q21;2014;040000085;040780207;2000;0.1;0.1;;;
Q21;2014;040000085;040780207;2400;0.1;0.1;;;
Q21;2014;040000085;040780207;9999;0.1;0.1;;;
Q21;2014;040000093;040780215;2000;67.05;;;7;
Q21;2014;040000093;040780215;2100;67.05;;;7;
Q21;2014;040000093;040780215;9999;67.05;;;7;
Q21;2014;040000119;040780231;2000;0.46;;;;6
Q21;2014;040000119;040780231;2100;0.18;;;;3
Q21;2014;040000119;040780231;2400;0.28;;;;3
Q21;2014;040000119;040780231;9999;0.46;;;;6
Q21;2014;040000127;040780249;2000;0.1;;;;3
Q21;2014;040000127;040780249;2100;0.1;;;;3
Q21;2014;040000127;040780249;9999;0.1;;;;3
Q21;2014;040000135;050002948;1000;1.61;0;0;0;
Q21;2014;040000135;050002948;2000;20.55;0;0;0.82;
Q21;2014;040000135;050002948;2100;19.09;0;0;0.82;
Q21;2014;040000135;050002948;2400;1.46;0;0;0;
Q21;2014;040000135;050002948;9999;22.16;0;0;0.82;
Q21;2014;040000911;040788879;1000;1;;;;
Q21;2014;040000911;040788879;2000;64.64;;;;
Q21;2014;040000911;040788879;2100;48.8;;;;
Q21;2014;040000911;040788879;2200;15.84;;;;
Q21;2014;040000911;040788879;9999;65.64;;;;
Q21;2014;040780389;040000150;2000;0.84;;;;5
Q21;2014;040780389;040000150;2400;0.84;;;;5
Q21;2014;040780389;040000150;9999;0.84;;;;5
Q21;2014;040780405;040000168;2000;4.2;;;;
Q21;2014;040780405;040000168;2400;3.1;;;;
Q21;2014;040780405;040000168;2500;1.1;;;;
Q21;2014;040780405;040000168;9999;4.2;;;;
Q21;2014;040780470;040000192;2000;0.8;;;;23
Q21;2014;040780470;040000192;2100;0.8;;;;23
Q21;2014;040780470;040000192;9999;0.8;;;;23
Q21;2014;040780488;040000200;2000;3.8;;;;6
Q21;2014;040780488;040000200;2400;3.8;;;;6
Q21;2014;040780488;040000200;9999;3.8;;;;6
Q21;2014;040780520;920000395;2000;;;;;2
Q21;2014;040780520;920000395;2400;;;;;2
Q21;2014;040780520;920000395;9999;;;;;2
Q21;2014;040782021;130037815;2000;2.29;;;;
Q21;2014;040782021;130037815;2400;2.29;;;;
Q21;2014;040782021;130037815;9999;2.29;;;;
Q21;2014;040784860;330029208;2000;0.6;;;;3
Q21;2014;040784860;330029208;2100;0.6;;;;3
Q21;2014;040784860;330029208;9999;0.6;;;;3
Q21;2014;050000041;130037815;2000;6.87;;;;
Q21;2014;050000041;130037815;2400;6.87;;;;
Q21;2014;050000041;130037815;9999;6.87;;;;
Q21;2014;050000058;050000033;2000;2.04;;;;
Q21;2014;050000058;050000033;2400;2.04;;;;
Q21;2014;050000058;050000033;9999;2.04;;;;
Q21;2014;050000066;050000082;2000;2.88;;;;
Q21;2014;050000066;050000082;2400;2.88;;;;
Q21;2014;050000066;050000082;9999;2.88;;;;
Q21;2014;050000090;050006931;2000;1;;1;;45
Q21;2014;050000090;050006931;2100;1;;1;;45
Q21;2014;050000090;050006931;9999;1;;1;;45
Q21;2014;050000132;050007145;1000;2.34;;;;
Q21;2014;050000132;050007145;2000;17.25;;;;
Q21;2014;050000132;050007145;2100;0.05;;;;
Q21;2014;050000132;050007145;2200;16.3;;;;
Q21;2014;050000132;050007145;2400;0.1;;;;
Q21;2014;050000132;050007145;2500;0.8;;;;
Q21;2014;050000132;050007145;9999;19.59;;;;
Q21;2014;050000223;050000108;2000;0.5;;;;
Q21;2014;050000223;050000108;2100;0.5;;;;
Q21;2014;050000223;050000108;9999;0.5;;;;
Q21;2014;050000231;050000116;1000;1.1;0;0;0;
Q21;2014;050000231;050000116;2000;60.36;0;0;6.24;
Q21;2014;050000231;050000116;2100;56.3;0;0;6.24;
Q21;2014;050000231;050000116;2200;3.36;0;0;0;
Q21;2014;050000231;050000116;2500;0.7;0;0;0;
Q21;2014;050000231;050000116;9999;61.46;0;0;6.24;
Q21;2014;050000256;050000124;2000;12.31;;;2.5;
Q21;2014;050000256;050000124;2100;9.59;;;2.5;
Q21;2014;050000256;050000124;2400;1.12;;;;
Q21;2014;050000256;050000124;2500;1.6;;;;
Q21;2014;050000256;050000124;9999;12.31;;;2.5;
Q21;2014;050000298;050000496;2000;0.85;;;;
Q21;2014;050000298;050000496;2400;0.85;;;;
Q21;2014;050000298;050000496;9999;0.85;;;;
Q21;2014;050000306;050000538;2000;0.85;;;;
Q21;2014;050000306;050000538;2400;0.85;;;;
Q21;2014;050000306;050000538;9999;0.85;;;;
Q21;2014;050000330;050007145;2000;0.15;;;;
Q21;2014;050000330;050007145;2100;0.05;;;;
Q21;2014;050000330;050007145;2400;0.1;;;;
Q21;2014;050000330;050007145;9999;0.15;;;;
Q21;2014;050000348;050002948;1000;6.47;0;0;0;
Q21;2014;050000348;050002948;2000;113.94;0;0;9.86;
Q21;2014;050000348;050002948;2100;112.66;0;0;9.86;
Q21;2014;050000348;050002948;2400;0.8;0;0;0;
Q21;2014;050000348;050002948;2500;0.48;0;0;0;
Q21;2014;050000348;050002948;9999;120.41;0;0;9.86;
Q21;2014;050000371;050003508;2000;0.47;;;;
Q21;2014;050000371;050003508;2400;0.47;;;;
Q21;2014;050000371;050003508;9999;0.47;;;;
Q21;2014;050000454;050000645;2000;1.35;;;;
Q21;2014;050000454;050000645;2200;1.35;;;;
Q21;2014;050000454;050000645;9999;1.35;;;;
Q21;2014;050000488;050000678;2000;5.2;;;;
Q21;2014;050000488;050000678;2400;5.2;;;;
Q21;2014;050000488;050000678;9999;5.2;;;;
Q21;2014;050000637;050001163;2000;2.57;;;;
Q21;2014;050000637;050001163;2400;2.57;;;;
Q21;2014;050000637;050001163;9999;2.57;;;;
Q21;2014;050000991;050000546;2000;10.34;;;;
Q21;2014;050000991;050000546;2200;1.84;;;;
Q21;2014;050000991;050000546;2400;8.5;;;;
Q21;2014;050000991;050000546;9999;10.34;;;;
Q21;2014;050001064;050000561;2000;4.99;;;;
Q21;2014;050001064;050000561;2400;4.99;;;;
Q21;2014;050001064;050000561;9999;4.99;;;;
Q21;2014;050002351;130037815;2000;1.56;;;;
Q21;2014;050002351;130037815;2400;1.56;;;;
Q21;2014;050002351;130037815;9999;1.56;;;;
Q21;2014;050006436;050002948;2000;5.99;0;0;0;
Q21;2014;050006436;050002948;2100;5.51;0;0;0;
Q21;2014;050006436;050002948;2500;0.48;0;0;0;
Q21;2014;050006436;050002948;9999;5.99;0;0;0;
Q21;2014;050007368;050007343;2000;1.6;;1.6;;
Q21;2014;050007368;050007343;2300;1.6;;1.6;;
Q21;2014;050007368;050007343;9999;1.6;;1.6;;
Q21;2014;060000163;060780327;2000;0.1;;;;
Q21;2014;060000163;060780327;2100;0.04;;;;
Q21;2014;060000163;060780327;2400;0.06;;;;
Q21;2014;060000163;060780327;9999;0.1;;;;
Q21;2014;060000296;060780640;2000;5.1;;;;
Q21;2014;060000296;060780640;2400;5.1;;;;
Q21;2014;060000296;060780640;9999;5.1;;;;
Q21;2014;060000304;060780657;2000;0.57;;;;5
Q21;2014;060000304;060780657;2100;0.3;;;;5
Q21;2014;060000304;060780657;2400;0.27;;;;
Q21;2014;060000304;060780657;9999;0.57;;;;5
Q21;2014;060000411;060780780;1000;1.1;;;;
Q21;2014;060000411;060780780;9999;1.1;;;;
Q21;2014;060000445;060780814;2000;5.01;;;;
Q21;2014;060000445;060780814;2100;0.63;;;;
Q21;2014;060000445;060780814;2400;4.38;;;;
Q21;2014;060000445;060780814;9999;5.01;;;;
Q21;2014;060000478;060780897;1000;4.68;;;;
Q21;2014;060000478;060780897;2000;104.2;;;22.84;
Q21;2014;060000478;060780897;2100;90.73;;;22.68;
Q21;2014;060000478;060780897;2200;10.38;;;0.16;
Q21;2014;060000478;060780897;2400;2.59;;;;
Q21;2014;060000478;060780897;2500;0.5;;;;
Q21;2014;060000478;060780897;9999;108.88;;;22.84;
Q21;2014;060000486;060780905;2000;0.81;;;;5
Q21;2014;060000486;060780905;2100;0.81;;;;5
Q21;2014;060000486;060780905;9999;0.81;;;;5
Q21;2014;060000494;060780921;2000;0.31;;;;5
Q21;2014;060000494;060780921;2100;0.31;;;;5
Q21;2014;060000494;060780921;9999;0.31;;;;5
Q21;2014;060000510;060780954;1000;2.4;;;;
Q21;2014;060000510;060780954;2000;123.19;;;28.33;
Q21;2014;060000510;060780954;2100;103.82;;;26.66;
Q21;2014;060000510;060780954;2200;17.57;;;1.67;
Q21;2014;060000510;060780954;2400;1.4;;;;
Q21;2014;060000510;060780954;2500;0.4;;;;
Q21;2014;060000510;060780954;9999;125.59;;;28.33;
Q21;2014;060000528;060780962;1000;30.62;2.21;;9.67;
Q21;2014;060000528;060780962;2000;34.73;2.01;;19.17;
Q21;2014;060000528;060780962;2100;34.73;2.01;;19.17;
Q21;2014;060000528;060780962;9999;65.35;4.22;;28.84;
Q21;2014;060000536;060006889;2000;1.2;;;;6
Q21;2014;060000536;060006889;2100;0.15;;;;6
Q21;2014;060000536;060006889;2400;1.05;;;;
Q21;2014;060000536;060006889;9999;1.2;;;;6
Q21;2014;060000544;060780988;2000;139.18;;1.62;38.96;2
Q21;2014;060000544;060780988;2100;122.55;;1.62;37.62;2
Q21;2014;060000544;060780988;2200;16.1;;;1.34;
Q21;2014;060000544;060780988;2300;0.53;;;;
Q21;2014;060000544;060780988;9999;139.18;;1.62;38.96;2
Q21;2014;060000551;060781010;2000;0.7;;;;
Q21;2014;060000551;060781010;2500;0.7;;;;
Q21;2014;060000551;060781010;9999;0.7;;;;
Q21;2014;060001450;060785011;2000;134.27;25.88;;58.65;
Q21;2014;060001450;060785011;2100;134.27;25.88;;58.65;
Q21;2014;060001450;060785011;9999;134.27;25.88;;58.65;
Q21;2014;060002102;060791761;2000;28.8;;;6;12
Q21;2014;060002102;060791761;2100;27;;;6;12
Q21;2014;060002102;060791761;2400;1.8;;;;
Q21;2014;060002102;060791761;9999;28.8;;;6;12
Q21;2014;060005469;750043994;2000;4.35;;;;
Q21;2014;060005469;750043994;2400;4.35;;;;
Q21;2014;060005469;750043994;9999;4.35;;;;
