BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP
SSR_P;2014;030000061;030780092;N2500;21;;20.79
SSR_P;2014;030000061;030780092;N2710;;1;0.2
SSR_P;2014;030000061;030780092;NAUT;2;5;4.16
SSR_P;2014;030000061;030780092;NCINF;17;4;20.69
SSR_P;2014;030000079;030780100;M1010;1;;0.12
SSR_P;2014;030000079;030780100;M1320;2;;1.5
SSR_P;2014;030000079;030780100;N241P;2;;1.5
SSR_P;2014;030000079;030780100;N2450;1;1;0.49
SSR_P;2014;030000079;030780100;N2460;1;;0.5
SSR_P;2014;030000079;030780100;N2500;16;1;16.8
SSR_P;2014;030000079;030780100;N2710;1;;0.5
SSR_P;2014;030000079;030780100;N3120;1;;0.5
SSR_P;2014;030000079;030780100;NAUT;7;;6.3
SSR_P;2014;030000079;030780100;NCINF;20;3;11.85
SSR_P;2014;030000087;030780118;M1010;0;1;0.56
SSR_P;2014;030000087;030780118;M1180;0;1;1.11
SSR_P;2014;030000087;030780118;M1320;3;0;2.31
SSR_P;2014;030000087;030780118;N241P;4;6;12.7
SSR_P;2014;030000087;030780118;N2460;1;0;1.16
SSR_P;2014;030000087;030780118;N2500;21;8;31.34
SSR_P;2014;030000087;030780118;NAUT;4;3;9.75
SSR_P;2014;030000087;030780118;NCINF;18;5;26.64
SSR_P;2014;030000095;030780126;M1010;;3;1
SSR_P;2014;030000095;030780126;M1180;;1;0.2
SSR_P;2014;030000095;030780126;N241P;1;0;1
SSR_P;2014;030000095;030780126;N2450;;1;0.5
SSR_P;2014;030000095;030780126;N2460;1;;1
SSR_P;2014;030000095;030780126;N2500;9;1;8.87
SSR_P;2014;030000095;030780126;N2710;;1;0.2
SSR_P;2014;030000095;030780126;N310H;1;;1
SSR_P;2014;030000095;030780126;N3120;;1;0.8
SSR_P;2014;030000095;030780126;NAUT;7;2;8.21
SSR_P;2014;030000095;030780126;NCINF;3;4;6.49
SSR_P;2014;030002208;030002158;M1010;7;;4.13
SSR_P;2014;030002208;030002158;M1180;1;;1
SSR_P;2014;030002208;030002158;M1320;1;;0.09
SSR_P;2014;030002208;030002158;M3020;;1;0.2
SSR_P;2014;030002208;030002158;MAUT;;2;0.15
SSR_P;2014;030002208;030002158;N241P;1;3;3.1
SSR_P;2014;030002208;030002158;N2450;0;2;0.29
SSR_P;2014;030002208;030002158;N2460;1;0;1
SSR_P;2014;030002208;030002158;N2500;40;13;41.88
SSR_P;2014;030002208;030002158;N2710;1;3;2.2
SSR_P;2014;030002208;030002158;N3120;3;1;2.86
SSR_P;2014;030002208;030002158;NAUT;34;6;26.12
SSR_P;2014;030002208;030002158;NCINF;28;16;29.78
SSR_P;2014;030780548;030000194;M1010;;2;0.62
SSR_P;2014;030780548;030000194;M1150;;1;0.1
SSR_P;2014;030780548;030000194;M1180;1;;1
SSR_P;2014;030780548;030000194;M1320;;1;0.5
SSR_P;2014;030780548;030000194;N241P;;6;3
SSR_P;2014;030780548;030000194;N2460;;1;0.75
SSR_P;2014;030780548;030000194;N2500;11;1;11.57
SSR_P;2014;030780548;030000194;N3120;;2;1
SSR_P;2014;030780548;030000194;NAUT;;1;0.5
SSR_P;2014;030780548;030000194;NCINF;9;3;10.4
SSR_P;2014;030781116;030000426;M1010;1;;1
SSR_P;2014;030781116;030000426;N2500;16;;15.7
SSR_P;2014;030781116;030000426;N3120;1;;0.8
