BOR;AN;FI;FI_EJ;PERSO;SMUR_EFFPL;SMUR_EFFPA;SMUR_ETP;SMUR_COMSU;SAMU_EFFPL;SAMU_EFFPA;SAMU_ETP
SMURSAMU_P;2014;070000179;070780358;N2223;6;0;5.92;1;0;0;0
SMURSAMU_P;2014;070000179;070780358;N9999;6;0;5.92;1;0;0;0
SMURSAMU_P;2014;080000110;080000037;M9999;3;0;3;1;;;
SMURSAMU_P;2014;080000110;080000037;N1220;3;;0.6;0;;;
SMURSAMU_P;2014;080000110;080000037;N2120;1;;0.2;1;;;
SMURSAMU_P;2014;080000110;080000037;N2223;14;5;3.6;1;;;
SMURSAMU_P;2014;080000110;080000037;N9999;17;6;4.4;;;;
SMURSAMU_P;2014;080000219;080001969;M9999;4;;2.56;;;;
SMURSAMU_P;2014;080000219;080001969;N1220;1;;0.25;;;;
SMURSAMU_P;2014;080000219;080001969;N2223;16;3;6.44;;;;
SMURSAMU_P;2014;080000219;080001969;N5140;6;;2.74;;;;
SMURSAMU_P;2014;080000276;080001969;M9999;6;;0.18;1;;;
SMURSAMU_P;2014;080000276;080001969;N1220;;1;0.25;;;;
SMURSAMU_P;2014;080000276;080001969;N2223;11;;3.13;1;;;
SMURSAMU_P;2014;080000276;080001969;N2620;6;;4.2;0;;;
SMURSAMU_P;2014;080000276;080001969;N5140;;6;2.83;1;;;
SMURSAMU_P;2014;080000276;080001969;N9999;11;1;6;;;;
SMURSAMU_P;2014;080000425;080000615;M9999;20;1;6.53;0;14;1;4.38
SMURSAMU_P;2014;080000425;080000615;MREG;;;;;14;1;4.38
SMURSAMU_P;2014;080000425;080000615;N1220;;;;;8;;8
SMURSAMU_P;2014;080000425;080000615;N2120;1;;1;0;;;
SMURSAMU_P;2014;080000425;080000615;N2223;4;11;10.11;0;1;;1
SMURSAMU_P;2014;080000425;080000615;N2500;;;;;1;;1
SMURSAMU_P;2014;080000425;080000615;N5140;12;;12;0;1;;1
SMURSAMU_P;2014;080000425;080000615;N9999;17;11;23.11;0;12;;12
SMURSAMU_P;2014;080009814;080000615;M9999;3;;2.74;;;;
SMURSAMU_P;2014;080009814;080000615;N2120;;1;0.58;;;;
SMURSAMU_P;2014;080009814;080000615;N2223;6;;6.06;;;;
SMURSAMU_P;2014;080009814;080000615;N2500;2;;2;;;;
SMURSAMU_P;2014;090000175;090781774;M9999;23;6;5.19;1;23;6;4.18
SMURSAMU_P;2014;090000175;090781774;MREG;23;6;5.19;;23;6;4.18
SMURSAMU_P;2014;090000175;090781774;N1220;;;;;8;;7.5
SMURSAMU_P;2014;090000175;090781774;N2120;1;;0.28;1;;;
SMURSAMU_P;2014;090000175;090781774;N2223;20;11;7.4;1;;;
SMURSAMU_P;2014;090000175;090781774;N2500;6;;3;;;;
SMURSAMU_P;2014;090000175;090781774;N2620;1;;0.3;;;;
SMURSAMU_P;2014;090000175;090781774;N9999;28;11;10.98;1;8;;7.5
SMURSAMU_P;2014;090000183;090781816;M9999;6;3;4.58;1;;;
SMURSAMU_P;2014;090000183;090781816;N1220;1;;0.6;0;;;
SMURSAMU_P;2014;090000183;090781816;N2120;1;;0.4;1;;;
SMURSAMU_P;2014;090000183;090781816;N2223;1;;0.6;0;;;
SMURSAMU_P;2014;090000183;090781816;N5140;11;;6.6;0;;;
SMURSAMU_P;2014;100000090;100000017;M9999;16;2;10;1;9;2;5
SMURSAMU_P;2014;100000090;100000017;MREG;;;;;9;2;5
SMURSAMU_P;2014;100000090;100000017;N1220;;;;0;14;;14
SMURSAMU_P;2014;100000090;100000017;N2120;0;1;0.76;0;;;
SMURSAMU_P;2014;100000090;100000017;N2223;11;1;11.76;0;;;
SMURSAMU_P;2014;100000090;100000017;N5140;12;;12.91;0;;;
SMURSAMU_P;2014;100000090;100000017;N9999;23;2;25.43;0;14;;14
SMURSAMU_P;2014;100000199;100006279;M9999;5;3;5.8;1;;;
SMURSAMU_P;2014;100000199;100006279;N1220;1;;0.5;;;;
SMURSAMU_P;2014;100000199;100006279;N2120;1;;0.5;1;;;
SMURSAMU_P;2014;100000199;100006279;N2223;18;;6.53;;;;
SMURSAMU_P;2014;100010206;100000017;M9999;;13;5;1;;;
SMURSAMU_P;2014;100010206;100000017;N2223;4;1;5.78;0;;;
SMURSAMU_P;2014;100010206;100000017;N9999;4;1;5.78;0;;;
SMURSAMU_P;2014;110000023;110780061;M9999;;31;8.7;1;;31;4.75
SMURSAMU_P;2014;110000023;110780061;MREG;;31;8.7;1;;31;4.75
SMURSAMU_P;2014;110000023;110780061;N1220;;1;0.19;0;14;11;21.18
SMURSAMU_P;2014;110000023;110780061;N2120;1;;0.25;0;;1;0.4
SMURSAMU_P;2014;110000023;110780061;N2223;14;8;9.6;0;;;
SMURSAMU_P;2014;110000023;110780061;N2500;1;;0.2;;;;
