BOR;AN;FI;FI_EJ;AUTOR;LACTA;LIT_OBS;LIT_NEO;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO;SEJ0_NEO;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;JOU_OBS;JOU_NEO;JOU_SIN;JOU_REA;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMUDC;ACCMU;ACCUNDC;ENFTR;TRANS3;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2014;060000510;060780954;NIV2;;16;4;;;3;1403;127;186;21;0;0;0;0;4678;1306;0;0;1021;4117;174;1029;0;1011;0;10;1;4;4;1034;6591;3100;397;87;0;1;295;311;128;10;6;46;0;0
PERINAT;2014;060000544;060780988;NIV2;;28;6;;;4;2156;172;177;24;0;0;0;0;8709;1251;0;0;1627;7694;334;2089;1;1610;1;17;14;2;;1653;9103;2201;104;12;0;1;432;398;206;35;12;18;0;0
PERINAT;2014;060002102;060791761;CPPR;;0;;;;;6;1;0;0;0;0;0;0;10;0;0;0;1;1;1;1;0;0;0;1;0;0;;2;;;;0;0;1;120;99;95;2;0;0;0;0
PERINAT;2014;060021417;060000221;;;1;;;;;56;53;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;109;118;0;5;;2;0;0
PERINAT;2014;060780517;060000239;NIV1;;21;;;;5;1385;139;0;0;0;0;0;0;5061;0;0;0;1091;4735;266;1440;0;1086;0;5;3;16;;1097;;;;37;0;1;322;328;130;6;;17;0;0
PERINAT;2014;060780590;060000270;;;;;;;;16;13;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;41;124;0;3;1;0;0;0
PERINAT;2014;060780699;060000346;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;103;102;15;1;2;11;0;0
PERINAT;2014;060780715;060000361;NIV1;;34;;;;6;2155;154;0;0;0;0;0;0;8502;0;0;0;1758;7843;410;2273;0;1735;0;23;6;32;;1781;;;;17;0;1;0;9;0;0;;15;1;491
PERINAT;2014;060780756;060000403;NIV1;;53;;;;5;2916;314;0;0;0;0;0;0;11909;0;0;0;2363;10919;694;4033;1;2326;1;37;5;26;;2400;;;;52;0;1;182;180;0;1;;18;0;0
PERINAT;2014;060781200;060000635;;;0;;;;;41;38;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;123;171;11;7;;9;0;0
PERINAT;2014;060789195;060785011;NIV3;;48;20;9;8;9;3660;171;452;10;157;8;335;7;17690;8075;2294;3757;2917;14703;724;5422;57;2815;4;102;62;2;;3121;;;;67;0;1;1176;1241;445;173;15;43;1;459
PERINAT;2014;070000013;070002878;NIV1;;9;;;;2;379;54;0;0;0;0;0;0;1206;0;0;0;261;1076;40;218;0;261;0;0;0;7;;263;3701;14814;219;9;0;1;81;111;60;1;1;2;0;0
PERINAT;2014;070000096;070780184;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1115;1367;53;;;0;;;;;;;0;
PERINAT;2014;070000179;070780358;NIV2;;19;4;;;3;1112;109;270;81;0;0;0;0;4079;1437;0;0;753;3515;147;915;5;744;0;9;1;10;;762;4186;4872;80;9;0;1;115;113;54;9;1;2;0;0
PERINAT;2014;070000195;070780374;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;374;1562;104;0;0;0;0;;0;0;;0;0;0
PERINAT;2014;070000609;070005566;NIV2;;17;4;;;3;1042;93;112;12;0;0;0;0;3727;757;0;0;742;3290;184;1063;0;734;0;8;5;9;;753;9070;2889;;19;0;1;270;282;146;8;;2;0;0
PERINAT;2014;070780424;070000245;NIV1;;26;;;;4;1627;164;0;0;0;0;0;0;6344;0;0;0;1253;5484;317;1887;7;1240;0;13;3;46;;1266;;;;13;22;0;2;;0;0;;1;1;374
PERINAT;2014;080000110;080000037;NIV2;;15;4;;;2;999;85;171;9;0;0;0;0;3750;1016;0;0;694;3249;121;786;0;691;0;3;3;4;;697;5671;2757;41;10;0;1;156;179;114;3;0;0;0;0
PERINAT;2014;080000219;080001969;CPPR;;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1760;3362;160;0;0;0;0;;0;0;;0;0;0
PERINAT;2014;080000276;080001969;CPPR;;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;302;329;15;0;0;0;0;;0;0;;0;0;0
PERINAT;2014;080000425;080000615;NIV2;;26;12;6;;6;2351;169;370;28;128;16;0;0;9331;2916;1195;0;1647;7704;293;1967;1;1622;1;25;14;7;;1686;14929;9252;;21;0;1;320;354;163;16;2;2;1;122
PERINAT;2014;090000175;090781774;NIV2;;25;4;;;2;1464;167;227;65;0;0;0;0;6318;1252;0;0;1046;5499;242;1851;2;1032;0;14;7;12;;1061;;3385;79;103;115;1;391;396;261;28;1;22;0;0
PERINAT;2014;090000183;090781816;NIV1;;4;;;;2;304;39;0;0;0;0;0;0;955;0;0;0;217;843;24;132;0;217;0;0;1;1;0;217;2827;573;132;31;2;1;88;46;49;6;3;5;0;0
PERINAT;2014;090001629;090780107;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;723;416;;;0;;;;;;;0;
PERINAT;2014;100000082;100001148;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;31;45;0;1;1;0;0;0
PERINAT;2014;100000090;100000017;NIV3;;47;9;3;6;5;3115;177;470;15;156;9;138;12;12773;4362;1478;1897;2263;10361;506;3454;32;2221;3;42;10;2;31;2325;12429;14425;46;44;0;1;679;646;175;78;0;34;0;0
PERINAT;2014;100000199;100006279;NIV1;;18;;;;3;747;81;0;0;0;0;0;0;2737;0;0;0;537;2359;70;422;0;532;0;5;2;5;;543;3015;5241;0;12;0;1;59;48;21;4;;3;0;0
PERINAT;2014;100002351;100000561;NIV1;;15;;;;2;678;78;0;0;0;0;0;0;2180;0;0;0;436;1836;89;479;0;432;0;4;1;2;0;0;0;0;0;5;0;1;95;120;2;0;0;3;0;0
PERINAT;2014;110000023;110780061;NIV2;;39;6;0;0;5;2462;122;448;19;0;0;0;0;10685;2982;0;0;1740;9030;372;2783;2;1718;1;22;5;8;;1770;10109;4581;109;36;0;1;585;610;295;24;3;4;0;0
PERINAT;2014;110000049;110780087;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;
PERINAT;2014;110000056;110780137;NIV1;;15;;;;4;1201;112;0;0;0;0;0;0;4379;0;0;0;829;3760;164;970;0;820;1;9;3;14;;838;6668;1522;95;30;0;1;510;480;334;47;1;0;0;0
PERINAT;2014;110780228;110000114;NIV1;;18;;;;3;1085;160;0;0;0;0;0;0;3558;0;0;0;642;2696;182;1033;0;632;0;10;5;7;;653;;;;23;0;1;198;204;132;4;;2;0;0
PERINAT;2014;110780483;110000155;;;;;;;;17;13;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;59;48;55;0;;0;0;0
PERINAT;2014;120000039;120780044;NIV2;;29;12;2;0;3;1622;94;268;29;39;8;0;0;7689;1999;171;0;1241;6602;208;1733;24;1221;1;20;3;7;;1270;11216;1921;90;13;6;1;307;295;202;17;0;9;0;0
PERINAT;2014;120000054;120780069;NIV1;;12;;;;2;786;99;0;0;0;0;0;0;2950;0;0;0;554;2714;92;595;0;550;0;4;4;9;;559;6054;2721;1;10;0;1;140;113;115;2;;2;0;0
PERINAT;2014;120000070;120780085;NIV1;;15;;;;2;425;54;0;0;0;0;0;0;1565;0;0;0;295;1370;64;385;0;294;0;1;2;4;;296;177;2187;206;5;0;1;66;121;33;2;0;0;0;0
PERINAT;2014;120004569;120004528;NIV1;;12;;;;2;409;34;0;0;0;0;0;0;1490;0;0;0;288;1301;59;370;0;285;0;3;0;10;8;291;3339;3157;8;10;0;1;75;109;59;1;3;0;0;0
PERINAT;2014;120004668;120004619;NIV1;;6;;;;2;353;31;0;0;0;0;0;0;1353;0;0;0;272;1240;43;271;0;271;0;1;2;2;;273;1149;526;243;8;0;1;20;21;11;0;;0;0;0
PERINAT;2014;130000409;130041916;NIV2;;39;12;6;;5;2502;186;517;12;193;8;0;0;11255;5394;2512;0;1900;9315;409;2741;5;1857;0;43;7;5;;1962;12880;39282;;39;0;1;1001;878;467;87;9;15;1;370
PERINAT;2014;130000565;130781446;NIV1;INT;16;;;;3;1199;85;0;0;0;0;0;0;4943;0;0;0;840;4135;185;1122;0;832;1;8;3;11;;848;10634;3570;493;9;1;1;362;340;205;16;;2;0;0
PERINAT;2014;130001225;130782634;NIV2;;20;6;;;3;1829;109;365;28;0;0;0;0;7843;1773;0;0;1292;6605;231;1538;4;1273;1;19;6;11;;1314;;;;16;0;1;301;250;134;26;10;13;0;0
PERINAT;2014;130002215;130785512;NIV1;;20;;;;3;1195;112;0;0;0;0;0;0;4326;0;0;0;914;3782;165;885;0;898;0;16;5;6;;931;8926;;;106;0;1;523;561;390;39;;11;0;0
PERINAT;2014;130002827;130789274;NIV1;;27;;;;3;1507;132;0;0;0;0;0;0;5892;0;0;0;1105;5286;187;1228;0;1099;0;6;4;4;;1115;2194;3385;180;7;0;1;247;286;122;16;6;0;0;0
PERINAT;2014;130002835;130789316;NIV2;;41;10;3;0;5;2631;192;343;15;94;4;0;0;10028;2449;691;0;1956;8687;466;2836;2;1920;0;36;5;4;;1992;14298;8956;570;24;0;1;659;686;335;33;3;0;0;0
PERINAT;2014;130008253;130001084;NIV1;;32;;;;4;2022;149;0;0;0;0;0;0;7641;0;0;0;1577;6640;320;1810;2;1574;1;3;8;12;;1580;;;;45;0;1;254;324;172;4;;21;0;0
PERINAT;2014;130780521;130786049;NIV3;;43;25;16;11;5;3382;182;590;13;384;15;357;20;19062;7930;5714;3609;2391;14250;559;5641;0;2316;8;75;94;16;;2517;;;;95;1;1;749;807;388;88;12;65;0;0
PERINAT;2014;130781370;130000532;;;1;;;;;8;7;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;48;30;31;0;;3;0;0
PERINAT;2014;130781479;130000599;NIV1;;15;;;;3;547;53;0;0;0;0;0;0;2293;0;0;0;395;1926;71;465;0;389;3;6;0;5;;401;;;;3;0;1;29;29;0;2;0;5;0;0
PERINAT;2014;130783236;130786049;NIV3;;62;39;15;15;5;4056;122;961;28;414;15;689;251;22766;13120;4868;5269;2868;17329;746;7249;0;2777;6;91;70;30;;3011;;;83;77;3;1;2380;2380;832;272;23;35;1;534
PERINAT;2014;130783327;130001415;NIV2;;39;6;;;5;2613;238;640;30;0;0;0;0;11285;2066;0;0;2002;9869;559;3435;9;1970;1;32;6;28;;2039;;;;11;0;1;330;437;218;5;;2;1;1020
PERINAT;2014;130783665;130043722;;;;;;;;37;34;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;457;511;345;0;;0;0;0
PERINAT;2014;130784713;130038847;NIV2;;36;12;0;;8;2425;79;1032;6;0;0;0;0;11028;4972;0;0;2051;9730;374;2578;11;2029;0;22;12;6;;2190;;;;16;0;1;107;140;84;0;;4;0;0
PERINAT;2014;130785652;130014228;NIV2;;85;18;6;0;10;5613;276;1455;25;544;29;0;0;24832;8489;3585;0;4507;21410;840;5288;20;4434;2;73;35;13;;4583;8606;11741;;21;0;0;0;;0;0;;59;1;608
PERINAT;2014;130786445;130002488;NIV2;;62;12;;;7;3258;223;884;18;0;0;0;0;16825;4023;0;0;2592;14130;621;4942;4;2558;1;34;6;14;14;2634;;6250;2150;12;0;0;0;;0;0;;0;0;0
PERINAT;2014;140000027;140000035;NIV2;;32;12;3;0;;1712;98;537;16;96;18;0;0;8068;3327;463;0;1253;6637;270;1915;13;1233;1;20;5;5;;1276;3775;6635;100;7;1;1;291;255;187;30;;39;0;0
PERINAT;2014;140000076;140000084;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;972;896;66;0;0;0;0;;0;0;;0;0;0
PERINAT;2014;140000209;140000100;NIV3;INT;70;25;10;14;7;4416;543;730;25;284;12;337;14;21670;7798;2923;3876;3087;17699;655;5926;0;3003;4;84;39;0;0;3178;12993;18799;659;70;0;1;968;1134;450;90;12;22;1;485
PERINAT;2014;140000233;140000118;NIV1;;19;;;;2;557;58;0;0;0;0;0;0;2150;0;0;0;394;1926;75;505;0;391;0;3;3;2;;397;4883;4249;152;5;0;1;96;92;59;7;2;5;0;0
PERINAT;2014;140000373;140000159;CPPR;;0;0;0;0;0;35;1;0;0;0;0;0;0;94;0;0;0;1;1;0;0;0;1;0;0;0;1;;1;380;1092;25;0;0;0;0;11;0;0;;0;0;0
PERINAT;2014;140016759;140003146;NIV2;;44;6;;;5;2350;184;286;17;0;0;0;0;10223;1594;0;0;1958;9592;370;2352;0;1929;0;29;7;13;27;2005;;;;12;0;1;26;6;0;4;;24;0;0
PERINAT;2014;140024886;140000092;NIV1;;18;;;;3;850;98;0;0;0;0;0;0;3402;0;0;0;604;2968;108;626;0;600;1;4;5;7;;610;6673;2795;66;6;0;1;130;159;57;11;1;6;0;0
PERINAT;2014;140026410;140026279;NIV1;;20;;;;4;574;83;0;0;0;0;0;0;2242;0;0;0;404;2032;82;522;0;403;0;1;2;6;;406;6452;2115;;1;0;1;197;215;190;14;;0;0;0
PERINAT;2014;140026709;140000415;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;1;33;28;19;1;;0;0;0
PERINAT;2014;150000032;150780088;NIV1;;15;;;;2;555;63;0;0;0;0;0;0;2300;0;0;0;335;1698;90;593;1;332;0;3;0;14;0;339;2875;1681;;1;0;1;70;81;39;2;0;0;0;0
PERINAT;2014;150000040;150780096;NIV2;;22;6;0;;2;1177;114;276;50;0;0;0;0;4738;1633;0;0;878;4281;171;1049;1;867;0;11;3;2;;889;11075;4629;;6;0;1;219;235;125;2;;5;0;0
PERINAT;2014;150000164;150780468;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;542;2324;33;0;0;0;0;;0;0;;0;0;0
PERINAT;2014;150780732;150000271;CPPR;;;;;;;12;11;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;;1;;;;0;0;1;22;19;15;1;;0;0;0
PERINAT;2014;160000253;160000451;NIV2;;30;13;6;0;5;2161;163;330;11;119;14;0;0;7898;3037;821;0;1628;6927;277;1493;3;1593;0;35;9;4;28;1672;17088;7736;132;54;0;1;468;499;311;38;0;1;0;0
PERINAT;2014;160000303;160006037;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;609;877;23;0;0;0;0;0;0;0;;0;0;0
PERINAT;2014;160000337;160000493;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;588;1565;;0;0;0;0;3;0;0;;0;0;0
PERINAT;2014;160013207;160001632;NIV1;;40;;;;6;1341;133;0;0;0;0;0;0;5162;0;0;0;1010;4550;229;1316;0;998;0;12;4;10;;1027;;;;19;11;1;141;166;36;9;;0;0;0
PERINAT;2014;160015368;160014411;NIV1;;15;;;;3;858;92;0;0;0;0;0;0;3233;0;0;0;690;3047;84;475;1;690;0;0;1;3;;690;8883;6269;;29;0;1;172;107;18;4;0;3;0;0
PERINAT;2014;170000038;170780050;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1866;2284;104;0;0;1;31;60;15;1;;0;0;0
PERINAT;2014;170000087;170023279;NIV2;;30;12;4;;5;2302;176;350;25;135;20;0;0;9806;2675;863;0;1812;8877;372;2220;9;1779;0;33;17;6;;1851;16146;8156;91;19;0;1;651;674;456;30;0;14;0;0
PERINAT;2014;170000095;170780167;NIV1;;10;0;0;0;3;443;40;0;0;0;0;0;0;1826;0;0;0;318;1538;78;467;0;316;0;2;0;8;0;322;4763;3590;190;2;0;1;80;110;50;3;0;3;0;0
PERINAT;2014;170000103;170780175;NIV2;;28;14;3;;;1795;156;340;34;145;38;0;0;6863;4052;416;0;1380;6159;256;1486;2;1342;3;38;10;13;;1418;3801;15651;;36;0;1;410;342;277;44;0;32;0;0
PERINAT;2014;170000152;170780225;NIV2;;17;6;;;3;1283;107;261;20;0;0;0;0;5331;1443;0;0;966;4804;171;1105;0;952;1;14;7;9;;986;9361;1099;59;12;0;1;253;262;148;5;;13;0;0
PERINAT;2014;170780563;170000251;NIV1;;24;;;;3;647;80;0;0;0;0;0;0;2452;0;0;0;438;2050;100;659;1;438;0;0;4;3;;439;;;;14;0;1;57;178;3;6;;17;0;0
PERINAT;2014;170780613;170000277;NIV1;;18;;;;;719;60;0;0;0;0;0;0;2636;0;0;0;587;2492;159;929;0;578;1;9;1;3;;596;;;;9;0;1;37;67;18;3;;1;1;428
PERINAT;2014;180000010;180000028;NIV2;;31;15;3;0;4;1965;263;335;29;83;15;0;0;8192;2437;325;0;1444;7234;237;1590;18;1412;3;32;5;11;;1476;9831;3921;;20;0;1;492;548;313;42;0;56;0;0
PERINAT;2014;180000200;180000051;NIV1;;15;;;;3;852;94;0;0;0;0;0;0;3223;0;0;0;541;2657;116;737;0;537;0;4;1;4;10;546;;;;2;0;1;144;144;93;17;1;13;0;0
PERINAT;2014;180000283;180000069;NIV1;;15;;;;2;499;66;0;0;0;0;0;0;2127;0;0;0;356;1927;55;409;0;354;0;2;2;9;;359;730;9374;;9;0;1;74;84;55;3;;0;0;0
PERINAT;2014;180004145;180000887;NIV1;;19;;;;;454;20;0;0;0;0;0;0;1986;0;0;0;406;1936;87;535;0;406;0;0;1;1;;406;;;;2;0;1;2;;0;0;;0;0;0
PERINAT;2014;190000018;190000042;NIV2;;22;6;;;5;1198;92;100;8;0;0;0;0;5014;1003;0;0;825;4260;163;1127;4;813;1;12;8;8;;842;5759;4859;145;8;0;1;397;433;257;15;;2;0;0
PERINAT;2014;190000026;190000059;NIV2;;15;4;;;;873;86;87;7;0;0;0;0;3387;611;0;0;612;2944;125;717;10;601;0;11;5;4;;623;;;;10;0;1;136;144;61;8;;4;0;0
PERINAT;2014;190000091;190000075;NIV1;;6;;;;2;429;35;0;0;0;0;0;0;1781;0;0;0;247;1335;57;397;0;246;0;1;0;6;;249;2478;2803;130;1;0;1;71;87;43;2;0;1;0;0
PERINAT;2014;190000257;190001131;NIV1;;18;;;;4;1093;133;0;0;0;0;0;0;4167;0;0;0;751;3512;198;1115;0;745;0;6;1;3;;758;;;;4;0;1;68;92;15;2;;23;0;0
PERINAT;2014;210780110;210000022;NIV2;;36;12;4;;;2343;168;311;6;47;3;0;0;9934;2175;202;0;1872;8983;458;2925;0;1842;0;30;0;7;;1902;;;;13;0;0;0;;0;0;;0;0;0
PERINAT;2014;210987558;210780581;NIV3;EXT;64;31;15;16;8;4737;600;803;35;296;6;313;12;20366;10373;5655;4358;3146;16123;496;4052;1;3045;4;101;75;1;;3292;15155;14704;;66;0;1;1098;1010;245;182;;87;1;691
PERINAT;2014;210987657;210780714;NIV1;;24;0;0;0;2;929;104;0;0;0;0;0;0;3908;0;0;0;697;3645;106;745;0;689;0;8;1;9;0;705;4600;1000;198;10;0;1;170;136;75;16;;8;0;0
PERINAT;2014;210987665;210010070;CPPR;;;;;;;7;6;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;;1;;;;0;0;1;10;5;10;0;;0;0;0
PERINAT;2014;210987699;210780706;NIV1;;15;;;;2;805;107;0;0;0;0;0;0;2725;0;0;0;497;2302;60;350;0;497;0;0;3;6;;500;3048;1841;2150;7;0;1;60;62;8;1;;0;0;0
PERINAT;2014;220000012;220000020;NIV3;INT;34;13;6;6;5;3798;989;560;16;230;5;155;3;13804;6708;1794;1605;2214;11297;512;3805;27;2155;5;59;33;1;133;2301;11196;9692;2532;30;0;1;482;477;293;38;;39;0;0
PERINAT;2014;220000095;220000046;NIV2;;16;4;;;3;1037;117;314;15;0;0;0;0;3942;1431;0;0;775;3603;134;829;1;764;0;11;1;3;;789;7630;1714;223;28;0;1;241;249;177;18;;19;0;0
PERINAT;2014;220000301;220000673;NIV2;;24;6;;;5;1126;78;103;1;0;0;0;0;4667;769;0;0;866;4019;170;1008;2;859;0;7;4;10;;873;;;;10;0;1;113;133;71;4;;5;0;0
PERINAT;2014;220000343;220000079;NIV1;;17;;;;2;855;94;0;0;0;0;0;0;3196;0;0;0;637;2814;87;518;1;636;0;1;1;21;;639;7243;7497;;16;0;1;239;238;186;13;;4;0;0
PERINAT;2014;220000368;220000103;NIV1;;17;;;;2;1025;87;0;0;0;0;0;0;4362;0;0;0;738;3685;116;845;0;733;0;5;0;5;0;750;6902;4588;;19;25;1;241;235;172;10;0;9;0;0
PERINAT;2014;220000541;220000152;CPPR;;;;;;;6;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;1667;1964;145;0;0;1;30;25;30;0;;0;0;0
PERINAT;2014;230000820;230780041;NIV2;;20;4;0;0;2;898;73;263;10;0;0;0;0;3830;1177;0;0;551;3059;119;901;0;546;0;5;0;3;;557;3706;799;329;3;0;1;177;165;97;7;0;1;0;0
PERINAT;2014;240000190;240000596;CPPR;;0;;;;;17;14;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;37;64;24;0;;2;1;162
PERINAT;2014;240000372;240000059;NIV1;;51;;;;3;1370;159;0;0;0;0;0;0;4751;0;0;0;975;4203;196;1073;0;965;0;10;3;7;;985;3864;4246;0;18;0;1;403;344;284;7;0;11;0;0
