BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;DISU;DISHU
IMAGES_P;2014;110000023;110780061;M1160;5;1;4.56;0;1;0;0
IMAGES_P;2014;110000023;110780061;M1210;;2;1.9;0;0;;
IMAGES_P;2014;110000023;110780061;N4130;25;16;34.84;1;0;;
IMAGES_P;2014;110000023;110780061;N4160;2;1;2.5;;;;
IMAGES_P;2014;110000023;110780061;NAUT;18;4;20.23;;;;
IMAGES_P;2014;110000049;110780087;M1160;2;1;2.4;0;1;0;0
IMAGES_P;2014;110000049;110780087;N4130;5;;5;0;1;;
IMAGES_P;2014;110000049;110780087;NAUT;3;1;2.95;;;;
IMAGES_P;2014;110000056;110780137;M1160;5;1;4.82;0;1;0;0
IMAGES_P;2014;110000056;110780137;N4130;15;7;20.96;1;1;;
IMAGES_P;2014;110000056;110780137;N4160;1;;1;;;;
IMAGES_P;2014;110000056;110780137;NAUT;8;1;7.32;;;;
IMAGES_P;2014;110780228;110000114;M1160;;16;5;0;1;0;0
IMAGES_P;2014;110780228;110000114;N4130;;;;0;1;;
IMAGES_P;2014;110786324;110786324;N4130;;1;0.2;0;0;;
IMAGES_P;2014;120000039;120780044;M1160;3;3;3.48;0;1;;
IMAGES_P;2014;120000039;120780044;M1210;1;2;1;0;0;;
IMAGES_P;2014;120000039;120780044;N4130;16;9;24.42;1;0;;
IMAGES_P;2014;120000039;120780044;N4160;1;;1;;;;
IMAGES_P;2014;120000039;120780044;NAUT;6;10;10.26;;;;
IMAGES_P;2014;120000054;120780069;M1160;3;0;2.35;0;;0;0
IMAGES_P;2014;120000054;120780069;N4130;10;4;13.19;0;1;;
IMAGES_P;2014;120000054;120780069;N4160;1;0;1;;;;
IMAGES_P;2014;120000054;120780069;NAUT;3;3;5.45;;;;
IMAGES_P;2014;120000070;120780085;M1160;1;3;2.05;0;1;0;0
IMAGES_P;2014;120000070;120780085;N4130;7;1;7.8;0;1;;
IMAGES_P;2014;120000070;120780085;N4160;1;;1;;;;
IMAGES_P;2014;120000070;120780085;NAUT;2;1;2.5;;;;
IMAGES_P;2014;120000088;120780093;N4130;0;1;0.47;0;0;;
IMAGES_P;2014;120000096;120780101;N4130;0;1;0.8;0;0;;
IMAGES_P;2014;120004569;120004528;M1160;2;3;3.07;0;1;0;0
IMAGES_P;2014;120004569;120004528;N4130;11;1;11.45;0;1;;
IMAGES_P;2014;120004569;120004528;N4160;1;;1;;;;
IMAGES_P;2014;120004569;120004528;NAUT;3;2;4.71;;;;
IMAGES_P;2014;120004668;120004619;M1160;1;;1.03;0;1;0;0
IMAGES_P;2014;120004668;120004619;M1210;;;;0;1;;
IMAGES_P;2014;120004668;120004619;N4130;3;4;6.03;0;1;;
IMAGES_P;2014;120004668;120004619;N4160;1;;0.23;;;;
IMAGES_P;2014;120004668;120004619;NAUT;6;;5.3;;;;
IMAGES_P;2014;130000409;130041916;M1160;7;1;7.72;0;1;1;0
IMAGES_P;2014;130000409;130041916;M1210;2;1;2.5;0;0;;
IMAGES_P;2014;130000409;130041916;N4130;26;17;39.07;0;1;;
IMAGES_P;2014;130000409;130041916;N4160;1;;1.75;;;;
IMAGES_P;2014;130000409;130041916;NAUT;22;4;22.09;;;;
IMAGES_P;2014;130000433;130781131;N4130;;1;0.5;0;0;;
IMAGES_P;2014;130000516;130781339;M1160;;2;0.7;;;;
IMAGES_P;2014;130000516;130781339;N4130;2;;2;;;;
IMAGES_P;2014;130000565;130781446;M1160;3;2;3.3;;1;;
IMAGES_P;2014;130000565;130781446;N4130;13;6;14.42;0;1;;
IMAGES_P;2014;130000565;130781446;N4160;1;;1;;;;
IMAGES_P;2014;130000565;130781446;NAUT;3;9;8.75;;;;
IMAGES_P;2014;130001225;130782634;M1160;3;3;3.16;;;;
IMAGES_P;2014;130001225;130782634;N4130;11;7;15.49;;;;
IMAGES_P;2014;130001225;130782634;NAUT;6;1;5.01;;;;
IMAGES_P;2014;130001258;130028228;M1160;;1;0.2;0;0;0;0
IMAGES_P;2014;130001258;130028228;N4130;;1;0.6;0;0;;
IMAGES_P;2014;130001647;130784127;M1160;7;3;7.62;0;1;1;
IMAGES_P;2014;130001647;130784127;M1210;3;1;4.49;0;0;;
IMAGES_P;2014;130001647;130784127;N4130;32;2;31.89;0;1;;
IMAGES_P;2014;130001647;130784127;N4160;1;;1;;;;
IMAGES_P;2014;130001647;130784127;NAUT;22;3;21.51;;;;
IMAGES_P;2014;130002215;130785512;M1160;;3;1.8;0;1;0;0
IMAGES_P;2014;130002215;130785512;N4130;10;1;10.8;1;0;;
IMAGES_P;2014;130002215;130785512;N4160;;1;0.5;;;;
IMAGES_P;2014;130002215;130785512;NAUT;6;1;6.5;;;;
IMAGES_P;2014;130002827;130789274;M1160;;23;4.5;1;;;
IMAGES_P;2014;130002827;130789274;N4130;16;5;19.78;1;;;
IMAGES_P;2014;130002827;130789274;N4160;1;;1;;;;
IMAGES_P;2014;130002827;130789274;NAUT;9;2;11.84;;;;
IMAGES_P;2014;130002835;130789316;M1160;5;1;5.52;0;1;0;0
IMAGES_P;2014;130002835;130789316;N4130;14;13;24.09;1;0;;
IMAGES_P;2014;130002835;130789316;N4160;1;0;1;;;;
IMAGES_P;2014;130002835;130789316;NAUT;7;5;10.12;;;;
IMAGES_P;2014;130037922;130037823;M1160;5;;5;0;1;0;0
IMAGES_P;2014;130037922;130037823;M1210;3;;3;0;0;;
IMAGES_P;2014;130037922;130037823;N4130;18;;18;0;0;;
IMAGES_P;2014;130037922;130037823;N4160;1;;1;;;;
IMAGES_P;2014;130037922;130037823;NAUT;25;;25;;;;
IMAGES_P;2014;130042096;130042062;M1160;;21;5.6;0;1;0;0
IMAGES_P;2014;130042096;130042062;N4130;9;;9;0;1;;
IMAGES_P;2014;130042096;130042062;N4160;1;;1;;;;
IMAGES_P;2014;130042096;130042062;NAUT;9;;9;;;;
IMAGES_P;2014;130042526;310021399;N4130;;1;0.26;0;0;;
IMAGES_P;2014;130043664;130002157;M1160;;;;0;1;;
IMAGES_P;2014;130043664;130002157;N4130;13;;14;;;;
IMAGES_P;2014;130043664;130002157;N4160;2;;2;;;;
IMAGES_P;2014;130043664;130002157;NAUT;15;;10;;;;
IMAGES_P;2014;130780521;130786049;M1160;11;3;6.53;;;;
IMAGES_P;2014;130780521;130786049;M1210;1;1;0.6;;;;
IMAGES_P;2014;130780521;130786049;N4130;82;3;79.21;;;;
IMAGES_P;2014;130780521;130786049;N4160;2;0;2.65;;;;
IMAGES_P;2014;130780521;130786049;NAUT;31;9;31.84;;;;
IMAGES_P;2014;130781438;130000557;N4130;0;1;0.22;0;0;;
IMAGES_P;2014;130781479;130000599;M1160;;20;20;0;1;0;0
IMAGES_P;2014;130781479;130000599;M1210;;3;3;0;1;;
IMAGES_P;2014;130781479;130000599;N4130;8;;8;0;1;;
IMAGES_P;2014;130781479;130000599;N4160;2;;2;;;;
IMAGES_P;2014;130781479;130000599;NAUT;5;;5;;;;
IMAGES_P;2014;130782147;130000979;M1160;3;;3;0;1;;
IMAGES_P;2014;130782147;130000979;N4130;7;;7;1;0;;
IMAGES_P;2014;130782147;130000979;NAUT;6;;6;;;;
IMAGES_P;2014;130782162;130000987;M1160;;5;1;0;1;0;0
IMAGES_P;2014;130782162;130000987;N4130;;7;2;0;1;;
IMAGES_P;2014;130782162;130000987;N4160;1;;1;;;;
IMAGES_P;2014;130783236;130786049;M1160;5;2;3.1;;;;
IMAGES_P;2014;130783236;130786049;N4130;41;5;44.4;;;;
IMAGES_P;2014;130783236;130786049;N4160;2;;2;;;;
IMAGES_P;2014;130783236;130786049;NAUT;22;1;22.8;;;;
IMAGES_P;2014;130783293;130786049;M1160;17;10;12.13;;;;
IMAGES_P;2014;130783293;130786049;M1210;6;0;2.52;;;;
IMAGES_P;2014;130783293;130786049;N4130;97;14;101.46;;;;
IMAGES_P;2014;130783293;130786049;N4160;6;0;5.2;;;;
IMAGES_P;2014;130783293;130786049;NAUT;52;7;53.5;;;;
IMAGES_P;2014;130783327;130001415;M1160;;19;4;0;1;;
IMAGES_P;2014;130783327;130001415;N4130;8;;6.66;0;1;;
IMAGES_P;2014;130783327;130001415;N4160;;1;0.5;;;;
IMAGES_P;2014;130783665;130043722;M1160;;2;0.37;0;1;0;0
IMAGES_P;2014;130783665;130043722;N4130;3;;3;0;1;;
IMAGES_P;2014;130783665;130043722;NAUT;2;;2;;;;
IMAGES_P;2014;130783723;130001456;M1160;;3;1.25;0;1;0;0
IMAGES_P;2014;130783723;130001456;N4130;2;;2;0;1;;
IMAGES_P;2014;130783723;130001456;N4160;;1;0.94;;;;
IMAGES_P;2014;130783723;130001456;NAUT;1;2;2.42;;;;
IMAGES_P;2014;130784051;130037823;M1160;9;7;11.8;1;1;0;0
IMAGES_P;2014;130784051;130037823;M1210;2;;2;0;0;;
IMAGES_P;2014;130784051;130037823;N4130;31;;31;0;1;;
IMAGES_P;2014;130784051;130037823;N4160;3;;3;;;;
IMAGES_P;2014;130784051;130037823;NAUT;45;;40;;;;
IMAGES_P;2014;130784234;130786049;M1160;7;5;4.53;;;;
IMAGES_P;2014;130784234;130786049;N4130;28;4;31.2;;;;
IMAGES_P;2014;130784234;130786049;N4160;3;0;3;;;;
IMAGES_P;2014;130784234;130786049;NAUT;14;2;15.48;;;;
IMAGES_P;2014;130784598;130001852;M1160;;1;0.13;0;0;0;0
IMAGES_P;2014;130784598;130001852;N4130;;1;0.33;0;0;;
IMAGES_P;2014;130784713;130038847;M1160;5;5;8;0;1;;
IMAGES_P;2014;130784713;130038847;N4130;12;1;12.8;0;1;;
IMAGES_P;2014;130784713;130038847;N4160;1;;1;;;;
IMAGES_P;2014;130784713;130038847;NAUT;14;;14;;;;
IMAGES_P;2014;130785389;130002173;M1160;;4;0.5;0;1;0;0
IMAGES_P;2014;130785389;130002173;N4130;2;;2;0;1;;
IMAGES_P;2014;130785389;130002173;NAUT;1;1;1.5;;;;
