BOR;AN;FI;ORG_E5;ORG_A1;ORG_A2;ORG_A3;FI_EJ;ORG_A4;ORG_A5;ORG_A6;ORG_A7;ORG_A8;ORG_A9;ORG_A10;ORG_A11;ORG_B1;ORG_C1;ORG_D1;ORG_B2;ORG_C2;ORG_D2;ORG_B3;ORG_C3;ORG_D3;ORG_B4;ORG_C4;ORG_D4;ORG_B5;ORG_C5;ORG_D5;ORG_B6;ORG_C6;ORG_D6;ORG_B7;ORG_C7;ORG_D7;ORG_B8;ORG_C8;ORG_D8;ORG_B9;ORG_C9;ORG_D9;ORG_B10;ORG_C10;ORG_D10;ORG_B11;ORG_C11;ORG_D11;ORG_A12;ORG_A13;ORG_A14;ORG_A15
ORG;2014;130002496;;;;;130786494;;;2;;;;15;3;;;;;;;;;;;;;;;;B;;;;;;;;;;;;C;;;H;;;1;1.98;;7.06
ORG;2014;130002694;;;;;040000481;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;130002827;;1;;;130789274;;;;1;;;1;1;A;;;;;;;;;;;;;;;;;;D;;;;;;;;;D;;;A;;;1;;;1
ORG;2014;130002835;;;;;130789316;;;1;;;;;;;;;;;;;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;
ORG;2014;130008048;;;1;;130043169;;;;;;;2;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;C;D;;;;;;;;
ORG;2014;130008238;;;1;;130044118;;;;;;;1;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;C;D;;;;;;;;
ORG;2014;130034556;;;;;130016058;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;130035793;;;;;130013139;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
ORG;2014;130036650;;;;;130016058;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;130041767;;;1;;130041262;;;1;1;;;15;1;;;;C;;;;;;;;;;;;G;;;A;B;;;;;;;;C;E;D;C;;;;;;
ORG;2014;130043508;;;;;250002284;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;C;;;;;;;;
ORG;2014;130043664;;;1;;130002157;;;1;1;;;15;1;;;;C;;;;;;;;;;;;G;;;A;B;;;;;;;;C;E;E;C;;;;;;
ORG;2014;130043854;;;;;130037815;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;F;;;;;;;;;
ORG;2014;130780083;;;;;130000060;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;
ORG;2014;130781479;;;;;130000599;;;;1;;;69;;;;;;;;;;;;;;;;;;;;A;B;;;;;;;;C;D;;;;;0.01;;;
ORG;2014;130781594;;;;;130010648;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;;;;;;;;;
ORG;2014;130781768;;8;;;130000763;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.11;;0.05;
ORG;2014;130781834;;;;;130000805;;;;;;;28;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
ORG;2014;130781867;;;1;;130000813;;;;2;;;;;;;;D;;;;;;;;;;;;;;;A;;;;;;;;;;;;;;;2;0.1;1;12
ORG;2014;130782097;;;;;130000938;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;130782444;;0;0;0;130001100;0;0;0;0;0;0;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;G;;;;;0.1;0;0;0
ORG;2014;130783475;;;;;130001431;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;130784051;;;;;130037823;;;1;;;;;;;;;;;;;;;;;;;;;A;B;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;130784713;;;;;130038847;;;;2;;;;;;;;;;;;;;;;;;;;;;;A;;;;;;;;;;;;;;;4;0.2;2;18
ORG;2014;130784911;;1;;;750052375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;130785678;;;;;130002249;;;;2;;;;;;;;;;;;;;;;;;;;;;;A;;;;;;;;;;;;;;;2;0.1;2;9
ORG;2014;130785983;;;1;;130002306;;;;;;;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;0.1
ORG;2014;130786361;;1;;;130002447;;;;;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;130786445;;0;0;0;130002488;0;1;0;0;0;0;4;;;;;;;;;;;;;;A;;;;;;;;;;;;;;;G;G;C;;;;0;;;
ORG;2014;130786742;;;2;;750821092;;;;;;;97;;;;;G;;;;;;;;;;;;;;;;;;;;;;;;C;D;E;;;;0.7;0.9;0;0
ORG;2014;130786924;;;;;130037815;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.26;
ORG;2014;130786973;;;;;130002702;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
ORG;2014;130789159;;;;;750043994;;;;;;;;;A;A;A;A;A;A;A;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;130789357;;;1;;130002843;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;0.5;2;
ORG;2014;130806078;;;;;130016058;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;130809981;;0;0;0;920000395;0;0;0;0;0;0;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;0;0;0
ORG;2014;140000027;;;;;140000035;;;;1;2;;;;;;;;;;;;;;;;;;;;;;D;;;C;;;;;;;;;;;;;;5.13;3.8
ORG;2014;140000076;;;4;;140000084;;;;;1;;;;;;;C;A;E;;;;;;;;;;;;;;;;C;;;;;;;;;;;;0;0;0;0
ORG;2014;140000209;;;7;;140000100;;;2;;;;700;;;;;C;E;A;;;;;;;;;;C;E;;;;;;;;;;;A;C;D;;;;0.75;8.84;17.56;12.53
ORG;2014;140000233;;0;1;0;140000118;0;0;4;0;0;0;40;;;;;B;;;;;;;;;;;;B;A;;;;;;;;;;;A;C;D;;;;;0.95;0;0
ORG;2014;140000373;;;1;;140000159;;;;1;;;;;;;;C;;;;;;;;;;;;;;;C;;;;;;;;;;;;;;;;;;
ORG;2014;140000456;;;;;140000316;;2;1;;;;131;;;;;;;;;;;;;;B;A;;C;;;;;;;;;;;;C;;;;;;0;4.95;23.6;0
ORG;2014;140002239;;0;0;0;140000415;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;A;;;;;;;;;;;;;;;3;0;0;0
