BOR;AN;FI;FI_EJ;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFPL_PM;EFFPL_GER;EFFPA_PM;EFFPA_GER;ETP_PM;ETP_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFPL_INF;EFFPL_AID;EFFPL_ERG;EFFPL_PMT;EFFPL_APNM;EFFPA_INF;EFFPA_AID;EFFPA_ERG;EFFPA_PMT;EFFPA_APNM;ETP_INF;ETP_AID;ETP_ERG;ETP_PMT;ETP_APNM
MCOGER;2014;810000521;810000380;1;2058;244;894;5.27;1;22;;701;0;7999;3;2;1;1;3.8;2.8;0;0;1;1;12;12;;;7;1;1;;;2;11.05;12.27;;;2.7
MCOGER;2014;810000539;810000398;1;438;136;474;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;810000562;810000455;1;438;136;474;1.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;820000032;820000016;1;887;0;389;2.5;1;14;0;477;0;5011;3;2;;;1.9;1.15;0;0;1;1;8;12;;;2;1;1;;;3;5.66;7.18;;;2.15
MCOGER;2014;830000279;830100517;1;2439;;963;2.51;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;830000287;830100525;1;1157;0;597;2.61;1;15;0;556;0;5444;2;;2;;3.1;;0;;1;;6;10;;;6;1;;;;1;7.87;9.87;;;6.7
MCOGER;2014;830000295;830100533;1;1067;0;508;2.2;1;60;;1611;0;21065;9;5;1;;9.13;4.4;0;0;1;1;19;24;;;12;6;7;1;;13;21.42;26.25;0.7;;15.44
MCOGER;2014;830000311;830100566;1;915;0;790;1.47;1;30;0;1110;0;11603;3;3;;;3;3;;;1;1;12;14;;;4;2;1;;;1;13.44;15.2;;;4.96
MCOGER;2014;830000345;830100616;1;801;;482;1.6;1;51;;1547;0;19030;6;;1;;5.46;;0;;1;;20;20;0;0;8;7;11;0;0;0;24.35;28;0;0;11.17
MCOGER;2014;830009528;830100566;0;;;;;1;0;5;0;1513;0;0;0;2;1;0.45;0.25;0;;0;;;;;;;1;;1;;3;1.18;;0.66;;2.06
MCOGER;2014;830100558;690781810;0;;;;;1;3;0;94;0;1218;;;;;0.2;0.2;1;0;0;0;;2;;;;;;;;;;2.08;;;0.15
MCOGER;2014;830100855;830000493;0;;;;;1;36;;1082;0;12462;;;8;;0.72;;0;0;1;1;7;7;0;0;;2;2;0;0;5;7;8.2;0;0;0.48
MCOGER;2014;840000343;840000012;1;1258;79;402;3.1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;840000392;840000046;1;195;31;226;2.8;1;14;;488;0;4218;;;2;1;0.76;0.2;0;0;1;0;5;6;;;2;5;4;;;8;6.66;7.36;;;5.12
MCOGER;2014;840000483;840000087;0;;;;;1;26;0;750;0;9268;2;2;;;1.75;1.75;0;0;1;1;8;13;;;1;7;5;;;3;10.89;15.4;;;2.57
MCOGER;2014;840000491;130041916;0;;;;;1;;1;0;122;0;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;840000525;840000111;1;1786;0;470;4.5;1;5;0;87;0;782;1;;;;0.2;;;;;;1;1;;;;;;;;;1;1;;;
MCOGER;2014;840001861;840006597;1;1360;890;813;3.7;1;25;4;843;588;8999;1;;0;;1;;0;;0;;12;9;;;8;2;8;;;2;10.85;13.02;;;4.56
MCOGER;2014;850000142;850000019;1;680;;597;2.19;1;;;1618;14;12650;;;4;;1.03;;0;0;1;1;;;;;;;;;;;;;;;
MCOGER;2014;850000175;850009010;1;423;9;313;2.41;1;21;;504;0;6369;4;1;;;2.29;0.05;0;0;0;0;5;8;;;5;8;6;;;1;9.15;10.94;;;4.2
MCOGER;2014;850000209;850000019;0;;;;;1;0;1;0;158;0;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;850000233;850009010;0;;;;;1;10;;361;0;3245;1;;;;1;;0;;1;;6;7;;;2;1;2;;;2;5.78;7.89;;;5.34
MCOGER;2014;850000241;850000084;1;631;5;539;2.05;1;34;;787;0;9937;5;2;1;1;4.77;2.9;0;0;0;0;13;14;0;0;3;5;8;0;0;;15.92;19.96;0;;2.48
MCOGER;2014;850009630;850000035;1;499;0;462;0.72;1;12;0;447;0;4106;2;1;;;2;1;0;;1;;3;6;;;;4;4;;;1;5.03;9.23;;;0.52
MCOGER;2014;860000025;860013382;0;;;;;1;20;1;749;131;7429;3;3;;;1.4;1.4;0;0;1;1;12;13;3;;1;1;2;1;;3;10.27;11.96;1.56;;2.41
MCOGER;2014;860000223;860013077;1;549;0;503;3;1;79;;3164;0;29848;9;9;2;2;3.45;3.45;0;0;1;1;43;69;3;;20;14;21;;;14;31.08;44;0.8;;13.08
MCOGER;2014;870000064;870000015;1;;;;7.14;1;36;2;1210;539;11568;21;13;1;;8.24;4.41;0;0;1;1;25;19;;;23;1;1;;;3;21.2;18.37;;;14.48
MCOGER;2014;870000098;870000023;1;1477;121;810;4.3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;870000270;870000031;1;74;0;74;1.1;1;25;0;707;0;6754;2;;1;;2;;0;;;;1;6;;;3;3;1;;;;3.48;4.51;;;0.83
MCOGER;2014;880000021;880007059;1;834;129;788;1.7;1;24;;819;0;8651;1;2;;;1;2;0;0;1;1;10;11;;;;1;1;;;1;10.11;11.72;;;0.56
MCOGER;2014;880000047;880780077;1;281;;281;1.5;1;20;;626;0;6927;3;3;4;4;3.98;3.98;0;0;1;1;6;7;1;1;1;2;0;;;1;7.6;6.8;0.4;0.2;1.3
MCOGER;2014;880000054;880007299;1;86;99;141;0.13;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;880000062;880780093;1;277;43;312;1.5;1;4;1;166;4;1388;;;1;;0.09;;0;;1;;10;12;0;0;6;0;0;0;0;2;1.35;1.44;0;0;0.91
MCOGER;2014;880000070;880007299;1;65;;;;1;14;5;412;244;3695;1;1;3;1;1.7;0.5;0;0;1;1;6;6;;;11;7;8;;;1;5.42;10.9;;;4.36
MCOGER;2014;890975527;890000037;0;;;;;1;27;;882;0;9852;3;3;;;3;3;0;0;1;;7;11;;;5;4;3;;;0;10.43;13.57;;;5
MCOGER;2014;890975543;890000417;1;345;50;189;2.56;1;20;;638;0;6586;2;1;;;1.6;1;0;0;1;1;10;10;1;;3;3;2;;;;8.88;8.61;0.21;;2.99
MCOGER;2014;890975550;890970569;1;1072;170;950;3.5;1;29;0;997;0;10347;2;;1;1;2.8;1;0;0;1;1;10;7;;;7;3;5;;;1;11.49;11.24;;;7.4
MCOGER;2014;900000167;900000365;1;;;;;1;8;0;473;0;3089;2;2;1;1;2.72;2.72;;0;;1;;;;;;;;;;1;;;;;1
MCOGER;2014;910000272;910110014;1;525;62;305;2.12;1;;2;0;334;0;;;1;;0.3;;0;;0;;;;;;;1;;;;6;0.5;;;;1.33
MCOGER;2014;910000298;910110055;1;348;7;355;1.41;1;20;0;671;0;7151;2;1;;;2;1;;;;;6;11;;;1;1;1;;;;7.52;11.53;;;1.46
MCOGER;2014;910000306;910110063;1;300;0;290;1.3;1;14;3;332;16;3851;;;;;;;1;0;1;1;6;10;;;1;1;;;;7;6.34;8.41;;;4
MCOGER;2014;910001973;910019447;1;173;;102;0.8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;910018423;910019454;0;;;;;1;10;0;285;0;3207;2;1;;;1.32;1;;;;;3;5;;;;;;;;1;2.42;5;;;0.3
MCOGER;2014;910020254;910002773;1;944;0;601;4.1;1;28;;728;0;9664;4;4;;;3.9;3.9;;;;;13;11;;;2;1;2;;;;13.86;12.72;;;2
MCOGER;2014;910100015;750712184;0;;;;;1;24;2;533;256;6821;3;2;2;2;3.8;2.8;1;1;1;1;9;20;;;8;3;1;;;;11.5;20.5;;;8
