BOR;AN;FI;FI_EJ;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_A5;CANCERO_A6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_A10;CANCERO_B10;CANCERO_A11;CANCERO_B11;CANCERO_C11;CANCERO_D11;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_A17;CANCERO_A18;CANCERO_A19;CANCERO_A20;CANCERO_A21;CANCERO_A22;CANCERO_A23;CANCERO_B17;CANCERO_B19;CANCERO_B20;CANCERO_B21;CANCERO_B22;CANCERO_B23;CANCERO_C19;CANCERO_C20;CANCERO_C21;CANCERO_C22;CANCERO_C23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_E24;CANCERO_E26;CANCERO_A28;CANCERO_A29;CANCERO_B28;CANCERO_B29;CANCERO_C28;CANCERO_C29;CANCERO_A30;CANCERO_A31;CANCERO_A32;CANCERO_A33;CANCERO_A34;CANCERO_B30;CANCERO_B31;CANCERO_B32;CANCERO_B33;CANCERO_B34;CANCERO_C30;CANCERO_C31;CANCERO_C32;CANCERO_C33;CANCERO_C34
CANCERO;2014;040780470;040000192;0;0;0;241;179;230;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;050000090;050006931;0;0;0;512;210;978;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;050000231;050000116;1;0;0;669;582;623;0;050000348;;;596;0;541;0;86;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;050000348;050002948;1;0;0;4403;3624;6190;1;130001647;;;4060;0;3574;0;550;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;050006436;050002948;1;0;0;10;3;104;0;130001647;;;8;0;0;0;8;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;050007533;130784127;0;1;0;8692;8692;8692;0;;;;;;;;;;;;1;0;0;361;8331;0;0;0;341;0;2;2;6;;4;0;;;;;;2;2;6;;4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;060000478;060780897;1;0;1;2607;2153;3400;1;;;;2143;;2097;;282;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;0;0;0;1932;0;0;0;0;0;0;0;0;0;0;1;;4;;1.12;;5;;;;;;;;;;5;;;;
CANCERO;2014;060000510;060780954;1;0;0;1692;1317;3994;1;;;;1508;0;1279;0;242;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;060000528;060780962;1;1;1;57478;51947;83394;1;;;;17441;0;15145;0;2245;0;2;0;3;;4;2441;31335;586;336;319;1930;368;8;9;25;4;14;11;3;1;1;;1;7.95;9.52;24.82;3.99;13.06;80;43;42;8;4544;16298;1456;926;17;1;2;2;26541;4849;90;10;5;35;3;18;5.77;30.96;116;76;1;2;23;8;2;2;;;116.37;79.23;2.37;2;21.01
CANCERO;2014;060000544;060780988;1;0;1;2554;1911;5308;1;;;;2216;34;1820;40;298;7;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;0;2597;0;0;0;0;0;0;0;0;0;0;1;1;;;1;1;3;1;;;1;3;1;;;;2.71;1.33;;;1.16
CANCERO;2014;060001450;060785011;1;0;0;612;304;1303;1;;;;25;0;0;0;23;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;060019627;060019551;0;1;0;46193;44087;0;;.;;;0;0;;;;;;;3;0;0;2106;44087;;0;;2020;0;4;4;15;2;5;0;;;;;;4;4;15;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;060021342;060003621;0;1;0;20646;20646;20646;0;;;;;;;;;;;;2;0;0;1001;19645;0;0;0;1001;0;3;1;9;1;4;0;2;2;0;1;3;4.25;2.6;9;1.5;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;060021417;060000221;1;0;0;436;228;1519;0;060019551;;;51;0;51;0;41;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;060780442;060000213;0;0;0;309;247;82;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;060780491;060790797;0;0;0;946;346;4669;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;060780517;060000239;1;0;1;6883;6219;5032;1;;;;5209;0;5740;0;646;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;46;9;;;2503;5674;0;0;0;0;0;0;13952;0;0;0;3;;2;;3.2;;8;8;;;3;;;1;1;;8;8;0.5;0.4;3
CANCERO;2014;060780590;060000270;0;0;0;321;120;1229;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;060780665;060000312;0;0;0;241;226;55;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;060780715;060000361;1;0;1;9425;8558;34444;1;;;;3295;0;8107;0;568;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;0;8107;0;0;0;0;0;0;0;0;0;0;3;;1;;3.1;;3;;1;1;5;2;;;;;3.5;;1;1;5
CANCERO;2014;060780723;060004959;1;0;1;4836;4427;3671;1;;;;3183;0;4164;0;312;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;0;2239;0;0;0;0;0;0;0;0;0;0;1;;1;;1.1;;4;;;;1;;;1;1;1;4;;0.74;0.2;1.57
CANCERO;2014;060780756;060000403;0;0;0;328;91;1300;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;060781200;060000635;0;0;0;300;103;999;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;060785003;060785011;1;0;0;1223;399;6839;1;;;;629;0;405;0;262;0;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;060785219;060001468;1;0;1;7589;7476;2910;1;;;;7548;0;7476;0;937;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;20;20;;;227;7578;0;0;0;10;0;0;2160;0;0;0;;1;7;;2;1;16;13;2;1;2;;;;;;9.94;5.63;0.5;0.2;1.5
CANCERO;2014;060789195;060785011;1;0;0;9353;7168;19226;1;;;;7923;0;6531;0;940;0;73;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;060800166;060780608;0;0;0;1386;383;6779;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;070000013;070002878;1;0;1;1023;714;1701;0;260000047;;;845;0;678;0;107;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;;;189;2;0;0;0;0;0;0;584;0;0;0;;;;1;;0.6;1;1;;;;8;8;1;;1;4.2;4.07;0.2;;0.48
CANCERO;2014;070000179;070780358;1;0;0;1374;1111;2731;1;;;;1230;0;1088;0;170;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;070000187;070780366;1;0;0;8;0;54;0;260000013;260000120;;8;0;0;0;4;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;070000609;070005566;1;0;1;2354;2117;2719;1;;;;2309;13;2123;16;303;11;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;19;10;;;630;3076;0;0;0;0;0;0;6337;0;0;0;2;2;0;1;3;3.28;21;16;0;0;3;7;4;2;0;1;19.95;15.88;0.46;0;0.93
CANCERO;2014;070780168;070000088;0;0;0;335;111;1244;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;070780408;070000229;0;0;0;211;98;571;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;070780424;070000245;1;0;0;985;140;6151;0;260006267;;;4;0;0;0;4;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;080000110;080000037;1;0;0;223;79;820;1;080000615;080010523;;138;0;69;0;23;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;080000425;080000615;1;0;0;2742;2018;4853;1;;;;2232;0;1882;0;288;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;080009392;510007081;0;1;0;11116;11116;11116;0;;;;;;;;;;;;1;;0;466;10150;500;0;0;435;0;2;1;5;1;2;;;1;0;;1;2;1.68;5;1;2.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;080010267;080010242;1;0;1;2301;2028;2247;1;;;;2084;0;1948;0;306;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;2;5;;;415;1881;0;0;0;0;0;0;4064;0;0;0;2;;;;2;;2;;;;;;;;;;2;;;;
CANCERO;2014;080010473;080010242;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;090000175;090781774;1;0;0;2489;2107;3059;1;;;;2274;60;2086;60;319;6;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;090000183;090781816;1;0;0;315;290;195;0;090000175;;;289;0;284;0;35;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;100000090;100000017;1;1;1;18001;16662;10111;1;;;;7412;0;6561;0;889;0;16;0;2;1;0;450;9479;196;0;1;467;1;;2;8;;3;0;3;1;2;;1;1.35;2.63;8.79;;3.8;17;27;;;794;4157;0;0;0;0;0;0;5090;0;0;0;;;;8;;2.09;8;2;;;1;11;16;3;;9;14.18;10.45;0.4;;2.74
CANCERO;2014;100000124;100009075;0;0;0;304;28;1905;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;100000157;100009075;0;0;0;123;47;97;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;100002351;100000561;1;0;1;5779;5351;2945;0;100000017;510000185;;1372;0;5304;0;200;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;0;1152;0;0;0;0;0;0;0;0;0;0;2;;;;2;;4;;1;;1;;;;;;4;;1;;1
CANCERO;2014;110000023;110780061;1;1;1;16944;16392;4219;1;;;;4584;0;4313;0;575;0;5;0;2;0;0;780;11256;133;0;0;559;0;;1;9;1;1;0;3;3;2;1;4;2.04;3.06;8.91;1;2.75;16;12;0;0;683;4326;0;0;0;0;0;0;3598;0;0;0;;;3;1;2.31;0.2;10;10;;;1;14;11;1;2;5;18.7;15.31;0.2;0.2;3.6
CANCERO;2014;110000056;110780137;1;0;0;963;746;2387;1;;;;823;0;729;0;103;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;110780228;110000114;1;0;1;7306;6560;8700;1;;;;5950;0;6321;0;590;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;0;5009;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1.5;0.7;12;12;;;;3;4;;1;;13.24;13.39;;0.1;
CANCERO;2014;110780483;110000155;1;0;1;2300;1905;2076;1;;;;1613;0;1612;0;194;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;0;1617;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;2;;;;;1.75;;;;
CANCERO;2014;120000039;120780044;1;1;0;19432;18930;4746;1;;;;5167;0;4986;0;598;0;10;0;2;;;681;13235;56;0;2;654;2;2;3;6;;2;0;5;1;6;;3;2;3.76;10.25;;3.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;120000054;120780069;1;0;0;1335;1018;2568;1;;;;1015;0;966;0;140;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;120004569;120004528;1;0;0;931;833;1197;1;340780493;340780477;;878;0;833;0;117;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130000409;130041916;1;0;0;6823;5799;9051;1;;;;6028;5;5721;6;709;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130000565;130781446;1;0;0;579;556;155;1;;;;529;16;518;36;71;8;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130001225;130782634;1;0;0;2453;2236;2360;1;;;;2284;0;2214;0;255;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130001647;130784127;1;1;1;61873;54684;115283;1;;;;26013;1859;21400;1910;3664;280;1;0;3;0;2;1546;29743;351;383;203;1500;332;6;5;18;4;7;0;1;;1;;1;5.83;5;18.75;3.83;8.09;172;46;56;15;9239;24852;3288;4010;4;1;0;2;49007;15335;48;0;55;;21;;53.67;;220;80;4;6;79;23;13;;2;8;230.95;83.68;4;6.38;78.5
CANCERO;2014;130002827;130789274;1;0;0;1708;1415;2334;1;;;;1446;0;1330;0;184;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130002835;130789316;1;0;0;1798;1383;2652;1;;;;1496;0;1270;0;196;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130008253;130001084;0;0;0;207;134;270;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130034580;130034572;0;1;0;29757;29757;29757;0;;;;;;;;;;;;2;0;0;1525;28232;0;0;0;1150;;3;2;8;1;9;;0;1;3;1;2;3;2.9;9.88;1.9;9.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130037922;130037823;1;0;0;362;185;1932;0;130784051;;;78;0;76;0;15;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130043664;130002157;1;0;0;5682;4071;15150;1;;;;4260;0;3926;0;605;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130780521;130786049;1;1;1;25493;21883;24614;1;;;;6444;0;4739;0;937;0;0;0;1;;;801;16171;159;0;0;717;0;3;4;14;;16;14;1;0;3;;2;1.52;3.8;15.55;;17.78;;;;;3233;3634;209;8;3;0;1;0;12229;1192;16;1;2;5;0;1;0.97;3.13;25;13;2;;12;3;2;;;2;29.64;13.96;2;;12.77
CANCERO;2014;130781289;130002447;1;0;1;9016;8597;4659;1;;;;8664;0;8407;0;739;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;24;22;;;546;8418;0;0;0;0;0;0;7303;0;0;0;2;;;;2;;7;;0;;4;2;;1;;1;8.19;;0.23;;4.2
CANCERO;2014;130781370;130000532;0;0;0;980;653;1802;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130781479;130000599;1;0;1;4123;3617;5298;1;;;;2870;0;3468;0;295;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;0;2524;0;0;0;0;0;0;0;0;0;0;;;3;2;2.8;1;4;;;;2;;;;;;4;;;;2
CANCERO;2014;130782071;130002454;0;0;0;261;127;1046;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130782147;130000979;0;0;0;221;29;1789;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130782162;130000987;0;0;0;154;45;629;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130782675;130001233;0;0;0;324;165;831;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130783236;130786049;1;1;0;3786;2142;13203;1;;;;2623;69;2021;81;489;25;0;1;1;0;1;0;0;29;0;3;19;3;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
