BOR;AN;FI;FI_EJ;SITES;SALCHIR;SAL24CHIR;SALOBS;SAL24OBS;SALINT;SAL24INT;SALEND;SALEND24;SALAUT;SALAUT24;SALTOT;SALTOT24;SALAMBU;SURV;SURV24;SURVAMBU;POST;POST24;POSTAMBU;BLOCS_A10;BLOCS_B10;BLOCS_C10;BLOCS_D10;BLOCS_E10;BLOCS_F10;BLOCS_G10;BLOCS_H10;BLOCS_I10;BLOCS_A11;BLOCS_B11;BLOCS_C11;BLOCS_D11;BLOCS_E11;BLOCS_F11;BLOCS_G11;BLOCS_H11;BLOCS_I11;BLOCS_A12;BLOCS_B12;BLOCS_C12;BLOCS_D12;BLOCS_E12;BLOCS_F12;BLOCS_G12;BLOCS_H12;BLOCS_I12;BLOCS_A13;BLOCS_B13;BLOCS_C13;BLOCS_D13;BLOCS_E13;BLOCS_F13;BLOCS_G13;BLOCS_H13;BLOCS_I13;BLOCS_A14;BLOCS_B14;BLOCS_C14;BLOCS_D14;BLOCS_E14;BLOCS_F14;BLOCS_G14;BLOCS_H14;BLOCS_I14;BLOCS_A15;BLOCS_B15;BLOCS_C15;BLOCS_D15;BLOCS_E15;BLOCS_F15;BLOCS_G15;BLOCS_H15;BLOCS_I15
BLOCS;2014;020000535;020000287;1;4;4;0;0;0;0;1;1;0;0;5;5;;2;2;;9;9;;1568;2599;4167;2707;;2;;;;427;289;716;295;;3;2;;;1;1;2;1;;;;;;1;0;1;0;;;;;;1158;1925;3083;1309;;;;;;2;39;41;1;;;;;
BLOCS;2014;020001061;020004404;1;3;1;1;1;;;1;0;;;5;2;;1;1;;6;4;;1355;1961;3316;2876;2321;17;14;3;11;336;139;475;266;24;7;12;1;1;47;0;47;0;;0;0;0;0;3;4;7;0;1;0;0;0;0;1065;773;1838;739;683;2;0;1;2;1;5;6;1;4;0;0;0;0
BLOCS;2014;020010047;020001632;;6;;1;;1;;2;;1;;11;;;1;;;15;;;4251;4514;8765;6797;;;;;;319;70;389;312;;;;;;35;0;35;0;;;;;;83;0;83;0;;;;;;1637;4655;6292;3893;;;;;;26;78;104;5;;;;;
BLOCS;2014;030000061;030780092;3;7;1;1;1;2;1;1;1;1;;12;4;0;1;1;0;10;;0;3545;1344;4889;4058;3247;8;17;5;10;690;215;905;375;;12;15;4;3;337;0;337;0;;0;0;0;0;124;0;124;98;;0;0;0;0;2156;647;2803;1507;981;2;5;2;1;32;81;113;1;127;0;0;0;0
BLOCS;2014;030000079;030780100;1;3;1;1;;0;;2;;0;;6;1;0;1;1;0;8;2;0;2209;830;3039;2456;3732;14;36;0;6;684;324;1008;348;19;5;16;4;3;45;1;46;29;;0;2;0;0;5;0;5;0;;0;1;0;0;1162;364;1526;481;951;1;8;2;0;7;7;14;1;275;0;0;0;0
BLOCS;2014;030000087;030780118;1;6;6;1;1;3;1;2;1;0;;12;9;;3;1;;15;1;;4758;2221;6979;5438;0;22;5;4;14;776;292;1068;479;0;0;5;1;3;1001;23;1024;9;;;;;;221;71;292;0;0;0;0;0;0;2023;3628;5651;3631;;;;;;7;16;23;4;;0;0;0;0
BLOCS;2014;030780548;030000194;1;6;;0;;1;;1;;1;;9;;;1;;;12;;;3899;5321;9220;6512;;;;;;6;12;18;18;;;;;;0;0;0;0;;;;;;104;2;106;0;;;;;;757;1093;1850;1368;;;;;;16;248;264;10;;;;;
BLOCS;2014;030781116;030000426;1;12;12;1;;1;1;1;1;1;;16;14;16;1;1;;20;20;;5832;6547;12379;8423;;;;;;3;41;44;43;;;;;;37;0;37;0;;;;;;194;0;194;0;;;;;;2211;3256;5467;3963;;;;;;12;44;56;6;;;;;
BLOCS;2014;030785430;030785422;1;6;0;0;0;0;0;1;0;0;0;7;0;0;1;0;0;11;0;0;2772;3706;6478;4506;;;;;;0;0;0;0;;;;;;4;0;4;0;;;;;;51;14;65;0;;;;;;545;2121;2666;2352;;;;;;2;8;10;3;;;;;
BLOCS;2014;040000093;040780215;1;5;5;1;1;0;;0;;0;;6;6;;1;1;;9;9;;2199;1252;3451;2391;;;;;;533;320;853;354;;;;;;1;0;1;0;;;;;;0;0;0;0;;;;;;982;565;1547;646;;;;;;1;3;4;0;;;;;
BLOCS;2014;040000135;050002948;;0;;;;;;0;;0;;0;;;0;;;0;;;32;7;39;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;51;319;370;252;;;;;;0;0;0;0;;;;;
BLOCS;2014;040000911;040788879;1;5;5;1;1;0;;1;1;0;;7;7;;1;1;;9;9;;1700;1243;2943;2300;;;;;;241;228;469;256;;;;;;27;0;27;0;;;;;;5;0;5;0;;;;;;695;1360;2055;1002;;;;;;5;5;10;0;;;;;
BLOCS;2014;040780470;040000192;1;3;0;0;0;0;0;1;0;0;0;4;0;0;1;0;0;6;0;0;1006;4326;5332;3486;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;251;2121;2372;1521;;;;;;0;0;0;0;;;;;
BLOCS;2014;050000041;130037815;;;;;;;;1;0;3;0;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BLOCS;2014;050000090;050006931;1;5;;0;;1;;1;;1;;8;;;1;;;12;;;2941;4302;7243;6201;;;;;;0;0;0;0;;;;;;14;0;14;0;;;;;;93;8;101;0;;;;;;1250;4767;6017;3797;;;;;;3;8;11;8;;;;;
BLOCS;2014;050000231;050000116;1;2;;1;;0;;1;;0;;4;;;1;;;8;;;2229;869;3098;2548;574;3;0;4;8;191;108;299;122;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;669;499;1168;627;60;0;0;0;0;8;14;22;0;0;0;0;0;0
BLOCS;2014;050000348;050002948;;6;1;1;;0;;0;;0;;7;1;;2;1;;11;;;4521;1468;5989;4875;3093;21;573;13;12;802;252;1054;537;39;6;16;1;2;45;0;45;0;0;0;9;0;0;26;0;26;0;713;0;0;0;0;1497;900;2397;1248;1349;0;59;0;0;35;11;46;1;;0;0;0;0
BLOCS;2014;060000478;060780897;;6;1;1;1;1;0;3;0;1;0;12;2;;2;;;9;;;4744;2070;6814;5565;;;;;;1123;440;1563;505;;;;;;2;0;2;0;;;;;;3;0;3;0;;;;;;2397;674;3071;1492;;;;;;6;17;23;2;;;;;
BLOCS;2014;060000510;060780954;5;5;0;4;4;1;1;2;0;1;0;13;5;;1;;;12;;;3927;1228;5155;3999;87;10;6;11;7;670;371;1041;444;3;23;50;16;8;817;3;820;71;0;5;2;1;1;106;2;108;0;0;0;0;0;0;1306;1366;2672;937;122;1;1;0;2;1;3;4;1;0;0;0;0;0
BLOCS;2014;060000528;060780962;1;5;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;4;0;0;3523;1331;4854;2727;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;406;370;776;480;;;;;;0;0;0;0;;;;;
BLOCS;2014;060000544;060780988;4;8;1;1;1;2;;3;;;;14;2;;1;;;10;;;5354;2289;7643;5270;;;;;;1050;480;1530;674;55;;;;;761;6;767;0;31;;;;;228;2;230;0;;;;;;3038;1546;4584;2405;1773;;;;;11;125;136;17;694;;;;
BLOCS;2014;060001450;060785011;1;10;2;0;;3;;1;;1;;15;2;2;2;1;1;15;4;5;9416;4170;13586;9915;7591;121;45;39;70;;0;0;;;;;;;8;0;8;1;;1;;;;696;60;756;0;5;5;5;;;265;9;274;57;9;4;;;;15;5;20;0;1879;;;1;
BLOCS;2014;060002102;060791761;1;3;;0;;;;1;;;;4;;4;1;;;6;;;1627;1126;2753;2007;;;;;;3;120;123;28;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;465;1591;2056;1057;;;;;;0;0;0;0;;;;;
BLOCS;2014;060021417;060000221;3;8;;1;;1;;1;;1;;12;;;3;;;15;;;4776;13216;17992;13739;;;;;;4;160;164;164;;;;;;0;0;0;0;;;;;;9;1;10;0;;;;;;686;2995;3681;2129;;;;;;54;85;139;12;;;;;
BLOCS;2014;060780442;060000213;;5;;;;;;1;;1;;7;;0;1;;;9;;;2137;6067;8204;6270;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;152;71;223;194;;;;;;2;3;5;0;;;;;
BLOCS;2014;060780491;060790797;3;9;5;0;0;1;1;2;2;2;0;14;8;;3;1;;24;7;;3614;5302;8916;6303;;8;0;0;0;0;0;0;0;;;;;;0;0;0;0;;;;;;1077;129;1206;0;;0;0;0;0;3590;5734;9324;5192;;6;1;0;0;28;306;334;4;;0;0;0;0
BLOCS;2014;060780517;060000239;4;13;1;1;1;1;0;2;0;1;0;18;2;3;5;1;1;22;1;8;6922;9578;16500;13812;;;;;;309;420;729;593;;;;;;0;0;0;0;;;;;;4;0;4;0;;;;;;1129;7130;8259;4923;;;;;;2;116;118;3;;;;;
BLOCS;2014;060780590;060000270;1;5;0;0;0;0;0;2;0;0;0;7;0;;1;0;;11;0;;2143;2776;4919;3620;;1;0;1;0;0;40;40;40;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;1276;4133;5409;3262;;;;;;11;10;21;17;;;;;
BLOCS;2014;060780665;060000312;;5;;0;;;;1;;0;;6;;;1;;;5;;;872;1916;2788;1746;;;;;;0;10;10;10;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;302;2005;2307;1148;;;;;;1;14;15;5;;;;;
BLOCS;2014;060780699;060000346;1;0;;0;;;;0;;0;;0;;4;0;;2;0;;10;3;2197;2200;1404;;;;;;0;191;191;176;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;240;240;182;;;;;;0;51;51;9;;;;;
BLOCS;2014;060780715;060000361;6;19;2;6;6;4;1;4;1;;;33;10;4;5;1;2;36;12;12;11666;14094;25760;21496;465;67;8;12;46;484;142;626;612;;7;9;0;2;1418;16;1434;1171;;;;;1;351;231;582;0;;;;;;2089;8700;10789;5726;408;1;;2;4;6;13;19;17;;;;;
BLOCS;2014;060780723;060004959;2;6;6;0;0;3;2;2;1;1;;12;9;;2;0;;18;;;3786;6757;10543;8149;;17;0;2;2;0;0;0;0;;;;;;109;3;112;40;0;;0;0;1;82;0;82;0;0;0;0;0;0;2220;6638;8858;4751;0;0;0;0;0;1;37;38;34;0;0;0;0;0
BLOCS;2014;060780756;060000403;2;6;;1;;;;2;;0;;9;;;1;;;13;;;2866;2448;5314;4584;;;;;;770;271;1041;1001;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;659;5703;6362;3623;;;;;;7;138;145;14;;;;;
BLOCS;2014;060780947;060800174;1;5;;;;;;0;;0;;5;;;1;;;8;;;2866;2277;5143;4422;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;358;142;500;122;;;;;;1;3;4;0;;;;;
BLOCS;2014;060781200;060000635;3;7;2;;;;;2;;1;;10;2;1;2;;;12;;;2455;4596;7051;5791;;0;0;0;1;4;157;161;150;;;;;;1;0;1;1;;;;;;0;0;0;0;;;;;;2040;5527;7567;4437;;;;;;2;290;292;266;;;;;
BLOCS;2014;060785003;060785011;2;5;;;;3;;2;;0;;10;;;2;;;8;;;4288;763;5051;4126;115;10;28;4;0;0;0;0;0;;;;;;1233;5;1238;273;17;3;8;3;0;93;4;97;0;9;1;1;;;1044;362;1406;236;7834;4;;;1;1;3;4;1;;;;;
BLOCS;2014;060785219;060001468;2;1;0;;;1;0;1;0;0;;3;0;;2;0;;9;0;;295;0;295;24;;;;;;0;0;0;0;;;;;;1040;0;1040;2;;;;;;20;0;20;0;;;;;;948;;948;948;;;;;;6;0;6;0;;;;;
BLOCS;2014;060789195;060785011;1;10;;1;1;1;;5;1;1;;18;2;1;3;1;;23;2;;9124;2227;11351;8586;3939;36;24;;14;2197;1296;3493;1769;151;33;72;12;19;4;0;4;0;;;;;;390;5;395;0;57;;;;;6303;2899;9202;4781;2117;16;2;9;0;239;22;261;53;2094;;;;
BLOCS;2014;060791811;750826638;1;0;;0;;0;;1;;1;;2;;;1;;;4;;;19;0;19;11;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;380;13;393;70;;;;;;5;1;6;0;;;;;
BLOCS;2014;060794013;060790797;2;3;2;0;;3;3;0;0;0;0;6;5;;1;1;;10;10;;773;4;777;604;;0;0;0;0;0;0;0;0;;;;;;1796;1;1797;1350;;0;1;0;0;118;0;118;0;;0;0;0;0;181;0;181;34;;0;0;0;0;0;0;0;0;;;;;
BLOCS;2014;060800166;060780608;2;10;;;;1;;3;;0;;14;;;5;;;30;;;4785;6233;11018;7925;;;;;;;;;;;;;;;0;0;0;0;;;;;;75;0;75;0;;;;;;2350;8230;10580;6875;;;;;;2;43;45;16;;;;;
BLOCS;2014;070000013;070002878;1;1;1;0;;0;;1;;0;;2;1;2;1;;;6;;;893;612;1505;1225;687;7;3;5;3;122;105;227;90;;3;10;;1;1;0;1;0;;;;;;0;0;0;0;;;;;;999;495;1494;1016;815;;;;2;3;13;16;0;;9;;;
BLOCS;2014;070000096;070780184;;;;;;;;1;;;;1;;;1;;;2;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;74;312;386;284;;;;;;0;0;0;0;;;;;
BLOCS;2014;070000179;070780358;1;4;;0;;0;;1;;0;;5;;;1;;;6;;;2539;1867;4406;3093;;;;;;482;148;630;307;;;;;;91;4;95;0;;;;;;14;0;14;0;;;;;;1093;1450;2543;1327;;;;;;8;10;18;0;;;;;
BLOCS;2014;070000609;070005566;1;5;;1;;1;;1;;1;;9;;;1;;;6;;;2123;1568;3691;2765;;;;;;471;313;784;372;;;;;;61;0;61;0;;;;;;73;2;75;0;;;;;;1291;796;2087;900;;;;;;1;7;8;1;;;;;
BLOCS;2014;070780168;070000088;;2;;;;1;;1;;;;4;;;;;;1;;;1787;2344;4131;3156;;;;;;3;18;21;21;;;;;;5;0;5;0;;;;;;37;0;37;0;;;;;;449;2237;2686;1703;;;;;;2;15;17;3;;;;;
BLOCS;2014;070780408;070000229;1;4;;;;0;;0;;0;;4;;0;1;;;6;;;1188;1371;2559;1898;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;2;4;6;0;;;;;;231;937;1168;839;;;;;;0;1;1;1;;;;;
BLOCS;2014;070780424;070000245;3;12;;2;;1;;1;;1;;17;;;1;;;22;;;8578;7107;15685;14130;;;;;;809;108;917;442;;;;;;24;0;24;1;;;;;;1204;119;1323;0;;;;;;1300;571;1871;1634;;;;;;14;55;69;17;;;;;
BLOCS;2014;080000110;080000037;2;2;;1;;1;;2;;1;;7;;;1;;;9;;;1579;1006;2585;2052;2175;3;3;3;4;436;181;617;215;30;19;34;10;13;0;0;0;0;0;0;0;0;0;8;38;46;0;0;0;0;0;0;757;527;1284;612;485;1;7;0;1;3;7;10;0;21;0;0;0;0
BLOCS;2014;080000219;080001969;1;3;1;0;;0;;1;1;;;4;2;4;1;;;6;6;;3552;797;4349;1941;444;2;0;3;8;0;0;0;0;0;0;0;0;0;5;1;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;487;1218;1705;907;728;0;0;0;0;3;3;6;1;0;0;0;0;0
BLOCS;2014;080000425;080000615;2;6;2;1;1;1;0;1;0;1;0;10;3;0;1;0;0;10;0;0;4730;2453;7183;5510;3134;6;1;12;2;1155;319;1474;562;95;39;79;7;9;88;1;89;0;0;0;0;0;0;140;0;140;0;5;0;0;0;0;2218;1771;3989;1913;2250;4;2;1;5;16;19;35;2;83;0;0;0;0
BLOCS;2014;080010465;080010242;;1;;;;;;1;;;;2;;1;1;;;2;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;
BLOCS;2014;080010473;080010242;;4;;;;1;;1;;1;;7;;1;1;;;11;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;
BLOCS;2014;090000175;090781774;1;6;;1;;0;;1;;0;;8;;0;1;;;12;;;3783;2681;6464;4463;;;;;;618;461;1079;544;;;;;;48;0;48;0;;;;;;10;0;10;0;;;;;;1518;1667;3185;1621;;;;;;2;4;6;0;;;;;
BLOCS;2014;090000183;090781816;1;1;1;1;1;;;1;1;;;3;3;;1;;;4;;;1147;1073;2220;1474;;;;;;108;101;209;85;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;364;646;1010;559;;;;;;0;0;0;0;;;;;
BLOCS;2014;090001629;090780107;1;0;;;;;;1;;0;;1;;2;0;;1;0;;4;5;100;105;3;179;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;48;1060;1108;651;83;;;;;0;0;0;0;;;;;
BLOCS;2014;100000082;100001148;1;3;;1;;;;1;;;;5;;5;1;;;9;;;1364;3312;4676;3358;;2;0;1;4;11;19;30;30;;;;;;6;3;9;0;;;;;;10;9;19;0;;;;;;144;1320;1464;715;;;;;;0;4;4;2;;;;;
BLOCS;2014;100000090;100000017;3;8;7;1;1;1;1;1;1;1;1;12;11;0;1;1;0;10;10;0;5888;2838;8726;6897;946;7;6;0;0;1770;702;2472;1206;0;0;2;0;0;647;3;650;0;0;0;3;0;0;448;32;480;0;0;0;1;0;0;2679;964;3643;1755;1009;0;0;0;0;18;33;51;4;11;0;0;0;0
BLOCS;2014;100000124;100009075;1;6;;0;;0;;0;;0;;6;;;1;;;12;;;5164;4169;9333;7894;;;;;;0;0;0;0;;;;;;90;0;90;0;;;;;;26;0;26;0;;;;;;244;146;390;315;;;;;;6;14;20;7;;;;;
BLOCS;2014;100000157;100009075;1;3;;;;;;1;;;;4;;;1;;;5;;;917;2902;3819;3301;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;155;2077;2232;1488;;;;;;0;0;0;0;;;;;
BLOCS;2014;100000199;100006279;1;0;;2;2;0;;1;;0;;3;2;;1;;;2;;;;;;;;;;;;299;75;374;137;;;;;;;;;;;;;;;9;0;9;0;;;;;;150;90;240;89;;;;;;0;0;0;0;;;;;
BLOCS;2014;100002351;100000561;1;5;;;;;;1;;1;;7;;;1;;;7;;;3407;2618;6025;5119;;;;;;207;43;250;156;;;;;;4;0;4;0;;;;;;0;0;0;0;;;;;;2248;5657;7905;5271;;;;;;6;94;100;8;;;;;
BLOCS;2014;110000023;110780061;2;6;;1;1;1;;3;;1;;12;1;;1;;;16;;;3600;1441;5041;3996;2364;15;4;3;12;1330;470;1800;862;76;20;27;3;8;360;4;364;4;;3;2;;2;245;57;302;0;;;;1;;2740;1384;4124;1516;876;;;1;1;27;11;38;5;401;;;;
BLOCS;2014;110000056;110780137;2;6;;1;;0;;1;;0;;8;;;1;;;12;;;3065;1625;4690;4380;293;18;25;8;34;417;553;970;432;;4;4;;4;70;0;70;0;;;;;;20;0;20;0;;;;;;1159;1569;2728;1222;69;;28;;;8;15;23;0;1;;;;
BLOCS;2014;110000247;110780772;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;4;0;0;0;0;0;0;0;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;19;127;146;69;0;;;;;0;0;0;0;;;;;
BLOCS;2014;110780228;110000114;;6;;1;;0;;2;;0;;9;;;1;;;12;;;3749;7362;11111;7105;;6;;5;5;425;294;719;337;;;;0;1;;0;0;;;;;;;;;;0;;;;;;1912;4714;6626;4236;;;;;;;;;;;;;;
BLOCS;2014;110780483;110000155;1;9;;;;;;;;;;9;;;1;;;10;;;3316;8871;12187;8202;94;54;13;26;43;4;72;76;21;;;;;;13;0;13;0;;;;;;56;19;75;0;;;;;;1051;4125;5176;3248;104;2;3;1;1;6;7;13;6;;;;;
BLOCS;2014;120000039;120780044;1;7;;1;;1;;3;;1;;13;;;2;;;19;;;4521;4089;8610;6285;;12;4;9;18;754;351;1105;396;;;4;1;1;898;12;910;54;;;1;4;3;104;3;107;0;;;;;;2121;3139;5260;3121;;;;2;;12;9;21;1;;;;;
BLOCS;2014;120000054;120780069;2;2;2;1;1;1;1;1;;1;;6;4;;1;;;6;6;;2225;598;2823;2394;;;;;;379;192;571;164;;;;;;26;0;26;0;;;;;;74;0;74;0;;;;;;674;168;842;595;;;;;;4;5;9;0;;;;;
BLOCS;2014;120000070;120780085;1;3;1;1;1;0;0;1;0;0;0;5;2;0;1;1;0;4;4;0;778;401;1179;947;;;;;;168;97;265;129;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;206;308;514;234;;;;;;0;0;0;0;;;;;
BLOCS;2014;120001128;120780069;2;1;;;;;;1;;1;;3;;;1;;;4;4;;725;2538;3263;2019;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;396;2265;2661;1794;;;;;;0;0;0;0;;;;;
BLOCS;2014;120004569;120004528;2;4;;1;;1;;0;;0;;6;;;1;;;8;;;2220;597;2817;2425;;5;0;3;4;175;82;257;105;;1;;;;0;0;0;0;;;;;;2;0;2;0;;;;;;610;230;840;480;;;;;;0;0;0;0;;;;;
BLOCS;2014;120004668;120004619;1;1;0;1;1;;;1;;;;3;1;2;1;;;3;;;211;1012;1223;688;;;;;;162;25;187;57;1;;;;1;0;0;0;0;;;;;;0;0;0;0;;;;;;180;466;646;346;;;;;;0;0;0;0;;;;;
BLOCS;2014;120780325;120004528;1;;;;;;;0;;;;0;;2;;;1;;;3;29;1519;1548;1034;1113;;;;;0;23;23;22;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;10;1657;1667;1030;;;;;;0;41;41;1;;;;;
BLOCS;2014;130000409;130041916;3;12;;1;1;2;;2;;2;;19;1;;3;;;21;;;7917;2741;10658;8179;5792;33;32;20;33;1387;1120;2507;1138;21;18;34;6;10;1184;1;1185;66;0;3;4;1;2;265;7;272;172;0;1;0;0;0;4277;1309;5586;2109;3777;4;7;2;2;88;157;245;9;1036;1;0;0;0
BLOCS;2014;130000565;130781446;1;4;;1;;;;1;;1;;7;;;1;;;4;;;2007;1033;3040;2325;1643;6;1;8;5;663;264;927;391;;2;1;1;;2;0;2;1;;;;;;4;0;4;0;;;;;;668;748;1416;628;;;;3;;1;0;1;0;;;;;
BLOCS;2014;130001225;130782634;1;3;1;2;1;1;;2;1;1;;9;3;;1;1;;9;;;2401;922;3323;2838;1192;17;5;6;2;926;350;1276;456;313;5;3;2;0;22;0;22;0;64;0;0;0;0;4;0;4;0;;;;;;1381;2128;3509;1546;241;0;84;0;0;5;6;11;0;4;;;;
BLOCS;2014;130001647;130784127;2;6;1;;;1;1;3;1;0;;10;3;;1;;;10;;;5385;2195;7580;5009;;1;0;0;2;0;0;0;0;;;;;;1;0;1;1;;;;;;121;0;121;0;;;;;;2423;2251;4674;3023;;0;0;1;0;126;0;126;0;;;;;
BLOCS;2014;130002215;130785512;1;5;1;1;1;0;0;1;0;1;0;8;2;0;1;1;0;12;2;0;1066;337;1403;1264;104;3;0;1;5;352;595;947;401;;3;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;275;277;552;376;177;;;;;1;4;5;0;;;;;
BLOCS;2014;130002827;130789274;2;4;;1;1;1;;1;;1;;8;1;;1;;;6;;;2411;2397;4808;2508;;;;;;718;305;1023;408;;;;;;72;0;72;0;;;;;;26;0;26;0;;;;;;1433;1123;2556;1074;;;;;;13;11;24;1;;;;;
