BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
DIALYSE_P;2014;060792926;060022951;NCINF;18;3;18.85;;
DIALYSE_P;2014;060801016;060790540;M1110;;3;0.24;0;1
DIALYSE_P;2014;060801016;060790540;N4100;4;;0.31;;
DIALYSE_P;2014;060801016;060790540;NAUT;5;;0.3;;
DIALYSE_P;2014;060801016;060790540;NCINF;4;;2.7;;
DIALYSE_P;2014;070000179;070780358;M1110;4;0;3.55;0;1
DIALYSE_P;2014;070000179;070780358;N2500;3;8;7.7;;
DIALYSE_P;2014;070000179;070780358;N4100;1;0;0.3;;
DIALYSE_P;2014;070000179;070780358;NAUT;5;2;2.7;;
DIALYSE_P;2014;070000179;070780358;NCINF;17;13;22.49;;
DIALYSE_P;2014;070004726;380793802;M1110;1;1;1.77;;
DIALYSE_P;2014;070004726;380793802;N4100;1;;1;;
DIALYSE_P;2014;070004726;380793802;NAUT;5;4;6.1;;
DIALYSE_P;2014;070004726;380793802;NCINF;10;5;13.59;;
DIALYSE_P;2014;070786231;690796552;M1110;0;1;0.11;0;1
DIALYSE_P;2014;070786231;690796552;NCINF;;2;1.6;;
DIALYSE_P;2014;070786249;690796552;M1110;;4;0.27;0;1
DIALYSE_P;2014;070786249;690796552;NCINF;;3;1.37;;
DIALYSE_P;2014;080000425;080000615;M1110;4;;1.1;0;1
DIALYSE_P;2014;080000425;080000615;N2500;14;3;16.57;;
DIALYSE_P;2014;080000425;080000615;NAUT;;1;0.75;;
DIALYSE_P;2014;080000425;080000615;NCINF;19;9;26.71;;
DIALYSE_P;2014;080005846;510000953;NCINF;2;;2;;
DIALYSE_P;2014;080006034;510000953;NCINF;2;;2;;
DIALYSE_P;2014;080008568;510000953;N2500;1;;1;;
DIALYSE_P;2014;080008568;510000953;NCINF;2;;2;;
DIALYSE_P;2014;090000175;090781774;M1110;4;;3.02;0;1
DIALYSE_P;2014;090000175;090781774;N2500;3;3;5.48;;
DIALYSE_P;2014;090000175;090781774;NAUT;1;;0.8;;
DIALYSE_P;2014;090000175;090781774;NCINF;8;4;10.62;;
DIALYSE_P;2014;090002833;310000633;M1110;;;;;1
DIALYSE_P;2014;090002833;310000633;NCINF;;7;2.5;;
DIALYSE_P;2014;090784125;310000633;M1110;;;;;1
DIALYSE_P;2014;090784125;310000633;NCINF;;2;0.5;;
DIALYSE_P;2014;090784679;310000633;M1110;;;;;1
DIALYSE_P;2014;090784679;310000633;NCINF;;3;1;;
DIALYSE_P;2014;100000090;100000017;M1110;4;;1.31;0;1
DIALYSE_P;2014;100000090;100000017;N2500;12;;11.64;;
DIALYSE_P;2014;100000090;100000017;NAUT;6;;5.38;;
DIALYSE_P;2014;100000090;100000017;NCINF;13;4;16.41;;
DIALYSE_P;2014;100005958;510000953;NCINF;3;;3;;
DIALYSE_P;2014;100006550;510000953;NCINF;2;;2;;
DIALYSE_P;2014;110000023;110780061;M1110;;5;1.82;0;1
DIALYSE_P;2014;110000023;110780061;N2500;11;;11.67;;
DIALYSE_P;2014;110000023;110780061;N4100;3;;1.05;;
DIALYSE_P;2014;110000023;110780061;NAUT;1;;0.92;;
DIALYSE_P;2014;110000023;110780061;NCINF;19;9;24.76;;
DIALYSE_P;2014;110004413;340000264;M1110;;3;0.15;0;1
DIALYSE_P;2014;110004413;340000264;NCINF;;7;1.54;;
DIALYSE_P;2014;110004421;340000264;M1110;;;0.17;0;0
DIALYSE_P;2014;110004421;340000264;NCINF;;2;1.03;;
DIALYSE_P;2014;110004439;340000264;M1110;;;0.43;0;1
DIALYSE_P;2014;110004439;340000264;NCINF;;4;2.06;;
DIALYSE_P;2014;110005311;340000264;M1110;;5;0.75;0;1
DIALYSE_P;2014;110005311;340000264;NAUT;1;;1;;
DIALYSE_P;2014;110005311;340000264;NCINF;6;;5.6;;
DIALYSE_P;2014;110007259;110000114;M1110;;3;0.6;;
DIALYSE_P;2014;110007259;110000114;N4100;;2;0.5;;
DIALYSE_P;2014;110007259;110000114;NAUT;;2;0.3;;
DIALYSE_P;2014;110007259;110000114;NCINF;4;1;4.2;;
DIALYSE_P;2014;110780228;110000114;M1110;;3;2.4;0;1
DIALYSE_P;2014;110780228;110000114;N2500;6;;6;;
DIALYSE_P;2014;110780228;110000114;N4100;;2;1.5;;
DIALYSE_P;2014;110780228;110000114;NAUT;1;1;1.2;;
DIALYSE_P;2014;110780228;110000114;NCINF;14;4;16.14;;
DIALYSE_P;2014;120000039;120780044;M1110;4;;3.44;0;1
DIALYSE_P;2014;120000039;120780044;N2500;4;2;6.43;;
DIALYSE_P;2014;120000039;120780044;NAUT;1;1;1.42;;
DIALYSE_P;2014;120000039;120780044;NCINF;10;5;12.52;;
DIALYSE_P;2014;120001748;340000264;M1110;;;;0;1
DIALYSE_P;2014;120001748;340000264;NAUT;;1;0.8;;
DIALYSE_P;2014;120001748;340000264;NCINF;8;;7.8;;
DIALYSE_P;2014;120005228;310000633;M1110;;;;;1
DIALYSE_P;2014;120005228;310000633;NCINF;;2;2;;
DIALYSE_P;2014;120787254;340000264;M1110;;;;0;1
DIALYSE_P;2014;120787429;310000633;M1110;;;;;1
DIALYSE_P;2014;120787429;310000633;NCINF;;4;1.5;;
DIALYSE_P;2014;120788088;310000633;M1110;;;;;1
DIALYSE_P;2014;120788088;310000633;NCINF;;2;1;;
DIALYSE_P;2014;130000409;130041916;M1110;;4;1.1;1;0
DIALYSE_P;2014;130000409;130041916;N2500;5;1;5.5;;
DIALYSE_P;2014;130000409;130041916;N4100;1;;1;;
DIALYSE_P;2014;130000409;130041916;NAUT;3;2;4.04;;
DIALYSE_P;2014;130000409;130041916;NCINF;12;2;13.57;;
DIALYSE_P;2014;130002835;130789316;M1110;1;5;2.38;0;1
DIALYSE_P;2014;130002835;130789316;NAUT;5;2;5.44;;
DIALYSE_P;2014;130002835;130789316;NCINF;14;5;17.2;;
DIALYSE_P;2014;130008287;130006810;M1110;1;;0.96;;
DIALYSE_P;2014;130008287;130006810;N4100;;;0.37;;
DIALYSE_P;2014;130008287;130006810;NAUT;3;;4.37;;
DIALYSE_P;2014;130008287;130006810;NCINF;1;2;2.27;;
DIALYSE_P;2014;130024268;130006794;M1110;1;1;1.17;0;1
DIALYSE_P;2014;130024268;130006794;N2500;2;;2;;
DIALYSE_P;2014;130024268;130006794;N4100;;1;0.2;;
DIALYSE_P;2014;130024268;130006794;NAUT;;8;1.93;;
DIALYSE_P;2014;130024268;130006794;NCINF;3;6;4.96;;
DIALYSE_P;2014;130034002;130006562;M1110;;2;1;0;1
DIALYSE_P;2014;130034002;130006562;N4100;;3;0.5;;
DIALYSE_P;2014;130034002;130006562;NAUT;2;3;2.5;;
DIALYSE_P;2014;130034002;130006562;NCINF;3;3;3.46;;
DIALYSE_P;2014;130034044;130006562;M1110;;3;1;0;1
DIALYSE_P;2014;130034044;130006562;N4100;;3;0.5;;
DIALYSE_P;2014;130034044;130006562;NAUT;2;2;2.18;;
DIALYSE_P;2014;130034044;130006562;NCINF;3;4;4.84;;
DIALYSE_P;2014;130034077;130007156;M1110;;4;0.1;0;1
DIALYSE_P;2014;130034077;130007156;NAUT;;2;0.15;;
DIALYSE_P;2014;130034077;130007156;NCINF;;2;0.6;;
DIALYSE_P;2014;130034093;130006562;M1110;;1;0.1;0;1
DIALYSE_P;2014;130034093;130006562;N4100;;3;0.1;;
DIALYSE_P;2014;130034093;130006562;NAUT;;2;0.1;;
DIALYSE_P;2014;130034531;130001787;M1110;2;1;2.2;;1
DIALYSE_P;2014;130034531;130001787;N4100;;3;0.3;;
DIALYSE_P;2014;130034531;130001787;NAUT;;6;2.2;;
DIALYSE_P;2014;130034531;130001787;NCINF;14;7;15.24;;
DIALYSE_P;2014;130034556;130016058;M1110;;2;0.06;0;0
DIALYSE_P;2014;130034556;130016058;NAUT;;5;1.45;;
DIALYSE_P;2014;130034556;130016058;NCINF;;16;1.28;;
DIALYSE_P;2014;130034614;130006810;M1110;1;1;0.88;;
DIALYSE_P;2014;130034614;130006810;N4100;1;1;1.72;;
DIALYSE_P;2014;130034614;130006810;NAUT;5;2;3.83;;
DIALYSE_P;2014;130034614;130006810;NCINF;1;5;2.11;;
DIALYSE_P;2014;130035215;130001415;M1110;;1;0.2;;1
DIALYSE_P;2014;130035215;130001415;N2500;2;;1.5;;
DIALYSE_P;2014;130035215;130001415;N4100;1;;0.5;;
DIALYSE_P;2014;130035215;130001415;NCINF;2;1;2.25;;
DIALYSE_P;2014;130035223;130001415;M1110;;1;0.2;0;1
DIALYSE_P;2014;130035223;130001415;N2500;1;;1;;
DIALYSE_P;2014;130035223;130001415;N4100;;2;0.2;;
DIALYSE_P;2014;130035223;130001415;NAUT;;1;0.1;;
DIALYSE_P;2014;130035223;130001415;NCINF;2;;2;;
DIALYSE_P;2014;130035959;130006810;M1110;1;;1;;
DIALYSE_P;2014;130035959;130006810;N4100;;;0.18;;
DIALYSE_P;2014;130035959;130006810;NAUT;1;1;1.91;;
DIALYSE_P;2014;130035959;130006810;NCINF;;4;2.64;;
DIALYSE_P;2014;130036650;130016058;M1110;;2;0.12;0;0
DIALYSE_P;2014;130036650;130016058;NAUT;;5;1.18;;
DIALYSE_P;2014;130036650;130016058;NCINF;;12;1.82;;
DIALYSE_P;2014;130038003;130029218;M1110;2;1;2.9;0;1
DIALYSE_P;2014;130038003;130029218;N2500;6;2;7;;
DIALYSE_P;2014;130038003;130029218;N4100;;1;0.7;;
DIALYSE_P;2014;130038003;130029218;NAUT;;1;0.9;;
DIALYSE_P;2014;130038003;130029218;NCINF;17;4;18.5;;
DIALYSE_P;2014;130038045;130006562;M1110;;2;0.3;0;1
DIALYSE_P;2014;130038045;130006562;N4100;;3;0.5;;
DIALYSE_P;2014;130038045;130006562;NAUT;1;3;1.2;;
DIALYSE_P;2014;130038045;130006562;NCINF;;2;1;;
DIALYSE_P;2014;130781867;130000813;M1110;;3;1.5;0;0
DIALYSE_P;2014;130781867;130000813;NAUT;1;;1.06;;
DIALYSE_P;2014;130781867;130000813;NCINF;3;;3;;
DIALYSE_P;2014;130783236;130786049;M1110;3;;1.71;;
DIALYSE_P;2014;130783236;130786049;N2500;18;2;19.6;;
DIALYSE_P;2014;130783236;130786049;N4100;1;0;1;;
DIALYSE_P;2014;130783236;130786049;NAUT;8;1;8.8;;
DIALYSE_P;2014;130783236;130786049;NCINF;48;12;57.6;;
DIALYSE_P;2014;130783327;130001415;M1110;5;;5;0;1
DIALYSE_P;2014;130783327;130001415;N2500;11;1;11.5;;
DIALYSE_P;2014;130783327;130001415;NAUT;2;;2;;
DIALYSE_P;2014;130783327;130001415;NCINF;26;7;31;;
DIALYSE_P;2014;130784481;130001787;M1110;;7;5;0;1
DIALYSE_P;2014;130784481;130001787;N2500;11;1;9.68;;
DIALYSE_P;2014;130784481;130001787;N4100;2;1;1.7;;
DIALYSE_P;2014;130784481;130001787;NAUT;13;2;7.56;;
DIALYSE_P;2014;130784481;130001787;NCINF;65;17;49.61;;
DIALYSE_P;2014;130802549;130006562;M1110;;1;0.1;0;1
DIALYSE_P;2014;130802549;130006562;N4100;;3;0.1;;
DIALYSE_P;2014;130802549;130006562;NAUT;;2;0.1;;
DIALYSE_P;2014;130804297;130786049;M1110;1;0;0;;
DIALYSE_P;2014;130804297;130786049;N2500;2;;1.96;;
DIALYSE_P;2014;130804297;130786049;NCINF;5;1;6.08;;
DIALYSE_P;2014;130806029;130006794;M1110;;4;1.3;0;0
DIALYSE_P;2014;130806029;130006794;N2500;1;0;1;;
DIALYSE_P;2014;130806029;130006794;NAUT;3;8;5.1;;
DIALYSE_P;2014;130806029;130006794;NCINF;3;8;6.16;;
DIALYSE_P;2014;130806078;130016058;M1110;;6;1.56;0;0
DIALYSE_P;2014;130806078;130016058;NAUT;;12;6.48;;
DIALYSE_P;2014;130806078;130016058;NCINF;;19;8.35;;
DIALYSE_P;2014;130806318;130006794;N2500;1;;1;;
DIALYSE_P;2014;130806318;130006794;NAUT;;1;0.1;;
DIALYSE_P;2014;130806417;130006810;M1110;;;0.27;;
DIALYSE_P;2014;130806417;130006810;N4100;;;0.46;;
DIALYSE_P;2014;130806417;130006810;NAUT;1;;1.22;;
DIALYSE_P;2014;130806417;130006810;NCINF;;1;0.67;;
DIALYSE_P;2014;130809809;130007156;M1110;4;;3.9;0;1
DIALYSE_P;2014;130809809;130007156;N2500;7;2;7.5;;
DIALYSE_P;2014;130809809;130007156;N4100;;1;0.8;;
DIALYSE_P;2014;130809809;130007156;NAUT;;1;0.9;;
DIALYSE_P;2014;130809809;130007156;NCINF;17;2;18.2;;
DIALYSE_P;2014;130810104;130001415;M1110;;1;0.1;0;1
DIALYSE_P;2014;130810104;130001415;NAUT;;1;0.1;;
DIALYSE_P;2014;130811680;130029218;M1110;;3;0.1;0;1
DIALYSE_P;2014;130811680;130029218;N4100;;1;0.1;;
DIALYSE_P;2014;130811680;130029218;NAUT;;1;0.1;;
DIALYSE_P;2014;130811680;130029218;NCINF;;1;0.5;;
DIALYSE_P;2014;130811797;130006562;M1110;;3;0.3;0;1
DIALYSE_P;2014;130811797;130006562;N4100;;3;0.5;;
DIALYSE_P;2014;130811797;130006562;NAUT;1;3;1.5;;
DIALYSE_P;2014;130811797;130006562;NCINF;1;1;1.12;;
DIALYSE_P;2014;140000027;140000035;M1110;3;0;2.95;0;1
DIALYSE_P;2014;140000027;140000035;N2500;4;4;6.51;;
DIALYSE_P;2014;140000027;140000035;NAUT;3;0;1.8;;
DIALYSE_P;2014;140000027;140000035;NCINF;5;11;12.6;;
DIALYSE_P;2014;140002254;140000852;NCINF;;12;9.53;;
DIALYSE_P;2014;140004383;140000100;M1110;2;;1.75;1;0
DIALYSE_P;2014;140004383;140000100;N2500;8;4;10.25;;
DIALYSE_P;2014;140004383;140000100;NAUT;9;2;6.96;;
DIALYSE_P;2014;140004383;140000100;NCINF;15;11;21.69;;
DIALYSE_P;2014;140017237;140003278;M1110;;3;3;0;1
DIALYSE_P;2014;140017237;140003278;N2500;4;;4;;
DIALYSE_P;2014;140017237;140003278;N4100;1;;1;;
DIALYSE_P;2014;140017237;140003278;NCINF;11;4;13.79;;
DIALYSE_P;2014;140027434;140000852;NCINF;;4;2.7;;
DIALYSE_P;2014;150001758;630000990;M1110;;2;0.3;;
DIALYSE_P;2014;150001758;630000990;NCINF;;6;3.85;;
DIALYSE_P;2014;150780732;150000271;M1110;1;1;1.5;0;1
DIALYSE_P;2014;150780732;150000271;N2500;3;0;3;;
DIALYSE_P;2014;150780732;150000271;NAUT;;6;2.8;;
DIALYSE_P;2014;150780732;150000271;NCINF;10;5;13.88;;
DIALYSE_P;2014;160000253;160000451;M1110;2;1;1.28;;1
DIALYSE_P;2014;160000253;160000451;N2500;8;4;10.85;;
DIALYSE_P;2014;160000253;160000451;N4100;1;0;1.39;;
DIALYSE_P;2014;160000253;160000451;NAUT;5;2;6.32;;
DIALYSE_P;2014;160000253;160000451;NCINF;16;7;20.9;;
DIALYSE_P;2014;160006110;860000348;M1110;;3;0.32;0;1
DIALYSE_P;2014;160006110;860000348;N2500;;3;2.33;;
DIALYSE_P;2014;160006110;860000348;N4100;;;1;;
DIALYSE_P;2014;160006110;860000348;NAUT;;3;2.53;;
DIALYSE_P;2014;160006110;860000348;NCINF;6;7;9.31;;
DIALYSE_P;2014;160012159;860000348;M1110;;3;0.21;0;1
DIALYSE_P;2014;160012159;860000348;N2500;1;;0.86;;
