BOR;AN;FI;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFNS;EFFPL_INFNS;EFFPA_INFNS;ETP_INFSP;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPA_APNM;EFFPL_APNM;ETP_APNM
REA;2014;800006124;800000044;SURVENF;8;728;96;;;284;;;;5;1;0.85;2;0;0.38;1;1;0.51;6;0;1.11;0;0;0;0;1;0.13
REA;2014;800006124;800000044;USIC;14;5110;1540;;;4869;;;;5;2;3.7;1;0;19.95;17;6;1;12;8;18.57;0;0;0;1;3;6.45
REA;2014;800009466;800002982;SURVADU;17;6205;788;;;4933;;;;1;;1;;;;;;;;;;;;;;;
REA;2014;800009920;800003071;AUTSI;15;5475;1037;;;4073;;;;17;8;20;;;15.1;11;5;;2;1;2.65;0;4;1.6;3;0;1.42
REA;2014;800009920;800003071;SITOT;15;5475;1037;;;4073;;;;;;;;;;;;;;;;;;;;;
REA;2014;800009920;800003071;SURVADU;13;4745;541;;;2478;;;;17;9;21;;;8.81;8;1;;7;2;8.07;0;4;1.6;3;0;1.42
REA;2014;800015729;800015679;SITOT;8;2920;751;;;2488;;;;;;;;;;;;;;;;;;;;;
REA;2014;800015729;800015679;SURVADU;16;5840;1371;;;4366;;;;;;;;1;24.16;16;10;0.25;10;4;12.73;;;;5;15;17.19
REA;2014;800015729;800015679;USIC;8;2920;751;;;2488;;;;;;;;1;24.16;16;10;0.25;10;4;12.73;;;;5;15;17.19
REA;2014;810000224;810000471;REAADU;8;2920;406;419;37;2010;11;;158;6;2;7;1;;15.24;12;4;0.5;11;2;12.5;;;;;;
REA;2014;810000224;810000471;SITOT;11;4015;1254;;;3525;;;;;;;;;;;;;;;;;;;;;
REA;2014;810000224;810000471;SIUNV;4;1460;315;;;1277;;;;3;;3;1;;3.85;4;;0.33;4;;4;;;;;;
REA;2014;810000224;810000471;SURVADU;18;6570;917;;;5801;;;;30;4;32;1;;8.61;9;;0.5;10;;9.83;;;;;;
REA;2014;810000224;810000471;USIC;7;2555;939;;;2248;;;;7;1;7.5;1;;5.83;7;;0.25;3;2;4.12;;;;;;
REA;2014;810000505;810000331;REAADU;8;2920;275;276;10;2448;11;38;87;4;1;2.84;2;;18.5;29;1;1.22;13;3;9.42;;;;;3;1.72
REA;2014;810000505;810000331;SITOT;12;4380;1010;;;3403;;;;;;;;;;;;;;;;;;;;;
REA;2014;810000505;810000331;SIUNV;6;2190;446;;;1690;;;;4;3;0.57;2;;5.14;5;1;0.38;4;;4.53;;;;1;;0.5
REA;2014;810000505;810000331;SURVADU;4;1460;287;;;928;;;;4;1;1.47;2;;9.11;29;1;0.63;13;3;4.86;;;;;3;0.88
REA;2014;810000505;810000331;USIC;6;2190;564;;;1713;;;;6;6;0.86;;;11.48;9;3;;7;;6.19;;;;;2;1.4
REA;2014;810000521;810000380;REAADU;8;2920;319;328;44;1803;6;44;118;3;4;3.93;2;;19.91;24;15;0.92;17;11;11.95;4;5;0.27;;4;1
REA;2014;810000521;810000380;SITOT;12;4380;1029;;;3034;;;;;;;;;;;;;;;;;;;;;
REA;2014;810000521;810000380;SIUNV;4;1460;300;;;810;;;;3;1;0.36;1;;6.22;18;10;0.2;15;11;6.47;;;;;3;0.89
REA;2014;810000521;810000380;SURVADU;6;1825;606;;;1816;;;;3;4;2.62;2;;8.42;21;14;0.43;15;11;6.92;4;5;0.27;;3;0.9
REA;2014;810000521;810000380;USIC;8;2920;729;;;2224;;;;6;3;1.85;1;;4.12;5;1;0.5;6;2;5.89;;;;;1;0.16
REA;2014;810000562;810000455;SURVADU;4;1460;561;;;1277;;;;1;3;0.34;1;;5.78;6;;0.4;6;;5.53;;;;;;
REA;2014;810101170;810101162;SURVADU;6;2190;550;;;1722;;;;;;;;;5.24;6;;;5;1;5.55;;;;;;
REA;2014;810101444;810000992;SURVADU;6;2190;410;;;1980;;;;0;34;6.8;;1;4.72;5;1;0.4;6;;6;;;;;;
REA;2014;820000032;820000016;REAADU;10;3650;378;384;15;2330;8;38;106;6;1;5.05;2;;27.83;26;4;1.21;20;;18.22;1;;0.35;;3;1.57
REA;2014;820000032;820000016;SITOT;12;4372;1122;;;4020;;;;;;;;;;;;;;;;;;;;;
REA;2014;820000032;820000016;SIUNV;6;2190;624;;;2337;;;;3;2;0.57;1;;10.79;13;;0.25;8;1;6.47;1;;0.4;2;2;0.68
REA;2014;820000032;820000016;SURVADU;5;1825;419;;;1394;;;;5;;1;;;2.8;2;1;;2;1;2.75;;;;;;
REA;2014;820000032;820000016;USIC;6;2182;498;;;1683;;;;3;;0.57;2;;6.5;8;;0.3;8;1;7.15;;;;1;1;0.43
REA;2014;820000057;820000131;REAADU;8;2920;250;263;21;2543;8;;76;5;;5;;1;10.2;10;2;0.33;8;1;7.47;;2;0.8;1;2;2.5
REA;2014;820000057;820000131;SITOT;8;2920;1044;;;2455;;;;;;;;;;;;;;;;;;;;;
