BOR;AN;FI;FI_EJ;TELEMED_A1;TELEMED_B1;TELEMED_A2;TELEMED_B2;TELEMED_A3;TELEMED_B3;TELEMED_A4;TELEMED_B4;TELEMED_A5;TELEMED_A6;TELEMED_B6;NEPHRO_A;NEPHRO_B;NEPHRO_C;NEPHRO_D;NEURO_A;NEURO_B;NEURO_C;NEURO_D;RADIO_A;RADIO_B;RADIO_C;RADIO_D;CARDIO_A;CARDIO_B;CARDIO_C;CARDIO_D;DIABETE_A;DIABETE_B;DIABETE_C;DIABETE_D;DERMATO_A;DERMATO_B;DERMATO_C;DERMATO_D;PSY_A;PSY_B;PSY_C;PSY_D;GER_A;GER_B;GER_C;GER_D;MRARE_A;MRARE_B;MRARE_C;MRARE_D;AUTRE_A;AUTRE_B;AUTRE_C;AUTRE_D
TELEMED;2014;070000013;070002878;0;1;1;0;0;0;0;0;01/03/2014;0;;0;;0;;0;;0;;1;3;0;;0;;1;1;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;070000179;070780358;0;0;0;1;0;0;0;0;;0;;;;;;;;1;2;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TELEMED;2014;080000110;080000037;0;0;1;1;0;0;0;0;11/03/2002;0;;0;;0;;0;;0;;0;3;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;080000219;080001969;0;0;1;1;0;0;0;0;01/03/2008;0;;0;;0;;0;;1;2;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;oncologie;1
TELEMED;2014;080000276;080001969;0;0;0;1;0;0;0;0;01/03/2008;0;;0;;0;;0;;0;;0;;1;;0;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;080000425;080000615;0;0;1;1;0;0;0;0;15/09/2008;0;;0;;0;;0;;1;3;1;3;1;3;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;Pédiatrie, Rhumatologie,oncologie;
TELEMED;2014;090000175;090781774;0;0;1;1;0;0;0;0;;;;0;;0;;0;;1;2;1;3;;;0;;1;2;;;;;;;;;;;;;;;1;3;;;;;;;;
TELEMED;2014;090000183;090781816;1;0;1;1;0;1;0;0;01/05/2011;1;0.3;0;;0;;0;;1;2;0;;1;2;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;Plaie et cicatrisation et Géronto-Psychiatrie;2;;
TELEMED;2014;090001629;090780107;0;0;0;1;0;1;0;0;01/10/2013;0;;;;;;;;;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TELEMED;2014;090002478;090002429;0;1;0;1;0;0;0;0;01/05/2011;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;1;1;;;0;;;;Plaies et cicatrisation-Douleur-Gérontopsychiatrie;1
TELEMED;2014;100000090;100000017;0;1;1;1;0;1;0;1;30/09/2013;1;;0;;0;;0;;1;2;1;2;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;110000023;110780061;0;0;0;1;0;0;0;0;01/01/2000;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;gyénco-obst;2
TELEMED;2014;110000049;110780087;0;0;0;1;0;0;0;0;15/12/2013;0;;0;;0;;0;;0;;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;110780194;110000080;0;1;0;0;0;0;0;0;17/12/2014;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;PLAIE CICATRISATION;1
TELEMED;2014;120000054;120780069;0;0;0;1;0;0;0;0;23/05/2000;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;neurochirurgie;1
TELEMED;2014;120001748;340000264;1;1;0;0;1;1;0;0;;0;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TELEMED;2014;120004569;120004528;0;1;0;1;0;0;0;0;01/01/2011;0;;0;;0;;0;;1;2;1;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;120004668;120004619;0;0;0;1;0;1;0;0;01/01/2008;0;;0;;0;;0;;1;2;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;120780135;120000104;0;0;1;1;0;0;0;0;01/12/2012;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;2;1;2;1;2;1;2;0;;0;;;;;
TELEMED;2014;130001225;130782634;0;0;0;1;0;0;0;0;;;;0;;;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;Neurochirurgie;;;
TELEMED;2014;130001647;130784127;0;0;1;1;0;0;0;0;;1;1.55;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;cancérologie;2;cancérologie;2
TELEMED;2014;130806078;130016058;1;1;0;0;1;1;1;1;01/07/2013;0;;1;3;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;140000027;140000035;0;0;1;1;1;0;0;0;18/08/2010;0;;0;;0;;1;3;1;3;1;3;1;3;0;;1;3;0;;0;;0;;0;;0;;0;;0;;1;2;0;;;;cardiologie;2;;
TELEMED;2014;140000076;140000084;0;0;0;1;0;0;0;0;;0;;0;;0;;0;;0;;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;140000209;140000100;1;0;1;0;1;0;1;0;06/06/2006;1;;0;;0;;1;3;0;;1;3;0;;1;3;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;Voir commentaire;;;
TELEMED;2014;140000233;140000118;1;0;0;1;0;0;0;0;01/07/2011;0;;0;;0;;0;;1;1;1;3;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;140004383;140000100;1;0;1;0;1;0;1;0;06/06/2006;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;3;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;140015975;310021092;0;1;0;0;0;1;0;0;25/07/2014;0;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;
TELEMED;2014;140016155;140027426;0;1;0;0;0;1;0;0;01/01/2012;0;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;
TELEMED;2014;140016759;140003146;0;0;1;0;0;0;0;0;01/12/2014;0;;0;;0;;0;;0;;1;2;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;Cancérologie;2;;
TELEMED;2014;140018730;140000423;0;0;1;1;0;0;0;0;01/12/2014;0;;0;;0;;0;;0;;0;;1;2;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;Cancérologie;2;Cancérologie;2
TELEMED;2014;140025255;310020383;0;1;0;0;0;0;0;1;06/10/2014;0;;0;;0;;0;;0;;0;;0;;1;1;0;;1;1;0;;1;1;1;1;0;;0;;0;;0;;0;;0;;plaies /pansements;1;domoplaie;1
TELEMED;2014;140026410;140026279;0;0;0;1;1;1;0;0;01/01/2008;0;;0;;0;;0;;0;;0;;1;2;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;Neurochirurgie;2
TELEMED;2014;150000032;150780088;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;neurochirurgie;2
TELEMED;2014;150000040;150780096;1;0;1;0;0;0;0;0;19/11/2014;0;;0;;;;0;;;;1;;;;0;;;;0;;;;1;2;;;0;;;;0;;;;0;;;;;;;
TELEMED;2014;150000164;150780468;0;1;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TELEMED;2014;150000180;150780500;0;0;0;1;0;0;0;0;;0;;0;;0;;0;;0;;0;;1;2;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;150002608;660006370;0;1;0;1;0;1;0;0;01/10/2014;1;0.2;;;0;;;;0;;;;0;;;;1;1;;;0;;;;1;2;;;0;;;;0;;;;0;;;;;
TELEMED;2014;150780120;150000065;0;0;0;0;0;1;0;0;01/01/2013;1;0.5;;;;;;;;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TELEMED;2014;160000253;160000451;0;0;1;0;1;0;1;0;01/01/2005;0;;;;;;;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TELEMED;2014;160000337;160000493;0;0;0;1;0;0;0;0;31/03/2014;0;;0;;0;;0;;0;;0;;1;2;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;170000095;170780167;0;0;1;1;0;0;0;0;01/04/2014;0;;0;;0;;0;;0;;1;3;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;170000129;170780191;0;0;0;1;0;0;0;0;;0;;0;;0;;0;;0;;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;170000152;170780225;0;0;0;1;0;0;0;0;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;neurochir et hématologie;2
TELEMED;2014;170022818;170022057;0;0;0;1;0;0;0;0;01/07/2013;0;;0;;0;;0;;0;;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;170780621;170000285;0;0;0;1;0;0;0;0;01/07/2013;0;;0;;0;;0;;0;;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;180000010;180000028;1;0;0;0;0;0;0;0;01/01/2014;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;1;;0;;0;;0;;0;;0;;0;;0;;Médecine interne;;;
TELEMED;2014;180000176;180001158;1;0;0;0;0;0;0;0;18/06/2014;0;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;
TELEMED;2014;180000200;180000051;0;0;0;0;0;1;0;0;;0;;0;;0;;0;;0;;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;180000283;180000069;0;0;0;0;0;1;0;0;14/12/2009;0;;0;;0;;0;;0;;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;190000018;190000042;1;1;1;1;0;0;0;0;01/01/2006;0;;0;;0;;0;;1;3;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;190000026;190000059;0;0;0;0;1;0;0;0;;0;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;
TELEMED;2014;190000091;190000075;0;0;0;0;1;0;0;0;;0;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;
TELEMED;2014;210987558;210780581;1;0;1;1;1;0;1;0;;1;0.8;0;;0;;1;3;0;;1;3;0;;1;2;0;;;;0;;1;3;0;;0;;0;;0;;0;;1;2;0;;Neurochir-Ophtalmo-Odonto-Ortho-CMF;3;;
TELEMED;2014;210987657;210780714;0;1;0;1;0;1;0;0;16/01/2014;0;;0;;1;1;0;;1;2;0;;0;;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;210987665;210010070;0;0;0;1;0;0;0;0;;;;0;;0;;0;;1;2;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;210987673;210010070;0;0;0;1;1;0;0;0;;0;;;;;;;;;;;;1;3;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;
TELEMED;2014;210987699;210780706;0;1;0;1;0;1;0;0;;0;;0;;0;;0;;1;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;210987731;210780417;0;0;0;0;1;0;0;0;10/11/2005;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;Onco-médicale, onco-chirurgie, onco-radiologie;2;;
TELEMED;2014;220000012;220000020;1;0;1;1;1;1;1;0;25/09/2007;0;;1;3;1;3;0;;1;1;1;3;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;Neurochirugie;
TELEMED;2014;220000095;220000046;0;0;0;1;0;0;0;0;;0;;0;;0;;0;;1;1;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;Gynéco-Obstétrique;2
TELEMED;2014;220000343;220000079;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TELEMED;2014;220000368;220000103;0;0;1;1;1;0;0;0;01/01/2011;0;;0;;0;;0;;0;;1;3;1;2;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;220000541;220000152;0;1;1;1;0;0;0;1;;;;0;;0;;0;;0;;1;2;0;;0;;1;3;0;;0;;;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;220020101;220000020;0;0;0;0;1;1;0;0;26/10/2006;0;;1;3;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;220020119;220000020;0;0;0;0;1;1;0;0;08/09/2008;0;;1;3;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;220022149;220000020;0;0;0;0;1;1;0;0;04/09/2014;0;;1;3;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;230000820;230780041;0;1;0;0;0;0;0;0;15/10/2013;0;;0;;0;;0;;1;2;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;230000853;230780074;1;0;1;0;1;0;0;0;03/12/2013;0;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;
TELEMED;2014;230780082;750005068;0;1;1;1;0;1;0;0;02/05/2001;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TELEMED;2014;240000372;240000059;0;1;0;0;0;0;0;0;01/01/2012;0;;0;;;;0;;;;0;;1;2;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;
TELEMED;2014;250000635;250000239;0;1;0;1;0;1;0;1;21/04/2012;1;0.11;0;;0;;0;;1;1;0;;0;;0;;0;;0;;1;2;0;;1;2;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;250000700;250000452;1;1;0;1;0;1;0;1;30/06/2008;;;0;;0;;0;;1;3;0;;1;2;0;;0;;0;;0;;0;2;1;2;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;250000718;250000460;0;0;0;1;0;0;0;0;01/01/2014;0;;0;;0;;0;;0;;0;;1;3;0;;0;;0;;0;;0;;1;1;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;250000726;250000478;0;1;0;0;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;1;0;;1;1;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;250006954;250000015;1;0;1;1;1;1;1;0;01/01/2000;1;1.12;0;;0;;1;3;;2;1;3;;;1;3;0;;1;3;0;;1;3;0;;0;;0;;1;2;0;;0;;0;;Maladies infectieuses (antibiothérapies) Neurochirurgie Cancérologie (Oncotel + transfert imagerie haute définition;3;;
TELEMED;2014;260000013;260000021;1;0;1;1;0;0;0;0;01/07/2013;0;;0;;0;;1;2;0;;1;3;1;2;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;260000138;260000047;0;0;1;1;0;0;0;0;;0;;0;;0;;0;;1;2;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;Oncologie;2;Oncologie;
TELEMED;2014;260000146;260000054;0;0;0;1;0;0;0;0;01/03/2013;0;;;;;;;;;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TELEMED;2014;260000237;260000088;0;0;0;1;0;0;0;0;01/06/2012;;;;;;;;;;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TELEMED;2014;260000278;260000096;0;1;0;0;0;0;0;0;01/06/2012;1;0.32;0;;0;;0;;0;;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;260000286;260000104;0;0;0;1;0;1;0;0;;;;0;;0;;0;;0;;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;270000359;270023724;1;0;1;1;0;0;0;0;01/01/2014;0;;0;;0;;0;;0;;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;1;2;0;;0;;0;;;;;
TELEMED;2014;270000367;270000086;0;1;0;0;0;0;0;0;27/06/2013;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;1;0;;0;;0;;0;;;;;
TELEMED;2014;270000441;270000110;0;1;0;1;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;2;0;;0;;;;;
TELEMED;2014;270000458;270023724;0;0;0;1;0;0;0;0;01/01/2014;0;;0;;0;;0;;0;;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;270000482;270000144;0;0;0;1;0;1;0;0;17/04/2013;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;1;2;0;;0;;0;;0;;;;;
TELEMED;2014;270000532;270000185;0;1;0;1;0;1;0;0;11/01/2013;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;1;1;;;1;2;;;0;;;;;
TELEMED;2014;270000573;270000219;1;0;1;0;0;0;0;0;24/05/2014;0;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;
TELEMED;2014;280000084;280000183;0;0;1;1;0;0;0;0;01/02/2012;0;;0;;0;;0;;0;;0;;0;;1;2;1;2;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;280000662;280500075;0;0;1;0;0;0;0;0;;0;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TELEMED;2014;280504267;280000134;1;0;1;1;1;0;0;0;;0;;0;;1;2;0;;1;2;0;;0;;1;3;1;3;0;;0;;0;;1;2;0;;0;;1;1;0;;0;;0;;Urologie;2;Obésité-ORL-Dermato-hématologie-Thorax;2
TELEMED;2014;290000025;290020700;0;0;0;1;1;0;0;0;09/03/1998;0;;0;;0;;0;;0;;1;3;0;;0;;1;2;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;Oncologie et RCP de recours régional + Neurochirurgie;3
TELEMED;2014;290000066;290020700;0;0;0;1;0;0;0;0;09/03/1998;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;Neurochirurgie;1
TELEMED;2014;290000173;290000041;0;0;0;0;0;1;0;0;;0;;0;;0;;0;;0;;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;290000181;290000074;0;0;1;1;1;0;0;0;;1;0.75;0;;0;;0;;0;;0;;1;3;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;290000256;290000017;0;0;0;1;0;0;0;0;;;;0;;0;;0;;0;;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;290000728;750821092;0;0;1;1;0;0;0;0;;0;;0;;0;;0;;0;;1;1;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;290000785;220020739;0;0;1;0;0;0;0;0;;0;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TELEMED;2014;290004324;290000017;0;0;1;0;1;0;0;0;;;;0;;0;;0;;0;;1;3;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;EFN;3;;
TELEMED;2014;300000031;300780053;0;0;1;1;1;1;0;0;31/12/1998;0;;0;;0;;0;;1;1;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;Gynécologie-obstétrique;2;Gynécologie-obstétrique, RCP;2
TELEMED;2014;300000478;300781010;0;0;0;0;0;0;0;1;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;300008588;340000413;0;0;0;0;1;0;1;0;09/11/2010;0;;1;3;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;
TELEMED;2014;300008638;340000413;0;0;0;0;0;1;0;1;09/11/2010;0;;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;300012309;340784933;0;1;0;1;0;0;0;0;01/12/2014;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;300013745;340784933;0;1;0;1;0;0;0;0;01/12/2014;0;;0;;0;;0;;0;;0;;0;;0;;1;1;0;;0;;0;;1;3;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;300782117;300780038;1;0;1;1;1;0;0;0;14/12/2012;0;;0;;0;;0;;0;;1;3;0;;1;3;;;0;;;;0;;;;0;;;;0;;;;0;;;;gynéco-obstétrique, biologie (EFSN...)-médecine générale;3;biologie;3
TELEMED;2014;310000310;310780671;0;1;0;1;1;1;0;1;;0;;0;;0;;0;;1;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
