BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2014;020004156;590805065;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;020004156;590805065;2000;2;;4.33;;6.33;3;20.27;;10.25;16.14;;;;49.66;;;;1.85;1.07;58.91
Q24;2014;020004156;590805065;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;020004156;590805065;2200;2;;4.33;;6.33;3;20.27;;10.25;16.14;;;;49.66;;;;1.85;1.07;58.91
Q24;2014;020004156;590805065;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;020004156;590805065;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;020004156;590805065;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;020004156;590805065;9999;2;;4.33;;6.33;3;20.27;;10.25;16.14;;;;49.66;;;;1.85;1.07;58.91
Q24;2014;020004297;020005179;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;020004297;020005179;2000;;;2.66;;2.66;2;6.8;;9.5;;0.5;;;18.8;;0.5;0.5;;;21.96
Q24;2014;020004297;020005179;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;020004297;020005179;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;020004297;020005179;2300;;;2.66;;2.66;2;6.8;;9.5;;0.5;;;18.8;;0.5;0.5;;;21.96
Q24;2014;020004297;020005179;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;020004297;020005179;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;020004297;020005179;9999;;;2.66;;2.66;2;6.8;;9.5;;0.5;;;18.8;;0.5;0.5;;;21.96
Q24;2014;020004677;020000261;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;020004677;020000261;2000;;;;;;1;11.05;;18.38;1;;;2.75;34.18;;;;;;34.18
Q24;2014;020004677;020000261;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;020004677;020000261;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;020004677;020000261;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;020004677;020000261;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;020004677;020000261;2500;;;;;;1;11.05;;18.38;1;;;2.75;34.18;;;;;;34.18
Q24;2014;020004677;020000261;9999;;;;;;1;11.05;;18.38;1;;;2.75;34.18;;;;;;34.18
Q24;2014;020005476;020000253;1000;;;0;;0;0;0.05;;0;0.01;0;;0.02;0.08;0;0.01;0.01;;0.02;0.11
Q24;2014;020005476;020000253;2000;;;0.82;;0.82;0.92;14.79;;13.79;8.81;0.18;;0.29;38.78;0.04;0.2;0.24;;0.32;40.16
