BOR;AN;FI;FI_EJ;SPED;UPED;LIT_PED;PLA_PED;SEJHP_PED;SEJHC_PED;JOU_PED;EFFPL_PM;EFFPL_PED;EFFPA_PM;EFFPA_PED;ETP_PM;ETP_PED;GAR_PM;GAR_PED;AST_PM;AST_PED;EFFPL_INFNS;EFFPL_PUE;EFFPL_AUX;EFFPL_KINE;EFFPL_PSY;EFFPL_APNM;EFFPA_INFNS;EFFPA_PUE;EFFPA_AUX;EFFPA_KINE;EFFPA_PSY;ETP_INFNS;EFFPA_APNM;ETP_PUE;ETP_AUX;ETP_KINE;ETP_PSY;ETP_APNM
MCOPED;2014;010000024;010780054;1;1;22;0;134;2038;5201;4;4;;;2.2;2.2;1;1;1;1;5;7;3;;;4;6;6;7;;3;9;;10.43;7.27;;0.77;3.79
MCOPED;2014;010000032;010780062;1;1;14;1;130;733;1469;2;2;;;1.9;1.9;0;0;1;1;5;1;3;;;1;;;1;;1;5.75;4;1;3.54;;0.77;5.2
MCOPED;2014;010005239;010008407;1;0;14;1;44;1062;3215;0;0;4;3;2.62;2.52;0;0;0;0;4;4;10;0;0;1;0;0;1;0;1;2.47;1;4.67;9.8;0;0.05;2.57
MCOPED;2014;020000162;020000063;1;1;30;4;205;2177;4781;5;5;2;2;6.4;6.4;1;1;1;1;12;9;23;0;2;16;4;2;5;0;1;13.49;6;10.59;27.88;0;2.5;18.55
MCOPED;2014;020000394;020000253;1;1;16;1;118;1327;2606;1;1;2;2;2.52;2.52;1;1;0;0;14;0;6;0;1;9;2;0;1;0;0;11.1;1;0;6.64;0;1.33;8.4
MCOPED;2014;020000519;020000261;1;1;22;;0;1401;4217;8;8;1;1;8.23;8.23;0;0;1;1;9;1;5;;;5;10;2;8;;;18.19;7;1.72;11.06;;;10.42
MCOPED;2014;020000535;020000287;1;0;4;0;0;314;1565;0;0;0;0;0;0;;;;;4;2;2;;;;;1;1;;;3.83;;2.46;2.56;;;
MCOPED;2014;020001061;020004404;1;1;12;;111;806;1938;5;5;1;1;1.92;1.92;0;0;1;1;2;3;3;;;4;4;;1;;;5.21;;2.85;3.13;0.1;;2.85
MCOPED;2014;020001087;020004495;1;1;2;0;0;76;0;1;;;;0.2;;0;;0;;;;;;;;;;;;;;;;;;;
MCOPED;2014;030000061;030780092;1;0;17;2;528;1397;3355;4;4;1;;2.26;1.96;0;0;1;1;13;3;3;0;1;12;5;4;2;0;1;12.79;6;7.03;4.4;0;1.8;17.25
MCOPED;2014;030000079;030780100;1;1;34;0;0;2353;4261;4;4;5;3;6.1;5.9;0;0;1;1;13;7;17;1;1;13;3;;5;1;;15.4;3;7;21;0.76;1;15.05
MCOPED;2014;030000087;030780118;1;0;22;;0;2134;5197;3;3;2;2;1;1;0;0;1;1;12;4;15;0;0;9;3;3;4;0;1;11.03;3;6.08;10.62;0;0.5;7.16
MCOPED;2014;040000093;040780215;1;0;8;;0;946;1394;2;2;4;4;4.07;4.07;0;0;1;1;3;2;;;;2;1;2;;;;2.56;4;2.69;;;;5.35
MCOPED;2014;040000911;040788879;1;0;2;0;0;70;222;;;1;1;0.6;0.6;0;0;1;1;;;;;;;;;;;;;;;;;;
MCOPED;2014;050000231;050000116;1;0;13;;0;433;923;1;1;2;2;2.43;2.43;;;;;5;0;3;0;0;5;1;1;1;0;0;5.51;0;0.8;3.06;0;0;3.99
MCOPED;2014;050000348;050002948;1;0;9;1;29;1195;2695;5;5;0;0;2.85;2.85;;;;;2;5;4;0;0;6;2;6;12;0;0;3.74;4;8.66;10.76;0;0;5.87
MCOPED;2014;060000478;060780897;1;1;25;2;131;1423;3054;7;7;1;1;5.74;5.74;1;1;0;0;3;12;8;;1;7;3;5;5;;;6.25;;15.95;11.8;;0.37;6.35
MCOPED;2014;060000510;060780954;1;;23;1;159;1552;3042;3;;1;;2.7;;0;;1;;5;5;5;;;5;2;6;5;;;6.59;4;9.45;7.18;;;9.14
MCOPED;2014;060000544;060780988;1;1;18;5;190;1695;3809;6;6;3;2;5.27;5.17;1;1;0;0;6;7;11;;;6;1;2;3;1;1;6.6;2;8.59;13.17;0.4;0.1;7.6
MCOPED;2014;060780517;060000239;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;060780947;060800174;1;1;110;12;4078;9212;25763;53;18;40;8;41.37;16.07;1;1;1;1;38;28;51;0;2;61;15;11;16;7;7;42.55;67;31.71;56.93;2.83;4.84;100.08
MCOPED;2014;060789195;060785011;1;0;13;8;1374;479;2383;;;5;;1.72;;;;;;51;8;10;0;3;7;10;4;0;0;2;51.68;2;12.27;10.92;0;3.53;7.71
MCOPED;2014;070000179;070780358;1;;15;0;0;1948;3419;20;2;3;1;24.88;3.9;0;0;1;1;6;1;2;0;0;67;20;6;11;0;0;21.3;51;6.28;11.91;0;0;87.19
MCOPED;2014;070000195;070780374;1;0;;;0;471;1920;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;070000609;070005566;1;0;10;;0;966;1894;4;4;0;0;3.66;3.66;;;;;2;6;0;0;0;1;2;5;0;0;0;2.7;1;9.44;0;0;0;1.47
MCOPED;2014;080000110;080000037;1;1;18;2;857;948;2149;3;3;0;0;3;3;0;0;;1;3;3;9;;;1;4;7;2;;1;6.7;1;8.3;10;;0.5;1.8
MCOPED;2014;080000425;080000615;1;;22;1;290;1638;5070;5;5;1;1;0.56;0.56;0;0;0;0;4;3;6;;;3;4;5;9;;;6.91;6;5.34;13.29;;;5.96
MCOPED;2014;090000175;090781774;1;0;7;2;188;1105;2017;6;6;1;1;2.64;2.64;0;0;1;1;4;8;;;;12;1;5;;;;4.36;4;5.66;;0.24;;8.94
MCOPED;2014;100000090;100000017;1;0;31;4;966;2426;8368;;;7;6;2.32;2.26;0;0;1;1;14;4;11;;2;3;2;1;4;;1;13.97;4;4.3;14.92;;2.02;5.84
MCOPED;2014;110000023;110780061;1;0;13;4;519;1564;2895;;;3;3;1.62;1.5;0;0;1;1;4;5;10;;;;1;5;;2;1;6.05;2;4.98;10.42;0.1;0.3;1
MCOPED;2014;110000056;110780137;1;0;16;0;0;1724;3659;4;4;1;1;4.5;4.5;0;0;1;1;10;3;5;;;2;;1;1;;;9.55;;4.02;5.8;;;2.07
MCOPED;2014;120000039;120780044;1;0;11;2;146;860;1729;6;6;1;1;6.8;6.8;;;;;;1;4;1;;2;2;8;7;1;;1;4;7.8;9.65;0.97;;3.58
MCOPED;2014;120004668;120004619;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;130000409;130041916;1;1;19;4;806;2868;6193;5;3;13;11;5.72;4.55;1;1;0;0;2;3;4;;;5;11;8;9;1;;7.82;11;7.71;8.08;0.19;;9.63
MCOPED;2014;130000565;130781446;1;1;16;2;251;1469;2481;3;3;8;8;6.78;6.78;1;1;0;0;4;2;5;;;7;5;6;7;;0;7.16;2;6.9;10.29;;0;7.14
MCOPED;2014;130001225;130782634;1;0;6;1;24;1658;3197;6;6;5;4;6.23;6.21;;;;;1;3;6;;1;6;4;8;7;;;4.84;;9.06;11.63;;0.25;5.33
MCOPED;2014;130002827;130789274;1;0;2;;0;130;522;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;130002835;130789316;1;1;22;2;191;1466;2945;6;6;5;2;7.9;7.7;1;1;0;0;10;6;9;0;0;8;9;3;3;0;0;17.98;6;7.17;11.57;0;0;11.14
MCOPED;2014;130780521;130786049;1;1;52;5;1726;3840;13757;5;4;2;2;2.79;2.29;;;;;8;7;9;;1;8;5;5;3;;0;10.24;1;8.12;9.88;;1;7.02
MCOPED;2014;130785652;130014228;1;1;43;;0;3055;4485;5;2;22;21;12.36;8.63;1;1;0;0;15;11;23;;;15;3;7;2;;;10.97;1;13.13;18.26;;;15.27
MCOPED;2014;130804297;130786049;1;1;195;38;11232;11218;49020;35;29;17;13;16.08;14.93;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;140000027;140000035;1;1;34;3;379;2391;7263;6;6;2;2;6.13;6.13;1;;1;;10;3;8;0;1;18;9;4;2;0;0;18.44;2;6.15;9.75;0.07;1;19.19
MCOPED;2014;140000209;140000100;1;1;81;12;2563;5481;17376;20;14;5;5;14.39;10.94;1;1;0;0;9;17;30;;;25;15;21;11;;2;19.04;9;30.67;36.4;;0.55;27.1
MCOPED;2014;140000233;140000118;1;0;18;1;193;1065;2988;3;3;1;1;3.2;3.2;0;0;1;1;4;1;1;;;9;3;;2;;;5.9;6;1.47;2.47;;0.28;11.54
MCOPED;2014;140024886;140000092;1;0;11;0;126;803;1833;3;3;3;3;5;2.5;;;1;1;3;3;5;;;1;;;5;;;2.83;;3;9.38;;;0.6
MCOPED;2014;150000040;150780096;1;;16;0;0;1474;2524;4;4;2;2;3.68;3.68;;;1;1;4;2;9;;;2;1;1;2;;;4.45;6;2.8;10.83;;;4.24
MCOPED;2014;160000253;160000451;1;1;20;4;188;1431;3147;6;6;2;2;4.63;4.63;1;1;;;13;3;4;0;0;17;10;3;2;0;0;19.88;11;5.43;6.63;0;0;19.99
MCOPED;2014;170000087;170023279;1;0;28;5;1176;2095;5026;8;8;3;3;8.9;8.9;0;0;0;0;5;1;9;;1;7;7;8;9;;;10.44;6;6.44;15.92;0.46;0.36;9.7
MCOPED;2014;170000103;170780175;1;0;25;0;0;2766;5712;7;7;2;2;5.45;5.45;1;1;0;0;20;7;13;;;7;12;17;15;;;9.35;8;6.94;13.49;;;3.58
MCOPED;2014;170000152;170780225;1;0;16;2;71;1497;3102;5;5;4;4;6.71;6.71;1;1;1;1;1;12;15;;1;3;5;3;6;;;3.67;;13.89;23.79;;0.43;2.81
MCOPED;2014;180000010;180000028;1;0;22;3;198;1758;2923;4;4;0;0;4;4;0;0;1;1;5;2;5;;;1;4;4;3;;;7.8;2;4.9;7.3;;;1.7
MCOPED;2014;180000200;180000051;1;0;10;1;80;969;1735;1;1;1;1;1.66;1.66;;;;;3;1;2;;;7;4;;;;;6.58;1;0.03;2;;;6.53
MCOPED;2014;190000018;190000042;1;0;26;4;329;1488;4111;4;4;2;2;3.77;3.77;0;0;1;1;12;5;15;;2;4;2;2;4;;;13.02;3;6.44;18.29;;1.43;6.35
MCOPED;2014;190000026;190000059;1;0;10;2;235;883;2148;3;2;3;3;3.12;3.03;;;1;1;5;7;7;;;8;5;1;5;;1;4.45;4;4.58;5.16;;0.56;6.46
MCOPED;2014;210780110;210000022;1;0;13;;0;641;1667;3;3;3;3;4.5;4.5;0;0;1;1;6;9;6;;;;4;4;2;;;7.97;;12.12;7.5;;;
MCOPED;2014;210987558;210780581;1;1;58;18;2871;4109;15947;24;15;7;5;17.97;13.69;1;1;0;0;25;15;26;;4;23;17;11;3;;2;38.7;9;20.5;25.12;;3.3;23.89
MCOPED;2014;210987657;210780714;1;0;14;0;0;1348;3170;2;2;1;1;2.8;2.8;0;0;1;1;21;3;;;;;7;1;;;;25.78;;3.54;;;;
MCOPED;2014;210987699;210780706;1;0;6;;76;381;780;2;2;1;1;0.71;0.71;0;0;1;1;2;1;1;0;0;8;0;0;0;0;0;2;0;1;0.41;0;0;4.4
MCOPED;2014;220000012;220000020;1;1;30;4;753;3228;4216;7;7;4;3;7.25;7.05;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0.26;0;0;0;0
MCOPED;2014;220000095;220000046;1;0;3;;0;507;643;2;2;1;1;2.5;2.5;0;0;1;1;5;;6;;;5;3;;2;;;5.99;;;2.87;;;3.15
MCOPED;2014;220000343;220000079;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;220000368;220000103;1;0;8;;1;914;1731;4;4;;;2.5;2.5;0;0;1;1;3;2;1;;;6;4;;1;;;4.6;4;1.5;2.4;;;5.34
MCOPED;2014;220000541;220000152;1;0;8;;0;609;1621;;;;;0.89;0.89;0;0;1;1;;;;;;;;;;;;4.52;;1;0.79;;;1.87
MCOPED;2014;230000820;230780041;1;0;10;0;0;907;2134;3;3;;;3;3;0;0;1;1;;;;;;;;;;;;;;;;;;
MCOPED;2014;240000372;240000059;1;0;10;;0;740;1735;2;2;2;2;3;3;0;0;1;1;3;0;;;;9;5;3;;;;6.7;0;2.1;;;;8.4
MCOPED;2014;240000489;240000117;1;1;18;4;192;2101;4781;4;;3;;5.7;;;;;;3;5;2;0;0;2;3;0;1;0;0;4.93;0;4.75;2.72;0;0;1.08
MCOPED;2014;250000114;900000365;1;1;3;0;118;508;600;3;3;2;2;4.23;4.23;;1;;0;6;2;;;;7;6;2;;;;10.02;1;3.04;;;;7.69
MCOPED;2014;250000700;250000452;1;0;20;0;0;1238;2898;2;1;3;3;2.58;1.88;0;0;1;1;10;2;10;0;;2;1;2;3;0;2;10.95;4;3.87;11.63;0;0.01;3.57
MCOPED;2014;250006954;250000015;1;1;70;16;3301;5296;18510;5;5;46;46;12.2;12.2;1;1;1;1;9;13;19;;1;13;23;26;18;3;1;29.93;34;27.32;30.83;2.42;1.82;32.4
MCOPED;2014;260000013;260000021;1;1;29;6;419;4228;8612;9;9;6;6;2.72;2.5;;;;;3;9;13;0;1;10;1;5;9;1;4;2.74;;12.53;14.1;0.03;2.3;8.58
MCOPED;2014;260000120;260016910;1;0;25;;570;1493;3850;1;;5;;4.64;;0;;1;;3;4;5;;;4;5;3;8;1;1;6.34;4;7.23;10.38;0.5;0.89;6.7
MCOPED;2014;260000138;260000047;1;0;17;0;0;2383;3440;3;3;1;1;3.6;3.6;0;0;1;1;6;2;8;;;4;8;5;3;;;13.4;3;4.52;10.46;;;6.53
MCOPED;2014;270000359;270023724;1;1;16;2;0;1814;3536;;;;;;;;;;;4;2;5;;1;5;4;2;1;;;6.48;7;3.09;4.33;;0.87;7.98
MCOPED;2014;280000084;280000183;1;1;15;;0;1823;5135;2;2;4;4;2.58;2.58;1;1;0;0;6;2;1;;;3;1;1;5;;;6.53;3;2.87;5;;;4.39
MCOPED;2014;280504267;280000134;1;1;17;3;304;1676;4661;4;4;3;3;4.13;4.13;0;1;0;1;10;4;10;;;11;11;4;0;;;20.49;6;6.85;9.92;;;16.28
MCOPED;2014;290000025;290020700;1;1;26;2;380;2917;5803;8;8;6;6;10;10;1;1;1;1;12;6;15;0;0;7;3;8;6;0;1;15.53;1;11.19;20.19;0;0.25;6.13
MCOPED;2014;290000033;290021542;1;0;16;0;115;1343;2714;5;;2;;4.26;;0;;1;;1;3;4;;;4;3;10;6;;;3.46;6;11.16;8.11;;;8.11
MCOPED;2014;290000058;290000017;1;1;58;11;2790;4350;14808;20;20;4;4;10.97;10.97;1;1;1;1;21;7;20;;;16;20;6;11;;2;33.05;16;11.3;28.4;;0.4;26.7
MCOPED;2014;2A0000022;2A0000014;1;0;15;;0;1433;2204;3;;;;2.78;;0;0;1;1;8;6;11;;;10;0;6;1;;;7.99;0;5.86;11.52;;;9.31
MCOPED;2014;2B0000012;2B0000020;1;0;18;0;0;1495;2682;5;4;5;2;6.16;3.49;0;0;1;1;9;15;13;0;2;14;2;0;2;0;0;10.43;2;12.57;13.37;0;1.35;12.66
MCOPED;2014;300000023;300780046;1;0;14;0;0;1671;2631;3;3;1;1;2.37;2.37;0;0;1;1;13;5;6;1;0;22;1;6;1;1;1;5.1;2;7.46;4.68;0.2;0.4;11.82
MCOPED;2014;300000031;300780053;1;0;11;1;77;924;2007;4;4;;;3.19;3.19;;;1;1;5;2;7;0;0;5;4;5;2;0;1;7.93;3;5.59;7.3;0;0.43;4.84
MCOPED;2014;300782117;300780038;1;1;48;5;1042;3847;8810;6;5;11;11;10.21;9.21;1;1;0;0;14;16;21;;1;16;4;4;3;;1;15.6;4;18.9;22.64;;0.9;19.6
MCOPED;2014;310000310;310780671;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;310016977;310781406;1;1;149;41;12297;14055;41560;138;;43;;82.65;;1;;1;;176;163;223;6;16;136;44;89;34;6;11;197.85;26;224.83;242.49;9.28;9.84;142.26
MCOPED;2014;310780085;310000021;1;1;3;6;1705;359;365;;;10;;5;;0;;1;;;;;;;;;8;4;;;;1;4.8;1;;;0.5
MCOPED;2014;310780101;310000039;1;;;;0;4;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;310780135;310000054;1;;2;7;2180;581;769;14;8;;;14;8;0;0;1;1;;;;;;;;;;;;;;;;;;
MCOPED;2014;310780150;310788799;1;0;14;6;1202;914;1738;34;;;;34;;;;1;;;;;;;;;;;;;;;;;;;
MCOPED;2014;310780259;310000096;1;0;2;1;;;;;;4;2;0.5;0.5;0;0;1;1;2;2;;;2;;;;;;;0.5;;0.5;;;0.1;
MCOPED;2014;310783048;310781406;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;320000086;320780117;1;0;14;;0;1270;2536;5;4;;;3.1;2.98;0;0;1;1;1;4;;;;12;;2;;;;1.62;;5.5;;;;12.51
MCOPED;2014;330000555;330781204;1;;6;;0;683;1104;3;2;1;1;2.54;2.42;0;;1;;3;2;4;;;2;2;;2;;1;4.3;;2;4.05;;0.1;0.6
MCOPED;2014;330000605;330781253;1;;12;2;528;1965;4206;8;8;3;3;4.28;4.28;1;1;0;0;5;4;3;;1;13;1;4;1;;;4.38;5;7.46;2.72;;1;14.57
MCOPED;2014;330780479;330000274;1;;5;5;0;296;629;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;
MCOPED;2014;330781360;330781196;1;1;116;20;3432;10775;36093;24;24;14;12;22.89;21.6;;;;;24;49;29;1;4;41;;18;5;1;6;25.2;8;63.85;34.95;1.42;6.58;51.91
MCOPED;2014;330783648;330781196;1;0;12;5;1530;1095;4735;2;;7;;2.5;;0;;1;;14;;;;;22;8;;;;1;13.44;16;;;;0.4;22.5
MCOPED;2014;330802752;330781196;1;0;23;6;2068;393;6434;6;;1;;1.9;;;;;;24;0;0;0;0;17;0;0;0;0;8;21.28;8;0;0;0;2.98;17.74
MCOPED;2014;340000025;340780048;1;0;0;4;1089;0;0;0;0;4;4;1.62;1.62;;;;;2;;;;;;0;;;;;2;;;;;;
MCOPED;2014;340000033;340780055;1;1;23;1;241;2354;4602;8;8;2;2;5.08;5.08;;;;;3;9;6;1;0;4;3;2;1;0;0;6.37;1;7.44;4.54;0.25;0;3.75
MCOPED;2014;340000223;340011295;1;0;14;0;0;1196;2453;3;3;2;2;2.19;2.19;0;0;1;1;4;4;4;0;0;5;2;3;3;0;0;5.6;0;5.9;6.4;0;0;3.85
MCOPED;2014;340780634;340000272;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;340782085;340780477;1;1;10;4;748;715;2186;8;5;2;2;4.8;3.3;;;;;4;8;12;;2;4;1;;1;;3;3.14;4;7.89;11.68;;3.38;6.25
MCOPED;2014;340785161;340780477;1;1;47;5;970;7093;11650;16;4;18;7;17.56;7.32;1;1;1;1;17;59;42;;;8;3;5;1;;;13.59;6;56.15;38.46;;;12.56
MCOPED;2014;340796663;340780477;1;0;48;23;5018;3934;14364;21;18;27;24;19.28;17.55;1;1;1;1;22;51;42;;2;9;9;3;6;1;1;22.08;4;49.93;42.77;0.3;1.37;12.43
MCOPED;2014;350000147;350000022;1;0;12;2;173;1159;2022;2;2;4;4;2.87;2.87;0;0;1;1;2;7;11;;;2;1;4;14;;;2.8;2;11;14.9;;;3.5
MCOPED;2014;350000154;350000030;1;;5;1;6;707;1538;2;2;2;2;1.36;1.36;0;0;1;1;3;3;;;;10;4;2;3;;;5.24;5;1.74;0.65;;;7.15
MCOPED;2014;350000162;350000048;1;0;9;1;18;657;1562;1;1;5;5;1.48;1.48;0;0;1;1;2;2;3;3;;5;2;3;;;;3.95;1;4.29;4.82;0.03;;3.57
MCOPED;2014;350000188;350000055;1;0;9;0;0;639;1724;2;2;2;2;3.43;3.43;0;0;1;1;3;1;1;;;;2;2;3;;;4.8;;2.3;3.82;;;
MCOPED;2014;350000741;350005179;1;0;;3;403;0;0;;;;;;;;;;;;1;;;;2;;;;1;1;;5;1;;0.5;0.8;4.03
MCOPED;2014;350007084;350005179;1;1;85;2;89;6984;22552;26;15;1;1;13.05;11.34;1;1;1;0;23;46;45;;3;34;7;50;19;;7;27.15;15;85.32;56.76;;4.95;42.31
MCOPED;2014;360000137;360000053;1;0;21;15;8;1012;2623;3;3;1;1;4.16;4.16;;;;;8;3;4;;;4;5;;2;;;12.19;;3;5.79;;;4
MCOPED;2014;370000499;370000481;1;1;140;21;3482;8360;24997;53;24;10;8;58.31;21.29;0;;1;1;64;23;43;0;1;68;53;16;27;0;1;93;30;36.97;64.12;0;1.35;85.29
MCOPED;2014;380000034;380780049;1;;20;0;213;1459;3569;4;2;3;3;4.28;3.79;1;1;0;0;;4;;;;7;;9;;;;;4;10.71;;;;9.97
MCOPED;2014;380000067;380780080;1;1;88;23;6931;8020;23784;27;17;18;12;33.43;23.29;0;0;1;0;30;48;47;2;;9;15;31;23;1;4;43.48;9;71.27;63.52;3.47;2.82;17.19
MCOPED;2014;380000174;380781435;1;1;14;2;111;2028;3789;5;5;1;1;2.85;2.85;1;1;0;0;4;2;4;;;7;3;1;5;;;5.87;4;1.95;6.67;;;6.5
MCOPED;2014;380000406;380784751;1;0;11;1;50;1388;2572;3;3;7;7;4.81;4.81;;;;;3;4;8;;1;4;5;6;2;;;5.91;3;6.6;9.5;;0.33;4.05
MCOPED;2014;380780288;380795203;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;380785956;380795211;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;390000040;390780146;1;0;18;;0;1358;3517;;;2;2;1.08;1.08;0;0;1;1;;;;;;;12;15;34;;0;5.24;21;6.3;6.03;;0;5.29
MCOPED;2014;390000065;390780161;1;0;4;;0;330;938;;;1;1;1.82;1.82;0;0;1;1;5;;;;;;2;1;2;;;6.24;1;0.67;1;;;0.31
MCOPED;2014;390000222;390780609;1;0;16;;0;1180;3307;4;4;2;2;4.5;4.5;0;0;1;1;6;2;5;;1;4;4;5;4;;;7.74;1;5.78;7.64;;0.5;4.72
MCOPED;2014;400000105;400780193;1;0;18;;0;1637;2670;;;6;6;3.18;3.18;0;0;1;1;;12;12;;;8;;2;3;1;1;0.38;2;13.29;14.18;0.2;0.49;8.95
MCOPED;2014;400000139;400011177;1;0;16;2;261;1417;2539;5;5;2;2;5.7;5.7;0;0;1;1;3;5;5;0;1;5;2;2;2;0;0;4.32;1;7.11;6.58;0;0.5;3.53
MCOPED;2014;410000020;410000087;1;1;16;;0;2033;5521;;;;;;;1;1;1;1;11;0;14;0;0;2;6;0;10;0;0;15.27;4;0;22.94;0;0;5.27
MCOPED;2014;410000046;410000103;1;0;12;0;0;974;2712;3;3;;;3;3;;;1;1;4;3;6;;;1;1;2;2;;;5.91;;2.92;7.61;;;1
MCOPED;2014;420000010;420780033;1;1;22;0;0;1978;5490;8;7;3;2;2.5;1.78;1;1;0;0;10;3;7;2;0;13;2;4;6;0;0;10.21;2;7.05;11.53;0.5;0;9.32
MCOPED;2014;420000226;420013831;1;1;18;0;0;1247;2601;0;0;3;3;1.5;1.48;0;0;1;1;2;1;2;0;0;2;6;3;5;0;0;5.93;0;3.1;6.12;0;0;1.75
MCOPED;2014;420000234;420780652;1;1;17;1;2;1360;2402;3;3;3;3;4.24;4.24;0;0;1;1;6;12;7;;;;1;2;;1;1;6.41;;13.35;7;0.25;0.5;
MCOPED;2014;420782559;420784878;1;0;0;1;211;0;0;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;420785354;420784878;1;1;64;7;2273;6215;15303;37;22;8;5;14.8;10.4;1;1;1;1;54;9;34;0;0;29;28;7;18;0;4;64.59;15;15.9;44.22;0;1.32;28.27
MCOPED;2014;430000117;430000018;1;0;17;;0;2131;3298;0;;2;2;1.64;1.64;0;0;1;1;1;;1;0;0;0;1;5;0;0;1;1.76;4;4.24;0.78;0;0.58;3.77
MCOPED;2014;440000016;440000057;1;;26;2;886;2717;5920;9;9;;;5.6;5.6;1;1;0;0;4;2;7;;;3;4;11;11;1;2;6.45;2;9.55;15;0.4;0.8;4.25
MCOPED;2014;440000271;440000289;1;1;107;26;7263;10445;34294;69;30;5;5;25.85;13.05;1;1;1;1;76;51;64;0;0;60;48;54;30;1;3;91.17;26;79.4;74.11;0.26;0.26;56.42
MCOPED;2014;440000503;440000313;1;1;4;;0;555;960;3;3;;0;2;0.9;0;0;1;1;6;;;;;2;3;1;4;;1;6.3;2;0.89;1.8;;0.28;3
MCOPED;2014;440033819;440006344;1;0;;;0;68;233;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;450000021;450000088;1;1;58;18;2258;5639;13394;11;9;6;4;7.86;6.88;1;1;1;1;25;12;35;;1;26;11;13;12;;5;31.69;7;20.57;43.35;;2.68;22.79
MCOPED;2014;450000047;450000096;1;;20;0;0;1451;3827;1;1;3;3;3.8;3.8;0;0;1;1;5;1;3;;;;1;2;2;1;;5.34;;1.86;4.13;0.4;;
MCOPED;2014;450000062;450000104;1;1;13;;0;1623;2850;;;8;8;2.35;2.35;1;1;0;0;13;9;6;;;6;3;1;5;;;14.16;2;8.95;9.16;;;7.21
MCOPED;2014;450000336;450000179;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;450010079;450000195;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;460000110;460780216;1;0;10;0;105;654;1193;3;3;0;0;3.2;3.2;0;0;1;1;2;4;4;0;0;5;0;3;1;0;0;1.29;0;7.14;4.73;0;0;4.94
MCOPED;2014;470000423;470000316;1;0;18;2;458;1096;3851;6;6;4;4;4.83;4.83;1;1;;;7;8;3;;0;4;1;4;0;;2;7.63;4;9.97;3.69;;0.33;4
MCOPED;2014;470000431;470000324;1;0;10;1;111;725;1894;2;2;;;2.72;2.72;0;0;1;1;3;2;3;;1;4;;;;;;3;;2;2.5;;1;4
MCOPED;2014;470000480;470001660;1;;14;2;40;1047;2686;3;3;0;0;3;3;;;1;1;3;3;1;3;0;8;1;0;0;0;0;4.48;1;2.47;1;0.4;0;8.82
MCOPED;2014;480000017;480780097;1;0;12;0;235;747;1439;;;;2;;1.7;0;0;0;1;;;;;;;1;11;1;;1;1.22;10;5.86;0.46;;0.25;5.15
MCOPED;2014;490000049;490000031;1;1;67;8;3004;4526;14851;15;14;18;13;20.8;17.9;1;1;1;1;8;8;16;0;0;22;12;20;10;1;0;15.72;17;22.07;23.57;0.2;0;29.56
MCOPED;2014;490000635;490000676;1;1;25;2;319;2743;4960;4;4;3;3;2.36;2.36;1;1;0;0;4;1;7;;;3;8;7;7;;;6.36;2;7.9;14.35;;;4.14
MCOPED;2014;490001765;490528452;1;0;9;1;86;736;1594;;;7;7;1.55;1.55;1;1;0;0;5;;4;;;2;2;;1;;;5.81;2;0.65;5.92;;;2.15
MCOPED;2014;500000021;500000054;1;0;15;;0;1482;3066;7;7;1;1;5.84;5.84;1;1;;;7;4;8;0;1;5;7;6;4;0;0;14.3;3;8.51;12.03;0;1;7.41
MCOPED;2014;500000187;500000013;1;1;28;2;277;1923;5498;4;4;1;1;4;4;1;1;1;1;9;7;19;;;5;4;3;;;1;9.9;4;9.69;17.65;;0.5;6.16
MCOPED;2014;500000450;500000112;1;1;22;0;0;1420;3978;2;2;4;4;4.8;4.8;1;1;1;1;5;6;12;;1;3;7;5;6;;;4.78;;4.61;9.31;;1;3.95
MCOPED;2014;510000169;510000037;1;1;16;0;115;1244;2839;1;1;3;3;2.53;2.53;0;0;1;1;4;3;9;0;1;8;4;3;2;0;0;9.56;1;5.4;10.91;0;0.5;8.64
