BOR;AN;FI;FI_EJ;SPED;UPED;LIT_PED;PLA_PED;SEJHP_PED;SEJHC_PED;JOU_PED;EFFPL_PM;EFFPL_PED;EFFPA_PM;EFFPA_PED;ETP_PM;ETP_PED;GAR_PM;GAR_PED;AST_PM;AST_PED;EFFPL_INFNS;EFFPL_PUE;EFFPL_AUX;EFFPL_KINE;EFFPL_PSY;EFFPL_APNM;EFFPA_INFNS;EFFPA_PUE;EFFPA_AUX;EFFPA_KINE;EFFPA_PSY;ETP_INFNS;EFFPA_APNM;ETP_PUE;ETP_AUX;ETP_KINE;ETP_PSY;ETP_APNM
MCOPED;2014;640000600;640781290;1;1;23;5;1267;2551;5837;8;8;;;3.45;3.45;0;0;0;0;15;29;25;;2;13;3;25;10;1;;16.75;1;45.85;32.07;0.14;0.67;14.27
MCOPED;2014;650000417;650783160;1;1;18;6;1869;1497;2761;6;6;3;3;7.25;7.25;0;1;0;0;9;10;5;0;1;10;2;7;2;0;1;8.08;7;17.02;7.25;0;1.49;12.04
MCOPED;2014;660000084;660780180;1;;25;5;564;3041;6470;4;4;6;6;7.2;7.2;;;;;21;9;;;;20;1;;;;;20.83;;8.58;;;;20.33
MCOPED;2014;660780784;660000407;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;670000157;670780337;1;1;14;2;370;1300;3603;1;1;;;1;1;1;1;0;0;5;14;4;;;4;2;2;1;;1;7.02;4;15.31;4.25;;0.25;6.53
MCOPED;2014;670000165;670780345;1;1;14;1;39;1096;2810;;;;;0.2;0.2;0;1;1;0;;;;;;;3;2;;;;2.3;;1.15;0.3;;;0.93
MCOPED;2014;670000397;670780691;1;;14;0;0;1753;4812;3;2;1;1;2.43;1.43;0;0;1;1;3;1;1;0;0;6;6;3;1;0;0;7.1;3;3.22;1.57;0;0;5.86
MCOPED;2014;670780212;670014604;1;0;6;;0;294;723;11;;92;10;51;5;1;;1;1;;;;;;;;;;;;;;;;;;
MCOPED;2014;670783273;670780055;1;1;113;23;4304;6552;26886;56;56;25;25;29.5;29.5;1;1;1;1;62;65;36;3;6;86;43;52;19;2;2;89.24;40;103.64;50.86;3.8;6.78;108.95
MCOPED;2014;680000627;680000486;1;1;41;5;1147;3018;10248;5;5;4;3;4.3;4.1;1;1;0;0;9;1;14;1;1;13;4;9;8;1;1;12.11;6;7.33;20.26;1.4;0.42;9.4
