BOR;AN;FI;FI_EJ;EQUIPSSR;EQPL;EQAU
SSR2;2014;030000061;030780092;ASSMAR;1;
SSR2;2014;030000079;030780100;EXPURO;1;
SSR2;2014;030000079;030780100;SALINT;1;
SSR2;2014;030000079;030780100;SIMESP;1;
SSR2;2014;030000087;030780118;EXPEQU;1;
SSR2;2014;030000087;030780118;ISOCIN;1;
SSR2;2014;030000087;030780118;PISCIN;1;
SSR2;2014;030000087;030780118;SIMESP;1;
SSR2;2014;030780548;030000194;PISCIN;1;
SSR2;2014;030780548;030000194;SALINT;1;
SSR2;2014;040000051;040780173;APTAUT;;1
SSR2;2014;040000051;040780173;ASSMAR;;1
SSR2;2014;040000051;040780173;ASSMEM;;1
SSR2;2014;040000051;040780173;EXPEQU;;1
SSR2;2014;040000051;040780173;EXPURO;;1
SSR2;2014;040000051;040780173;IDRACH;;1
SSR2;2014;040000051;040780173;ISOCIN;;1
SSR2;2014;040000051;040780173;LABMAR;;1
SSR2;2014;040000051;040780173;PISCIN;;1
SSR2;2014;040000051;040780173;SALINT;;1
SSR2;2014;040000051;040780173;SIMESP;;1
SSR2;2014;040000051;040780173;STICON;;1
SSR2;2014;040000051;040780173;VEHADP;1;
SSR2;2014;040000069;040780181;PISCIN;1;
SSR2;2014;040780405;040000168;ISOCIN;1;
SSR2;2014;040780405;040000168;PISCIN;1;
SSR2;2014;040780405;040000168;SIMESP;1;
SSR2;2014;040780488;040000200;APTAUT;1;
SSR2;2014;040780488;040000200;ASSMAR;1;
SSR2;2014;040780488;040000200;EXPEQU;;1
SSR2;2014;040780488;040000200;EXPURO;;1
SSR2;2014;040780488;040000200;ISOCIN;1;
SSR2;2014;040780488;040000200;LABMAR;;1
SSR2;2014;040780488;040000200;PISCIN;1;
SSR2;2014;040780488;040000200;SIMESP;1;
SSR2;2014;050000041;130037815;APTAUT;;1
SSR2;2014;050000041;130037815;ASSMAR;;1
SSR2;2014;050000041;130037815;ASSMEM;;1
SSR2;2014;050000041;130037815;EXPEQU;1;
SSR2;2014;050000041;130037815;EXPURO;;1
SSR2;2014;050000041;130037815;IDRACH;;1
SSR2;2014;050000041;130037815;ISOCIN;1;
SSR2;2014;050000041;130037815;LABMAR;;1
SSR2;2014;050000041;130037815;PISCIN;1;
SSR2;2014;050000041;130037815;SALINT;;1
SSR2;2014;050000041;130037815;SIMESP;1;
SSR2;2014;050000041;130037815;STICON;;1
SSR2;2014;050000041;130037815;VEHADP;;1
SSR2;2014;050000256;050000124;SIMESP;1;
SSR2;2014;050000488;050000678;PISCIN;1;
SSR2;2014;050000991;050000546;PISCIN;1;
SSR2;2014;050000991;050000546;SIMESP;1;
SSR2;2014;050001064;050000561;PISCIN;1;
SSR2;2014;050001064;050000561;SIMESP;1;
SSR2;2014;050002351;130037815;APTAUT;;1
SSR2;2014;050002351;130037815;ASSMAR;;1
SSR2;2014;050002351;130037815;ASSMEM;;1
SSR2;2014;050002351;130037815;EXPEQU;1;
SSR2;2014;050002351;130037815;EXPURO;;1
SSR2;2014;050002351;130037815;IDRACH;;1
SSR2;2014;050002351;130037815;ISOCIN;;1
SSR2;2014;050002351;130037815;LABMAR;;1
SSR2;2014;050002351;130037815;PISCIN;1;
SSR2;2014;050002351;130037815;SALINT;;1
SSR2;2014;050002351;130037815;SIMESP;1;
SSR2;2014;050002351;130037815;STICON;;1
SSR2;2014;050002351;130037815;VEHADP;;1
SSR2;2014;060000296;060780640;EXPEQU;1;
SSR2;2014;060002102;060791761;EXPURO;1;
SSR2;2014;060005469;750043994;APTAUT;;1
SSR2;2014;060005469;750043994;ASSMAR;;1
SSR2;2014;060005469;750043994;ASSMEM;;1
SSR2;2014;060005469;750043994;EXPEQU;;1
SSR2;2014;060005469;750043994;EXPURO;;1
SSR2;2014;060005469;750043994;IDRACH;;1
SSR2;2014;060005469;750043994;ISOCIN;;1
SSR2;2014;060005469;750043994;LABMAR;;1
SSR2;2014;060005469;750043994;PISCIN;;1
SSR2;2014;060005469;750043994;SALINT;;1
SSR2;2014;060005469;750043994;SIMESP;;1
SSR2;2014;060005469;750043994;STICON;;1
SSR2;2014;060005469;750043994;VEHADP;1;
SSR2;2014;060021201;060000155;APTAUT;;1
SSR2;2014;060021201;060000155;ASSMAR;;1
SSR2;2014;060021201;060000155;ASSMEM;1;
SSR2;2014;060021201;060000155;EXPEQU;;1
SSR2;2014;060021201;060000155;EXPURO;;1
SSR2;2014;060021201;060000155;IDRACH;;1
SSR2;2014;060021201;060000155;ISOCIN;;1
SSR2;2014;060021201;060000155;LABMAR;;1
SSR2;2014;060021201;060000155;PISCIN;1;
SSR2;2014;060021201;060000155;SALINT;;1
SSR2;2014;060021201;060000155;SIMESP;;1
SSR2;2014;060021201;060000155;STICON;;1
SSR2;2014;060021201;060000155;VEHADP;;1
SSR2;2014;060780277;750043994;APTAUT;;1
SSR2;2014;060780277;750043994;ASSMAR;;1
SSR2;2014;060780277;750043994;ASSMEM;;1
SSR2;2014;060780277;750043994;EXPEQU;;1
SSR2;2014;060780277;750043994;EXPURO;;1
SSR2;2014;060780277;750043994;IDRACH;;1
SSR2;2014;060780277;750043994;ISOCIN;;1
SSR2;2014;060780277;750043994;LABMAR;;1
SSR2;2014;060780277;750043994;PISCIN;;1
SSR2;2014;060780277;750043994;SALINT;;1
SSR2;2014;060780277;750043994;SIMESP;;1
SSR2;2014;060780277;750043994;STICON;;1
SSR2;2014;060780277;750043994;VEHADP;1;
SSR2;2014;060780343;060000171;ASSMEM;1;
SSR2;2014;060780343;060000171;PISCIN;1;
SSR2;2014;060780459;010783009;EXPEQU;1;
SSR2;2014;060780459;010783009;PISCIN;1;
SSR2;2014;060780459;010783009;SIMESP;1;
SSR2;2014;060780558;750720575;APTAUT;;1
SSR2;2014;060780558;750720575;ASSMAR;;1
SSR2;2014;060780558;750720575;ASSMEM;;1
SSR2;2014;060780558;750720575;EXPEQU;;1
SSR2;2014;060780558;750720575;EXPURO;;1
SSR2;2014;060780558;750720575;IDRACH;;1
SSR2;2014;060780558;750720575;ISOCIN;;1
SSR2;2014;060780558;750720575;LABMAR;;1
SSR2;2014;060780558;750720575;PISCIN;1;
SSR2;2014;060780558;750720575;SALINT;;1
SSR2;2014;060780558;750720575;SIMESP;;1
SSR2;2014;060780558;750720575;STICON;;1
SSR2;2014;060780558;750720575;VEHADP;;1
SSR2;2014;060780749;060000395;APTAUT;;1
SSR2;2014;060780749;060000395;ASSMAR;;1
SSR2;2014;060780749;060000395;ASSMEM;;1
SSR2;2014;060780749;060000395;EXPEQU;;1
SSR2;2014;060780749;060000395;EXPURO;;1
SSR2;2014;060780749;060000395;IDRACH;;1
SSR2;2014;060780749;060000395;ISOCIN;;1
SSR2;2014;060780749;060000395;LABMAR;;1
SSR2;2014;060780749;060000395;PISCIN;;1
SSR2;2014;060780749;060000395;SALINT;;1
SSR2;2014;060780749;060000395;SIMESP;;1
SSR2;2014;060780749;060000395;STICON;;1
SSR2;2014;060780749;060000395;VEHADP;;1
SSR2;2014;060781374;060000718;EXPEQU;1;
SSR2;2014;060781374;060000718;IDRACH;;1
SSR2;2014;060781374;060000718;ISOCIN;;1
SSR2;2014;060781374;060000718;LABMAR;;1
SSR2;2014;060781374;060000718;PISCIN;1;
SSR2;2014;060785227;060001476;EXPURO;;1
SSR2;2014;060785227;060001476;PISCIN;1;
SSR2;2014;060788957;060785011;ASSMAR;;1
SSR2;2014;060788957;060785011;ASSMEM;;1
SSR2;2014;060788957;060785011;EXPEQU;1;
SSR2;2014;060788957;060785011;EXPURO;1;
SSR2;2014;060788957;060785011;ISOCIN;1;
SSR2;2014;060788957;060785011;LABMAR;1;
SSR2;2014;060788957;060785011;PISCIN;;1
SSR2;2014;060788957;060785011;STICON;;1
SSR2;2014;060789674;130037815;APTAUT;;1
SSR2;2014;060789674;130037815;ASSMAR;1;
SSR2;2014;060789674;130037815;ASSMEM;;1
SSR2;2014;060789674;130037815;EXPEQU;1;
SSR2;2014;060789674;130037815;EXPURO;;1
SSR2;2014;060789674;130037815;IDRACH;;1
SSR2;2014;060789674;130037815;ISOCIN;1;
SSR2;2014;060789674;130037815;LABMAR;;1
SSR2;2014;060789674;130037815;PISCIN;1;
SSR2;2014;060789674;130037815;SALINT;;1
SSR2;2014;060789674;130037815;SIMESP;1;
SSR2;2014;060789674;130037815;STICON;1;
SSR2;2014;060789674;130037815;VEHADP;;1
SSR2;2014;060791811;750826638;PISCIN;1;
SSR2;2014;060791811;750826638;SALINT;1;
SSR2;2014;060798881;060798873;APTAUT;;1
SSR2;2014;060798881;060798873;ASSMAR;;1
SSR2;2014;060798881;060798873;ASSMEM;;1
SSR2;2014;060798881;060798873;EXPEQU;;1
SSR2;2014;060798881;060798873;EXPURO;1;
SSR2;2014;060798881;060798873;IDRACH;;1
SSR2;2014;060798881;060798873;ISOCIN;;1
SSR2;2014;060798881;060798873;LABMAR;;1
SSR2;2014;060798881;060798873;PISCIN;;1
SSR2;2014;060798881;060798873;SALINT;;1
SSR2;2014;060798881;060798873;SIMESP;;1
SSR2;2014;060798881;060798873;STICON;;1
SSR2;2014;060798881;060798873;VEHADP;;1
SSR2;2014;060800182;060002912;PISCIN;1;
SSR2;2014;060800182;060002912;SIMESP;1;
SSR2;2014;070000039;070780119;EXPURO;;1
SSR2;2014;070000039;070780119;PISCIN;;1
SSR2;2014;070000039;070780119;SALINT;;1
SSR2;2014;070000039;070780119;VEHADP;1;
SSR2;2014;070000179;070780358;SALINT;1;
SSR2;2014;070000187;070780366;SIMESP;1;
SSR2;2014;070000195;070780374;PISCIN;;1
SSR2;2014;070000203;070780382;APTAUT;;1
SSR2;2014;070000203;070780382;ASSMAR;;1
SSR2;2014;070000203;070780382;ASSMEM;;1
SSR2;2014;070000203;070780382;EXPEQU;1;
SSR2;2014;070000203;070780382;EXPURO;;1
SSR2;2014;070000203;070780382;IDRACH;;1
SSR2;2014;070000203;070780382;ISOCIN;;1
SSR2;2014;070000203;070780382;LABMAR;;1
SSR2;2014;070000203;070780382;PISCIN;;1
SSR2;2014;070000203;070780382;SALINT;;1
SSR2;2014;070000203;070780382;SIMESP;;1
SSR2;2014;070000203;070780382;STICON;;1
SSR2;2014;070000203;070780382;VEHADP;;1
SSR2;2014;070000484;070005566;ASSMAR;1;
SSR2;2014;070000484;070005566;ASSMEM;1;
SSR2;2014;070000484;070005566;EXPEQU;1;
SSR2;2014;070000484;070005566;EXPURO;1;
SSR2;2014;070000484;070005566;LABMAR;;1
SSR2;2014;070000484;070005566;PISCIN;1;
SSR2;2014;070000484;070005566;SIMESP;1;
SSR2;2014;070783824;070002878;EXPURO;;1
SSR2;2014;070784897;750820680;PISCIN;;1
SSR2;2014;080000219;080001969;ISOCIN;1;
SSR2;2014;080000250;540019726;APTAUT;1;
SSR2;2014;080000250;540019726;EXPEQU;1;
SSR2;2014;080000250;540019726;EXPURO;1;
SSR2;2014;080000250;540019726;LABMAR;;1
SSR2;2014;080000250;540019726;PISCIN;1;
SSR2;2014;080000250;540019726;SIMESP;1;
SSR2;2014;080000250;540019726;VEHADP;;1
SSR2;2014;080000268;540019726;APTAUT;;1
SSR2;2014;080000268;540019726;EXPEQU;;1
SSR2;2014;080000268;540019726;EXPURO;;1
SSR2;2014;080000268;540019726;LABMAR;;1
SSR2;2014;080000268;540019726;PISCIN;;1
SSR2;2014;080000268;540019726;SIMESP;;1
SSR2;2014;080000268;540019726;VEHADP;;1
SSR2;2014;080000276;080001969;APTAUT;;1
SSR2;2014;080000276;080001969;ASSMAR;;1
SSR2;2014;080000276;080001969;ASSMEM;;1
SSR2;2014;080000276;080001969;EXPEQU;;1
SSR2;2014;080000276;080001969;EXPURO;;1
SSR2;2014;080000276;080001969;IDRACH;;1
SSR2;2014;080000276;080001969;ISOCIN;;1
SSR2;2014;080000276;080001969;LABMAR;;1
SSR2;2014;080000276;080001969;PISCIN;;1
SSR2;2014;080000276;080001969;SALINT;1;
SSR2;2014;080000276;080001969;SIMESP;1;
SSR2;2014;080000276;080001969;STICON;;1
SSR2;2014;080000276;080001969;VEHADP;;1
SSR2;2014;080002140;540019726;APTAUT;;1
SSR2;2014;080002140;540019726;EXPEQU;;1
SSR2;2014;080002140;540019726;EXPURO;;1
SSR2;2014;080002140;540019726;LABMAR;;1
SSR2;2014;080002140;540019726;PISCIN;1;
SSR2;2014;080002140;540019726;SIMESP;;1
SSR2;2014;090000019;090180019;EXPEQU;;1
SSR2;2014;090000019;090180019;EXPURO;;1
SSR2;2014;090000019;090180019;IDRACH;;1
SSR2;2014;090000019;090180019;ISOCIN;1;
SSR2;2014;090000019;090180019;LABMAR;;1
SSR2;2014;090000019;090180019;PISCIN;1;
SSR2;2014;090000175;090781774;EXPURO;1;
SSR2;2014;090000175;090781774;SALINT;1;
SSR2;2014;090000183;090781816;APTAUT;1;
SSR2;2014;090000183;090781816;ASSMAR;;1
SSR2;2014;090000183;090781816;ASSMEM;;1
SSR2;2014;090000183;090781816;EXPEQU;1;
SSR2;2014;090000183;090781816;EXPURO;;1
SSR2;2014;090000183;090781816;IDRACH;;1
SSR2;2014;090000183;090781816;ISOCIN;;1
SSR2;2014;090000183;090781816;LABMAR;;1
SSR2;2014;090000183;090781816;PISCIN;1;
SSR2;2014;090000183;090781816;SALINT;;1
SSR2;2014;090000183;090781816;SIMESP;1;
SSR2;2014;090000183;090781816;STICON;;1
SSR2;2014;090000183;090781816;VEHADP;;1
SSR2;2014;100006493;100000017;EXPEQU;1;
SSR2;2014;100006493;100000017;ISOCIN;1;
SSR2;2014;100006493;100000017;SIMESP;1;
SSR2;2014;100007285;140017617;EXPURO;;1
SSR2;2014;100007285;140017617;LABMAR;;1
SSR2;2014;100007285;140017617;PISCIN;1;
SSR2;2014;100007285;140017617;SALINT;;1
SSR2;2014;100007285;140017617;SIMESP;1;
SSR2;2014;100009083;750721235;APTAUT;;1
SSR2;2014;100009083;750721235;ASSMAR;;1
SSR2;2014;100009083;750721235;ASSMEM;;1
SSR2;2014;100009083;750721235;EXPEQU;1;
SSR2;2014;100009083;750721235;EXPURO;;1
SSR2;2014;100009083;750721235;IDRACH;1;
SSR2;2014;100009083;750721235;ISOCIN;;1
SSR2;2014;100009083;750721235;LABMAR;;1
SSR2;2014;100009083;750721235;PISCIN;1;
SSR2;2014;100009083;750721235;SALINT;;1
SSR2;2014;100009083;750721235;SIMESP;1;
SSR2;2014;100009083;750721235;STICON;;1
SSR2;2014;100009083;750721235;VEHADP;1;
SSR2;2014;110000189;110780707;ASSMAR;1;
SSR2;2014;110000189;110780707;EXPEQU;1;
SSR2;2014;110000189;110780707;PISCIN;1;
SSR2;2014;110000189;110780707;SALINT;1;
SSR2;2014;110003118;110007341;APTAUT;1;
SSR2;2014;110003118;110007341;EXPEQU;1;
SSR2;2014;110003118;110007341;EXPURO;1;
SSR2;2014;110003118;110007341;LABMAR;;1
SSR2;2014;110003118;110007341;PISCIN;1;
SSR2;2014;110003118;110007341;SIMESP;1;
SSR2;2014;110780194;110000080;PISCIN;1;
SSR2;2014;110780228;110000114;EXPURO;1;
SSR2;2014;110780228;110000114;PISCIN;1;
SSR2;2014;110780228;110000114;SALINT;1;
SSR2;2014;120000054;120780069;PISCIN;1;
SSR2;2014;120000096;120780101;EXPEQU;1;
SSR2;2014;120000096;120780101;EXPURO;1;
SSR2;2014;120000096;120780101;PISCIN;1;
SSR2;2014;120000096;120780101;SIMESP;1;
SSR2;2014;120004668;120004619;APTAUT;;1
SSR2;2014;120004668;120004619;ASSMAR;;1
SSR2;2014;120004668;120004619;ASSMEM;;1
SSR2;2014;120004668;120004619;EXPEQU;1;
SSR2;2014;120004668;120004619;EXPURO;;1
SSR2;2014;120004668;120004619;IDRACH;;1
SSR2;2014;120004668;120004619;ISOCIN;;1
SSR2;2014;120004668;120004619;LABMAR;;1
SSR2;2014;120004668;120004619;PISCIN;;1
SSR2;2014;120004668;120004619;SALINT;;1
SSR2;2014;120004668;120004619;SIMESP;;1
SSR2;2014;120004668;120004619;STICON;;1
SSR2;2014;120004668;120004619;VEHADP;;1
SSR2;2014;130001225;130782634;SALINT;1;
SSR2;2014;130002827;130789274;PISCIN;1;
SSR2;2014;130002827;130789274;SALINT;1;
SSR2;2014;130002827;130789274;VEHADP;1;
SSR2;2014;130008048;130043169;EXPEQU;1;
SSR2;2014;130008048;130043169;PISCIN;1;
SSR2;2014;130008048;130043169;SIMESP;1;
SSR2;2014;130035793;130013139;EXPEQU;1;
SSR2;2014;130035793;130013139;PISCIN;1;
SSR2;2014;130043318;130043300;PISCIN;;1
SSR2;2014;130043508;250002284;PISCIN;1;
SSR2;2014;130043854;130037815;PISCIN;1;
SSR2;2014;130043854;130037815;SIMESP;1;
SSR2;2014;130043854;130037815;STICON;1;
SSR2;2014;130781438;130000557;APTAUT;1;
SSR2;2014;130781438;130000557;ISOCIN;1;
SSR2;2014;130781438;130000557;LABMAR;1;
SSR2;2014;130781438;130000557;PISCIN;1;
SSR2;2014;130781438;130000557;SIMESP;1;
SSR2;2014;130781479;130000599;EXPEQU;;1
SSR2;2014;130781479;130000599;EXPURO;1;
SSR2;2014;130781479;130000599;PISCIN;1;
SSR2;2014;130781479;130000599;SIMESP;;1
SSR2;2014;130781768;130000763;PISCIN;1;
SSR2;2014;130781834;130000805;ASSMAR;1;
SSR2;2014;130781834;130000805;PISCIN;1;
SSR2;2014;130781834;130000805;SIMESP;1;
SSR2;2014;130781917;130000847;PISCIN;1;
SSR2;2014;130782303;920000395;APTAUT;;1
SSR2;2014;130782303;920000395;ASSMAR;;1
SSR2;2014;130782303;920000395;ASSMEM;;1
SSR2;2014;130782303;920000395;EXPEQU;1;
SSR2;2014;130782303;920000395;EXPURO;;1
SSR2;2014;130782303;920000395;IDRACH;;1
SSR2;2014;130782303;920000395;ISOCIN;;1
SSR2;2014;130782303;920000395;LABMAR;;1
SSR2;2014;130782303;920000395;PISCIN;1;
SSR2;2014;130782303;920000395;SALINT;;1
SSR2;2014;130782303;920000395;SIMESP;;1
SSR2;2014;130782303;920000395;STICON;;1
SSR2;2014;130782444;130001100;PISCIN;1;
SSR2;2014;130783665;130043722;EXPURO;1;
SSR2;2014;130783665;130043722;SALINT;1;
SSR2;2014;130783871;130001548;EXPEQU;1;
SSR2;2014;130783871;130001548;ISOCIN;1;
SSR2;2014;130783871;130001548;PISCIN;1;
SSR2;2014;130784580;750043994;APTAUT;;1
SSR2;2014;130784580;750043994;ASSMAR;;1
SSR2;2014;130784580;750043994;ASSMEM;;1
SSR2;2014;130784580;750043994;EXPEQU;;1
SSR2;2014;130784580;750043994;EXPURO;;1
SSR2;2014;130784580;750043994;IDRACH;;1
SSR2;2014;130784580;750043994;ISOCIN;;1
SSR2;2014;130784580;750043994;LABMAR;;1
SSR2;2014;130784580;750043994;PISCIN;;1
SSR2;2014;130784580;750043994;SALINT;;1
SSR2;2014;130784580;750043994;SIMESP;;1
SSR2;2014;130784580;750043994;STICON;;1
SSR2;2014;130784580;750043994;VEHADP;;1
SSR2;2014;130784598;130001852;LABMAR;1;
SSR2;2014;130784598;130001852;PISCIN;1;
SSR2;2014;130784598;130001852;VEHADP;;1
SSR2;2014;130785389;130002173;ASSMEM;1;
SSR2;2014;130785389;130002173;LABMAR;;1
SSR2;2014;130785389;130002173;PISCIN;1;
SSR2;2014;130785389;130002173;SALINT;1;
SSR2;2014;130785389;130002173;SIMESP;1;
SSR2;2014;130786023;130002330;PISCIN;1;
SSR2;2014;130786296;130002421;APTAUT;;1
SSR2;2014;130786296;130002421;ASSMAR;;1
SSR2;2014;130786296;130002421;ASSMEM;;1
SSR2;2014;130786296;130002421;EXPEQU;;1
SSR2;2014;130786296;130002421;EXPURO;;1
SSR2;2014;130786296;130002421;IDRACH;;1
SSR2;2014;130786296;130002421;ISOCIN;;1
SSR2;2014;130786296;130002421;LABMAR;;1
SSR2;2014;130786296;130002421;PISCIN;;1
SSR2;2014;130786296;130002421;SALINT;;1
SSR2;2014;130786296;130002421;SIMESP;;1
SSR2;2014;130786296;130002421;STICON;;1
SSR2;2014;130786296;130002421;VEHADP;;1
SSR2;2014;130786742;750821092;ISOCIN;1;
SSR2;2014;130786924;130037815;APTAUT;;1
SSR2;2014;130786924;130037815;ASSMAR;1;
SSR2;2014;130786924;130037815;ASSMEM;1;
SSR2;2014;130786924;130037815;EXPEQU;1;
SSR2;2014;130786924;130037815;EXPURO;;1
SSR2;2014;130786924;130037815;IDRACH;;1
SSR2;2014;130786924;130037815;ISOCIN;1;
SSR2;2014;130786924;130037815;LABMAR;;1
SSR2;2014;130786924;130037815;PISCIN;1;
SSR2;2014;130786924;130037815;SALINT;;1
SSR2;2014;130786924;130037815;SIMESP;;1
SSR2;2014;130786924;130037815;STICON;;1
SSR2;2014;130786924;130037815;VEHADP;;1
SSR2;2014;130786932;130002660;EXPEQU;1;
SSR2;2014;130786932;130002660;PISCIN;1;
SSR2;2014;130786932;130002660;SIMESP;1;
SSR2;2014;130787369;130002777;ASSMAR;1;
SSR2;2014;130789159;750043994;APTAUT;;1
SSR2;2014;130789159;750043994;ASSMAR;;1
SSR2;2014;130789159;750043994;ASSMEM;;1
SSR2;2014;130789159;750043994;EXPEQU;;1
SSR2;2014;130789159;750043994;EXPURO;;1
SSR2;2014;130789159;750043994;IDRACH;;1
SSR2;2014;130789159;750043994;ISOCIN;;1
SSR2;2014;130789159;750043994;LABMAR;;1
SSR2;2014;130789159;750043994;PISCIN;;1
SSR2;2014;130789159;750043994;SALINT;;1
SSR2;2014;130789159;750043994;SIMESP;;1
SSR2;2014;130789159;750043994;STICON;;1
SSR2;2014;130789159;750043994;VEHADP;;1
SSR2;2014;130789357;130002843;PISCIN;1;
SSR2;2014;130790157;130789316;EXPURO;;1
SSR2;2014;130790157;130789316;SALINT;;1
SSR2;2014;130790157;130789316;VEHADP;;1
SSR2;2014;130809015;130001928;APTAUT;;1
SSR2;2014;130809015;130001928;ASSMAR;;1
SSR2;2014;130809015;130001928;ASSMEM;;1
SSR2;2014;130809015;130001928;EXPEQU;;1
SSR2;2014;130809015;130001928;EXPURO;;1
SSR2;2014;130809015;130001928;IDRACH;;1
SSR2;2014;130809015;130001928;ISOCIN;;1
SSR2;2014;130809015;130001928;LABMAR;;1
SSR2;2014;130809015;130001928;PISCIN;1;
SSR2;2014;130809015;130001928;SALINT;;1
SSR2;2014;130809015;130001928;SIMESP;;1
SSR2;2014;130809015;130001928;STICON;;1
SSR2;2014;130809015;130001928;VEHADP;;1
SSR2;2014;130809981;920000395;PISCIN;1;
SSR2;2014;140000076;140000084;EXPEQU;1;
SSR2;2014;140000076;140000084;EXPURO;1;
SSR2;2014;140000076;140000084;PISCIN;1;
SSR2;2014;140000209;140000100;APTAUT;;1
SSR2;2014;140000209;140000100;ASSMAR;;1
SSR2;2014;140000209;140000100;ASSMEM;;1
SSR2;2014;140000209;140000100;EXPEQU;1;
SSR2;2014;140000209;140000100;EXPURO;1;
SSR2;2014;140000209;140000100;IDRACH;;1
SSR2;2014;140000209;140000100;ISOCIN;;1
SSR2;2014;140000209;140000100;LABMAR;1;
SSR2;2014;140000209;140000100;PISCIN;1;
SSR2;2014;140000209;140000100;SALINT;;1
SSR2;2014;140000209;140000100;SIMESP;;1
SSR2;2014;140000209;140000100;STICON;;1
SSR2;2014;140000209;140000100;VEHADP;;1
SSR2;2014;140000233;140000118;SIMESP;1;
SSR2;2014;140002239;140000415;APTAUT;1;
SSR2;2014;140002239;140000415;ASSMAR;;1
SSR2;2014;140002239;140000415;ASSMEM;;1
SSR2;2014;140002239;140000415;EXPEQU;1;
SSR2;2014;140002239;140000415;EXPURO;;1
SSR2;2014;140002239;140000415;IDRACH;;1
SSR2;2014;140002239;140000415;ISOCIN;1;
SSR2;2014;140002239;140000415;LABMAR;;1
SSR2;2014;140002239;140000415;PISCIN;1;
SSR2;2014;140002239;140000415;SALINT;;1
SSR2;2014;140002239;140000415;SIMESP;1;
SSR2;2014;140002239;140000415;STICON;;1
SSR2;2014;140002239;140000415;VEHADP;;1
SSR2;2014;140015975;310021092;APTAUT;;1
SSR2;2014;140015975;310021092;ASSMAR;;1
SSR2;2014;140015975;310021092;ASSMEM;;1
SSR2;2014;140015975;310021092;EXPEQU;;1
SSR2;2014;140015975;310021092;EXPURO;;1
