BOR;AN;FI;FI_EJ;DIM_A1;DIM_A2;DIM_A3;DIM_A4;DIM_A5;DIM_A6;DIM_A7;DIM_A8;DIM_A9;DIM_A10;DIM_A11;DIM_A12;DIM_A13;DIM_A14;DIM_A15;DIM_A16;DIM_A17;DIM_A18;DIM_A19;DIM_A20;DIM_A21;DIM_A22;DIM_A23;DIM_A24;DIM_A25
INFOMED;2014;040000119;040780231;;1;;;;;;1;;;;;0;0;0;1;1;0;0;0;0;1;040780215;0.06;0.06
INFOMED;2014;040000135;050002948;1;;;;;;1;;;;;;0;0;0;0;0;1;1;0;0;1;050000124;1;0.5
INFOMED;2014;040000911;040788879;1;;;;;;;;;1;;;0;0;0;0;1;1;1;1;1;0;;2.55;1
INFOMED;2014;040780389;040000150;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;0.5;0.05
INFOMED;2014;040780405;040000168;;;;;;;;;1;;;;0;0;0;0;0;1;1;0;0;0;;0.4;0.1
INFOMED;2014;040780470;040000192;;1;;;;;;;;;;;0;0;0;0;0;1;0;0;1;1;130810740;0.5;0.5
INFOMED;2014;040780488;040000200;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;;0.11
INFOMED;2014;040782021;130037815;;;;;;;1;;;;;;0;0;1;0;0;1;0;1;0;0;;0.5;0.3
INFOMED;2014;040784860;330029208;;;1;;;;;;;;;;0;0;1;1;1;1;1;0;0;0;;0.05;0.05
INFOMED;2014;050000066;050000082;;;;;;;;;1;;;;0;0;0;0;0;1;1;0;0;0;;0.06;0.17
INFOMED;2014;050000132;050007145;;;1;;;;;;1;;1;;0;0;0;0;0;0;0;0;0;0;;0;0
INFOMED;2014;050000231;050000116;;;1;;;;;;;1;;;0;0;0;0;0;1;1;0;0;0;;3;0.9
INFOMED;2014;050000256;050000124;;;1;;;;1;;;;;;0;0;0;0;0;1;1;0;0;1;;1.15;0.3
INFOMED;2014;050000306;050000538;;;;;;;1;;;;;;0;0;0;0;0;1;1;0;1;0;;0.5;0.13
INFOMED;2014;050000330;050007145;;;1;;;;;;1;;1;;0;0;0;0;0;0;0;0;0;0;;0;0
INFOMED;2014;050000348;050002948;1;;;;;;1;;;;;;0;0;0;0;0;1;1;0;0;1;050000124;3.81;0.88
INFOMED;2014;050000371;050003508;;;;;;;;;1;;;;0;0;0;0;0;1;1;0;1;0;;0.1;0.05
INFOMED;2014;050000488;050000678;;;;;;;;;1;;;;0;0;0;0;0;1;1;0;0;0;;1;0.3
INFOMED;2014;050000637;050001163;;;;;;;;;1;;;;0;0;0;0;0;1;1;0;0;0;;0.1;0.17
INFOMED;2014;050000991;050000546;;;;;;;;1;;;;;0;0;0;0;0;1;1;0;0;0;;1;0.3
INFOMED;2014;050001064;050000561;;;;;;;;1;;;;;0;0;0;0;0;1;1;0;0;0;;0.1;0.2
INFOMED;2014;050002351;130037815;;;;;;;;;1;;;;;;;;;;1;;;0;;1;0.2
INFOMED;2014;050003359;380793802;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;;0;;;
INFOMED;2014;050006022;380793802;;;1;;;;;;;;;;0;0;0;0;0;0;;;;0;;;
INFOMED;2014;050007368;050007343;;;;;;1;;;;;;;0;0;0;0;0;1;0;1;1;0;;0;0
INFOMED;2014;060000296;060780640;;;;;;;;1;;;;;0;0;0;0;0;1;1;1;1;0;;0.6;0.1
INFOMED;2014;060000411;060780780;1;;;;;;;;;;;;1;1;1;1;1;0;;;0;1;;0.5;0.1
INFOMED;2014;060000445;060780814;;;;;;;1;;;;;;1;1;1;1;1;0;;;;0;;0.13;0.1
INFOMED;2014;060000478;060780897;1;;;1;;;1;;;1;;;0;0;0;0;0;1;1;0;0;0;;5.3;1.5
INFOMED;2014;060000494;060780921;;;1;;;;;;;;;;0;0;0;0;0;0;;0;0;0;;0.02;0.03
INFOMED;2014;060000510;060780954;1;;;;;;1;;;1;;;0;0;0;0;0;1;0;0;1;0;;4.58;1
INFOMED;2014;060000528;060780962;;;1;;;;;;;;;;0;0;0;0;0;1;1;0;1;0;;3;1
INFOMED;2014;060000544;060780988;;1;;;1;;;1;;;1;;0;0;0;0;0;1;1;0;1;0;;2.5;1
INFOMED;2014;060002102;060791761;;;1;;;;;;1;;;;0;0;0;0;0;1;1;1;0;0;;0.8;0.5
INFOMED;2014;060005469;750043994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.5;0.3
INFOMED;2014;060015328;060015278;;;;;;;;;1;;;;0;;0;1;1;0;0;;0;0;;0.14;0.05
INFOMED;2014;060021201;060000155;;;;;;;;;1;;;;0;0;1;0;0;0;0;0;0;0;;0.1;0.1
INFOMED;2014;060021417;060000221;;1;;;;;;;;;;;0;0;0;0;0;1;1;0;0;1;;3;
INFOMED;2014;060780186;060006939;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;1;0;;0.25;0.25
INFOMED;2014;060780277;750043994;0;0;0;0;0;0;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.2;0.2
INFOMED;2014;060780343;060000171;;;;;;;;;1;;;;0;0;0;0;0;1;1;1;1;1;060780517;0.25;0.25
INFOMED;2014;060780392;060000205;;;;;;;;;1;;;;0;0;0;0;0;1;1;1;1;1;060780517;0.2;0.1
INFOMED;2014;060780442;060000213;;;1;;;;;;;;;1;1;1;1;1;1;;;;1;0;;1;0.5
INFOMED;2014;060780459;010783009;;;;;;;;;1;;;;0;0;0;0;0;0;;;;0;060780459;0.4;
INFOMED;2014;060780491;060790797;;;1;;;;;;;;;;0;0;1;1;1;0;0;0;0;0;;2.51;0.2
INFOMED;2014;060780517;060000239;;;1;;;;;;;;;;0;0;0;0;0;1;1;1;0;1;060780343;7;1
INFOMED;2014;060780525;060000247;;;;;;;;;;;;;1;0;0;0;;0;0;1;0;0;;0.5;0.2
INFOMED;2014;060780558;750720575;;;;;;;1;;;;;;0;0;0;0;0;0;0;0;0;0;;0.5;0.25
INFOMED;2014;060780590;060000270;;;1;;;;;;;;;;1;1;1;1;1;1;1;1;0;1;;1.5;0.1
INFOMED;2014;060780699;060000346;;;;;;;;;;;;;0;0;0;0;0;0;;;;0;;0.25;0.25
INFOMED;2014;060780715;060000361;;1;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;4;1
INFOMED;2014;060780723;060004959;;1;;;;;;;;;;;0;0;0;0;0;0;;;0;1;;3;0.2
INFOMED;2014;060780749;060000395;;;;;;;;1;;;;1;1;1;1;1;1;0;0;0;0;0;;1;0.5
INFOMED;2014;060780947;060800174;;1;;;;;;;;;1;;0;0;0;0;0;0;0;0;0;0;;2.5;0.4
INFOMED;2014;060780996;630786754;;;;;;;;;;;;;;;;;;1;1;0;0;0;;4;1
INFOMED;2014;060781200;060000635;;1;;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;060780715;1;0.3
INFOMED;2014;060781374;060000718;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;1;0.05
INFOMED;2014;060781929;060000858;;;;;;;;;;;;1;1;1;1;1;1;0;0;0;0;0;;;
INFOMED;2014;060785219;060001468;;1;;;;;;;;;;;0;0;0;0;1;1;1;0;0;0;;7;0.2
INFOMED;2014;060785227;060001476;;;;;;;;;1;;;;0;0;1;1;1;1;1;0;1;0;;1;0.1
INFOMED;2014;060788957;060785011;1;;;;;;1;;;1;;;0;0;0;0;0;1;0;0;0;1;060785011;6.69;6.7
INFOMED;2014;060789674;130037815;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;1;0.1
INFOMED;2014;060791811;750826638;;;1;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;1.35;0.4
INFOMED;2014;060794013;060790797;;;1;;;;;;;;;;0;0;1;1;1;0;0;0;0;0;;2;0.2
INFOMED;2014;060798881;060798873;;;;;;;;1;;;;;0;0;1;0;0;0;;;;;;0.2;0.2
INFOMED;2014;060800166;060780608;;1;;;;;;;;;;;0;0;0;0;1;1;1;0;0;0;;7;0.2
INFOMED;2014;060800182;060002912;;;;;;;;1;;;;;0;0;0;0;0;1;0;1;0;0;;0.6;0.05
INFOMED;2014;070000013;070002878;;1;;;;;;1;;;;;0;0;0;1;1;1;1;0;;1;260000047;2;0.45
INFOMED;2014;070000047;070780127;;;1;;;;;;1;;;;0;0;1;1;1;;;;;1;070005566;0.1;
INFOMED;2014;070000062;070005558;;;1;;;;;;1;;;;0;0;1;1;1;0;0;0;0;1;260000138;0.3;
INFOMED;2014;070000096;070780184;;1;;;;;;1;;;;;0;0;0;0;0;0;;0;;1;070780358;0.5;
INFOMED;2014;070000179;070780358;1;;;;;;1;;;;;;0;0;0;0;0;;0;0;0;0;;2.45;1.4
INFOMED;2014;070000187;070780366;;;;;;;;;;;;;;;;;;;;;;1;;;
INFOMED;2014;070000195;070780374;;1;;;;;1;;;;;;0;0;0;0;0;;0;0;;1;070780358;0.3;0.15
INFOMED;2014;070000609;070005566;;;1;;;1;;;1;;;1;0;0;0;0;0;0;0;0;0;1;;;
INFOMED;2014;070004726;380793802;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;
INFOMED;2014;070006168;300016847;;;;;;;;1;;;;;0;;1;1;1;0;0;0;0;1;070005566;;
INFOMED;2014;070780226;300016847;;;;;;;;1;;;;;0;;1;1;1;0;0;0;0;1;070005566;;
INFOMED;2014;070780234;750721300;;;;;;;;;1;;;;1;1;1;1;1;1;1;1;0;1;260000021;;0.04
INFOMED;2014;070780242;070000120;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;0.1;0.1
INFOMED;2014;070780317;630786754;;;;;;;;;;1;;;0;0;0;0;0;1;1;0;0;0;;2.5;0.55
INFOMED;2014;070780390;070000211;;;;;;;;;1;;;;0;0;0;0;0;1;1;1;0;0;;0.1;0.1
INFOMED;2014;070780408;070000229;;;1;;;;;;;;;;1;1;1;1;1;0;0;0;1;0;;1;
INFOMED;2014;070780424;070000245;;;1;;;;;;;;;;0;0;0;0;0;0;;;1;0;;3.81;0.5
INFOMED;2014;070786231;690796552;;;1;;;;;;;;;;0;0;0;0;0;1;1;1;0;0;;0.01;0.01
INFOMED;2014;070786249;690796552;;;1;;;;;;;;;;0;0;0;0;0;1;1;1;0;0;;0.01;0.01
INFOMED;2014;080000110;080000037;;;1;;;;1;;;;;;0;0;0;0;0;1;1;0;1;0;;5.42;0.36
INFOMED;2014;080000219;080001969;;;1;;;1;;;1;;;;0;0;0;0;0;1;1;0;0;0;;2;0.3
INFOMED;2014;080000250;540019726;;;;;;;1;;;;;;0;0;0;0;0;0;0;0;0;1;540009701;0.4;0.1
INFOMED;2014;080000268;540019726;;;;;;;1;;;;;;0;0;0;0;0;0;0;0;0;1;540009701;0.15;0.03
INFOMED;2014;080000276;080001969;;;1;;;1;;;1;;;;0;0;0;0;0;1;1;0;0;0;;;
INFOMED;2014;080000284;080000060;;;1;;;;;;1;;;;0;0;1;1;1;0;0;0;0;1;080000615;0.3;0
INFOMED;2014;080000318;080000086;;;;;;;1;;;1;;;0;0;0;0;0;0;0;0;1;0;;1.01;0.05
INFOMED;2014;080000425;080000615;;1;;;;;;;;;;;0;0;0;0;0;1;1;1;1;0;;8.04;1.05
INFOMED;2014;080002140;540019726;;;;;;;1;;;;;;0;0;0;0;0;0;0;0;0;1;540009701;0;0.02
INFOMED;2014;080008279;080001969;;;1;;;1;;;1;;;1;0;0;0;0;0;1;1;0;0;1;080001969;;
INFOMED;2014;080010473;080010242;1;;;1;;;1;;;;;;0;0;0;0;0;0;;;0;0;;;
INFOMED;2014;090000019;090180019;;;;;;;1;;;;;;0;0;1;1;0;0;0;0;0;0;;;
INFOMED;2014;090000175;090781774;1;;;1;;;1;;;;;;0;0;0;0;1;1;1;1;0;1;090781816;4.68;0.89
INFOMED;2014;090000183;090781816;;1;;;;;1;;;1;;;0;0;0;0;0;1;1;0;0;1;090000175;3.26;0.56
INFOMED;2014;090000217;090782251;;;;;;;;;1;;;;0;0;1;1;1;0;0;0;0;0;090000175;;
INFOMED;2014;090001629;090780107;;;1;;;;;1;;;;;0;0;0;0;0;1;1;0;0;1;090781774;0.4;0.17
INFOMED;2014;100000082;100001148;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;1;0;;0.5;
INFOMED;2014;100000090;100000017;;1;;;;;;1;;;;;0;0;0;0;0;1;0;0;0;0;;7.35;2.48
INFOMED;2014;100000108;100000033;;;;;;;;;;;1;;0;0;0;0;0;1;0;0;1;0;;1;0
INFOMED;2014;100000124;100009075;;1;;;;;;;;;;;0;0;0;0;0;0;0;0;1;0;;2;0.06
INFOMED;2014;100000199;100006279;;;1;;;1;;;1;;;;0;0;0;0;1;0;0;;1;0;;1.25;0.2
INFOMED;2014;100002351;100000561;;;1;;;;;;;;;;0;0;0;0;0;0;1;0;1;0;;2.5;0.1
INFOMED;2014;100008903;100007335;;;;;;1;;;;;;;0;0;0;0;0;0;0;0;0;0;;0.1;0.1
INFOMED;2014;100009083;750721235;;;;;;;;;1;;;;0;0;1;1;1;0;0;0;0;0;;0.1;0.1
INFOMED;2014;110000023;110780061;;1;;;;;;;;;;;0;0;0;0;0;1;1;0;1;0;;5.94;1.57
INFOMED;2014;110000049;110780087;1;;;;;;1;;;;;;0;0;0;0;0;0;;;;1;110000023;1;0.05
INFOMED;2014;110000056;110780137;1;;;;;;1;;;1;;;0;0;0;0;1;1;1;0;1;0;;3.25;1
INFOMED;2014;110000189;110780707;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;320861818;1;0.1
INFOMED;2014;110000247;110780772;;;1;;;1;;;1;;;;0;0;0;0;0;0;0;0;1;0;;1;0.2
INFOMED;2014;110000262;110781010;;;;;;;;;1;;;;0;0;0;0;0;1;1;0;0;0;;0.1;0.05
INFOMED;2014;110003118;110007341;;;;;;;;;1;;;;1;0;1;1;1;1;1;1;1;0;;0.1;0.2
INFOMED;2014;110004413;340000264;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;0.01;0.01
INFOMED;2014;110004421;340000264;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;0.01;0.01
INFOMED;2014;110004439;340000264;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;0.02;0.01
INFOMED;2014;110005311;340000264;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;0.03;0.01
INFOMED;2014;110780186;110000072;;;;;;;;;1;;;;0;0;0;0;0;1;1;1;0;0;;0.35;0.12
INFOMED;2014;110780194;110000080;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;1;0.2
INFOMED;2014;110780228;110000114;;;1;;;;;;1;;;;0;0;0;0;0;1;1;0;0;0;;3.5;0.4
INFOMED;2014;110780236;110780707;;;1;;;;;;1;;;;0;0;0;0;0;0;0;0;0;1;320861818;;
INFOMED;2014;110786324;110786324;;;;;;;1;;;1;;;0;0;0;0;0;1;1;0;1;0;;1.25;0.8
INFOMED;2014;120000039;120780044;1;;;;;;;1;;1;;;0;0;0;0;1;0;;;1;0;;4.5;1
INFOMED;2014;120000054;120780069;;;1;;;;;;1;;;;0;0;0;0;0;1;1;1;1;0;;7.49;0.5
INFOMED;2014;120000070;120780085;;1;;;;;1;;;;;;0;0;0;0;0;0;0;0;1;0;;0.5;0.4
INFOMED;2014;120000088;120780093;;;1;;;;;;1;;;;0;0;0;0;0;1;0;0;0;0;;0.5;0.03
INFOMED;2014;120000096;120780101;;1;;;;;;1;;;;;0;0;0;0;0;0;0;0;0;1;460780083;1;0.05
INFOMED;2014;120000153;120780291;;;;;;;;1;;;;;1;1;1;1;1;0;0;0;0;0;;0.3;0.1
INFOMED;2014;120000237;120780481;;;;;;;;1;;;;;0;0;0;0;0;1;1;0;0;1;460780083;0.32;0.03
INFOMED;2014;120001748;340000264;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;0.01;0.03
INFOMED;2014;120004569;120004528;;1;;;;;;1;;;1;;0;0;0;0;0;1;1;1;1;1;120004619;3.32;1
INFOMED;2014;120004668;120004619;;1;;;;;;;1;;;;0;0;0;0;0;1;1;0;1;1;120004569;0.66;
INFOMED;2014;120780135;120000104;;;;;;;;1;;;;;0;0;0;0;0;0;;;0;0;;0.1;0.1
INFOMED;2014;120780283;630786754;;;;;;;;;;1;;;0;0;0;0;0;1;1;0;0;0;;3;0.5
INFOMED;2014;120787254;340000264;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;0.01;0.01
INFOMED;2014;130000235;130780554;;;;;;;;;;1;;;0;0;0;0;0;1;1;;0;0;;3.84;0.8
INFOMED;2014;130000409;130041916;;1;;1;;;1;;;;;;0;0;0;0;0;1;1;0;0;0;;5.85;2.1
INFOMED;2014;130000433;130781131;;;;;;;;;;1;;;0;0;0;0;0;1;1;0;0;0;;3.8;1
INFOMED;2014;130000516;130781339;;1;;;;;;1;;;;;0;0;0;0;0;1;1;0;1;0;;1;0.1
INFOMED;2014;130000565;130781446;;1;;;1;;1;;;;;;0;0;1;0;0;1;1;0;0;1;840004659;2.3;0.9
INFOMED;2014;130001225;130782634;1;;;;;;1;;;;;;0;0;0;0;0;1;1;0;1;0;;2.5;0.8
INFOMED;2014;130001258;130028228;;;1;;;;;;1;;;;0;0;0;0;0;1;0;1;0;1;130789274;0.8;0.1
INFOMED;2014;130001647;130784127;;;1;;;1;;;;;;;0;0;0;0;0;1;0;0;0;0;130001647;5.87;1.5
INFOMED;2014;130002215;130785512;1;;;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;1.8;0.5
INFOMED;2014;130002496;130786494;;;;;;;;;;1;;;0;0;0;0;0;1;1;0;0;0;;2.75;0.38
INFOMED;2014;130002694;040000481;;;1;;;;;;1;;;;0;0;0;1;1;0;0;0;0;0;;0.5;0.3
INFOMED;2014;130002827;130789274;1;;;;;;;;1;;1;;0;0;0;0;0;1;1;0;1;0;;1.3;1
INFOMED;2014;130002835;130789316;;1;;;;;;;1;1;;;0;0;0;0;0;1;1;0;0;0;;3.95;1.8
INFOMED;2014;130008238;130044118;;;;;;;;;1;;;;1;1;0;0;0;0;;;;0;;0.68;
INFOMED;2014;130008253;130001084;;;1;;;;;;;;;;0;0;0;0;0;0;;;0;0;;1;0.3
INFOMED;2014;130021488;130021439;;;;;;1;;;;;;;0;0;0;0;0;0;0;0;0;0;;;0.25
INFOMED;2014;130021819;130021769;;;;;;1;;;;;;;0;0;0;0;0;0;;;;0;;0.1;0.38
INFOMED;2014;130022619;130810161;;;;;;1;;;;;;;0;0;0;0;0;1;0;1;0;0;;;
INFOMED;2014;130035793;130013139;;;;;;;;;1;;;;0;0;0;0;0;1;0;0;0;0;;0.1;0.12
INFOMED;2014;130037922;130037823;;;1;;;;;;;;;;0;0;0;0;0;1;1;0;0;1;130784051;2.8;0.2
INFOMED;2014;130041767;130041262;1;;;;;;;;;;;;0;0;0;0;0;1;1;0;1;1;130043664;0.2;0.55
INFOMED;2014;130042526;310021399;;;;;;;;;1;;;;0;0;0;0;0;0;;;0;0;;1;0.11
INFOMED;2014;130043508;250002284;;;;;;;1;;;;;;0;0;0;0;0;0;0;0;0;0;;;
INFOMED;2014;130043664;130002157;;;1;;;;;;;;;;0;0;0;0;0;1;1;0;1;1;130041767;10.46;2.15
INFOMED;2014;130043854;130037815;;;;;;;1;;;;;;0;0;0;0;0;1;0;1;0;0;;1;0.11
INFOMED;2014;130780083;130000060;;;;;;;;1;;;;;0;0;1;1;1;1;1;1;0;;;0.5;0.3
INFOMED;2014;130780521;130786049;;1;;;1;;1;;;;1;;0;0;0;0;0;0;0;0;0;0;;7.28;2.96
INFOMED;2014;130781289;130002447;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;130786361;;
INFOMED;2014;130781370;130000532;;;1;;;;;;;;;;0;0;0;0;0;1;1;0;0;0;;4;0.25
INFOMED;2014;130781438;130000557;;;;;;;;1;;;;;0;0;0;0;0;0;0;0;1;0;;1;0.2
INFOMED;2014;130781479;130000599;;1;;;;;;1;;;;;0;0;0;0;0;0;1;1;0;0;;3.3;0.6
INFOMED;2014;130781594;130010648;;;;;;;;;;;1;;0;0;0;0;0;1;1;1;0;0;;0.15;0.1
INFOMED;2014;130781768;130000763;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;;0;;0.8;0.1
INFOMED;2014;130781834;130000805;;;;;;;;;1;;;;0;0;0;1;1;0;;;0;0;;0.5;0.25
INFOMED;2014;130781867;130000813;;1;;;;;;;;;;;0;0;0;0;0;1;1;0;0;1;830100434;1.2;0.12
INFOMED;2014;130781917;130000847;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;1;0.13
INFOMED;2014;130781925;750043994;;;;;;;1;0;0;;;;0;0;0;0;0;1;0;0;0;0;;0.5;0.2
INFOMED;2014;130782071;130002454;;;1;;;1;;1;;;;;1;1;1;1;1;1;1;1;0;0;;2.8;0.3
INFOMED;2014;130782097;130000938;;;;;;;1;;;;;;0;0;0;0;0;0;0;0;0;0;;0.5;0.05
INFOMED;2014;130782147;130000979;;;1;;;;;;;;;;1;0;0;0;1;0;0;0;0;0;;1;0.4
INFOMED;2014;130782162;130000987;;;1;;;;;;;;;;0;0;0;1;1;1;1;0;0;0;;2;0.2
