BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPAS;ETP;GAR;AST
BLOCS_P;2014;060785003;060785011;M100H;0;0;0;1;1
BLOCS_P;2014;060785003;060785011;M1030;0;9;3.18;1;1
BLOCS_P;2014;060785003;060785011;M200H;0;19;4.52;1;1
BLOCS_P;2014;060785003;060785011;N2200;29;9;33.78;1;1
BLOCS_P;2014;060785003;060785011;N2310;13;6;17.28;0;1
BLOCS_P;2014;060785003;060785011;N2320;5;0;5;1;1
BLOCS_P;2014;060785003;060785011;N2510;24;1;23.41;1;1
BLOCS_P;2014;060785003;060785011;N4130;2;2;3.7;1;1
BLOCS_P;2014;060785003;060785011;N4160;2;2;3.7;1;1
BLOCS_P;2014;060785003;060785011;NAUT;23;0;12.99;1;1
BLOCS_P;2014;060785219;060001468;M100H;1;3;2;0;1
BLOCS_P;2014;060785219;060001468;M1030;;10;0.2;0;1
BLOCS_P;2014;060785219;060001468;N2200;1;1;1.8;0;1
BLOCS_P;2014;060785219;060001468;N4130;;2;0.8;0;1
BLOCS_P;2014;060785219;060001468;N4160;;2;0.2;0;0
BLOCS_P;2014;060785219;060001468;NAUT;2;1;2.5;0;0
BLOCS_P;2014;060789195;060785011;M100H;0;6;1.41;1;1
BLOCS_P;2014;060789195;060785011;M1030;1;26;20.8;1;1
BLOCS_P;2014;060789195;060785011;M200H;0;31;8.12;1;1
BLOCS_P;2014;060789195;060785011;N2200;45;8;44.81;1;1
BLOCS_P;2014;060789195;060785011;N2310;22;15;31.37;1;1
BLOCS_P;2014;060789195;060785011;N2320;13;1;14.06;1;1
BLOCS_P;2014;060789195;060785011;N2510;47;1;43.93;1;1
BLOCS_P;2014;060789195;060785011;N4130;1;0;0.29;1;1
BLOCS_P;2014;060789195;060785011;N4160;1;0;0.29;1;1
BLOCS_P;2014;060789195;060785011;NAUT;33;6;28.2;1;1
BLOCS_P;2014;060791811;750826638;M100H;;1;0.36;;
BLOCS_P;2014;060791811;750826638;M1030;;2;0.21;;
