BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2014;060000544;060780988;N3120;;1;0.24;;;;
PERINAT_P;2014;060002102;060791761;M1140;;1;0.2;0;0;;
PERINAT_P;2014;060002102;060791761;M2050;1;;1;0;0;;
PERINAT_P;2014;060002102;060791761;N2800;1;;1;;;;
PERINAT_P;2014;060021417;060000221;M1030;;2;2;0;1;0;0
PERINAT_P;2014;060021417;060000221;M2050;;8;1;0;1;;
PERINAT_P;2014;060780517;060000239;M1030;9;;9;;1;;1
PERINAT_P;2014;060780517;060000239;M1140;;5;2.5;;1;;
PERINAT_P;2014;060780517;060000239;M2050;10;;10;;1;;
PERINAT_P;2014;060780517;060000239;MIVG;;5;2.5;;;;
PERINAT_P;2014;060780517;060000239;N2700;1;;1;;;;
PERINAT_P;2014;060780517;060000239;N2800;15;;15;;;;
PERINAT_P;2014;060780517;060000239;N280H;2;;2;;;;
PERINAT_P;2014;060780517;060000239;N3120;;1;0.25;;;;
PERINAT_P;2014;060780590;060000270;MIVG;1;;0.1;;;;
PERINAT_P;2014;060780699;060000346;M1030;;2;0.2;0;0;;
PERINAT_P;2014;060780699;060000346;M2050;;6;0.2;0;0;;
PERINAT_P;2014;060780715;060000361;M1030;;8;3.6;1;;;
PERINAT_P;2014;060780715;060000361;M1140;;32;6.4;1;;;
PERINAT_P;2014;060780715;060000361;M2050;;15;6.4;1;;;
PERINAT_P;2014;060780715;060000361;MIVG;;6;0.1;;;;
PERINAT_P;2014;060780715;060000361;N2340;;1;0.1;;;;
PERINAT_P;2014;060780715;060000361;N2700;;1;0.1;;;;
PERINAT_P;2014;060780715;060000361;N2800;;1;0.1;;;;
PERINAT_P;2014;060780715;060000361;N280H;;1;0.1;;;;
PERINAT_P;2014;060780715;060000361;N3120;;1;0.1;;;;
PERINAT_P;2014;060780756;060000403;M1030;4;2;;1;;1;
PERINAT_P;2014;060780756;060000403;M1140;2;3;0;0;1;;
PERINAT_P;2014;060780756;060000403;M2050;;18;;1;;;
PERINAT_P;2014;060789195;060785011;M1030;0;6;2.36;1;;;
PERINAT_P;2014;060789195;060785011;M1140;4;8;6.77;1;;;
PERINAT_P;2014;060789195;060785011;M2050;1;12;2.62;1;;;
PERINAT_P;2014;060789195;060785011;MIVG;0;3;0.86;;;;
PERINAT_P;2014;060789195;060785011;N2340;32;9;37.61;;;;
PERINAT_P;2014;060789195;060785011;N2700;0;1;0.97;;;;
PERINAT_P;2014;060789195;060785011;N2800;56;11;58.75;;;;
PERINAT_P;2014;060789195;060785011;N280H;46;9;43.32;;;;
PERINAT_P;2014;060789195;060785011;N3120;0;0;0.14;;;;
PERINAT_P;2014;070000013;070002878;M1140;;2;0.4;0;1;;
PERINAT_P;2014;070000013;070002878;M2050;2;;2;0;1;;
PERINAT_P;2014;070000013;070002878;MIVG;;1;0.1;;;;
PERINAT_P;2014;070000013;070002878;N2800;9;1;7.67;;;;
PERINAT_P;2014;070000013;070002878;N280H;2;1;1.78;;;;
PERINAT_P;2014;070000096;070780184;M2050;;1;0.15;0;0;;
PERINAT_P;2014;070000096;070780184;N2800;3;;1.4;;;;
PERINAT_P;2014;070000179;070780358;M1140;4;0;4;0;0;;
PERINAT_P;2014;070000179;070780358;M2050;4;1;4.44;0;1;;
PERINAT_P;2014;070000179;070780358;MIVG;4;0;4;;;;
PERINAT_P;2014;070000179;070780358;N2340;0;1;1.17;;;;
PERINAT_P;2014;070000179;070780358;N2700;1;0;0.2;;;;
PERINAT_P;2014;070000179;070780358;N2800;13;6;17.07;;;;
PERINAT_P;2014;070000179;070780358;N280H;13;6;17.07;;;;
PERINAT_P;2014;070000195;070780374;M1140;0;2;0.24;0;0;;
PERINAT_P;2014;070000195;070780374;N2800;3;1;3.88;;;;
PERINAT_P;2014;070000195;070780374;N3120;;1;0.09;;;;
PERINAT_P;2014;070000609;070005566;M2050;5;1;5.72;;;;
PERINAT_P;2014;070000609;070005566;N2700;0;1;0.6;;;;
PERINAT_P;2014;070000609;070005566;N2800;12;4;15.01;;;;
PERINAT_P;2014;070000609;070005566;N280H;12;4;15.01;;;;
PERINAT_P;2014;070780424;070000245;M1030;11;3;12.5;1;1;1;1
PERINAT_P;2014;070780424;070000245;M1140;2;1;0.25;;1;;
PERINAT_P;2014;070780424;070000245;M2050;4;;4;1;;;
PERINAT_P;2014;070780424;070000245;N2700;;2;0.48;;;;
PERINAT_P;2014;070780424;070000245;N2800;15;10;18.24;;;;
PERINAT_P;2014;070780424;070000245;N280H;12;6;13.09;;;;
PERINAT_P;2014;080000110;080000037;M1030;5;0;5;1;0;0;0
PERINAT_P;2014;080000110;080000037;M1140;3;0;3;0;1;;
PERINAT_P;2014;080000110;080000037;M2050;4;1;4.8;0;1;;
PERINAT_P;2014;080000110;080000037;N2700;;1;0.2;;;;
PERINAT_P;2014;080000110;080000037;N2800;9;8;15.4;;;;
PERINAT_P;2014;080000110;080000037;N3120;;1;0.25;;;;
PERINAT_P;2014;080000219;080001969;M2050;;2;0.37;;;;
PERINAT_P;2014;080000219;080001969;N2800;2;2;3;;;;
PERINAT_P;2014;080000276;080001969;N2800;;1;0.2;;;;
PERINAT_P;2014;080000425;080000615;M1030;10;;4.64;1;0;1;0
PERINAT_P;2014;080000425;080000615;M1140;2;1;1.12;1;0;;
PERINAT_P;2014;080000425;080000615;M2050;3;1;1.28;1;0;;
PERINAT_P;2014;080000425;080000615;MIVG;2;;0.4;;;;
PERINAT_P;2014;080000425;080000615;N2340;9;7;14.71;;;;
PERINAT_P;2014;080000425;080000615;N2800;16;10;23.14;;;;
