BOR;AN;FI;FI_EJ;GDE;AUT;LIT;PLA;APEC;SEJHC;JOUHC;SEJ3M;SEJHP;JOUHP
SSR;2014;040780389;040000150;SSR_A;;83;;;989;29356;53;;
SSR;2014;040780389;040000150;SSR_A50;1;;;0;;;;;
SSR;2014;040780389;040000150;SSR_A59;1;83;;0;989;29356;53;;
SSR;2014;040780389;040000150;SSR_TOT;;83;;0;989;29356;53;;
SSR;2014;040780405;040000168;SSR_A;;70;5;;577;25216;63;107;1786
SSR;2014;040780405;040000168;SSR_A50;1;70;;0;577;25216;63;;
SSR;2014;040780405;040000168;SSR_A51;1;;5;;;;;107;1786
SSR;2014;040780405;040000168;SSR_E;;;5;;;;;28;154
SSR;2014;040780405;040000168;SSR_E51;1;;5;0;;;;28;154
SSR;2014;040780405;040000168;SSR_TOT;;70;10;0;577;25216;63;135;1940
SSR;2014;040780488;040000200;SSR_A;;80;;;663;27667;40;;
SSR;2014;040780488;040000200;SSR_A50;1;;;0;;;;;
SSR;2014;040780488;040000200;SSR_A51;1;38;;;449;16102;25;;
SSR;2014;040780488;040000200;SSR_A52;1;42;;0;214;11565;15;;
SSR;2014;040780488;040000200;SSR_TOT;;80;;0;663;27667;40;;
SSR;2014;040780520;920000395;SSR_A;;40;;;433;14092;;;
SSR;2014;040780520;920000395;SSR_A50;1;40;;0;433;14092;;;
SSR;2014;040780520;920000395;SSR_TOT;;40;;0;433;14092;;;
SSR;2014;040782021;130037815;SSR_A;;60;;;604;19990;;;
SSR;2014;040782021;130037815;SSR_A50;1;30;;0;517;15051;;;
SSR;2014;040782021;130037815;SSR_A59;1;30;;0;87;4939;;;
SSR;2014;040782021;130037815;SSR_TOT;;60;;0;604;19990;;;
SSR;2014;050000041;130037815;SSR_A;;120;15;;861;33333;;380;6013
SSR;2014;050000041;130037815;SSR_A50;1;;;0;15;123;;;
SSR;2014;050000041;130037815;SSR_A51;1;40;9;;438;15035;;272;4828
SSR;2014;050000041;130037815;SSR_A52;1;42;5;0;144;8773;;46;921
SSR;2014;050000041;130037815;SSR_A53;1;4;;0;7;220;;1;14
SSR;2014;050000041;130037815;SSR_A54;1;34;1;0;257;9182;;61;250
